geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,overlap_with_real
1.0,CHEM_EN2,,4,0.9821448717296378,0.02802556135290324,-4.431463134601863,-4.459488695954766,0.5,1.0,0.9992534538095167,0.24553621793240946,4
1.0,RANDOM,25043000,4,0.03522672583037588,0.4324062210282449,-4.027082474926521,-4.459488695954766,0.25,0.5,0.016707016906267504,0.00880668145759397,1
1.0,RANDOM,25043001,4,0.004200676837048127,1.2757484423569174,-3.1837402535978487,-4.459488695954766,0.0,0.0,0.0024806997518129173,0.0010501692092620319,0
1.0,RANDOM,25043002,4,1.3765271264930412e-05,0.9956434073917388,-3.4638452885630273,-4.459488695954766,0.0,0.0,6.449121213120726e-06,3.441317816232603e-06,0
1.0,RANDOM,25043003,4,0.008969989041385176,0.43650424893471396,-4.022984447020052,-4.459488695954766,0.0,0.0,0.0038037043170994914,0.002242497260346294,1
1.0,RANDOM,25043004,4,3.481469629210652e-34,1.009291282237867,-3.450197413716899,-4.459488695954766,0.0,0.0,0.0,8.70367407302663e-35,0
1.0,RANDOM,25043005,4,0.0017581470992743952,0.9488640036034051,-3.510624692351361,-4.459488695954766,0.0,0.0,0.0006521545771635325,0.0004395367748185988,0
1.0,RANDOM,25043006,4,3.316759597394464e-05,0.4202646269316448,-4.039224069023121,-4.459488695954766,0.0,0.0,1.0607252457854654e-05,8.29189899348616e-06,0
1.0,RANDOM,25043007,4,9.061659310353219e-32,0.4219637654799939,-4.037524930474772,-4.459488695954766,0.0,0.0,0.0,2.2654148275883047e-32,0
1.0,RANDOM,25043008,4,4.697959396548433e-05,0.9488241435791744,-3.5106645523755917,-4.459488695954766,0.0,0.0,2.1552349688843633e-05,1.1744898491371083e-05,0
1.0,RANDOM,25043009,4,3.316759597394675e-05,0.43650424893471573,-4.02298444702005,-4.459488695954766,0.0,0.0,1.0607252457854654e-05,8.291898993486688e-06,0
1.0,RANDOM,25043010,4,0.007187729495407531,0.6284133627336108,-3.8310753332211553,-4.459488695954766,0.0,0.0,0.004944795879699945,0.0017969323738518828,1
1.0,RANDOM,25043011,4,0.00859884936225944,1.3360464346410872,-3.123442261313679,-4.459488695954766,0.0,0.0,0.003755058157279638,0.00214971234056486,0
1.0,REAL,,8,0.9951834751437878,0.006291003741577761,-4.453197692213188,-4.459488695954766,0.25,1.0,0.999660846056407,0.12439793439297347,
1.0,CHEM_CISD,,8,0.9365690896800984,0.06784151163673968,-4.3916471843180265,-4.459488695954766,0.125,0.5,0.9760108574713059,0.1170711362100123,1
1.0,CHEM_EN2,,8,0.9951834751437878,0.006291003741577761,-4.453197692213188,-4.459488695954766,0.25,1.0,0.999660846056407,0.12439793439297347,8
1.0,RANDOM,25043000,8,0.9803157079266678,0.030952589571679567,-4.428536106383087,-4.459488695954766,0.25,1.0,0.34419069585993084,0.12253946349083347,3
1.0,RANDOM,25043001,8,0.004247609704287002,0.6353568418570346,-3.8241318540977316,-4.459488695954766,0.0,0.0,0.002484790595317688,0.0005309512130358753,0
1.0,RANDOM,25043002,8,0.0067119411527764745,0.9333913620839143,-3.526097333870852,-4.459488695954766,0.0,0.0,0.0016564216482023743,0.0008389926440970593,1
1.0,RANDOM,25043003,8,0.046559798792661006,0.43602888893162906,-4.023459807023137,-4.459488695954766,0.125,0.5,0.012797281354069169,0.005819974849082626,4
1.0,RANDOM,25043004,8,0.03524049110164081,0.8295590755455753,-3.629929620409191,-4.459488695954766,0.125,0.5,0.008803263151717491,0.004405061387705102,1
1.0,RANDOM,25043005,8,0.010369554265748681,0.8432702534035368,-3.6162184425512294,-4.459488695954766,0.0,0.0,0.0027484179819018423,0.0012961942832185852,3
1.0,RANDOM,25043006,8,0.9717237498116291,0.04341042983625787,-4.416078266118508,-4.459488695954766,0.25,1.0,0.3336654524546737,0.12146546872645364,2
1.0,RANDOM,25043007,8,2.0656518485714093e-05,0.4219314974693722,-4.037557198485394,-4.459488695954766,0.0,0.0,5.006120421924474e-06,2.5820648107142617e-06,0
1.0,RANDOM,25043008,8,0.003206943383225134,0.632470389837362,-3.827018306117404,-4.459488695954766,0.0,0.0,0.0008374957175259532,0.0004008679229031418,1
1.0,RANDOM,25043009,8,0.00097141310548366,0.4360288108276311,-4.023459885127135,-4.459488695954766,0.0,0.0,0.0002419136523515218,0.0001214266381854575,0
1.0,RANDOM,25043010,8,0.013905354428354695,0.5957404870704082,-3.863748208884358,-4.459488695954766,0.0,0.0,0.0065167990353830405,0.001738169303544337,2
1.0,RANDOM,25043011,8,0.010975698554424314,1.1833587705943396,-3.2761299253604266,-4.459488695954766,0.0,0.0,0.004370601028605036,0.0013719623193030393,2
1.0,REAL,,12,0.9994173195768099,0.0014134786915480646,-4.458075217263218,-4.459488695954766,0.16666666666666666,1.0,0.9997131710840775,0.08328477663140083,
1.0,CHEM_CISD,,12,0.9717958155104743,0.04235437522210894,-4.417134320732657,-4.459488695954766,0.16666666666666666,1.0,0.9827887229847355,0.08098298462587286,3
1.0,CHEM_EN2,,12,0.9994173195768099,0.0014134786915480646,-4.458075217263218,-4.459488695954766,0.16666666666666666,1.0,0.9997131710840775,0.08328477663140083,12
1.0,RANDOM,25043000,12,0.9803626580170832,0.03062320028508303,-4.428865495669683,-4.459488695954766,0.16666666666666666,1.0,0.34390222158559447,0.08169688816809027,5
1.0,RANDOM,25043001,12,0.006682759324032139,0.47424875537558986,-3.9852399405791763,-4.459488695954766,0.0,0.0,0.002985893528102193,0.0005568966103360115,5
1.0,RANDOM,25043002,12,0.017666983188715082,0.4235707919375846,-4.0359179040171815,-4.459488695954766,0.0,0.0,0.003975137661020142,0.0014722485990595901,4
1.0,RANDOM,25043003,12,0.046566690039881786,0.41491065610630784,-4.044578039848458,-4.459488695954766,0.08333333333333333,0.5,0.012787603871121739,0.003880557503323482,4
1.0,RANDOM,25043004,12,0.035736133087670055,0.7713732017081707,-3.6881154942465955,-4.459488695954766,0.08333333333333333,0.5,0.00889789142572826,0.002978011090639171,1
