fold,repeat,fold_within_repeat,model,chosen_k,n_train,n_test,n_pos_train,n_pos_test,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
34,7,4,linear_svm,,77,19,10,3,0.625,0.8541666666666666,0.6041666666666666,0.3333333333333333,0.875
34,7,4,univariate_logistic,32.0,77,19,10,3,0.4777777777777778,0.875,0.6041666666666666,0.3333333333333333,0.875
35,7,5,logistic_l2,,77,19,10,3,0.3588235294117647,0.625,0.6041666666666666,0.3333333333333333,0.875
35,7,5,logistic_l1,,77,19,10,3,0.21296296296296297,0.47916666666666663,0.5729166666666666,0.3333333333333333,0.8125
35,7,5,linear_svm,,77,19,10,3,0.2833333333333333,0.625,0.4375,0.0,0.875
35,7,5,univariate_logistic,8.0,77,19,10,3,0.23333333333333334,0.5625,0.5104166666666666,0.3333333333333333,0.6875
36,8,1,logistic_l2,,76,20,10,3,0.31666666666666665,0.6274509803921569,0.5,0.0,1.0
36,8,1,logistic_l1,,76,20,10,3,0.7777777777777777,0.8823529411764706,0.8333333333333333,0.6666666666666666,1.0
36,8,1,linear_svm,,76,20,10,3,0.28888888888888886,0.5294117647058824,0.5,0.0,1.0
36,8,1,univariate_logistic,32.0,76,20,10,3,0.6333333333333333,0.8823529411764706,0.6372549019607843,0.3333333333333333,0.9411764705882353
37,8,2,logistic_l2,,77,19,11,2,0.6666666666666666,0.8823529411764706,0.6911764705882353,0.5,0.8823529411764706
37,8,2,logistic_l1,,77,19,11,2,0.75,0.9411764705882353,0.9411764705882353,1.0,0.8823529411764706
37,8,2,linear_svm,,77,19,11,2,0.6666666666666666,0.8823529411764706,0.6911764705882353,0.5,0.8823529411764706
37,8,2,univariate_logistic,16.0,77,19,11,2,0.3125,0.5588235294117647,0.6323529411764706,0.5,0.7647058823529411
38,8,3,logistic_l2,,77,19,11,2,0.30952380952380953,0.7941176470588235,0.4411764705882353,0.0,0.8823529411764706
38,8,3,logistic_l1,,77,19,11,2,0.2777777777777778,0.7352941176470589,0.4411764705882353,0.0,0.8823529411764706
38,8,3,linear_svm,,77,19,11,2,0.24285714285714285,0.7352941176470588,0.47058823529411764,0.0,0.9411764705882353
38,8,3,univariate_logistic,16.0,77,19,11,2,0.20833333333333331,0.676470588235294,0.6029411764705883,0.5,0.7058823529411765
39,8,4,logistic_l2,,77,19,10,3,0.5,0.875,0.6041666666666666,0.3333333333333333,0.875
39,8,4,logistic_l1,,77,19,10,3,0.5444444444444444,0.7708333333333333,0.5729166666666666,0.3333333333333333,0.8125
