null_rep,external_roc_auc,external_balanced_accuracy,external_accuracy,external_f1,training_spectral_topP_abs_fraction
158,0.6676919436886313,0.5,0.4745011086474501,0.643609022556391,0.29875131297085755
159,0.7381600220828897,0.5,0.4745011086474501,0.643609022556391,0.2930160661022267
160,0.730874640167199,0.5,0.4745011086474501,0.643609022556391,0.2919153240678357
161,0.7029259828857606,0.5,0.4745011086474501,0.643609022556391,0.29637152905489356
162,0.7007965613786032,0.5,0.4745011086474501,0.643609022556391,0.29075382988014203
163,0.6381757955755352,0.5,0.5254988913525499,0.0,0.28306787085850127
164,0.7516660751606924,0.5,0.5254988913525499,0.0,0.2935697825672739
165,0.738514925667416,0.5,0.5254988913525499,0.0,0.2961030672422438
166,0.7318900587562601,0.5,0.5254988913525499,0.0,0.28874545344979446
167,0.742162545841713,0.5,0.4745011086474501,0.643609022556391,0.28925137802225825
168,0.6025079853306519,0.5,0.4745011086474501,0.643609022556391,0.2885614792364843
169,0.6761701959856461,0.6012362474860996,0.6164079822616408,0.429042904290429,0.2933269475461756
170,0.7018612721321817,0.5,0.4745011086474501,0.643609022556391,0.29916164463852923
171,0.708959343822706,0.5,0.5254988913525499,0.0,0.2869492010919328
172,0.6381560787097283,0.5,0.4745011086474501,0.643609022556391,0.3037397777352786
173,0.7030640009464095,0.5,0.4745011086474501,0.643609022556391,0.2969742001482559
174,0.709373398004653,0.5,0.4745011086474501,0.643609022556391,0.28848709360003244
175,0.7536771954730077,0.5,0.5254988913525499,0.0,0.29088050095815937
176,0.7117985724989155,0.5,0.4745011086474501,0.643609022556391,0.2853347198684614
177,0.7182854213494223,0.5,0.5254988913525499,0.0,0.2939082725713529
178,0.6988643085295161,0.5,0.4745011086474501,0.643609022556391,0.29167348897426393
179,0.5724397649749595,0.5,0.4745011086474501,0.643609022556391,0.2925230235395844
180,0.6966757364249381,0.5,0.4745011086474501,0.643609022556391,0.29263487731812327
181,0.7205331440514215,0.5,0.4745011086474501,0.643609022556391,0.2922958911871139
182,0.7211443668914389,0.5,0.4745011086474501,0.643609022556391,0.29442971404853263
183,0.7023147600457431,0.5,0.4745011086474501,0.643609022556391,0.29123164401196944
184,0.6333254465870105,0.5,0.5254988913525499,0.0,0.2936169674976706
185,0.7230963366063331,0.5,0.5254988913525499,0.0,0.2879181483665244
186,0.7025119287038133,0.5,0.4745011086474501,0.643609022556391,0.293748898673194
187,0.6319255491147128,0.5,0.5254988913525499,0.0,0.2871337485481976
188,0.7232935052644031,0.5,0.5254988913525499,0.0,0.296001310942765
189,0.7448440395914666,0.5,0.5254988913525499,0.0,0.2865440700930421
190,0.7509759848574472,0.5,0.4745011086474501,0.643609022556391,0.29002408405417884
191,0.6484482826609882,0.5,0.5254988913525499,0.0,0.2971485529856145
192,0.7271974446941916,0.5,0.4745011086474501,0.643609022556391,0.2883617213797477
193,0.6953941401474822,0.5,0.4745011086474501,0.643609022556391,0.28947071134430974
194,0.749083165739974,0.5,0.4745011086474501,0.643609022556391,0.2964687653379008
195,0.5564789621041839,0.5,0.4745011086474501,0.643609022556391,0.28957831220275027
196,0.7066721873890927,0.5,0.4745011086474501,0.643609022556391,0.2914884827599722
197,0.7048582357348476,0.5,0.4745011086474501,0.643609022556391,0.29085903344948744
198,0.7235695413857013,0.5,0.4745011086474501,0.643609022556391,0.2872700364569141
199,0.7435230095823968,0.5,0.5254988913525499,0.0,0.29328310484694853
200,0.7292479987381205,0.5,0.4745011086474501,0.643609022556391,0.29207618993630685
