geometry_angstrom,method,k,captured_probability_mass,absolute_energy_error_hartree,reaches_chemical_accuracy,selected_fraction_of_sector,determinant_reduction_fraction,dense_subspace_dimension,dense_subspace_elements,full_sector_dense_elements,dense_element_reduction_fraction
1.5,REAL,2,0.8559369023872634,0.12262947796577883,False,0.05555555555555555,0.9444444444444444,2,4,1296,0.9969135802469136
1.5,REAL,4,0.9174323213141788,0.05469293726740476,False,0.1111111111111111,0.8888888888888888,4,16,1296,0.9876543209876543
1.5,REAL,8,0.9628448693570406,0.03377238149073758,False,0.2222222222222222,0.7777777777777778,8,64,1296,0.9506172839506173
1.5,REAL,12,0.9880826545055476,0.01435751158996501,False,0.3333333333333333,0.6666666666666667,12,144,1296,0.8888888888888888
1.5,REAL,16,0.9881070889272136,0.014326408973013738,False,0.4444444444444444,0.5555555555555556,16,256,1296,0.8024691358024691
1.5,EN2,2,0.8559369023872634,0.12262947796577883,False,0.05555555555555555,0.9444444444444444,2,4,1296,0.9969135802469136
1.5,EN2,4,0.9174323213141788,0.05469293726740476,False,0.1111111111111111,0.8888888888888888,4,16,1296,0.9876543209876543
1.5,EN2,8,0.9674685612075882,0.022205022391609486,False,0.2222222222222222,0.7777777777777778,8,64,1296,0.9506172839506173
1.5,EN2,12,0.9880826545055474,0.01435751158996501,False,0.3333333333333333,0.6666666666666667,12,144,1296,0.8888888888888888
1.5,EN2,16,0.9881070889272136,0.014326408973013738,False,0.4444444444444444,0.5555555555555556,16,256,1296,0.8024691358024691
1.75,REAL,2,0.7472168228437248,0.18371661109460602,False,0.05555555555555555,0.9444444444444444,2,4,1296,0.9969135802469136
1.75,REAL,4,0.8466304658643315,0.07976468191926855,False,0.1111111111111111,0.8888888888888888,4,16,1296,0.9876543209876543
1.75,REAL,8,0.9168087207086189,0.06069520475175816,False,0.2222222222222222,0.7777777777777778,8,64,1296,0.9506172839506173
1.75,REAL,12,0.9650654191122027,0.031327587564439874,False,0.3333333333333333,0.6666666666666667,12,144,1296,0.8888888888888888
1.75,REAL,16,0.9653481786716743,0.030977959101448516,False,0.4444444444444444,0.5555555555555556,16,256,1296,0.8024691358024691
1.75,EN2,2,0.7472168228437248,0.18371661109460602,False,0.05555555555555555,0.9444444444444444,2,4,1296,0.9969135802469136
1.75,EN2,4,0.8466304658643315,0.07976468191926855,False,0.1111111111111111,0.8888888888888888,4,16,1296,0.9876543209876543
1.75,EN2,8,0.9315310445464681,0.03688601528325863,False,0.2222222222222222,0.7777777777777778,8,64,1296,0.9506172839506173
1.75,EN2,12,0.9650654191122028,0.031327587564439874,False,0.3333333333333333,0.6666666666666667,12,144,1296,0.8888888888888888
1.75,EN2,16,0.9653481786716743,0.03097795910144585,False,0.4444444444444444,0.5555555555555556,16,256,1296,0.8024691358024691
2.0,REAL,2,0.633036891736981,0.25013979860609314,False,0.05555555555555555,0.9444444444444444,2,4,1296,0.9969135802469136
2.0,REAL,4,0.7632938655664414,0.10905993876387043,False,0.1111111111111111,0.8888888888888888,4,16,1296,0.9876543209876543
2.0,REAL,8,0.8534769584472047,0.09367268556880637,False,0.2222222222222222,0.7777777777777778,8,64,1296,0.9506172839506173
2.0,REAL,12,0.9279201413719362,0.050291765466877525,False,0.3333333333333333,0.6666666666666667,12,144,1296,0.8888888888888888
2.0,REAL,16,0.9286249446047075,0.04314366751365695,False,0.4444444444444444,0.5555555555555556,16,256,1296,0.8024691358024691
2.0,EN2,2,0.633036891736981,0.25013979860609314,False,0.05555555555555555,0.9444444444444444,2,4,1296,0.9969135802469136
2.0,EN2,4,0.7632938655664414,0.10905993876387043,False,0.1111111111111111,0.8888888888888888,4,16,1296,0.9876543209876543
2.0,EN2,8,0.8838155307056043,0.0518017208346615,False,0.2222222222222222,0.7777777777777778,8,64,1296,0.9506172839506173
2.0,EN2,12,0.9279201413719362,0.05029176546687797,False,0.3333333333333333,0.6666666666666667,12,144,1296,0.8888888888888888
2.0,EN2,16,0.9286249446047075,0.04314366751365695,False,0.4444444444444444,0.5555555555555556,16,256,1296,0.8024691358024691
2.5,REAL,2,0.47369528110172077,0.3654619101993659,False,0.05555555555555555,0.9444444444444444,2,4,1296,0.9969135802469136
2.5,REAL,4,0.6288443373787778,0.16520146490922105,False,0.1111111111111111,0.8888888888888888,4,16,1296,0.9876543209876543
2.5,REAL,8,0.7381961395082449,0.09865234374870546,False,0.2222222222222222,0.7777777777777778,8,64,1296,0.9506172839506173
2.5,REAL,12,0.8498072622812315,0.01047563151326747,False,0.3333333333333333,0.6666666666666667,12,144,1296,0.8888888888888888
2.5,REAL,16,0.8507432077220859,0.010475631513264805,False,0.4444444444444444,0.5555555555555556,16,256,1296,0.8024691358024691
2.5,EN2,2,0.47369528110172077,0.3654619101993659,False,0.05555555555555555,0.9444444444444444,2,4,1296,0.9969135802469136
2.5,EN2,4,0.6288443373787778,0.16520146490922105,False,0.1111111111111111,0.8888888888888888,4,16,1296,0.9876543209876543
2.5,EN2,8,0.7381961395082449,0.0986523437487059,False,0.2222222222222222,0.7777777777777778,8,64,1296,0.9506172839506173
2.5,EN2,12,0.8498072622812315,0.010475631513266581,False,0.3333333333333333,0.6666666666666667,12,144,1296,0.8888888888888888
2.5,EN2,16,0.8507432077220859,0.010475631513265693,False,0.4444444444444444,0.5555555555555556,16,256,1296,0.8024691358024691
3.0,REAL,2,0.4023023518644965,0.43990254629570247,False,0.05555555555555555,0.9444444444444444,2,4,1296,0.9969135802469136
3.0,REAL,4,0.4850840022919847,0.3238843077524569,False,0.1111111111111111,0.8888888888888888,4,16,1296,0.9876543209876543
3.0,REAL,8,0.773464745292027,0.07228520692419016,False,0.2222222222222222,0.7777777777777778,8,64,1296,0.9506172839506173
3.0,REAL,12,0.801517805918929,0.0016458836291022294,False,0.3333333333333333,0.6666666666666667,12,144,1296,0.8888888888888888
3.0,REAL,16,0.8020452804701079,0.0016458836291022294,False,0.4444444444444444,0.5555555555555556,16,256,1296,0.8024691358024691
3.0,EN2,2,0.4023023518644965,0.43990254629570247,False,0.05555555555555555,0.9444444444444444,2,4,1296,0.9969135802469136
3.0,EN2,4,0.5595156808221267,0.20407835057894452,False,0.1111111111111111,0.8888888888888888,4,16,1296,0.9876543209876543
3.0,EN2,8,0.6743484642193478,0.07975739748714483,False,0.2222222222222222,0.7777777777777778,8,64,1296,0.9506172839506173
3.0,EN2,12,0.8015178059189291,0.0016458836291035617,False,0.3333333333333333,0.6666666666666667,12,144,1296,0.8888888888888888
3.0,EN2,16,0.8020452804701079,0.0016458836291026735,False,0.4444444444444444,0.5555555555555556,16,256,1296,0.8024691358024691
