null_rep,external_roc_auc,external_balanced_accuracy,external_accuracy,external_f1,training_spectral_topP_abs_fraction
83,0.7090007087172218,0.6778171509567683,0.6785714285714286,0.6538461538461539,0.31875916718588204
84,0.8436569808646349,0.7793763288447909,0.7797619047619048,0.7701863354037267,0.31342381910385875
85,0.8362863217576187,0.7493975903614458,0.75,0.7341772151898734,0.31160421124715315
86,0.7808646350106307,0.726293408929837,0.7261904761904762,0.7261904761904762,0.3072041588126497
87,0.8177179305457122,0.7030474840538625,0.7023809523809523,0.7159090909090909,0.31190341478126743
88,0.822537207654146,0.7493975903614458,0.75,0.7341772151898734,0.31434289383574865
89,0.7768958185683911,0.7195605953224664,0.7202380952380952,0.7006369426751592,0.31763252329387703
90,0.8785258681785968,0.7912827781715095,0.7916666666666666,0.782608695652174,0.3145162898192692
91,0.8286321757618711,0.7443656980864635,0.7440476190476191,0.7485380116959064,0.30842760443583656
92,0.8817859673990078,0.7978738483345145,0.7976190476190477,0.8,0.3212340663535491
93,0.8554216867469879,0.7737774627923459,0.7738095238095238,0.7710843373493976,0.31065942460046836
94,0.7639971651311127,0.6788093550673282,0.6785714285714286,0.6823529411764706,0.3240762336838554
95,0.6928419560595322,0.642239546420978,0.6428571428571429,0.620253164556962,0.30492255554430253
96,0.8082211197732104,0.7485471296952516,0.75,0.7123287671232876,0.3066674169890102
97,0.8456413890857548,0.7381998582565557,0.7380952380952381,0.7380952380952381,0.3103277040654266
98,0.6508858965272856,0.6066619418851878,0.6071428571428571,0.5875,0.3203708138949345
99,0.7604535790219703,0.6732104890148831,0.6726190476190477,0.6857142857142857,0.30506822924997196
100,0.7610205527994329,0.6485471296952516,0.6488095238095238,0.6380368098159509,0.3018540820549623
101,0.7231750531537917,0.6775336640680368,0.6785714285714286,0.6447368421052632,0.31250044227696533
102,0.8708717221828489,0.7611622962437987,0.7619047619047619,0.7435897435897436,0.32144050231433774
103,0.5367824238128986,0.5357902197023388,0.5357142857142857,0.5357142857142857,0.31418900109475595
104,0.8636428065201984,0.7498228206945429,0.75,0.7439024390243902,0.31278323832106814
105,0.6503189227498228,0.6014883061658398,0.6011904761904762,0.6081871345029239,0.3042257967198806
106,0.8866052445074416,0.815946137491141,0.8154761904761905,0.8208092485549133,0.3108905262949604
107,0.827214741318214,0.7498228206945429,0.75,0.7439024390243902,0.3194585113696836
108,0.7936215450035436,0.7086463501063076,0.7083333333333334,0.7134502923976608,0.3146759337404542
109,0.736640680368533,0.6601700921332389,0.6607142857142857,0.6415094339622641,0.30882570994517095
110,0.8489014883061659,0.7862508858965274,0.7857142857142857,0.7931034482758621,0.3139464836918471
111,0.7875265768958185,0.7439404677533664,0.7440476190476191,0.7393939393939394,0.3189459067746934
112,0.7510985116938342,0.6663359319631467,0.6666666666666666,0.654320987654321,0.3134262647136579
113,0.8263642806520198,0.7317505315379164,0.7321428571428571,0.7204968944099379,0.31713680023879903
114,0.7472714386959602,0.6965981573352232,0.6964285714285714,0.6982248520710059,0.3134599340230928
115,0.7822820694542878,0.7087880935506732,0.7083333333333334,0.7167630057803468,0.299808120646726
116,0.6990786676116231,0.6842664776754075,0.6845238095238095,0.6748466257668712,0.319342928108343
117,0.7166548547129695,0.6296243798724309,0.6309523809523809,0.581081081081081,0.3125264732910433
118,0.7553508150248052,0.6776754075124025,0.6785714285714286,0.6493506493506493,0.3215809111598351
119,0.8542877391920624,0.7856839121190644,0.7857142857142857,0.7831325301204819,0.3162207148543316
120,0.7658398299078667,0.6836995038979448,0.6845238095238095,0.6580645161290323,0.307215619769219
121,0.8248051027639972,0.7374911410347271,0.7380952380952381,0.7215189873417721,0.3130704853157131
122,0.7075832742735649,0.6479801559177888,0.6488095238095238,0.6193548387096774,0.3100641881142818
123,0.8391211906449326,0.7446491849751948,0.7440476190476191,0.7542857142857143,0.31124041388883955
124,0.7418851878100637,0.6834160170092134,0.6845238095238095,0.6490066225165563,0.3102912294528391
125,0.7871013465627216,0.7376328844790929,0.7380952380952381,0.725,0.31463844040491895
126,0.8068036853295535,0.7146704464918497,0.7142857142857143,0.7209302325581395,0.31032385212120256
127,0.7353649893692418,0.6475549255846917,0.6488095238095238,0.6040268456375839,0.31306947005279534
128,0.9124025513819986,0.8513819985825656,0.8511904761904762,0.8520710059171598,0.30765881635671266
129,0.8180014174344437,0.7496810772501772,0.75,0.7407407407407407,0.3177721682393257
130,0.892983699503898,0.7928419560595322,0.7916666666666666,0.8087431693989071,0.31102217741743876
131,0.9019135364989369,0.8096385542168675,0.8095238095238095,0.8095238095238095,0.3109423892143844
132,0.8992204110559886,0.8462083628632175,0.8452380952380952,0.8555555555555555,0.30909725456777887
