fold,repeat,fold_within_repeat,r,k,n_train,n_test,n_pos_train,n_pos_test,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
33,7,3,8,16,77,19,11,2,0.09728506787330317,0.20588235294117646,0.4117647058823529,0.0,0.8235294117647058
33,7,3,8,32,77,19,11,2,0.12692307692307692,0.4117647058823529,0.38235294117647056,0.0,0.7647058823529411
33,7,3,16,8,77,19,11,2,0.2111111111111111,0.6764705882352942,0.7647058823529411,1.0,0.5294117647058824
33,7,3,16,16,77,19,11,2,0.2,0.6470588235294118,0.5735294117647058,0.5,0.6470588235294118
33,7,3,16,32,77,19,11,2,0.17142857142857143,0.5294117647058824,0.4411764705882353,0.0,0.8823529411764706
34,7,4,4,8,77,19,10,3,0.8055555555555556,0.9583333333333334,0.84375,1.0,0.6875
34,7,4,4,16,77,19,10,3,0.47619047619047616,0.8541666666666666,0.7395833333333333,0.6666666666666666,0.8125
34,7,4,4,32,77,19,10,3,0.6143790849673203,0.6875,0.7395833333333333,0.6666666666666666,0.8125
34,7,4,8,8,77,19,10,3,0.48333333333333334,0.6458333333333333,0.47916666666666663,0.3333333333333333,0.625
34,7,4,8,16,77,19,10,3,0.5777777777777777,0.8125,0.5729166666666666,0.3333333333333333,0.8125
34,7,4,8,32,77,19,10,3,0.9166666666666665,0.9791666666666666,0.90625,1.0,0.8125
34,7,4,16,8,77,19,10,3,0.4564393939393939,0.5416666666666666,0.5104166666666666,0.3333333333333333,0.6875
34,7,4,16,16,77,19,10,3,0.19120879120879122,0.5,0.40625,0.0,0.8125
34,7,4,16,32,77,19,10,3,0.1994949494949495,0.5208333333333334,0.46875,0.0,0.9375
35,7,5,4,8,77,19,10,3,0.5069444444444444,0.6458333333333333,0.5416666666666666,0.3333333333333333,0.75
35,7,5,4,16,77,19,10,3,0.5333333333333333,0.6875,0.5729166666666666,0.3333333333333333,0.8125
35,7,5,4,32,77,19,10,3,0.3032679738562092,0.6041666666666666,0.6041666666666666,0.3333333333333333,0.875
35,7,5,8,8,77,19,10,3,0.41666666666666663,0.75,0.6145833333333333,0.6666666666666666,0.5625
35,7,5,8,16,77,19,10,3,0.7555555555555555,0.9375,0.90625,1.0,0.8125
35,7,5,8,32,77,19,10,3,0.3595238095238096,0.7916666666666666,0.7083333333333333,0.6666666666666666,0.75
35,7,5,16,8,77,19,10,3,0.1181077694235589,0.10416666666666666,0.3125,0.0,0.625
35,7,5,16,16,77,19,10,3,0.1866013071895425,0.375,0.47916666666666663,0.3333333333333333,0.625
35,7,5,16,32,77,19,10,3,0.4444444444444444,0.6458333333333333,0.7083333333333333,0.6666666666666666,0.75
36,8,1,4,8,76,20,10,3,0.13333333333333333,0.2549019607843137,0.4607843137254902,0.3333333333333333,0.5882352941176471
36,8,1,4,16,76,20,10,3,0.43977591036414565,0.49019607843137253,0.5784313725490196,0.3333333333333333,0.8235294117647058
36,8,1,4,32,76,20,10,3,0.4512820512820513,0.5490196078431373,0.6666666666666666,0.3333333333333333,1.0
36,8,1,8,8,76,20,10,3,0.16704863763687294,0.43137254901960786,0.38235294117647056,0.0,0.7647058823529411
36,8,1,8,16,76,20,10,3,0.11744639376218324,0.1568627450980392,0.38235294117647056,0.0,0.7647058823529411
36,8,1,8,32,76,20,10,3,0.13728766360345307,0.2549019607843137,0.4411764705882353,0.0,0.8823529411764706
36,8,1,16,8,76,20,10,3,0.14239028944911297,0.2941176470588235,0.4019607843137255,0.3333333333333333,0.47058823529411764
36,8,1,16,16,76,20,10,3,0.55,0.7647058823529411,0.5,0.0,1.0
36,8,1,16,32,76,20,10,3,0.28968253968253965,0.6862745098039216,0.47058823529411764,0.0,0.9411764705882353
37,8,2,4,8,77,19,11,2,0.45,0.8823529411764706,0.8529411764705883,1.0,0.7058823529411765
37,8,2,4,16,77,19,11,2,0.2,0.6470588235294118,0.6029411764705883,0.5,0.7058823529411765
37,8,2,4,32,77,19,11,2,0.6111111111111112,0.7941176470588236,0.5735294117647058,0.5,0.6470588235294118
37,8,2,8,8,77,19,11,2,0.5666666666666667,0.6176470588235294,0.5441176470588236,0.5,0.5882352941176471
37,8,2,8,16,77,19,11,2,0.225,0.6764705882352942,0.5147058823529411,0.5,0.5294117647058824
37,8,2,8,32,77,19,11,2,0.24285714285714285,0.7352941176470588,0.7941176470588236,1.0,0.5882352941176471
37,8,2,16,8,77,19,11,2,0.12237762237762238,0.38235294117647056,0.6764705882352942,1.0,0.35294117647058826
37,8,2,16,16,77,19,11,2,0.10989010989010989,0.2941176470588235,0.3970588235294118,0.5,0.29411764705882354
37,8,2,16,32,77,19,11,2,0.15555555555555556,0.5294117647058824,0.7647058823529411,1.0,0.5294117647058824
38,8,3,4,8,77,19,11,2,0.1736111111111111,0.5882352941176471,0.5441176470588236,0.5,0.5882352941176471
38,8,3,4,16,77,19,11,2,0.11437908496732026,0.3235294117647059,0.29411764705882354,0.0,0.5882352941176471
38,8,3,4,32,77,19,11,2,0.11212121212121212,0.3235294117647059,0.35294117647058826,0.0,0.7058823529411765
38,8,3,8,8,77,19,11,2,0.09821428571428571,0.20588235294117652,0.14705882352941177,0.0,0.29411764705882354
38,8,3,8,16,77,19,11,2,0.13392857142857142,0.4117647058823529,0.5735294117647058,0.5,0.6470588235294118
38,8,3,8,32,77,19,11,2,0.09808612440191387,0.20588235294117646,0.3235294117647059,0.0,0.6470588235294118
38,8,3,16,8,77,19,11,2,0.0900735294117647,0.11764705882352944,0.23529411764705882,0.0,0.47058823529411764
38,8,3,16,16,77,19,11,2,0.3125,0.5588235294117647,0.6323529411764706,0.5,0.7647058823529411
38,8,3,16,32,77,19,11,2,0.5714285714285714,0.6470588235294117,0.6323529411764706,0.5,0.7647058823529411
39,8,4,4,8,77,19,10,3,0.22771672771672774,0.5833333333333333,0.5104166666666666,0.3333333333333333,0.6875
39,8,4,4,16,77,19,10,3,0.26587301587301587,0.625,0.7083333333333333,0.6666666666666666,0.75
39,8,4,4,32,77,19,10,3,0.4555555555555555,0.7083333333333333,0.7083333333333333,0.6666666666666666,0.75
39,8,4,8,8,77,19,10,3,0.22692307692307695,0.5833333333333333,0.47916666666666663,0.3333333333333333,0.625
39,8,4,8,16,77,19,10,3,0.19907407407407407,0.5208333333333334,0.375,0.0,0.75
39,8,4,8,32,77,19,10,3,0.2944444444444444,0.7083333333333334,0.5416666666666666,0.3333333333333333,0.75
39,8,4,16,8,77,19,10,3,0.11530964162543109,0.08333333333333333,0.21875,0.0,0.4375
39,8,4,16,16,77,19,10,3,0.18609625668449198,0.4375,0.5416666666666666,0.3333333333333333,0.75
39,8,4,16,32,77,19,10,3,0.164021164021164,0.39583333333333337,0.375,0.0,0.75
40,8,5,4,8,77,19,10,3,0.6555555555555554,0.8333333333333333,0.6145833333333333,0.6666666666666666,0.5625
40,8,5,4,16,77,19,10,3,0.6324786324786325,0.7708333333333333,0.6458333333333333,0.6666666666666666,0.625
40,8,5,4,32,77,19,10,3,0.3366013071895425,0.6041666666666666,0.6354166666666666,0.3333333333333333,0.9375
40,8,5,8,8,77,19,10,3,0.2285714285714286,0.5625,0.5416666666666666,0.3333333333333333,0.75
40,8,5,8,16,77,19,10,3,0.8095238095238095,0.9166666666666666,0.84375,1.0,0.6875
40,8,5,8,32,77,19,10,3,0.6984126984126984,0.8958333333333334,0.84375,1.0,0.6875
40,8,5,16,8,77,19,10,3,0.1375272331154684,0.25,0.25,0.0,0.5
40,8,5,16,16,77,19,10,3,0.18009768009768012,0.4583333333333333,0.4375,0.0,0.875
40,8,5,16,32,77,19,10,3,0.16865079365079363,0.4166666666666667,0.40625,0.0,0.8125
41,9,1,4,8,76,20,10,3,0.46031746031746035,0.7450980392156863,0.6862745098039216,0.6666666666666666,0.7058823529411765
41,9,1,4,16,76,20,10,3,0.20882352941176469,0.5098039215686274,0.5784313725490196,0.3333333333333333,0.8235294117647058
41,9,1,4,32,76,20,10,3,0.2569444444444444,0.588235294117647,0.6078431372549019,0.3333333333333333,0.8823529411764706
41,9,1,8,8,76,20,10,3,0.22916666666666666,0.5098039215686274,0.4607843137254902,0.3333333333333333,0.5882352941176471
41,9,1,8,16,76,20,10,3,0.2637426900584795,0.4117647058823529,0.6078431372549019,0.3333333333333333,0.8823529411764706
41,9,1,8,32,76,20,10,3,0.16984126984126985,0.4313725490196078,0.4411764705882353,0.0,0.8823529411764706
41,9,1,16,8,76,20,10,3,0.12474747474747475,0.21568627450980393,0.23529411764705882,0.0,0.47058823529411764
41,9,1,16,16,76,20,10,3,0.20105820105820105,0.5490196078431372,0.38235294117647056,0.0,0.7647058823529411
41,9,1,16,32,76,20,10,3,0.2972582972582972,0.7058823529411765,0.4411764705882353,0.0,0.8823529411764706
42,9,2,4,8,77,19,11,2,0.2777777777777778,0.7352941176470589,0.6029411764705883,0.5,0.7058823529411765
42,9,2,4,16,77,19,11,2,0.45,0.8823529411764706,0.8823529411764706,1.0,0.7647058823529411
42,9,2,4,32,77,19,11,2,1.0,1.0,0.9117647058823529,1.0,0.8235294117647058
42,9,2,8,8,77,19,11,2,0.41666666666666663,0.8823529411764706,0.8823529411764706,1.0,0.7647058823529411
42,9,2,8,16,77,19,11,2,0.1736111111111111,0.5882352941176471,0.3235294117647059,0.0,0.6470588235294118
42,9,2,8,32,77,19,11,2,0.5833333333333333,0.9411764705882353,0.9705882352941176,1.0,0.9411764705882353
42,9,2,16,8,77,19,11,2,0.09126984126984126,0.1470588235294118,0.35294117647058826,0.0,0.7058823529411765
42,9,2,16,16,77,19,11,2,0.24285714285714285,0.7352941176470588,0.38235294117647056,0.0,0.7647058823529411
42,9,2,16,32,77,19,11,2,0.24285714285714285,0.7352941176470588,0.4411764705882353,0.0,0.8823529411764706
43,9,3,4,8,77,19,11,2,0.14090909090909093,0.47058823529411764,0.35294117647058826,0.0,0.7058823529411765
43,9,3,4,16,77,19,11,2,0.17142857142857143,0.5882352941176471,0.4117647058823529,0.0,0.8235294117647058
43,9,3,4,32,77,19,11,2,0.10049019607843138,0.23529411764705882,0.35294117647058826,0.0,0.7058823529411765
43,9,3,8,8,77,19,11,2,0.5769230769230769,0.6764705882352942,0.5735294117647058,0.5,0.6470588235294118
43,9,3,8,16,77,19,11,2,0.625,0.8235294117647058,0.6029411764705883,0.5,0.7058823529411765
43,9,3,8,32,77,19,11,2,0.23333333333333334,0.5588235294117647,0.6029411764705883,0.5,0.7058823529411765
43,9,3,16,8,77,19,11,2,0.08834586466165413,0.11764705882352944,0.23529411764705882,0.0,0.47058823529411764
43,9,3,16,16,77,19,11,2,0.10512820512820513,0.2647058823529412,0.23529411764705882,0.0,0.47058823529411764
43,9,3,16,32,77,19,11,2,0.11688311688311688,0.3529411764705882,0.4411764705882353,0.0,0.8823529411764706
44,9,4,4,8,77,19,10,3,0.4027777777777778,0.7916666666666666,0.78125,1.0,0.5625
44,9,4,4,16,77,19,10,3,0.3888888888888889,0.7916666666666666,0.6458333333333333,0.6666666666666666,0.625
44,9,4,4,32,77,19,10,3,0.4027777777777778,0.7916666666666666,0.7083333333333333,0.6666666666666666,0.75
44,9,4,8,8,77,19,10,3,0.22424242424242424,0.5833333333333334,0.40625,0.0,0.8125
44,9,4,8,16,77,19,10,3,0.3075757575757576,0.7083333333333333,0.5729166666666666,0.3333333333333333,0.8125
44,9,4,8,32,77,19,10,3,0.5833333333333333,0.7708333333333333,0.7708333333333333,0.6666666666666666,0.875
44,9,4,16,8,77,19,10,3,0.2297979797979798,0.6041666666666667,0.6145833333333333,0.6666666666666666,0.5625
44,9,4,16,16,77,19,10,3,0.5166666666666666,0.7291666666666666,0.5416666666666666,0.3333333333333333,0.75
44,9,4,16,32,77,19,10,3,0.33535353535353535,0.7291666666666666,0.46875,0.0,0.9375
45,9,5,4,8,77,19,10,3,0.6984126984126984,0.8958333333333334,0.7083333333333333,0.6666666666666666,0.75
45,9,5,4,16,77,19,10,3,0.7,0.9166666666666666,0.90625,1.0,0.8125
45,9,5,4,32,77,19,10,3,0.6805555555555556,0.875,0.6770833333333333,0.6666666666666666,0.6875
45,9,5,8,8,77,19,10,3,0.13992673992673993,0.25,0.21875,0.0,0.4375
45,9,5,8,16,77,19,10,3,0.14572649572649574,0.2916666666666667,0.25,0.0,0.5
45,9,5,8,32,77,19,10,3,0.13788335847159378,0.25,0.34375,0.0,0.6875
45,9,5,16,8,77,19,10,3,0.15132275132275133,0.3333333333333333,0.28125,0.0,0.5625
45,9,5,16,16,77,19,10,3,0.1366013071895425,0.25,0.25,0.0,0.5
45,9,5,16,32,77,19,10,3,0.1737012987012987,0.4375,0.34375,0.0,0.6875
46,10,1,4,8,76,20,10,3,0.38888888888888884,0.6470588235294118,0.6568627450980392,0.6666666666666666,0.6470588235294118
46,10,1,4,16,76,20,10,3,0.8095238095238095,0.9215686274509803,0.8235294117647058,1.0,0.6470588235294118
46,10,1,4,32,76,20,10,3,0.7666666666666666,0.8627450980392157,0.7745098039215685,0.6666666666666666,0.8823529411764706
46,10,1,8,8,76,20,10,3,0.21428571428571427,0.4313725490196078,0.43137254901960786,0.3333333333333333,0.5294117647058824
46,10,1,8,16,76,20,10,3,0.3176638176638177,0.6470588235294117,0.4901960784313726,0.3333333333333333,0.6470588235294118
46,10,1,8,32,76,20,10,3,0.3686868686868687,0.7647058823529411,0.7745098039215685,0.6666666666666666,0.8823529411764706
46,10,1,16,8,76,20,10,3,0.13472222222222222,0.27450980392156865,0.23529411764705882,0.0,0.47058823529411764
46,10,1,16,16,76,20,10,3,0.20787545787545786,0.5686274509803921,0.3235294117647059,0.0,0.6470588235294118
46,10,1,16,32,76,20,10,3,0.23382173382173382,0.5294117647058822,0.5196078431372549,0.3333333333333333,0.7058823529411765
47,10,2,4,8,77,19,11,2,0.26666666666666666,0.7058823529411764,0.5735294117647058,0.5,0.6470588235294118
47,10,2,4,16,77,19,11,2,0.18333333333333335,0.5882352941176471,0.6029411764705883,0.5,0.7058823529411765
47,10,2,4,32,77,19,11,2,0.1625,0.47058823529411764,0.38235294117647056,0.0,0.7647058823529411
47,10,2,8,8,77,19,11,2,0.16666666666666666,0.5588235294117647,0.5441176470588236,0.5,0.5882352941176471
47,10,2,8,16,77,19,11,2,0.16233766233766234,0.5588235294117647,0.35294117647058826,0.0,0.7058823529411765
47,10,2,8,32,77,19,11,2,0.2111111111111111,0.6764705882352942,0.38235294117647056,0.0,0.7647058823529411
47,10,2,16,8,77,19,11,2,0.12142857142857143,0.38235294117647056,0.35294117647058826,0.0,0.7058823529411765
47,10,2,16,16,77,19,11,2,0.5,0.9117647058823529,0.8235294117647058,1.0,0.6470588235294118
47,10,2,16,32,77,19,11,2,0.26666666666666666,0.7647058823529411,0.4117647058823529,0.0,0.8235294117647058
48,10,3,4,8,77,19,11,2,0.11858974358974358,0.3529411764705882,0.2647058823529412,0.0,0.5294117647058824
48,10,3,4,16,77,19,11,2,0.12142857142857143,0.38235294117647056,0.4411764705882353,0.0,0.8823529411764706
48,10,3,4,32,77,19,11,2,0.17692307692307693,0.5588235294117647,0.4411764705882353,0.0,0.8823529411764706
48,10,3,8,8,77,19,11,2,0.7,0.9117647058823529,0.8235294117647058,1.0,0.6470588235294118
48,10,3,8,16,77,19,11,2,0.75,0.9411764705882353,0.6911764705882353,0.5,0.8823529411764706
48,10,3,8,32,77,19,11,2,0.6111111111111112,0.7941176470588236,0.7205882352941176,0.5,0.9411764705882353
48,10,3,16,8,77,19,11,2,0.08204334365325078,0.02941176470588236,0.29411764705882354,0.0,0.5882352941176471
48,10,3,16,16,77,19,11,2,0.5833333333333334,0.7058823529411764,0.6911764705882353,0.5,0.8823529411764706
48,10,3,16,32,77,19,11,2,0.8333333333333333,0.9705882352941176,0.5,0.0,1.0
49,10,4,4,8,77,19,10,3,0.6428571428571428,0.875,0.875,1.0,0.75
49,10,4,4,16,77,19,10,3,0.5873015873015872,0.8333333333333334,0.5729166666666666,0.3333333333333333,0.8125
49,10,4,4,32,77,19,10,3,0.8666666666666667,0.9583333333333334,0.9375,1.0,0.875
49,10,4,8,8,77,19,10,3,0.3492063492063492,0.6666666666666666,0.6041666666666666,0.3333333333333333,0.875
49,10,4,8,16,77,19,10,3,0.5555555555555556,0.8958333333333334,0.90625,1.0,0.8125
49,10,4,8,32,77,19,10,3,0.8666666666666667,0.9583333333333334,0.90625,1.0,0.8125
49,10,4,16,8,77,19,10,3,0.27609427609427606,0.6458333333333333,0.6041666666666666,0.3333333333333333,0.875
49,10,4,16,16,77,19,10,3,0.2216931216931217,0.5833333333333334,0.375,0.0,0.75
49,10,4,16,32,77,19,10,3,0.33730158730158727,0.7708333333333334,0.40625,0.0,0.8125
50,10,5,4,8,77,19,10,3,0.1962962962962963,0.5,0.5104166666666666,0.3333333333333333,0.6875
50,10,5,4,16,77,19,10,3,0.2785714285714286,0.6875,0.5729166666666666,0.3333333333333333,0.8125
