fold,repeat,fold_within_repeat,real_pr_auc,real_roc_auc,real_panel
23,5,3,1.0,1.0,VWF|TNFSF10|MPL|RBPMS2|ESAM|MS4A2|SERPINE2|FGL2|GJB6|GIMAP4|MAFB|ITGA2B|CLEC1B|TSPAN33|PROS1|HIST1H4E|PRAGMIN|GP9|SLC45A3|IL8RB|SNORD3A|ITGB3|SNORD3C|HBEGF|HIST2H3A|XIST|HOXA5|VCAN|CLDN5|NAT8B|TGFBI|HIST1H2AH
24,5,4,0.31313131313131315,0.7083333333333333,VWF|RBPMS2|ESAM|ITGA2B|TNFSF10|SERPINE2|CLEC1B|FGL2|TSPAN33|GP9|GJB6|CX3CR1|GIMAP4|MAFB|ADM|GADD45B|IL8RB|PHACTR1|KLHL15|RNU5A|GIMAP8|MGC13057|HIST1H4E|ITGB3|CD83|C1orf186|PRAGMIN|RNU4-1|SNORD3A|SNORD3C|RNU11|IFIT2
25,5,5,0.46031746031746035,0.7291666666666666,VWF|MAFB|LTF|MPL|ESAM|RBPMS2|SPTA1|KIAA0367|CLEC1B|HIST1H4E|MX1|LILRA3|PROS1|VCAN|TGFBI|ITGA2B|LOC100133875|HBM|ITGB3|ABCA13|MGC13057|RHAG|OLR1|CA1|GYPB|HIST1H1E|HIST1H2AM|RNU1F1|LOC100133583|HIST1H2BG|CEACAM1|PGLYRP1
26,6,1,0.23095238095238094,0.6274509803921569,VWF|RBPMS2|DEFB1|XIST|CDC20|ESAM|PRKY|GP9|PPBP|HIST1H1E|RPS4Y2|RPS4Y1|NEU4|LOC100133662|HOXA5|HIST2H3A|MAFB|CLEC1B|TMEM176A|HIST1H4E|EIF1AY|GAPDHL6|HIST1H1B|LILRA3|CYorf15A|JARID1D|HIST1H1D|CEP55|RNU1F1|LOC100133875|HIST1H2AH|IL8RB
27,6,2,0.45,0.8823529411764706,VWF|MPL|RBPMS2|ESAM|MX1|SERPINE2|FGL2|TNFSF10|TSPAN33|ITGA2B|CLEC1B|GP9|PROS1|IL8RB|MS4A2|MAFB|IFIT3|XIST|IFIT2|CAMP|LTF|DEFA4|CYorf15B|CEACAM8|PPBP|HIST1H4E|TCN1|LOC728835|CEACAM6|HOXA5|GIMAP4|MGC13057
28,6,3,0.225,0.6764705882352942,TNFSF10|VWF|MPL|MS4A2|RBPMS2|FGL2|ESAM|SLC45A3|IFIT3|SNORD3C|GIMAP4|SERPINE2|SNORD3A|ITGA2B|CLEC1B|HIST1H1B|GATA2|HIST1H2BG|IFI27|GP9|MGC13057|TSPAN33|HIST1H1E|HIST1H2AH|SNORD3D|RNU11|MAFB|CX3CR1|RNU4-1|PROS1|KIAA0367|IL8RB
29,6,4,0.7,0.9166666666666666,VWF|ESAM|RBPMS2|VCAN|ITGB3|MAFB|CLEC1B|TGFBI|SPTA1|SERPINE2|ITGA2B|HIST1H4E|TNFSF10|KIAA0367|HIST2H3A|FGL2|HIST1H1E|TSPAN9|HBM|HIST1H2AH|HIST1H2AM|TSPAN33|CA1|IL8RB|HIST1H1B|MGC13057|SNORD3C|RHAG|RRM2|RNU1F1|HIST2H3C|RNU1A3
30,6,5,0.31666666666666665,0.6041666666666666,MMRN1|GIMAP4|VWF|GJB6|PHACTR1|TNFSF10|MPL|MAFB|CLEC1B|ESAM|THBS1|HIST1H2AM|RBPMS2|ITGA2B|DDIT4|C15orf48|CX3CR1|PRAGMIN|PROS1|HIST1H4E|LOC100133875|GADD45B|HIST2H3A|CXCL2|HIST2H3C|ADM|MS4A2|C1orf186|SNORD3C|LOC653610|LOC100133583|LILRA3
31,7,1,0.3833333333333333,0.7450980392156863,VWF|ESAM|MPL|TNFSF10|FGL2|ITGA2B|RBPMS2|PROS1|CLEC1B|MS4A2|TSPAN33|SLC45A3|SERPINE2|ITGB3|GP9|C1orf186|MAFB|GIMAP4|HIST1H4E|PRAGMIN|GIMAP8|SNORD3A|SNORD3C|HIST1H2AH|C16orf75|CX3CR1|HIST1H2AM|MGC13057|HIST2H3A|VCAN|KIAA0367|MX1
32,7,2,0.16025641025641024,0.5294117647058824,VWF|MPL|SERPINE2|RBPMS2|MX1|MS4A2|ESAM|C1orf186|HIST1H4E|TNFSF10|HIST1H2AH|FGL2|ITGA2B|MAFB|TSPAN33|CLEC1B|HIST1H1B|HIST1H2BG|IL8RB|HOXA5|DEFA4|LOC728835|HIST1H1E|GP9|GIMAP4|SNORD3C|CSF1R|HIST2H3A|PROS1|SLC45A3|HBM|CCL4L1
