geometry_angstrom,eigenpair_index,softspaces_dual_pass,softspaces_prominence_rate,softspaces_robust_rate,gap_hartree,en2_weighted_score,en2_top2_support,en2_top4_support,en2_top8_support,en2_top12_support,en2_top16_support
1.0,24,False,0.0,0.0,0.0010509508273610635,0.00036261140122334994,3.818109863319188e-31,0.025803528685894722,0.05350462041469385,0.05670080874040597,0.05908922295083875
1.0,25,False,0.0,0.0,0.04102809871363933,0.00036261140122335016,3.3684677194980534e-31,0.02580352868589474,0.05350462041469389,0.05670080874040601,0.05937035272539108
1.0,26,False,0.0,0.0,0.03863668203515713,0.0018911659406665884,0.006437772288462399,0.00669197545691572,0.3613236333470525,0.4384782504860998,0.4396661819250791
1.0,27,False,0.0,0.0,0.09184410847295732,0.0029660596651362547,0.008550761563533116,0.017195690253442024,0.5386845829079228,0.6312498087555924,0.633711527768626
1.0,28,False,0.0,0.0,0.2311776299447903,0.0011339180653420745,0.002112989275070725,0.014285071034978763,0.186769294612539,0.20437840191819012,0.20629146559823258
1.0,29,False,0.0,0.0,0.06317916940372204,5.902434087240635e-05,1.0532699423671313e-31,0.0037813562384524527,0.009408345051668356,0.011606843648697011,0.012032890002345455
1.0,30,True,0.75,0.75,0.04178649459028616,6.54878704734749e-33,6.75327791691615e-33,4.205380526489173e-31,8.6253007820115e-31,1.4590388259242076e-30,0.0002313052591298026
1.0,31,False,0.0,0.0,0.00042247382613647133,0.000761138751486675,0.0020553821593966965,0.010087158944988028,0.13748306864268897,0.15215080726488345,0.15983431065025772
1.0,32,False,0.0,0.0,0.2708550045897513,0.001813886535958068,0.006103532075034969,0.04651545492296837,0.323920584423749,0.36301579203931944,0.3766195081991484
1.0,33,False,0.0,0.0,0.13299896368735853,0.001052747784471394,0.004048149915638275,0.03642829597798036,0.18643751578106016,0.2108649847744361,0.21799740524387107
1.0,34,False,0.0,0.0,0.09712016700433157,0.0005381453440722228,0.004036792209511516,0.01121450494612993,0.09162623477128194,0.09580036889569854,0.09713524507124427
1.25,0,False,0.0,0.0,0.13263661846999408,0.0014640087619555966,0.46586904282742814,0.4767520097938071,0.4934940198005495,0.4985579585005379,0.7119729663152172
1.25,1,False,0.0,0.0,0.13087474503500784,0.00021224437578065052,4.192985329332677e-30,0.008979986542004343,0.018030826815839836,0.1802859188921181,0.6921549444094515
1.25,2,False,0.0,0.0,0.0491117418947824,0.007187205684940958,0.17051246660798197,0.24301993785182346,0.2939593446606852,0.5535506790481952,0.9754996926246216
1.25,3,False,0.0,0.0,0.10514897886160934,0.006974961309160306,0.17051246660798192,0.23403995130981906,0.27592851784484523,0.37326476015607685,0.4973073696632775
1.25,4,False,0.0,0.0,0.05915136528043341,3.357328921994129e-31,3.1213531449206988e-30,1.0561074058126133e-29,2.259795211932434e-29,4.285574129912409e-29,0.23797185140021113
1.25,5,False,0.0,0.0,0.03680976614455167,0.0030159183823681686,4.933865555520583e-31,0.08333333333333345,0.25000000000000033,0.5,0.7374106550739674
1.25,6,False,0.0,0.0,0.12967691416988902,0.003160712818721239,4.353930271344982e-31,0.0859273411842347,0.2619035936914088,0.6073069050555766,0.9932921457663777
1.25,7,False,0.0,0.0,0.01306957407356002,0.004116172837443775,0.12060151711124086,0.13176442234475694,0.16265007644568136,0.4067772120843939,0.9746692643877714
1.25,8,False,0.0,0.0,0.09532888660833727,0.007853227553545962,0.2360342386291055,0.26203517390353837,0.3273482528479341,0.4955577945580509,0.9569380136673664
1.25,9,False,0.0,0.0,0.027581511840465645,0.0038818491524552595,0.11543272151786471,0.13286475940968276,0.17660177009366126,0.1960874875292335,0.4910559579226454
1.25,10,False,0.0,0.0,0.008156130036746312,4.266869645293055e-32,2.0112281478564233e-31,1.160647255888926e-30,4.192174023695178e-30,8.382643501114468e-30,0.01889007245339361
1.25,11,False,0.0,0.0,0.06688357138060708,6.009986636715853e-32,3.6787671759707274e-31,2.789847525781543e-30,4.429706987219894e-30,7.099680596109426e-30,0.021993694114769608
1.25,12,False,0.0,0.0,9.22330946551142e-06,6.488261740533959e-32,3.551708945493685e-31,3.0527519857426692e-30,5.3024047548665554e-30,8.321353948389522e-30,0.01876094480680981
1.25,13,False,0.0,0.0,0.045068199908041784,0.004147517488512044,0.03169099595086555,0.247448351880764,0.29670985420614177,0.3825117744512053,0.4718006815650291
1.25,14,False,0.0,0.0,0.06806434117559279,0.00521533393488937,0.03169099595086554,0.24744915968668957,0.3326946105812577,0.8783978026650997,0.9704779298893249
1.25,15,True,0.75,0.9166666666666666,0.038939632722090334,0.005195102812842035,4.4935344290404e-31,0.1753506597274716,0.38726351016399313,0.8523128976812536,0.8966773106230201
1.25,16,False,0.0,0.0,0.04716313120793281,0.004127286366464706,1.037786813646766e-31,0.1753498519215459,0.35127875378887696,0.35642686946735863,0.3984689340659492
1.25,17,True,0.9166666666666666,1.0,0.019337231140156064,2.145483770933586e-30,6.624257931548627e-31,9.396903771484028e-30,2.1818994477097345e-28,4.780753359103324e-28,0.006750331943665981
1.25,18,False,0.0,0.0,0.027919531658345154,0.0019969398294848455,8.47193852709385e-31,0.001819872566527984,0.20406149439307578,0.4732086892264258,0.4967642620204323
1.25,19,False,0.0,0.0,0.07598105545561662,0.006908596179530062,0.05996415073522992,0.15998362531252303,0.5315286826508595,0.9262288008121273,0.949174936022529
1.25,20,False,0.0,0.0,0.041991565162665445,0.009292579641507419,0.06847779456290694,0.3075304217945662,0.7079211346015544,0.8582888671479166,0.8992252195098673
1.25,21,False,0.0,0.0,0.010224108110072017,0.0043809232914622034,0.00851364382767706,0.14936666904857127,0.38045394634377083,0.4052687555622153,0.44142893499957736
1.25,22,False,0.0,0.0,0.04787864281636667,3.010192031288101e-29,6.112555404401479e-29,9.950054447825969e-28,2.6064517150861188e-27,2.7950105069126915e-27,0.0012717472484459274
1.25,23,False,0.0,0.0,0.04882344886712664,0.0013621876270265823,3.689762000440174e-31,0.057238564056580184,0.11614061252935445,0.11923508592151436,0.12306066857643598
1.25,24,False,0.0,0.0,0.007090225166503039,0.0013621876270265823,9.261917942389695e-32,0.057238564056580184,0.11614061252935445,0.11923508592151436,0.12291301757839665
1.25,25,False,0.0,0.0,0.02801912744163504,1.4840604940953489e-30,1.9882454387342708e-31,5.936863680910404e-29,1.2565068989251737e-28,1.3136429203463612e-28,0.0006647542403236923
1.25,26,False,0.0,0.0,0.03751118932746067,0.0021464185035262426,0.0019811965657514545,0.004561369445437608,0.25732481795668427,0.3595209519349062,0.3610615898763616
1.25,27,False,0.0,0.0,0.14343086972437114,0.0043307117882989115,0.006482783710042109,0.04060136445123033,0.45758075356256467,0.6327581289953014,0.6364945262692915
1.25,28,False,0.0,0.0,0.052228995341995876,0.0023207793536980516,0.004501587144290653,0.04005690426230719,0.21285589801220817,0.2908876802835096,0.293816635265119
1.25,29,False,0.0,0.0,0.05119713512787394,0.00013648606892538263,5.836287186468773e-31,0.004016909256514469,0.012599962406327849,0.017650503223114514,0.018297854333774753
1.25,30,False,0.0,0.0,0.0892575894901606,6.235820323189282e-32,4.236106490778705e-31,2.350950558098418e-30,4.4766202823216516e-30,9.79286625928711e-30,0.0002798297673422164
1.25,31,False,0.0,0.0,0.03982628492407647,0.000621788615163196,0.001119515628820441,0.00378723301714052,0.06080805366363185,0.07715464578709379,0.0983743238216554
1.25,32,False,0.0,0.0,0.19115648579097044,0.001597628010407361,0.002765482567944671,0.03590944078839894,0.1485298685177672,0.18641388307505613,0.2138533244135092
1.25,33,False,0.0,0.0,0.17832416834030518,0.000975839395244164,0.001645966939124228,0.0321222077712584,0.08772181485413526,0.10925923728796223,0.11757947052615075
1.25,34,False,0.0,0.0,0.008255306205086965,0.003127205139533835,0.01816719514372461,0.06234995274454244,0.2924875986186426,0.32264683311585146,0.3285418233312538
1.5,0,False,0.0,0.0,0.0705918115829065,0.0036306347334875556,0.4279684511936316,0.4587161606570892,0.48373428060379386,0.4940413272527735,0.6794513505342988
1.5,1,False,0.0,0.0,0.07265546469332973,0.0005512062285329429,2.3265398033166273e-30,0.028115392421169748,0.02813167944396195,0.15497377309787091,0.6358983358835413
1.5,2,False,0.0,0.0,0.031188503855581917,0.010166768938978898,0.14491682263619138,0.17351161944532806,0.33323429839329016,0.5501921754918008,0.9428381731351752
1.5,3,False,0.0,0.0,0.04805420501479274,0.009615562710445948,0.1449168226361913,0.1453962270241582,0.305102618949328,0.3952184023939294,0.49286645162013004
1.5,4,False,0.0,0.0,0.041696664290705066,0.005166993327854245,3.333019789045775e-30,0.1666666666666668,0.2500000000000004,0.5000000000000002,0.5005288082978046
1.5,5,False,0.0,0.0,0.19335613911751137,0.005166993327854246,3.749271098503908e-30,0.1666666666666668,0.2500000000000004,0.5000000000000002,0.7283457865390215
1.5,6,False,0.0,0.0,0.08046878481819064,0.0003256358450400312,6.305255464358993e-31,0.0033262652542799024,0.014985532961312222,0.14705726742025327,0.7207703463490381
1.5,7,False,0.0,0.0,0.027294291841716944,0.003854595289329415,0.08483007288977172,0.10876525528576829,0.14243395369267148,0.43187529034346556,0.9568559767864195
1.5,8,False,0.0,0.0,0.050277955963704546,0.008453735484300772,0.21022523846594993,0.27338295374397614,0.3225916884568223,0.49867062601963597,0.9165657300169541
1.5,9,False,0.0,0.0,0.02099089733249837,0.004924776040011379,0.12539516557617802,0.16794396371248754,0.19514326772546275,0.21385260309642326,0.48154658915793597
1.5,10,False,0.0,0.0,0.007977893643479561,2.082331954928398e-31,3.1253763225999867e-32,6.509675686045493e-30,8.870577257655377e-30,3.7883216960742005e-29,0.03362959016054748
1.5,11,True,0.8333333333333334,0.8333333333333334,0.01712654477637532,1.2308648859631853e-31,3.193999069845935e-32,3.889938144715118e-30,6.2697219492316025e-30,1.7703078824717567e-29,0.03592843361967545
1.5,12,False,0.0,0.0,0.018630041522821994,1.958250395115547e-31,6.054254640877385e-32,7.177707494302004e-30,8.622936871968926e-30,2.2366848447818465e-29,0.03172976992996712
1.5,13,True,0.75,0.75,0.02785944657487116,0.005425045973414653,0.06040023217276791,0.06040132961038158,0.24549000615442568,0.32418633619444476,0.44801479118380216
1.5,14,True,0.75,0.9166666666666666,0.03203808624733018,0.007044923299916686,0.06040023217276791,0.06649608079245713,0.28890126804919997,0.8176420888452497,0.944132838982193
1.5,15,True,0.8333333333333334,0.9166666666666666,0.020055593314662445,0.006586913690350957,4.313995554911644e-30,0.25876132073907787,0.29625364764001566,0.7630442510782186,0.8387218425676141
1.5,16,False,0.0,0.0,0.024026237668639094,0.004967036363848924,2.0399522800233427e-30,0.2526665695570023,0.2528423857452413,0.26958849842741356,0.3446315055072612
1.5,17,False,0.0,0.0,0.06791989140090404,8.57990043616164e-31,4.0280587049817543e-32,2.0299362873942926e-29,4.3305547703062656e-29,8.553709990717664e-29,0.013053690322777114
1.5,18,False,0.0,0.0,0.012896116040403527,0.0037749529203095354,4.22758350222876e-30,0.001747884563537212,0.19278955114385377,0.45535028821992557,0.49599515644953507
1.5,19,False,0.0,0.0,0.04921917132191478,0.012652904806560072,0.11274910639114417,0.18538244064687448,0.5498076070130953,0.8606015727223536,0.9166104675726843
1.5,20,False,0.0,0.0,0.01777559234431214,0.008877951886250532,0.11274910639114413,0.1836345560833372,0.35701805586924157,0.4052512845024283,0.4321529589649396
1.5,21,False,0.0,0.0,0.01825054504784962,0.007260552242859983,0.0009921557522691471,0.002114466382856036,0.4144818500379247,0.42291698355728985,0.4450369057478426
1.5,22,True,0.75,0.75,0.030300318392190828,0.007260552242859983,0.0009921557522691471,0.002114466382856036,0.4144818500379247,0.42291698355728985,0.44494258867548525
1.5,23,False,0.0,0.0,0.015549300959853962,1.8322847602119185e-28,1.8222879821155186e-32,9.316361101028363e-27,9.355543584387861e-27,9.441174770543527e-27,0.0006597490675759784
1.5,24,False,0.0,0.0,0.001095221855777151,0.003956390634518962,6.092198507494516e-31,0.2012064767502387,0.20194349385903995,0.20409031487274398,0.20764687465889312
1.5,25,False,0.0,0.0,0.06419381423785353,0.003956390634518964,6.248992926904041e-31,0.20120647675023878,0.20194349385904004,0.20409031487274407,0.20919134244320217
1.5,26,False,0.0,0.0,0.016403231554993347,0.002542029938557904,0.005264756919895838,0.022670191116096944,0.16228825454799797,0.27035363334586954,0.27354169333372275
1.5,27,False,0.0,0.0,0.11187851457566023,0.0028479106288449136,0.0052647569198958355,0.02951285138779363,0.17818434949981488,0.2958377386568558,0.2977155914817905
1.5,28,False,0.0,0.0,0.02254694874195806,0.00030588069028701165,1.1081710789545105e-30,0.0068426602716967,0.01589609495181699,0.025484105310986382,0.02609167616798396
1.5,29,False,0.0,0.0,0.05496974612229,0.003570662904376862,0.002036001545592557,0.011214014249904578,0.20263400654629143,0.34202454356729506,0.3443233349839307
1.5,30,False,0.0,0.0,0.08706754964470553,0.0035706629043768595,0.002036001545592556,0.01121401424990457,0.20263400654629124,0.3420245435672947,0.34574301965398657
1.5,31,False,0.0,0.0,0.07216596806584796,0.0006506585569511016,0.000264447548788889,0.006820045238304305,0.037422572476703796,0.05796945609773774,0.10095505824156553
1.5,32,False,0.0,0.0,0.0978313886394866,0.002573428419911109,0.005235713883822088,0.06918405459276926,0.145978268541256,0.18656685691695662,0.23929730390921689
1.5,33,False,0.0,0.0,0.276968346124733,0.0019227698629600092,0.004971266335033205,0.062364009354465025,0.10855569606455229,0.12859740081921897,0.14254894864884446
1.5,34,False,0.0,0.0,0.0004434361972367462,0.00685856297572943,0.03021152103873531,0.10661937987276396,0.360680970292918,0.4107700062493785,0.4203106152729976
1.75,0,False,0.0,0.0,0.03468649277731428,0.007481893283126341,0.3736084114218621,0.4233152329321653,0.46576552227323387,0.48253270955610134,0.6353819016390541
1.75,1,False,0.0,0.0,0.0365238646068784,0.001078081027708527,2.783089673396064e-29,0.034009714855399886,0.03401212104479135,0.13707440314024502,0.5640929331752397
1.75,2,False,0.0,0.0,0.01715242292808572,0.014432138182401803,0.11976695638498021,0.15456843706784099,0.36126003195487005,0.5538242740362325,0.8982967329752907
1.75,3,False,0.0,0.0,0.02093694652915623,0.013354057154693271,0.11976695638498018,0.12055872221244104,0.3272479109100786,0.4167498708959873,0.48760895302054696
1.75,4,False,0.0,0.0,0.017929768137701974,0.008612453972303542,3.137843987486385e-29,0.16666666666666616,0.24999999999999858,0.49999999999999983,0.5006973409172794
1.75,5,False,0.0,0.0,0.34142808200464225,0.008612453972303548,3.1056063660888474e-29,0.16666666666666624,0.24999999999999872,0.5,0.7121921338533227
1.75,6,False,0.0,0.0,0.03676367874395403,0.0008022050278140868,2.5273885328070105e-31,0.0019623213433255537,0.020849956489732133,0.17851332123841507,0.7031456822299218
1.75,7,False,0.0,0.0,0.024906888484581557,0.003864519887911729,0.07057690016489387,0.09539056424779122,0.14361006307208618,0.4571494282024635,0.9325580979344501
1.75,8,False,0.0,0.0,0.027094358728431356,0.0072677864722492744,0.18178540595982912,0.24232347498064236,0.3005878226733557,0.4731708878197902,0.8626107488234434
1.75,9,False,0.0,0.0,0.012993339106125212,0.004205471612151635,0.1112085057949353,0.1488952320761768,0.17782771609100173,0.19453478085574186,0.5047073442250765
1.75,10,False,0.0,0.0,0.005221213507886624,1.745197564069834e-30,5.312018144456082e-31,7.174728298099395e-30,4.62724174562873e-29,1.260273490080614e-28,0.09218075601215771
1.75,11,False,0.0,0.0,0.0009961521236516724,1.74589413635297e-30,1.8579198153799725e-31,7.258057261310751e-30,4.588406433302611e-29,1.4677294776624677e-28,0.013342588006944699
1.75,12,True,0.9166666666666666,0.9166666666666666,0.020819282098560876,8.2530673133124e-31,4.343476290687285e-31,1.7238067181323913e-29,2.2314752151048226e-29,7.344392166806355e-29,0.005585165078351998
