null_rep	minimum_pairwise_spectrum_cosine	maximum_pairwise_distance_w1
257	0.9996974178730784	0.03793263676388033
258	0.9988371204616219	0.005737562058025934
259	0.9994508490044207	0.017315698228727246
260	0.9995382626825727	0.021819307584294755
261	0.9987769083383984	0.0140064552038884
262	0.9994971330755074	0.01295646670925722
263	0.9993545480411968	0.0180462631705071
264	0.9994596338564212	0.0238280323792781
265	0.9996007004770412	0.033036021331875554
266	0.9989334372461959	0.01940335723705396
267	0.9980506727556602	0.014664609102869167
268	0.9985036260753554	0.020820707289706863
269	0.9989156765073566	0.010688317453788093
270	0.9991037633182442	0.0055412094359220815
271	0.9988011393288729	0.01753870040600862
272	0.9988091707235304	0.024082239488228095
273	0.999123379919837	0.020691097201790704
274	0.9990472384292214	0.012084021809548741
275	0.9995292311285808	0.018071899103500273
276	0.999517932895498	0.018882514266986044
277	0.9994554402223994	0.017675897375885603
278	0.9996974227707492	0.023414606370528706
279	0.9980999326969765	0.025581684299668315
280	0.999087902225744	0.01424495276651218
281	0.9990597728394938	0.008638794742751114
282	0.9993369042636908	0.01313223634285599
283	0.9990091056198294	0.015066276849595658
284	0.9982218263945083	0.004777870774030967
285	0.9984095182141137	0.01894313123833974
286	0.9996401367173812	0.01698020999058377
287	0.9992365359912324	0.02091062396584696
288	0.9989842620566429	0.017101342731398187
289	0.9990950265692246	0.008928303482643833
290	0.9992303193170291	0.027876407350684865
291	0.9989875331588871	0.021978995221128242
292	0.998906723235602	0.022965394763357346
293	0.9992936199497464	0.02402349170959049
294	0.9995571422941223	0.011916552047945802
295	0.9993233438088773	0.020428065880313803
296	0.9996862523443546	0.010800748569181014
297	0.9993561519364036	0.014174346209777621
298	0.998797424376271	0.03055598898369325
299	0.9990733926939268	0.012930820732123241
300	0.9990918835799479	0.009365626579050434
301	0.9991810874464777	0.024577685989231535
302	0.9987617495041956	0.01151730249867513
303	0.9989548497947317	0.02190738355382554
304	0.9990770613400228	0.03320924713075044
305	0.9993104624557301	0.014626687835585104
306	0.9992361908115905	0.028570874205832177
307	0.9983232817803505	0.02066091372247776
308	0.9996511449540267	0.029426504428570636
309	0.998940047329678	0.013497691862580026
310	0.9983824896128451	0.025041661883565075
311	0.9985273796124188	0.013478120693726815
312	0.9998606057745464	0.022978078330532455
313	0.9995121916802654	0.009652109885122889
314	0.9991844537499114	0.017343679351270094
315	0.9993935377613259	0.020067624929437557
316	0.9995571998477951	0.01931339319993443
317	0.9996240139624527	0.02295540461394194
318	0.9988703975444991	0.019117797840840372
319	0.9995925794351549	0.024017548163225582
320	0.9993538122238868	0.01992401223090084
321	0.9989191891123859	0.04009365723484323
322	0.9992924147117306	0.020010218326984117
323	0.9994246258026787	0.01447855090546498
324	0.9990207111355582	0.032691394805102234
325	0.9993918484093842	0.014152683119776237
326	0.9990790723385334	0.0151445431131916
327	0.9979787958259874	0.011664191540657393
328	0.9995155182297204	0.03365493062627805
329	0.9992043446122989	0.02203264097103423
330	0.9986040340370789	0.01866579470232989
331	0.9997001883955895	0.022904453046160112
332	0.9991111805890867	0.025627458970769526
333	0.9992572081174194	0.017905513864850276
334	0.9993285794057608	0.017160912592633706
335	0.9991848960585494	0.020055864314078017
336	0.9978515290806517	0.024262860439338937
337	0.9988614514274555	0.031361878540744355
338	0.9993174323379515	0.018390457269231438
339	0.9988164597763034	0.010777405394711457
340	0.9980861587777687	0.006482666885289591
341	0.9985030174565778	0.02251289247760089
342	0.9993133791087613	0.025833947763765304
343	0.9992164875840086	0.011987765344667174
344	0.9995626470915909	0.01207699637309705
345	0.9995129209239373	0.027127976285177588
346	0.99960578365511	0.024672905705788888
347	0.999517053596006	0.011061548357993611
348	0.9989099845212925	0.017375462487432835
349	0.999465676197456	0.023505424768968115
350	0.9989197513605557	0.02330354855051498
351	0.9984977190730162	0.015230640750618824
352	0.9983345390033835	0.007268144238763297
353	0.9994184534237367	0.00855159531318443
354	0.9991348399629627	0.011300164476806583
355	0.9995984751764012	0.01335933161019211
356	0.9994039255000674	0.024124325098867055
357	0.9993873377324979	0.019703458906850022
358	0.9995269475073216	0.018521598995656207
359	0.9994340099011374	0.029485609095183617
360	0.9995054844385662	0.027672524031233176
361	0.9995315191750432	0.012882290738893618
362	0.9994587721953032	0.01920667973829887
363	0.9997008715496836	0.025811490934620495
364	0.998685540443581	0.01399494809620658
365	0.9994591887859341	0.023184145220256774
366	0.9982034873728669	0.008198933601251563
367	0.9992350470797322	0.021503989809466578
368	0.9993460328378406	0.01965474346672
369	0.9994381486785994	0.024286736774002685
370	0.9988931947370295	0.0142391195572477
371	0.998781219881608	0.011705728052061189
372	0.9991267605716183	0.016517218300435264
373	0.9988384389689368	0.00916722992075848
374	0.999513760736798	0.033556234284002256
375	0.999343260912948	0.009658211231359426
376	0.9993724637720471	0.01756185786345724
377	0.9989657309650162	0.019197041676241856
378	0.9993339349478528	0.022651047306914113
379	0.9995011719415033	0.013627579675319855
380	0.9994585224470813	0.01683457156499915
381	0.999518119817078	0.02444652093206408
382	0.9993929889578509	0.00972615225810487
383	0.9989422366710415	0.03509837380250514
384	0.998937873768968	0.010244882819136089
385	0.9994842436358664	0.01451259460929317
386	0.9994320490076786	0.02057625151545667
387	0.9997115733110515	0.02616793756270472
388	0.9989804189145749	0.026502962370952957
389	0.998822971545725	0.007654154332374498
390	0.9990515823823379	0.012767278848418431
391	0.9992686975964624	0.017543739491705266
392	0.999383212636418	0.021761769593342715
393	0.9995467479705488	0.022360226888163293
394	0.9997105811631626	0.02551976324317519
395	0.9993594035148399	0.01759314331337956
396	0.9990362289688478	0.027844794432070056
397	0.9990165822207608	0.02132790384894454
398	0.9991306328463149	0.028659455962150204
399	0.9990424221659201	0.03309132722077176
400	0.9992660963350899	0.026560080579523176
401	0.9983670528198758	0.015642324082934693
402	0.9988741813853609	0.021912671678448847
403	0.9994412868165834	0.029146627756952776
404	0.9992245317697946	0.008662663305732753
405	0.9973436096508471	0.007898063142750726
406	0.9993002068884788	0.021305875614643276
407	0.9998496951650527	0.023006003581851554
408	0.9982791704999556	0.016809076492284254
