resample	observed_min_pairwise_cosine	null_mean_min_pairwise_cosine	z_spectrum	observed_max_pairwise_w1	null_mean_max_pairwise_w1	z_distance
41	0.9727884643343401	0.9498692550652278	1.6248082872458547	0.09365029273574971	0.08454469698318982	-0.8017604128535394
42	0.9828036601021573	0.9741932988525333	0.8880951557702911	0.09909380620560608	0.09257324980438374	-0.6403305965787027
43	0.975315176459325	0.9725608262323593	0.2443407571408207	0.08350136779821	0.10305133067315579	3.44093540343675
44	0.977045680897119	0.9705103721531302	0.5433525789976024	0.0945420202222207	0.07513751413418417	-2.294743405589422
45	0.9895084807300653	0.9726034565854725	2.0210044256870434	0.08336310660836281	0.06151331070962056	-2.443090959443098
46	0.9801865891116858	0.9662929714074803	1.2080672661169065	0.07782809455432478	0.09000369983593541	1.7767505312387069
47	0.9809408353094979	0.9667933286147525	1.4231766768328504	0.08590885412484578	0.07194125146526092	-2.077768297886688
48	0.9688990010879258	0.9753694221343429	-1.0292108141004563	0.09935104502601108	0.08295598742641355	-1.6876090831997532
49	0.9804386106740685	0.9649859987216989	1.2736752652972465	0.08485951630649204	0.07540751727707773	-1.3952705644912264
50	0.9740715326447551	0.9607755666774912	1.0127636522042887	0.09454061260873284	0.08422067378043284	-1.5683325100418204
51	0.9754548374593737	0.976801697669474	-0.15517314697988185	0.0884584870546358	0.076738864572305	-0.8505705130198662
52	0.9748089956257464	0.9691155527233594	0.5474667270018082	0.09035155822709556	0.0766434240350096	-1.7909446654736265
53	0.981736381323988	0.9645972902437865	1.7148300914930545	0.09189412367724989	0.08940031112173975	-0.3176612345835456
54	0.9664942185215356	0.9726350984869898	-0.574306977121026	0.08925595005930874	0.08977402569730578	0.05602175152420292
55	0.9757520710189482	0.9669811711470203	0.7972824873677715	0.09298823803938994	0.08847946578439084	-0.4835315738307287
56	0.9785115024265969	0.9714597298644462	0.9179345251697717	0.08403191794316471	0.08431142674542949	0.03301694235166058
57	0.987206406601162	0.9770177352710832	1.1338497700371686	0.0941218249880656	0.09228565323963331	-0.19784232905421023
58	0.984096661729985	0.975550907866927	0.876873684163229	0.10084520112697255	0.09052595550991405	-1.2727140237414625
59	0.9792348768906127	0.9810284845136967	-0.2591378747194417	0.0847272745564871	0.08873257849208918	0.46171142704571005
60	0.9858041080887654	0.9622003054139171	1.927383757266822	0.08680715165428425	0.0865700837841504	-0.03129219830244578
61	0.9847531166033003	0.9633184709869524	2.081184382180702	0.08757138314062735	0.07752495442945259	-1.0072894040872729
62	0.9638903272738032	0.9774290288523826	-1.6486703962469573	0.08304023502988937	0.06859633093796448	-1.9567121373572958
63	0.9876675559083773	0.9715115913032998	1.6911689154841894	0.071104967068219	0.05699610307378766	-2.104736771957071
64	0.980520085424544	0.9690661883217537	1.260589808145544	0.06958163518169942	0.08087837400538037	1.4424791619949173
65	0.9845227105704367	0.9593277889609183	1.9813388198695203	0.06088945138675548	0.07258389200861007	2.14355369978302
66	0.9736958959884924	0.973567746999595	0.014817005029037409	0.09322037851412655	0.09065809118469234	-0.32080853689437855
67	0.9779299472144828	0.9721219307514894	0.5019113257527699	0.10169971921148405	0.09988150702249422	-0.23854606157820932
68	0.9751549449400337	0.9692906836816164	0.5937033800954524	0.10199712660135336	0.07434563437225063	-2.9868976147185404
69	0.9807905142280724	0.964912513945262	1.200096571505572	0.08845786837130623	0.09605187230394145	1.1899652576729307
70	0.9810949824091079	0.9612510975663291	1.436673916936964	0.09255288420135106	0.08314326461685048	-1.382198115215336
71	0.9775857406041758	0.9661229117372105	1.10028648630872	0.0878730590731618	0.08718403486283766	-0.08179327548557314
72	0.9812975735457766	0.9579229783270348	1.8130047457956209	0.0923853975546994	0.07731996099850927	-1.5596668510618805
73	0.961941549556863	0.9636487282228217	-0.1519516926124037	0.10721061256462834	0.10017841290932647	-0.9044748308835435
74	0.9726054940055757	0.9766455615973767	-0.7461673250839501	0.08425429071446844	0.062426452096945674	-3.222101739744371
75	0.9775847809610604	0.9752210090383068	0.25642345557623747	0.08234280233154795	0.06990117537143453	-1.38112685004264
76	0.9663928155293992	0.971091778967953	-0.45956788328589104	0.10203172516081499	0.08795783037473524	-1.5679352130715083
