gene	raw_variance	cohort_mean	cohort_sd_ddof0
USP9Y	2.4471329696870074	3.6536619915978665	1.5643314769213739
YPEL4	2.4357352244268116	5.593027563802429	1.5606842167545654
TFF3	2.426708600825207	6.211684115004356	1.5577896523039323
CD1D	2.420567987351833	8.481126700206234	1.5558174659489565
RAB13	2.4127348000963234	10.10808533660869	1.5532980396872718
NUSAP1	2.40713868329202	7.048467420048209	1.5514956278675165
TUBB2A	2.4058130573908922	6.545619425796561	1.5510683599992918
LTF	2.405379494471837	13.113823878445604	1.5509285910292054
GMNN	2.401677365784047	6.553310108630787	1.5497346114041741
HEY1	2.396168821871023	4.176390282549786	1.5479563371978624
CCNA2	2.3931665741235735	5.196373411042641	1.5469862876326903
GPR34	2.384160482300669	6.32162147293807	1.54407269333431
TSPAN5	2.3834979098761053	8.8238648649945	1.5438581249182535
MCM2	2.3830817927365953	7.650172168358111	1.5437233536928163
PLVAP	2.3820668228826962	5.784820449587859	1.5433945778324791
FZD6	2.374945431362026	3.9978480129179053	1.5410857962365452
CMTM5	2.367083210511323	5.349229711049016	1.5385328109960228
TCN1	2.364848550193384	11.870553215435221	1.5378064085551808
CDCA7L	2.352690354984218	9.970864286283632	1.5338482177139363
CDT1	2.33096549213901	5.161228588997123	1.526749976957265
INHBA	2.32524693332889	5.113413676271638	1.524876038676223
FAM72A	2.3223771036744516	5.82283990693369	1.5239347439029176
FAM72B	2.3223771036744516	5.82283990693369	1.5239347439029176
FAM72D	2.3223771036744516	5.82283990693369	1.5239347439029176
RHD	2.3196832099852402	4.705123286591438	1.52305062620559
SPON2	2.3188362786741563	6.829607065019797	1.5227725630159463
MCOLN1	2.3011921867213845	7.3264134939461085	1.516968090211981
EPDR1	2.298614872201114	3.941399013653087	1.5161183569237309
SLC24A3	2.2871911884574754	5.772386832594628	1.512346252832821
VSTM1	2.284237044093899	9.353685698718527	1.5113692613302339
BTNL3	2.2751668978846	6.124722537288628	1.508365637995178
HBG1	2.272557158970062	14.00771091921888	1.5075003014825774
HBG2	2.272557158970062	14.00771091921888	1.5075003014825774
KIF4A	2.272356132994539	4.27817648226709	1.5074336247392586
CXCL10	2.26930289765635	3.4273430631593707	1.5064205580303098
MSRB3	2.2653882435596264	6.148990996054799	1.5051206740855125
PLS1	2.2651128162956318	3.9204142700146334	1.5050291745662714
CLIC2	2.2600118636688116	5.361619906553666	1.5033335836296653
UGCG	2.259776708730936	9.817973353953755	1.5032553704314302
GNLY	2.259085086501871	10.487047390836779	1.5030253113310736
CCL2	2.24915704022922	2.893759782940444	1.499718987086986
UBE2C	2.246134233166413	7.986054994773723	1.4987108570923247
CENPK	2.2426398418858136	6.494988346306544	1.4975446043059328
OAS3	2.2413345433843284	5.870869595900595	1.4971087279768054
TGFB1I1	2.230108467812737	4.247576052036292	1.493354769575112
SNCA	2.2250843754152037	10.525256532777169	1.491671671452939
FSTL3	2.218621919620092	5.450634239210051	1.489503917289274
ZNF23	2.2129377289095276	5.50971246942801	1.4875946117506362
HES4	2.2122999377544534	4.581170572356586	1.4873802263558749
AHSP	2.199108457647783	11.78838319855298	1.482939128099257
GYPA	2.1966098804596297	4.9305026451176275	1.4820964477589265
CCR7	2.1938894281135104	8.270060581717006	1.4811783917251526
KEL	2.188935787439972	5.743975642750586	1.4795052508997633
KIT	2.1699051607124673	3.8373412203435087	1.4730597953621793
NRGN	2.169667671773811	10.429518570693052	1.4729791823966192
CACNA2D3	2.1578710069503604	6.6558857454854286	1.4689693689625936
FIGN	2.1576155517227855	2.879262320876726	1.4688824158940645
KLF1	2.155243308702441	8.74755445177072	1.4680746945242402
MAFB	2.151878124781915	8.887828229876877	1.4669281252951403
CLEC1B	2.150734812466647	5.730293409024209	1.4665383774271468
F13A1	2.1501630396829894	9.26105019942187	1.4663434248780163
PF4	2.147918125112489	11.523855302903218	1.4655777444791147
PLEK2	2.140581470052377	6.985875797543397	1.463072612706689
TNS1	2.135916803573685	7.540045087227066	1.4614776096723774
EOMES	2.132334833079675	6.98442072533584	1.4602516334795432
CDCA5	2.132164723912222	5.089731348915503	1.46019338579252
HPGDS	2.122642645432554	4.75800880591296	1.4569291833965554
SLPI	2.110582571104345	11.617400913501248	1.4527844200377238
CYYR1	2.1087444370491424	5.03555878874404	1.4521516577303977
CR1L	2.1032842495118844	6.542657754978674	1.4502704056526439
CD3E	2.097991926518345	8.811342535935488	1.4484446577340626
CPNE5	2.097616206559732	5.69931515569176	1.4483149542001323
MMP9	2.084610378755287	12.17598788641503	1.44381798671276
NCAPG	2.0808690814732365	5.900380921889479	1.442521778509162
NELL2	2.0790769451903874	7.717395467785154	1.4419004629968002
KIF2C	2.074939423408275	4.4773092498791005	1.4404650024933876
