development_gene,development_entrez_ids,gpl570_status,matched_entrez_ids,gse236233_present_all9,eligible_v44
STX7,8417,EXACT_SYMBOL,8417,1,1
STX8,9482,EXACT_SYMBOL,9482,1,1
STXBP1,6812,EXACT_SYMBOL,6812,1,1
STXBP2,6813,EXACT_SYMBOL,6813,1,1
STXBP3,6814,EXACT_SYMBOL,6814,1,1
STXBP4,252983,EXACT_SYMBOL,252983,1,1
STXBP5,134957,EXACT_SYMBOL,134957,1,1
STXBP5L,9515,EXACT_SYMBOL,9515,1,1
STXBP6,29091,EXACT_SYMBOL,29091,1,1
STYK1,55359,EXACT_SYMBOL,55359,1,1
STYX,6815,EXACT_SYMBOL,6815,1,1
STYXL1,51657,EXACT_SYMBOL,51657,1,1
SUB1,10923,EXACT_SYMBOL,10923,1,1
SUCLA2,8803,EXACT_SYMBOL,8803,1,1
SUCLG1,8802,EXACT_SYMBOL,8802,1,1
SUCLG2,8801,EXACT_SYMBOL,8801,1,1
SUCNR1,56670,EXACT_SYMBOL,56670,1,1
SUDS3,64426,EXACT_SYMBOL,64426,1,1
SUFU,51684,EXACT_SYMBOL,51684,1,1
SUGT1,10910,EXACT_SYMBOL,10910,1,1
SUGT1L1,283507,ENTREZ_ID_MATCH,283507,0,0
SUGT1P,441394,ENTREZ_ID_MATCH,441394,0,0
SULF1,23213,EXACT_SYMBOL,23213,1,1
SULF2,55959,EXACT_SYMBOL,55959,1,1
SULT1A1,6817,EXACT_SYMBOL,6817,1,1
SULT1A2,6799,EXACT_SYMBOL,6799,1,1
SULT1A3,6818,EXACT_SYMBOL,6818,1,1
SULT1A4,445329,EXACT_SYMBOL,445329,1,1
SULT1B1,27284,EXACT_SYMBOL,27284,1,1
SULT1C2,6819,EXACT_SYMBOL,6819,1,1
SULT1C3,442038,UNRESOLVED,,1,0
SULT1C4,27233,EXACT_SYMBOL,27233,1,1
SULT1E1,6783,EXACT_SYMBOL,6783,1,1
SULT2A1,6822,EXACT_SYMBOL,6822,1,1
SULT2B1,6820,EXACT_SYMBOL,6820,1,1
SULT4A1,25830,EXACT_SYMBOL,25830,1,1
SULT6B1,391365,UNRESOLVED,,1,0
SUMF1,285362,EXACT_SYMBOL,285362,1,1
SUMF2,25870,EXACT_SYMBOL,25870,1,1
SUMO1,7341,EXACT_SYMBOL,7341,1,1
