fold,repeat,fold_within_repeat,r,n_train,n_test,n_pos_train,n_pos_test,leading_abs_eigenvalue,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
23,5,3,4,77,19,11,2,67.6790322711278,0.6111111111111112,0.7941176470588236,0.7647058823529411,1.0,0.5294117647058824
23,5,3,8,77,19,11,2,67.6790322711278,0.5833333333333333,0.9411764705882353,0.8235294117647058,1.0,0.6470588235294118
23,5,3,16,77,19,11,2,67.6790322711278,0.5833333333333333,0.9411764705882353,0.9411764705882353,1.0,0.8823529411764706
24,5,4,4,77,19,10,3,65.04865809220418,0.33730158730158727,0.7708333333333334,0.7083333333333333,0.6666666666666666,0.75
24,5,4,8,77,19,10,3,65.04865809220418,0.34074074074074073,0.6875,0.47916666666666663,0.3333333333333333,0.625
24,5,4,16,77,19,10,3,65.04865809220418,0.5916666666666666,0.8333333333333333,0.5729166666666666,0.3333333333333333,0.8125
25,5,5,4,77,19,10,3,50.200079636007324,0.5833333333333333,0.7708333333333333,0.6458333333333333,0.6666666666666666,0.625
25,5,5,8,77,19,10,3,50.200079636007324,0.5333333333333333,0.8958333333333334,0.9375,1.0,0.875
25,5,5,16,77,19,10,3,50.200079636007324,0.9166666666666665,0.9791666666666666,0.6666666666666666,0.3333333333333333,1.0
26,6,1,4,76,20,10,3,81.75903526026327,0.5555555555555556,0.9019607843137254,0.8529411764705883,1.0,0.7058823529411765
26,6,1,8,76,20,10,3,81.75903526026327,0.33333333333333337,0.6862745098039216,0.6078431372549019,0.3333333333333333,0.8823529411764706
26,6,1,16,76,20,10,3,81.75903526026327,0.21574074074074073,0.5882352941176471,0.4411764705882353,0.0,0.8823529411764706
27,6,2,4,77,19,11,2,59.05866491256983,0.22619047619047616,0.7058823529411764,0.8529411764705883,1.0,0.7058823529411765
27,6,2,8,77,19,11,2,59.05866491256983,0.30952380952380953,0.7941176470588235,0.8529411764705883,1.0,0.7058823529411765
27,6,2,16,77,19,11,2,59.05866491256983,0.3666666666666667,0.8529411764705882,0.6617647058823529,0.5,0.8235294117647058
28,6,3,4,77,19,11,2,63.43966860770628,0.5666666666666667,0.6176470588235294,0.4852941176470588,0.5,0.47058823529411764
28,6,3,8,77,19,11,2,63.43966860770628,0.23809523809523808,0.588235294117647,0.4852941176470588,0.5,0.47058823529411764
