gene	raw_variance
MX2	1.4240544996523758
LY96	1.4206771356737165
BPI	1.4203145725691164
CXCL12	1.4195055072849307
LY86	1.4161144291256722
HSPA1A	1.4161109835751176
HSPA1B	1.4161109835751176
P2RY13	1.4159300524065523
TMEM45A	1.4134984314189745
BAZ2B	1.4082915650312262
HIST1H1D	1.401463228574994
CLEC4A	1.3974453938087605
SLC27A6	1.395368313621486
NFIL3	1.391643184112468
SYNPR	1.3882711078834327
TUSC1	1.3805465392146372
ALOX5AP	1.3793493497335743
CRNKL1	1.3753440888810236
GPRASP2	1.3703865285045926
KCTD12	1.3577587741431731
FAM107B	1.356606574282762
LRP11	1.351925261325556
CCDC26	1.343327826651276
HIST1H1B	1.3395718438697009
ANGPT1	1.3345088280017923
CD1D	1.3337485920667023
EVI2A	1.3322076842255732
CCNA1	1.3286846378715258
HPGDS	1.328062523338763
FLT3	1.3273975877022532
SLC16A14	1.323542761467995
HMOX1	1.318465845907443
HCK	1.3100598372631636
TMCC3	1.3091044965325642
IFIT1	1.3026747828881335
ZFY	1.2992678841445773
F13A1	1.298136673864336
NEFH	1.2950731808711615
PIR	1.2908489075544425
CRISP2	1.2908377571266312
TMEM17	1.2887078419960603
ATG4C	1.2835638089541732
