null_rep	AB_cosine	AC_cosine	BC_cosine	AB_w1	AC_w1	BC_w1	minimum_pairwise_cosine	maximum_pairwise_w1
102	0.9739898289009076	0.9942792256689393	0.9796914764061365	0.012174830549521965	0.07580618293064732	0.06611037424749043	0.9739898289009076	0.07580618293064732
103	0.9691756273856629	0.9904084437081648	0.9861325829155049	0.012726588165041679	0.07679197682147276	0.07190735819401525	0.9691756273856629	0.07679197682147276
104	0.9728122314311966	0.9920051955994617	0.9857307490177848	0.024549556481805672	0.0900798489854253	0.06787639285860722	0.9728122314311966	0.0900798489854253
105	0.9913654347053144	0.9959164225313157	0.9909499300977844	0.03508571950325808	0.095672426214018	0.06666186283761903	0.9909499300977844	0.095672426214018
106	0.9330895624176315	0.9748463724208927	0.9849459445440814	0.014620621309918933	0.0664015113204627	0.055397662094192016	0.9330895624176315	0.0664015113204627
107	0.9485002801218367	0.9860020973134513	0.9837484520325323	0.00927152107919775	0.06524510512271821	0.06959708596610736	0.9485002801218367	0.06959708596610736
108	0.9676906859306527	0.9894722285947657	0.9850361079453734	0.03984950319135346	0.07709008754010882	0.062209671083088884	0.9676906859306527	0.07709008754010882
109	0.971100781981671	0.9874002739111871	0.9915745748722681	0.027103703192009842	0.07911775227947013	0.06111478311578962	0.971100781981671	0.07911775227947013
110	0.9696387536491229	0.9937811416034379	0.9769326398659428	0.022187329791293266	0.07721914829579268	0.06962642253359479	0.9696387536491229	0.07721914829579268
111	0.9895049201089836	0.9924123743626877	0.9956642772870591	0.032014034440474924	0.08107802078203712	0.05535915964920379	0.9895049201089836	0.08107802078203712
112	0.979721996741961	0.9918132807961337	0.9876288620214212	0.03135263746836429	0.09136025278568176	0.07877941351713931	0.979721996741961	0.09136025278568176
113	0.9794724499651903	0.9964434748348101	0.9828078160509502	0.024901838387783256	0.0869703731792139	0.0737097583860816	0.9794724499651903	0.0869703731792139
114	0.9643305384827603	0.9879248835991168	0.9828936890639497	0.02459056177341365	0.08402210219400466	0.06544897190815029	0.9643305384827603	0.08402210219400466
115	0.9799002529257089	0.9938468767165318	0.9915121540374462	0.015116938841672858	0.06468530759948526	0.05688637415805249	0.9799002529257089	0.06468530759948526
116	0.9804583398915676	0.9947605432172192	0.9752346067553833	0.027914429802345635	0.09047839608383544	0.07289646110327092	0.9752346067553833	0.09047839608383544
117	0.981885270843392	0.9954102986514447	0.9762143117211323	0.02397587822970117	0.09075943356011168	0.07519233521589043	0.9762143117211323	0.09075943356011168
118	0.9782989258961052	0.9966717761336382	0.9754390383810471	0.032698533346006003	0.0814036711733982	0.056672419288925975	0.9754390383810471	0.0814036711733982
119	0.9715211223070063	0.994715414996132	0.9765598798146782	0.03068751383638709	0.07542874176575731	0.050486148771345704	0.9715211223070063	0.07542874176575731
