fold_i,fold_j,repeat_i,repeat_j,same_repeat,normalized_projector_overlap
1,80,1,16,0,0.6758295311666735
1,81,1,17,0,0.5962032097662557
1,82,1,17,0,0.5686257852335819
1,83,1,17,0,0.6226881096686143
1,84,1,17,0,0.6912274525560418
1,85,1,17,0,0.6780601434309496
1,86,1,18,0,0.6687059555349746
1,87,1,18,0,0.5913049983361608
1,88,1,18,0,0.6438661631578181
1,89,1,18,0,0.6688698011228782
1,90,1,18,0,0.6411001008826502
1,91,1,19,0,0.623074062612006
1,92,1,19,0,0.567001471763876
1,93,1,19,0,0.6293693150437587
1,94,1,19,0,0.6754841197262973
1,95,1,19,0,0.6857182350468953
1,96,1,20,0,0.6274941194417355
1,97,1,20,0,0.5682776457188045
1,98,1,20,0,0.6121311640094153
1,99,1,20,0,0.6874080740130192
1,100,1,20,0,0.6753546779962777
2,3,1,1,1,0.7259357774340481
2,4,1,1,1,0.6801825309441322
2,5,1,1,1,0.5995560453437713
2,6,1,2,0,0.7228749752242265
2,7,1,2,0,0.7012934255756511
2,8,1,2,0,0.6662547898998461
2,9,1,2,0,0.6538447793483726
2,10,1,2,0,0.6833952983204945
2,11,1,3,0,0.6230547945240705
2,12,1,3,0,0.686735454736686
2,13,1,3,0,0.7209804455847663
2,14,1,3,0,0.7129053318448311
2,15,1,3,0,0.6857811963069855
2,16,1,4,0,0.6748823245197253
2,17,1,4,0,0.6096230426089022
2,18,1,4,0,0.7731936993948128
2,19,1,4,0,0.6839837499633866
2,20,1,4,0,0.6477138092492362
2,21,1,5,0,0.6543956602140044
2,22,1,5,0,0.744313927665095
2,23,1,5,0,0.7069812471967247
2,24,1,5,0,0.6548613308741904
2,25,1,5,0,0.6385051878269246
2,26,1,6,0,0.6127707416373437
2,27,1,6,0,0.7407962583336727
2,28,1,6,0,0.7097202661754768
2,29,1,6,0,0.6378258045980564
2,30,1,6,0,0.6516139551079614
2,31,1,7,0,0.6427616476104501
2,32,1,7,0,0.6882542641186987
2,33,1,7,0,0.6777391717999595
2,34,1,7,0,0.7048588200995388
2,35,1,7,0,0.6570583310793425
2,36,1,8,0,0.6763199944265197
2,37,1,8,0,0.6818123296411078
2,38,1,8,0,0.7173887391632625
2,39,1,8,0,0.6996625753566332
2,40,1,8,0,0.6437109770615328
2,41,1,9,0,0.6846522689963486
2,42,1,9,0,0.6982906072719779
2,43,1,9,0,0.7545650626640878
2,44,1,9,0,0.5817196675206455
2,45,1,9,0,0.7330527785810146
2,46,1,10,0,0.6625382045877897
2,47,1,10,0,0.702055746126015
2,48,1,10,0,0.6867034845398226
2,49,1,10,0,0.6885426660305212
2,50,1,10,0,0.6826552106058329
2,51,1,11,0,0.6524784904857313
2,52,1,11,0,0.7079556328234335
2,53,1,11,0,0.7032623065935215
2,54,1,11,0,0.6766438914976912
2,55,1,11,0,0.6551325155784667
2,56,1,12,0,0.6260443760598928
2,57,1,12,0,0.7000766186017362
2,58,1,12,0,0.6557437289223991
