null_rep	spectrum_cosine	distance_wasserstein	anisotropy_wasserstein
293	0.5717041770121863	0.18185530661359878	0.0862411516456242
294	0.5945474226132255	0.18415914605754055	0.08872248729943136
295	0.5827602589652848	0.17488154761684044	0.08279515823868275
296	0.5769926290002193	0.18064137366587096	0.08698393717618755
297	0.5790532549843876	0.1850673455755909	0.0888946106267691
298	0.5735394617614625	0.17872163235121138	0.09010274054538364
299	0.5750057079344784	0.1861870317725175	0.09052058375832611
300	0.5767061578214686	0.17790130199692905	0.08925599340429613
301	0.5961149449177132	0.17707605539846477	0.09280765817428645
302	0.5826203179918263	0.18042293822174196	0.08686682051193129
303	0.5738263796142715	0.1780763054668803	0.08680100687997398
304	0.578887952899572	0.18528350188804896	0.08704564140420334
305	0.58443117859086	0.1730418866159405	0.08038421462696847
306	0.5837524447882985	0.18165748325927955	0.09395280988324045
307	0.5822810568268388	0.1779410808043141	0.0815590315058237
308	0.5768677672446422	0.1760681181321434	0.0814006858463755
309	0.576171975470592	0.17864443179246867	0.08532918871758798
310	0.5921760484567351	0.18139943646669102	0.09521913714133233
311	0.5796131149909914	0.17885092395067648	0.08940375090798408
312	0.5851225017944146	0.1796884668160101	0.09213188130108349
313	0.5741751523220813	0.180039390341631	0.08427172074356307
314	0.5816880051297595	0.17844304657628532	0.0933573191030919
315	0.5804154078956807	0.17431982594323955	0.08843061963908962
316	0.5789006079163215	0.1850949589916829	0.08902791367286692
317	0.5790566298961433	0.1845221682098899	0.08698088211857036
318	0.5738544807657814	0.17559264995295087	0.09109223432165445
319	0.5798202673342485	0.17270199765569932	0.0847089146447348
320	0.5821301800302358	0.17156824909432652	0.08560623758443027
321	0.5840220370374986	0.17573466151915465	0.08645870854443707
322	0.5787805977140286	0.17838499616352407	0.08789537766177763
323	0.5880822034622524	0.18253453022032937	0.08754459617495869
324	0.5749425665208201	0.17903977830810633	0.0848238266821729
325	0.5767852847831424	0.18788207158530928	0.08929311283958022
326	0.5754372291748711	0.1881499369202754	0.0912574082378962
327	0.5933260815256497	0.178717162776603	0.08534411166474358
328	0.5751309631852239	0.18178781374508635	0.08683247915181931
329	0.587749760100665	0.17683043524407766	0.08543268998122623
330	0.5798078600745165	0.18095092862396783	0.08950503128566764
331	0.574818801182184	0.18491155592151914	0.0916374054812776
332	0.5760984288796134	0.17624167984943634	0.0811100650141378
333	0.5892062638262858	0.1819260765531691	0.08918930831956576
334	0.587577596345634	0.1869932574858343	0.09287982135672547
335	0.5827673074298064	0.1754402712713908	0.09043938771428564
336	0.5836522269022314	0.17334912389219273	0.09042406468574476
337	0.5738832359970505	0.17959835022751536	0.09281575237519048
338	0.570250507062466	0.1769342778127465	0.09024973751908254
339	0.5840090123265255	0.18614849888904278	0.08394559609828707
340	0.5862887617008686	0.1784516227527614	0.09803289967748535
341	0.5893559065461652	0.18086071155323125	0.0922721872697383
342	0.5774630178023136	0.17028074592462444	0.08828178518499219
343	0.5818610818950148	0.18135981203636564	0.08839866202306436
344	0.5674085827221913	0.18096674827073683	0.08404767579924687
345	0.5858491826197433	0.18138290814852417	0.0822155994815997
346	0.5870591132517387	0.17932234916105017	0.08800971085018269
347	0.5754710464109342	0.17819252084197462	0.08923138039334633
348	0.5852137714925485	0.1839455695261564	0.08909738542800522
349	0.5853163957452908	0.18103844769754923	0.08857091781684119
350	0.5860336598437244	0.17764362547266183	0.08599610078719638
351	0.5812389849675943	0.16839716803505336	0.07902240129387532
352	0.5769039837590427	0.17796661539529024	0.08552844614032214
353	0.582812648734721	0.17430240639908692	0.08564250103769505
354	0.5835895958391208	0.18938078102060008	0.08831305455440473
355	0.5773516333084732	0.17767268720981014	0.08974518052893951
356	0.5786305442392095	0.1702195722158999	0.08299747991104386
357	0.5804638443717813	0.1740644243235415	0.07626327701076055
358	0.5821949876159099	0.18043922575098217	0.08911224902662333
359	0.5736011285912542	0.1777095846460353	0.08158223147814017
360	0.5790645895800487	0.17576644618278475	0.08729166178454817
361	0.5891895632292268	0.18184777358013554	0.09110448076259277
362	0.5785725503757891	0.1750231970619062	0.091053367269968
363	0.5803877244663025	0.1851779059733812	0.09828272381811189
364	0.5784911426425677	0.18252628638442686	0.094667693299518
365	0.5867523436748797	0.17913438489951203	0.09093423373599804
366	0.5804862324166804	0.18604748755489	0.08906381715427149
367	0.5797939708791247	0.17989350354166103	0.08516198949833274
368	0.5827651348633355	0.18060060072825157	0.08763847777818035
369	0.5810450758751091	0.17785027292849334	0.08889501327102106
370	0.5916195856909165	0.18195505230355388	0.09391654928307656
371	0.5851009082645593	0.18269978280504062	0.08487905032903681
372	0.573132078466086	0.17355342085973807	0.08453869518780908
373	0.5805144018199078	0.1784088027352481	0.09159471155654078
374	0.6005519611428761	0.1723022198548861	0.09010826300738331
375	0.583087476055997	0.17979152253489408	0.08662317434070071
376	0.578747327062009	0.17818551924568837	0.08854632545827917
377	0.5737667567454863	0.18184443686904425	0.08744889738004795
378	0.5777147410751012	0.17455509245090367	0.08277463357644577
379	0.5699070291988818	0.18146624333829406	0.08937008675114705
380	0.5695660732616976	0.17249778416264258	0.09192224765580201
381	0.5747922752037012	0.17366159375035894	0.07923036279629501
382	0.5835841218159535	0.17680851350832796	0.0885772957290295
383	0.5946730926517926	0.17458193729367924	0.08408797531325055
384	0.5787723755825372	0.17514527720923237	0.0839296532853882
385	0.5733482324322133	0.1761962582227219	0.08898792728424951
386	0.5933033724418498	0.18516075146645583	0.09467706054522983
387	0.5820925302966758	0.1793798759206457	0.08940792832173299
388	0.5749598759067728	0.18088676819028507	0.08989003960109103
389	0.5796332173563	0.18039956069996482	0.09003443689892622
390	0.5773854792378168	0.17838478592562673	0.09002969936796014
391	0.5764447721567343	0.1822593522802123	0.094338778454898
392	0.5773511976433362	0.18236353263255956	0.08942827827776398
393	0.5878077194237671	0.1807217018544005	0.09339729602870446
394	0.5801077309367015	0.17883929687641367	0.08903632348119686
395	0.58860346395332	0.18194401155861042	0.08327125582162259
396	0.5817221997588194	0.17908471835972906	0.08099823032727653
397	0.5805112711419297	0.18172392559266812	0.09390605704358411
398	0.5902305602163296	0.17571787211196574	0.08748185566746093
399	0.5817704141255738	0.17454447467195547	0.08665116340520168
400	0.5868153320600278	0.1781847095377202	0.09175828885078853
401	0.5792837889947128	0.1850544716121368	0.09064639307048705
402	0.5838461885605618	0.17852018147257556	0.08477978302625479
403	0.5782351529462566	0.17916427943077332	0.08830047410137885
404	0.5739321623375272	0.17771615122530907	0.08884494800149625
405	0.5721104852154888	0.17918638968883074	0.09480971977049547
406	0.5809281890156746	0.178053923306127	0.0837652212527864
407	0.5948129906640813	0.18122452944174833	0.09001146511605884
408	0.5849125586849246	0.1837179875636853	0.08886340185770958
409	0.5750680603415059	0.1700759230072896	0.08706233998202667
410	0.5804878912660975	0.1829639655808551	0.08844188460489437
411	0.5815410687894674	0.1775990680109346	0.08620119678127229
412	0.5704617297666387	0.18087552913371285	0.09283832348480091
413	0.5788405078348351	0.17434903753594336	0.09022590686597878
414	0.5765636025222599	0.17195193893705865	0.08288007327414798
415	0.579033666850121	0.18474921181227566	0.08666674647630904
416	0.5807929664398958	0.18089281947400765	0.08227129466200579
417	0.577176420068446	0.1806139052854626	0.08260727561421925
418	0.5870772134731241	0.1795479306519806	0.08548628511177454
419	0.5809439584720147	0.1879197976705677	0.09340477546110479
420	0.5640011463207528	0.18437150362854954	0.09371856639383765
421	0.5821442750689454	0.18146360497183975	0.09186192320895024
422	0.576763625795094	0.1717360397537029	0.08403504811077359
423	0.5775587639845345	0.1773066838065226	0.08817418809804814
424	0.577090156084128	0.18323565893368626	0.0908716847867844
425	0.5859255531597193	0.17220433553017298	0.08345662582966357
426	0.5850919453171691	0.18065976092469932	0.09199886186939128
427	0.5867064377935882	0.1847786599096236	0.0878857286649291
428	0.5816490506338847	0.18286437290065574	0.08559943209736914
429	0.579512315768888	0.18120150555114878	0.08513104059670583
430	0.5679820668855432	0.18565898614049384	0.09493533821409875
431	0.5901544536763458	0.18158795361692073	0.08701851297444167
432	0.5864467760447963	0.18748094842124213	0.0921834170451091
433	0.5849753505575093	0.18335890992170525	0.0916737579891368
434	0.5821954458930776	0.18065891076924187	0.08738747537666124
435	0.5855941684427365	0.18450128654282263	0.0863255705084473
436	0.589871274240062	0.1819568132920317	0.0878535414838549
437	0.5879093737395756	0.17876130458987732	0.07930952310881204
438	0.5898032550460872	0.16925451178170034	0.0876244149520522
439	0.581599836577559	0.16849811965621583	0.08834966054319472
440	0.5844665855719942	0.18213136400185664	0.08830416147262549
441	0.5870635212813037	0.1807580961930775	0.09181546014674935
442	0.5790280409974348	0.1827873490369159	0.0929236934350005
443	0.5798934327698297	0.1832497441570902	0.08412671819818925
444	0.5757004186235628	0.17644621673865463	0.08603559735630346
445	0.5763487402745417	0.17948041573920703	0.0857040062298758
446	0.5827783555931998	0.18214116756372764	0.08515107775261409
447	0.582305611930401	0.1746650587573976	0.08807316207137517
448	0.5786404412077135	0.17360012718909315	0.08511229611189913
449	0.5960563271996131	0.17330549878429974	0.08669906034015251
450	0.5784650750346375	0.17814323050162856	0.0938194774358427
451	0.5848506900415654	0.17720522251774307	0.08904126154117764
452	0.583709126958259	0.18553445413829445	0.0797427577782789
453	0.5791473012197299	0.17565645439077177	0.0833293085621181
454	0.5851104268493912	0.18494101268326837	0.08605193127830306
455	0.5860147741831304	0.1823463320293297	0.09122502433680808
456	0.5780701369941978	0.18619574146415982	0.09570764365620033
457	0.5820098894911188	0.1752107390470005	0.0895078815886776
458	0.5753310865978295	0.17804165860627547	0.0890757067247024
459	0.577544980786624	0.1763767443694601	0.08506154353889804
460	0.5778215323317619	0.173026905414214	0.08853881761506718
461	0.5782697334768497	0.18476818446067186	0.09061995177593807
462	0.5881350540130044	0.17870352968147707	0.09185778222022142
463	0.5847187757760217	0.18042480161784252	0.08735775046547968
464	0.5810193260278187	0.18250224036492668	0.08992865093190858
465	0.5858932095357458	0.17376259767667124	0.08901276476141737
466	0.584165386891099	0.18495239893202112	0.08980675940716194
467	0.5716932798673947	0.1799925860396674	0.09105687282235654
468	0.5777264760938083	0.17881012875822694	0.08870260165414869
469	0.5765846691175595	0.18781305946360558	0.09485014262581025
470	0.573397903598008	0.1787230813142026	0.08905476071349969
471	0.5779367206182559	0.18145065787605943	0.08643969298074952
472	0.5750937917112643	0.17671238932794672	0.08858931870113076
473	0.5892352824507502	0.17485703548899473	0.09278837599799569
474	0.5795146203449636	0.1811092909058067	0.09018348422452252
475	0.5684992483164295	0.182235767384093	0.08881050795460675
476	0.5855355381323564	0.17817535247529132	0.09139008745442427
477	0.5741135364295749	0.18501276700427344	0.08552499808936248
478	0.574438851710817	0.176814564898498	0.09065360877496662
479	0.5828751511474884	0.17223517930705629	0.08815393086203901
480	0.585731463648199	0.1805436528905333	0.08824425577815781
