resample	observed_spectrum_cosine	null_spectrum_mean	null_spectrum_sd	z_spectrum	empirical_p_spectrum	observed_distance_w1	null_distance_mean	null_distance_sd	z_distance	empirical_p_distance	observed_anisotropy_w1	observed_effective_dimension_abs_diff	dev_pca16_cumulative_variance	ext_pca16_cumulative_variance	dev_effective_dimension	ext_effective_dimension
99	0.9945679281293119	0.591172183198582	0.005738490725046395	70.29648809399592	0.0196078431372549	0.04258793968345286	0.187078055351112	0.004801864493101166	30.090419226791578	0.0196078431372549	0.01148113788998851	0.9144674959583061	0.8834925745195936	0.8741716137085943	4.3531937414789	3.4387262455205936
100	0.9940499412884113	0.5945127950592233	0.00656938337068586	60.818059121350274	0.0196078431372549	0.0363181452853546	0.16274794900340783	0.004280093120452595	29.539031081801326	0.0196078431372549	0.010940918653907845	0.8114761785706239	0.8836296313362534	0.8712235045353341	4.435528051742816	3.624051873172192
101	0.9932075643773874	0.6014039095026323	0.005348549395103519	73.25419023585027	0.0196078431372549	0.048997221600577644	0.19084778843658537	0.004067284513660432	34.87598823234191	0.0196078431372549	0.014562775865420428	0.9344510716896668	0.8793672517317594	0.8730012233613528	4.563157775686209	3.628706703996542
102	0.9944566869932268	0.5857610496791419	0.00545471404453648	74.9252177065891	0.0196078431372549	0.03848932448021337	0.17682665478864593	0.00464133665325719	29.80549368496043	0.0196078431372549	0.011860292075823228	0.7990198097900976	0.8846353607775064	0.8756659799910119	4.303894044617936	3.504874234827838
103	0.9955558716861327	0.5713615066676647	0.005632855568107917	75.30716168548156	0.0196078431372549	0.02252829829188818	0.16573359358180315	0.004524224273141494	31.653005387037815	0.0196078431372549	0.006680448935342962	0.5988340961601413	0.8736944960668076	0.876174731835623	4.105955961565128	3.5071218654049865
104	0.9952081429671242	0.5878619204999808	0.0057602607025657275	70.71662959381402	0.0196078431372549	0.03194304360632911	0.17464061452828328	0.004637538602490644	30.770109567458217	0.0196078431372549	0.018204018375722473	0.8012198397123993	0.8817311544033636	0.8757223307348547	4.339151323746597	3.5379314840341975
105	0.9961460201063447	0.5751066475610909	0.007190095384529214	58.55824575723931	0.0196078431372549	0.037597881292761315	0.17893736875450977	0.00436448923444612	32.38396977732156	0.0196078431372549	0.015125231349548327	0.5868462280506925	0.8814942270344204	0.8772477983564697	4.150792634641435	3.563946406590743
106	0.9938587063211045	0.6027431514239162	0.005576771526285941	70.1329708512671	0.0196078431372549	0.04862912902727993	0.17472007324112795	0.004139226316278491	30.462442635225198	0.0196078431372549	0.010845787308214136	1.0536252455972424	0.8782155301311536	0.8724896750543831	4.5649247115161575	3.511299465918915
107	0.9956407717910053	0.5818353746161882	0.005730493816407987	72.21112358414521	0.0196078431372549	0.04648693253797433	0.18961970646527784	0.004964456210091722	28.831511019544077	0.0196078431372549	0.015213007380506446	0.7312680053328706	0.8827941386447995	0.876904807598935	4.233252392537939	3.5019843872050687
108	0.992853093641688	0.6025986592630331	0.004961968868948251	78.64910979608261	0.0196078431372549	0.05106849552786296	0.18170434903826915	0.004037943026846853	32.35207942307622	0.0196078431372549	0.01914948111565489	1.0677582731337236	0.8793814261095494	0.8751734521568719	4.570600348676611	3.5028420755428873
109	0.993147428529775	0.6032582465318673	0.006247548901710893	62.4067435296323	0.0196078431372549	0.04182036796904829	0.17419464227969123	0.004489142786583213	29.48765067270136	0.0196078431372549	0.009250775975411483	1.0538028786268123	0.8792573327023862	0.874058614977176	4.572716698116327	3.518913819489515
110	0.9954423776558007	0.5770784850835303	0.0051459672256225115	81.2993698228734	0.0196078431372549	0.025640928716920988	0.16471201491192022	0.004182721697843714	33.24894560082577	0.0196078431372549	0.01208748695137771	0.7369527959218716	0.8731839702944313	0.8770959611602719	4.185825485162798	3.4488726892409267
111	0.9955164294699027	0.5898093758180722	0.006351070324252849	63.880107279328314	0.0196078431372549	0.04667353901324686	0.17177337526826603	0.004355153460870952	28.724552964432498	0.0196078431372549	0.014009595552644017	0.8443441504886859	0.8780899810000412	0.8770715244884354	4.3706615316278645	3.5263173811391786
112	0.9965647217561493	0.5843987206777619	0.006520989372821689	63.20605317901931	0.0196078431372549	0.038923203394837624	0.18017981419151421	0.005116600036346705	27.607514715481845	0.0196078431372549	0.016217810604070113	0.6870334139300862	0.884859642871477	0.875638875870804	4.27446962565705	3.5874362117269634
113	0.9938122130410043	0.5858515707330239	0.005289415215621496	77.12774015228182	0.0196078431372549	0.03904362732671446	0.1698753035818049	0.004009209722873515	32.63278433868499	0.0196078431372549	0.016823376960681348	0.8279616002797785	0.8749069566851262	0.8787730372739557	4.306176896337797	3.478215296058018
114	0.9951682749212458	0.5843453490914772	0.005442468676864438	75.48466518073843	0.0196078431372549	0.0342818830298379	0.17766356441618783	0.0038383363994581718	37.35516287905094	0.0196078431372549	0.029613513121244026	0.7338450258503877	0.884516790837668	0.8755300993194639	4.272163425293926	3.5383183994435385
115	0.9953081266125244	0.5909174977941314	0.005867419214002569	68.92137992344516	0.0196078431372549	0.039053833228018725	0.18271737175542957	0.00498325519182793	28.829255777028145	0.0196078431372549	0.013310971967030934	0.7733892668246778	0.8783495639149624	0.8750973380526686	4.379049003923616	3.6056597370989385
116	0.9944359732988318	0.5907964590508307	0.005843383652617001	69.07633286533023	0.0196078431372549	0.03430911947031968	0.17412071100317597	0.005131331684744025	27.246648652343115	0.0196078431372549	0.008247422425071753	0.7471566337128173	0.8835831804736997	0.8779758263557024	4.3748828349294655	3.6277262012166482
117	0.9944625055906272	0.5638949912061976	0.00582433069600322	73.92566405611107	0.0196078431372549	0.028281043825895354	0.1706722803626292	0.005113367706467769	27.846860368877206	0.0196078431372549	0.017786614811924957	0.44952412982920453	0.8823962588539254	0.8750900530701329	3.975494792272342	3.5259706624431373
