resample	cohort	z_concentration	z_coherence	observed_concentration	observed_coherence
70	C	0.6241254813890803	4.9910235262491405	0.40707729612706245	0.6848483948966178
71	A	-4.747854634869045	0.24613356547943407	0.33974018613045	0.4104091577434785
71	B	3.3446095344906825	-0.12368647958871268	0.37403748170015394	0.3912700706328195
71	C	-0.3590601728086099	2.7375364025746243	0.3783679181520635	0.5900314464831362
72	A	-0.6718640555740094	-0.40915523821286287	0.36042488570700004	0.3888977921706902
72	B	3.093133455862874	3.0935421019165554	0.3759675256668784	0.4519063077417038
72	C	-0.1861169059916501	1.8249944737920027	0.4007102094112824	0.6333761710540655
73	A	-1.6476715018316062	0.3616543760728408	0.34832351570656994	0.43217146716655735
73	B	4.0005466398126135	1.9508284608479571	0.38019768709148594	0.4235569129439566
73	C	-1.345489108210933	2.9776697746739154	0.38834543094062035	0.6212940986434511
74	A	-4.227583605855843	0.4336738477086746	0.34513895571930653	0.4361867044792663
74	B	10.277169688894274	2.1513964191397914	0.3841590779245191	0.4508124824329517
74	C	-1.8323921343960665	0.9763610112883875	0.4037165980252063	0.5904944181789611
75	A	-1.2843890533779856	0.40319905377608206	0.350014126634403	0.41902839832463235
75	B	0.6809935829895838	1.4549040386519803	0.3637920896645821	0.42689443659216053
75	C	-0.6814261485202245	2.9798676122614087	0.3908193896000286	0.6026588481987686
76	A	-0.8368963962673883	0.6862716338385276	0.36708569947223363	0.4504549346572974
76	B	3.656035148576687	2.389141770584775	0.36463930005069944	0.40749171065707485
76	C	-2.4890041225302	-0.821776187556093	0.37784467450011655	0.44092973594904006
77	A	-2.778335345637423	1.3716765686068142	0.355554494331593	0.457473929289041
77	B	3.701834504649847	2.2501826724701752	0.37124151258986215	0.4385629613079838
77	C	-2.6868459241733196	-0.016292531540820727	0.36962015102189477	0.496718603851468
78	A	-1.681243881306734	-1.9870506799067225	0.3556169913781858	0.3891106920610586
78	B	2.408726000179825	0.662064552729619	0.36727957619575863	0.42181690321810705
78	C	-1.6101831526467105	5.312099413175455	0.3671711223049779	0.6243768622834874
79	A	-1.6319824975632702	1.556949131292602	0.35614078546965483	0.43520997368168757
