gene	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
THBS1	0.05112019670097039	0.03980550638730869	0.04390424568491208	0.047715066062702115	0.03670615979917662	-0.08037551870629371	0.018634110649790512	-0.1376926789816662	-0.026402526216750016	-0.06495253600221712	0.06380505580102155	0.02820740102566409	0.047569784737256954	-0.2187804088160776	0.045749567653005814	0.06183317669219403
MMP8	-0.084273448069567	-0.06665835944703581	0.02373246503942112	0.06585531525552758	0.009534093786547598	-0.022780560671101565	0.0017198298483737464	-0.004413087716142312	-0.048394215214254716	0.0339249843507544	-0.0006590953794142345	0.02830327581281834	0.04964726274850115	-0.015449581748341257	0.033728423299222945	-0.021387510354293572
HIST1H1E	-0.04647398412994285	0.09120962441592181	0.051015556304108145	-0.026616277770271167	-0.06528901303132452	0.1043554972613711	0.08630040236616233	0.10585980160017494	-0.0019913055926199857	0.08199903381405507	-0.08186780150761881	0.11126915671329692	-0.06614078707596566	-0.05789978860495672	-0.02704230079823694	0.01807985434924706
CCR7	0.0854097695048903	-0.05164124896399681	-0.008911873717974372	0.008627660922807076	0.005620550833048539	-0.03645850490538119	-0.09804007153415549	0.024513528065002243	0.04637240909829764	0.06360805775590042	-0.02386209368885645	0.06397894486021947	-0.04709095971706496	-0.02675187669912727	0.0289171168489316	0.07918207252830227
PRTN3	-0.07961199399018828	-0.031172227525845073	-0.013171563901848789	0.01857470055189639	-0.01346417765101585	-0.0725514514726022	0.12409394980771432	0.014283959120764682	0.0019695851220076343	0.0021059105185296735	-0.03649417538665932	-0.1037757024067129	0.03311367153480337	-0.1338004735049936	-0.017635287727608837	0.0018162268501940796
EMP1	0.060423112315003254	0.04544460217594862	0.11127958585236776	-0.002955870719402556	0.06975027856122396	-0.05471019422493696	0.061864793678889925	-0.041758169841363574	0.08003907743131815	0.02568898508752265	0.0068162580913109375	0.005351478435764795	0.03104766928774635	0.024015140658400057	-0.08020536964691008	-0.09013487899694728
ORM1	-0.08239356603448593	-0.07122974969748987	0.034218036918643384	0.053670035027919866	0.011988121912712665	-0.016209375789640764	0.011526495744153025	-0.021748439164013537	-0.06328688867952263	0.07217830991719994	0.0056905633577994455	0.009880471383620889	0.07391061959184918	-0.02480307156733066	0.010510132957810425	0.0016100700355080255
HIST1H4B	-0.05293397680536908	0.04303435036062517	-0.006725231767894363	-0.009515050979801938	-0.07290527064277669	0.15761430253907274	0.07718069686762456	0.03362651808967527	-0.085803188511519	0.01294578243214232	-0.010052869639312106	0.08018169908213489	-0.04777579055546054	-0.14472313740512294	-0.1034511246988724	0.016877475873004255
DEFB1	-0.025550957666723384	-0.01268267090224657	-0.006691289836662871	-0.0027584060957156196	0.009198398368754343	-0.050871647454769624	0.0886994453446673	0.07253895624792046	-0.05397728756138666	-0.05951031295810598	-0.029277244165788252	-0.2126288242491055	0.07265150702119653	-0.0847980988845435	0.17756996708810785	0.25625212228556377
GZMH	0.07611851783529629	-0.0744321099082907	-0.01437254164708925	0.02351840551441482	0.012378270828626258	-0.021606167154498104	-0.02556384648184755	0.04570790099116911	-0.0893978330776039	-0.06726338011991505	-0.030591995232982835	0.010400537392704828	0.03208682764063583	0.02355137582235451	-0.09382233951731504	-0.09443316764858309
CCL2	0.05409462937973577	0.016635609943663383	0.10216859386355172	0.0342634659596682	0.054463410092654735	0.0006900839383851987	-0.0122106360415019	-0.15043705088997542	0.17681099641551656	0.05294341346455756	0.006892243031755673	0.007610721553624524	0.05105311929017325	-0.08582744986960285	-0.05581380199393422	-0.03252734859786179
PI3	-0.010960198525377393	-0.05793359152218461	0.04311297825705621	0.12023579106164851	-0.04882197910916442	0.1375604653879902	-0.052860491249088995	-0.015494943423770252	-0.08194138351300845	-0.12007669520032012	-0.02312501500413574	-0.055914074971380213	-0.08192366460872816	0.05847561471581686	-0.05530071351769343	0.05482354174881381
TPSAB1	0.0053652650632181505	0.07412339624378331	-0.014550298108326193	0.015936735895963623	-0.07415905312539295	-0.02063542654589194	0.11869175407645148	-0.06656247812636762	0.06836571743127277	-0.12367296246922566	-0.16127175601671492	0.056851013939679874	0.1685235160945928	0.04419065580471634	-0.17068268803084738	0.1911542680859368
HES4	0.0514293246159089	0.03359242824053576	0.1246310879893834	0.08610369665585779	0.034705496795639605	0.052092756159671925	-0.05055324989596284	0.04492401835511644	-0.007975799214472518	-0.008698447302008529	0.05913635936948706	-0.021389593635358282	0.039956352242408726	0.0780498342253367	-0.063439905561663	-0.009000465134122681
CXCL2	0.06354542037648302	0.08055426658689244	0.07550687028947448	0.021275434478798663	0.03968896309674551	-0.03196912823131988	0.056944796435315775	-0.07238037917596736	-0.0027847382620993766	-0.028185474967163716	0.06772245273841535	0.03641178361626238	0.037622890817446075	-0.1889150679922591	0.008507703158020484	0.012644471376086375
GZMB	0.08400495125005594	-0.07332825211293133	0.0021324513159683466	0.0029617234131141448	0.006367533800904774	-0.015054089611773565	-0.03922674203817949	0.0432124865239302	-0.06150634741460766	-0.08789518489736545	-0.004808927380474109	0.04570757770068048	0.003408665825604331	-0.0070850624636899975	-0.08119814761316435	-0.0441283896942008
RGS1	0.058017803003841815	0.06159448577773345	0.08062071195744848	0.04340135044715827	-0.012520945839939282	-0.04758117062393864	0.050573878742461116	0.16406623201198306	0.010699449800398554	-0.04560236331817975	0.09927149664031913	-0.011743398968597064	0.011443992903055995	-0.04782472076672739	0.059573589819024796	-0.0715596795856072
GYPB	-0.026628017032839704	0.011558114103515182	-0.10121104388795567	0.08357272213768324	0.18328553577364246	0.049935027525013005	0.031935726622861864	0.06893613904875873	0.01988703417115076	-0.037010962421111654	0.019186855446767466	0.01183722916162283	-0.0076948170603312	0.01637880812175524	-0.00730041315341607	0.012913183934548834
IL7R	0.07869829976850876	-0.07609251239012257	-0.052134609539787054	-0.01338001745648534	0.015057567048774204	-0.016855052372565512	-0.07515123648409992	0.046850073006938706	0.01832086196876848	0.06271739463106171	-0.013482224400419705	0.08122408175226328	-0.009851889451868186	-0.08063001406374241	0.03711228108086708	0.05235796814031166
HIST1H1B	-0.06151911639083039	0.08686101033035243	0.02109386180474803	-0.02110192276005857	-0.05035419439312553	0.1003109396593076	0.0876077215272364	0.07783042937307294	0.028587391990556113	0.04304767393872051	-0.033640199794632696	0.11304677799833648	-0.03776736763653977	-0.08888759004168832	-0.047922255054971226	0.06603848358917055
ALPL	0.01977299224970541	-0.042889717385577494	0.047855176086068166	0.12751980172520141	-0.03777557142977316	0.1254427142965631	-0.04205382013669424	-0.03411083422773643	-0.05025139410087049	0.052156568137897534	-0.006306022372604474	-0.0507531954903978	-0.15835960562172388	-0.006198348124556179	0.015567834120120421	0.1217699929111614
