i,j,overlap,same_repeat
6,21,0.7104877478906508,0
6,22,0.7266691651593897,0
6,23,0.6866263622916654,0
6,24,0.6418333291042193,0
6,25,0.7459159918994982,0
6,26,0.6842250454672956,0
6,27,0.7150132253669903,0
6,28,0.7540679340088492,0
6,29,0.5901931953919134,0
6,30,0.6844142125349151,0
6,31,0.6975653317833754,0
6,32,0.6825142228582369,0
6,33,0.7229905478450898,0
6,34,0.7086311718268181,0
6,35,0.725243569146494,0
6,36,0.7471053349432974,0
6,37,0.7067036233383557,0
6,38,0.6827469313951262,0
6,39,0.6383859341625547,0
6,40,0.6948339790124344,0
6,41,0.7250574442375949,0
6,42,0.6801816234326428,0
6,43,0.6761734487245484,0
6,44,0.7272211549216061,0
6,45,0.75386441086545,0
6,46,0.7245641199465271,0
6,47,0.7196505731756386,0
6,48,0.648275354209352,0
6,49,0.7247772169146365,0
6,50,0.6509541306609546,0
6,51,0.6503571007263089,0
6,52,0.6899545961418667,0
6,53,0.6923385832457096,0
6,54,0.8337573226969127,0
6,55,0.6896456293648144,0
6,56,0.6998911715887567,0
6,57,0.5680296908022671,0
6,58,0.7636595803512599,0
6,59,0.7167405791466224,0
6,60,0.7179184796412204,0
6,61,0.6738243071112346,0
6,62,0.7015296809643814,0
6,63,0.6989777222268511,0
6,64,0.7125730344874948,0
6,65,0.7032686335509926,0
6,66,0.6912673445532236,0
6,67,0.6370366113766361,0
6,68,0.8062971529365005,0
6,69,0.6680245561945473,0
6,70,0.6660030607873393,0
6,71,0.7581147834111113,0
6,72,0.7085950251638113,0
6,73,0.6331310349079196,0
6,74,0.7951385716386603,0
6,75,0.6677335593597511,0
6,76,0.6764396498894265,0
6,77,0.7072027297346373,0
6,78,0.7405193885852481,0
6,79,0.7114721309779989,0
6,80,0.6242270760623956,0
6,81,0.7690437927150081,0
6,82,0.7277070081549527,0
6,83,0.6715636494961746,0
6,84,0.688642725493067,0
6,85,0.6459242008734982,0
6,86,0.7414445637207112,0
6,87,0.6771551219996617,0
6,88,0.7158308235943169,0
6,89,0.7278491011456001,0
6,90,0.6774567722803191,0
6,91,0.6582452366724862,0
6,92,0.7031924917859814,0
6,93,0.7416417804495492,0
6,94,0.7532265763548687,0
6,95,0.6943355073048946,0
6,96,0.6299361426796701,0
6,97,0.7621731261809372,0
6,98,0.7269900129077645,0
6,99,0.716106584265458,0
7,8,0.5926637571527925,1
7,9,0.6659980413336212,1
7,10,0.6852936906947805,0
7,11,0.7311662619552721,0
7,12,0.6788005046264132,0
7,13,0.6422056061195951,0
7,14,0.6359707160278858,0
7,15,0.7250479733157934,0
7,16,0.6272999306818325,0
7,17,0.6878247273426277,0
7,18,0.7015853493621573,0
7,19,0.6320172844387903,0
7,20,0.6642325700545462,0
7,21,0.6585976317549587,0
7,22,0.7150652211967334,0
7,23,0.6745638703110183,0
7,24,0.6791891226339479,0
7,25,0.6046745537525224,0
7,26,0.7085609964715756,0
7,27,0.7131033849482097,0
7,28,0.6671034220989445,0
7,29,0.7206206429874229,0
7,30,0.7366155203691911,0
7,31,0.6665597659721282,0
7,32,0.6701932027847541,0
7,33,0.6719761354527386,0
7,34,0.6355822489967616,0
7,35,0.6449722727662976,0
7,36,0.6992790915260798,0
7,37,0.6765487597353453,0
7,38,0.6698662850705805,0
7,39,0.7700665478465339,0
7,40,0.6824161039694239,0
7,41,0.6834246831060917,0
7,42,0.6708177055374165,0
7,43,0.6864266890430373,0
7,44,0.706948603389429,0
7,45,0.7241131083240514,0
7,46,0.6415656772182246,0
7,47,0.7134896548919487,0
7,48,0.6796626944624583,0
7,49,0.6676597117760938,0
7,50,0.6481816748403071,0
7,51,0.720204733708826,0
7,52,0.6564310807527433,0
7,53,0.7218786546775016,0
7,54,0.6387904210589123,0
7,55,0.7186425314130175,0
7,56,0.6152630057164208,0
7,57,0.6514076086316252,0
7,58,0.6656043139212646,0
7,59,0.7006176154668995,0
7,60,0.6899797488104884,0
7,61,0.7367934361630397,0
7,62,0.6638455185403502,0
7,63,0.6833431657075972,0
7,64,0.6454863610435544,0
7,65,0.6896537907171787,0
7,66,0.6978848120623156,0
7,67,0.7783539827412629,0
7,68,0.636996941286478,0
7,69,0.6540277807081083,0
7,70,0.7627130680191563,0
7,71,0.6618198043262911,0
7,72,0.6467787898353053,0
7,73,0.6859486127679515,0
7,74,0.6067347147485651,0
7,75,0.636580477456254,0
7,76,0.8015570003109216,0
7,77,0.660132059605701,0
7,78,0.6987169358287675,0
7,79,0.6507398605822582,0
7,80,0.6495647398542057,0
7,81,0.6525644094236587,0
7,82,0.7082853776178404,0
7,83,0.6922723597155535,0
7,84,0.712776906121935,0
