null_rep	AC_spectrum_cosine	AC_distance_w1	BC_spectrum_cosine	BC_distance_w1
170	0.5974755087419895	0.18998530662265475	0.5482950605625178	0.15646973086504504
171	0.5943445044614715	0.19831812061953355	0.5442169661156824	0.1648023329255732
172	0.615522069886717	0.18344198930802813	0.5661331707264297	0.14992413094503734
173	0.6051707801621399	0.20502398872432795	0.5550506285273518	0.17150803299099102
174	0.5965767329225121	0.17823848094870956	0.5463177088037202	0.14472281629709752
175	0.5984207667050054	0.19455921734978396	0.5482639975881983	0.16104358862533752
176	0.590022323630876	0.18815127932778447	0.5397075452619777	0.1546336200723828
177	0.6014213264046853	0.18052817840836058	0.5522258418063594	0.14701245795427662
178	0.5925293645035904	0.18105814304091714	0.5425773172394878	0.14754206522698207
179	0.6046790902784984	0.19006033178944565	0.5550936321707568	0.15654013127759725
180	0.6000754245117529	0.18526955310470308	0.550591376464301	0.15175128025820972
181	0.6094314983622021	0.19521465116573497	0.5597015394739783	0.16169366546617636
182	0.6043696050661893	0.19291580859300836	0.5557680046032502	0.15939946062749968
183	0.599724293616934	0.18610912825290854	0.54975376974361	0.15259317012151055
184	0.5952885585866007	0.1937722222237859	0.5452367255516131	0.16025388255298814
185	0.6035103931505142	0.1983742993586258	0.5534812432732208	0.1648588005358776
186	0.6088563611097806	0.18890280091671266	0.5594187934293019	0.15538686277117889
187	0.5954256541631224	0.19990807394815843	0.5458947997091913	0.16639192171377093
188	0.6111606363693112	0.18379272375685624	0.5613025562708885	0.1502762264291145
189	0.601645221380645	0.1905465906732985	0.5518931720465425	0.15702794558727903
190	0.6152921964860201	0.18781976405722378	0.5664723880638068	0.15430122863961795
191	0.5933758012014904	0.1888534346811389	0.5425647514728503	0.15533806921565366
192	0.5927122154014528	0.18598039913949713	0.5433517746544787	0.1524624820780879
193	0.6064963666079158	0.19894778220893997	0.5571863479194046	0.1654317667166434
194	0.6021794965339944	0.19122864219466773	0.5521203981379608	0.15771079502764765
195	0.6109210364491937	0.19153999687866533	0.5614230718534747	0.15800938205205844
196	0.5865016181101855	0.19038430868178263	0.5360655878779073	0.1568675778808088
197	0.5951632218266193	0.18353735247952216	0.5453868094177488	0.1500200829163271
198	0.5997028755126984	0.17681544516274925	0.5498325112255157	0.14329946129892193
199	0.6050467051985848	0.1794292316151651	0.5554711619408703	0.14591340865974567
200	0.6000633449931047	0.18538165512817736	0.549781583111708	0.151862572333743
201	0.5892072576905276	0.19075827296069794	0.5396769582248346	0.15724262260046418
202	0.6034031226457243	0.1884858223827765	0.5533005583300558	0.15496908622595007
203	0.5882979906314736	0.18881042665676362	0.5386016745061131	0.1552936103400991
204	0.6019333635062644	0.19440128121691766	0.5528799568869512	0.16088599288753447
205	0.5992554036923192	0.18311557780417576	0.5496503480691025	0.14959998262274235
206	0.5932143474955011	0.18856305259911174	0.5421352174410486	0.1550478256794014
207	0.607616946232512	0.1821325102375518	0.5582345379201419	0.14861675468588623
208	0.5983607435099735	0.19291964630614286	0.5483292850338468	0.1594006407471635
209	0.5947009695474401	0.18137318470420113	0.5455334802204106	0.14785638558454614
210	0.6116890400479754	0.20145670285606462	0.5637782268095067	0.16794101716134596
211	0.5912683232580112	0.19013291953902836	0.5409043076966226	0.15661707205172343
212	0.5942919106355444	0.18725462503974696	0.5435326644734296	0.15373819000004382
213	0.5900248380341224	0.1889701566980604	0.5387849584980622	0.15545448670153425
214	0.6024209050104883	0.18324197400167763	0.5532438631333907	0.1497254181997113
215	0.5993849696131109	0.18506202521150278	0.5497232706328593	0.15154643709468998
216	0.5946801165953589	0.19998726102162243	0.5450425896334721	0.16646863898637043
217	0.5975737900674444	0.19549931388105357	0.5482241323054828	0.1619815163258793
218	0.6135445230052576	0.19219104025017653	0.5642150459005515	0.15867334827979987
219	0.604034047980888	0.18116085393563802	0.5539148616573918	0.14764319310907173
220	0.5925673932044198	0.19190716016119067	0.5431209060633788	0.1583909608698348
221	0.5863424771849505	0.18987522685418695	0.5363850970590215	0.1563593321383609
222	0.607633308215902	0.18235686800026815	0.5581253396511582	0.1488386952362444
223	0.597347641868733	0.17549294735404455	0.547826539545503	0.14196321729246913
224	0.6021029224526859	0.1823223787079034	0.5527227078429205	0.14880203665210304
225	0.6128049200484066	0.1844461141468955	0.5637663227017521	0.15091341839589315
226	0.6009126675467277	0.19675247075862196	0.5510723202706294	0.1632365820134374
227	0.6023450833231534	0.1934171049359799	0.5528505664276989	0.15990148015478728
228	0.6044034260382306	0.1872902447759057	0.5549038019444343	0.15377085547912775
229	0.5940585020598548	0.17750891652758527	0.5440420061940463	0.14398470319367968
230	0.6063705422077803	0.19335603105604063	0.5576231664338971	0.1598402647410609
231	0.5999678366309545	0.1797071386292202	0.550480895433094	0.14619094666473675
232	0.6009389861339689	0.19341794863233722	0.5502588601259099	0.15990188406167252
233	0.5975873229665263	0.19218818588053507	0.5473394680765147	0.15867181835541455
234	0.6044897927472045	0.1918160944935736	0.555050112182149	0.15830029459430153
235	0.5921706930476575	0.19364393154853482	0.5422755537116988	0.16012810797399699
236	0.6031253770007693	0.19204438845629476	0.552715319151478	0.15852914795256146
237	0.5860464848314413	0.17901233696804603	0.5353592396621283	0.14549582022386168
238	0.596563055122134	0.1859108940057839	0.54625013886213	0.15239300135803116
239	0.598738683471494	0.19271602499556367	0.5488135002271967	0.15920046463430718
240	0.5955398045258566	0.19399873526639513	0.5458199401038907	0.1604822942676869
241	0.6139968157509705	0.18190125862355455	0.56451711650988	0.14838562706153724
242	0.596403786751821	0.19170564303468005	0.5463446417783449	0.15818406576720181
243	0.5999262470684075	0.19017710280576322	0.5490425476030983	0.15665363986197922
244	0.5980800878885787	0.20030665681293008	0.5477008801290131	0.16679008842317228
245	0.595019509111945	0.19239040272102947	0.5453346976919332	0.1588678512198383
246	0.6039373136667061	0.19661715452576592	0.5543798851793407	0.16310045398020856
247	0.6022158262229917	0.17612320388953123	0.5526721591745651	0.14260390704811973
248	0.5919258816285616	0.18226552868784657	0.5418061539992759	0.1487466956586912
249	0.607328655581667	0.1891214812893157	0.5577822215253849	0.15560583970736086
250	0.6150426760848111	0.19519103964626766	0.5663888558311818	0.16167539965484473
251	0.6197764692610089	0.19984232030207386	0.571134771692194	0.1663264930631777
252	0.602387829810838	0.1951606999826504	0.5526532217784801	0.16164524913286057
253	0.6060452688869208	0.1893585671603884	0.5563259505405987	0.15584275710272572
254	0.6050958699217482	0.1939892951296449	0.5560943231353217	0.16047340229423235
255	0.601058517516123	0.17853667758868938	0.5517385972239581	0.14500738238866837
256	0.5957144841324575	0.19145086484110566	0.5458078237720365	0.15793227200422505
257	0.6031107703986847	0.1950337720232995	0.5541847444486662	0.16151180449363794
258	0.5995195021506775	0.18977197481905386	0.550272792570615	0.15625515032623327
259	0.6034189027772306	0.18762081913959275	0.5531373164161547	0.15410509408501114
260	0.6028620455075505	0.18372073307176082	0.5535384583143642	0.15020484101428674
261	0.5988991014101795	0.1981930672340579	0.5495974285991244	0.16467736216564477
262	0.5879418246208853	0.19548335029649835	0.5364857672441428	0.16196715745038057
263	0.5988686023298201	0.18294753330976138	0.5486291766010042	0.1494313835491871
264	0.5921823555177756	0.18394179522249987	0.5414575242703279	0.15041953985557152
265	0.6011418695145421	0.19376473705740263	0.5518148594995489	0.16024924573179014
266	0.6017130931594913	0.1773508274043194	0.5522028749614447	0.14383297592027972
267	0.6139943475446653	0.18658071175918484	0.5649164375680307	0.15306468618543298
268	0.6026940650576177	0.18756083213146296	0.5530380773802859	0.1540451186998686
269	0.6061004137323396	0.1878364477300321	0.5568575403392813	0.15432046137954444
270	0.5952118936357247	0.19420349055427855	0.5448780258426319	0.16068665936104126
271	0.610489612946796	0.18546224543828477	0.5619168070885745	0.15194582014254626
272	0.5923827144884082	0.18321799858453913	0.54121744403554	0.14969880747176573
273	0.6187729537403991	0.19097977518218598	0.5702015765944378	0.1574636482559693
274	0.6158909924401706	0.181810795968458	0.5663124772351309	0.148294996543826
275	0.5884349692366511	0.18614107112933023	0.5382936416414026	0.15262559427063974
276	0.6100300898693346	0.18828667019302683	0.5600441274135168	0.15477105300355484
277	0.6116747241977198	0.19073010670549598	0.5625069687901771	0.15720345623268872
278	0.5886647757535592	0.18556131714775995	0.5387599101339078	0.15204509207165506
279	0.5977106357511918	0.18458122646490008	0.5475315531243189	0.15106556681160738
280	0.6030927679617887	0.1958952248982834	0.5534680348969383	0.16237938536664945
281	0.5953854816911215	0.17356545293714545	0.5460258274855185	0.14004879115658797
282	0.6049411350799946	0.19174401759908535	0.5558151950832441	0.15822842169607274
