resample	n_good	n_poor	observed_centroid_distance	null_mean	null_sd	z_null	empirical_p	top256_overlap_with_v47_2	top256_jaccard_with_v47_2	pca16_cumulative_variance
86	66	10	6.397344833085624	4.951351144077501	1.504409249403577	0.9611704325677253	0.16167664670658682	239	0.8754578754578755	0.8758828214160703
87	66	10	7.731886877363078	4.96208741608142	1.551867024880815	1.7848175242298099	0.05389221556886228	239	0.8754578754578755	0.8854964072663037
88	66	10	9.210683991220948	4.956730189115782	1.7459885800838142	2.436415593222815	0.029940119760479042	240	0.8823529411764706	0.8892058208295679
89	66	10	8.636192833129371	4.909876035732705	1.512556473402182	2.4635885422612285	0.023952095808383235	234	0.841726618705036	0.8889250452086531
90	66	10	7.201692546591212	4.865897761912054	1.55625807237886	1.5009045261424516	0.08982035928143713	238	0.8686131386861314	0.8787837725214742
91	66	10	8.273139174258937	4.96094302951666	1.6292378279419824	2.0329727728739093	0.0499001996007984	242	0.8962962962962963	0.8830965965021644
92	66	10	7.404448970159244	4.8894435910797815	1.5413639573748514	1.6316752231334462	0.06187624750499002	231	0.8220640569395018	0.878028371858458
93	66	10	8.023722975153364	4.924604101764971	1.4871090538229665	2.083988975402559	0.041916167664670656	240	0.8823529411764706	0.8803321071283166
94	66	10	9.28305758458191	4.942396868356929	1.586179159251157	2.7365513478781476	0.015968063872255488	235	0.8483754512635379	0.8798563239447443
95	66	10	8.12129674775377	4.898474905782797	1.5146172944615937	2.1278126519191765	0.043912175648702596	237	0.8618181818181818	0.8794775323641761
96	66	10	7.933818362806089	4.926452747674684	1.4384782680192372	2.0906576637216086	0.03992015968063872	235	0.8483754512635379	0.8722019726851958
97	66	10	9.457294642409078	4.9064070512221285	1.3903131579743024	3.2732824005043795	0.00998003992015968	238	0.8686131386861314	0.8795565110533262
98	66	10	8.013305041294657	4.955210741637314	1.6183088156253547	1.8896852505098785	0.05389221556886228	235	0.8483754512635379	0.8817655725897915
99	66	10	8.958220188838709	4.86852951597591	1.5646580051169254	2.613792061580371	0.015968063872255488	240	0.8823529411764706	0.8820219688489974
100	66	10	9.374334557829096	4.901648422812024	1.5098598229234719	2.9623187974873164	0.005988023952095809	236	0.855072463768116	0.875123721725365
101	66	10	8.624333864670445	4.908476796623201	1.5647654070848382	2.3747055317192216	0.031936127744510975	233	0.8351254480286738	0.8847047480606783
102	66	10	8.608592358701232	4.9654601298217855	1.4916146703028894	2.442408419152694	0.033932135728542916	236	0.855072463768116	0.8843383193559042
103	66	10	7.286010727691766	4.8106174453938255	1.3446729026804702	1.8408887970922092	0.05389221556886228	236	0.855072463768116	0.8664552690145435
104	66	10	9.02325583519765	4.77866815190873	1.2890574741835807	3.292783889234429	0.005988023952095809	237	0.8618181818181818	0.8747543099374586
105	66	10	8.812644694211793	4.865626863930732	1.3426544921105088	2.9397122293738964	0.011976047904191617	244	0.9104477611940298	0.8766108616999565
106	66	10	8.502348509956528	4.981305107883496	1.5002465815562118	2.3469764539777453	0.02594810379241517	236	0.855072463768116	0.8770574790395705
107	66	10	6.469316877039548	4.819896625717439	1.419624138243009	1.1618710945303494	0.12574850299401197	237	0.8618181818181818	0.8721099827780984
108	66	10	8.173935402733306	4.825919345084743	1.5512795846805971	2.158228658915735	0.043912175648702596	238	0.8686131386861314	0.8811489544188631
109	66	10	8.727676874166951	5.027313968397391	1.7157477195232806	2.156705711255559	0.043912175648702596	234	0.841726618705036	0.8877380198077542
110	66	10	8.03854968250778	4.805881964989921	1.416845733743765	2.2815947004873314	0.03792415169660679	240	0.8823529411764706	0.8821466147186984
111	66	10	10.433285631616885	4.867754241131006	1.4324462062287415	3.88533361063413	0.003992015968063872	234	0.841726618705036	0.8694681936509938
112	66	10	8.823163594882887	4.9533549337093845	1.4517138147184256	2.6656828790487817	0.01996007984031936	235	0.8483754512635379	0.8800162010900008
113	66	10	8.53171890236153	4.805491948961157	1.3523319437964325	2.755408515264122	0.011976047904191617	236	0.855072463768116	0.8786507504358769
114	66	10	8.463364752681366	5.014541076622827	1.6227065346873484	2.1253526761220782	0.041916167664670656	242	0.8962962962962963	0.8827694494574816
115	66	10	8.192790800132514	4.873079201878836	1.4550827835069318	2.281458921706679	0.03792415169660679	236	0.855072463768116	0.8833092137024691
116	66	10	7.8210888911054095	4.93084860991413	1.6004462089610094	1.8058965462310594	0.05588822355289421	236	0.855072463768116	0.8876382170834614
117	66	10	8.238562785411066	4.959992208830591	1.5285974768751178	2.1448227058982154	0.0499001996007984	232	0.8285714285714286	0.877839294603465
118	66	10	7.5670704844138745	4.856208988715396	1.4307825881465481	1.8946704538878676	0.04790419161676647	241	0.8892988929889298	0.8833707243323916
119	66	10	9.103073092290673	4.883223824651385	1.6671158443477827	2.5312273780771357	0.021956087824351298	238	0.8686131386861314	0.8835876823312263
