gene	raw_variance	cohort_mean	cohort_sd_ddof0
HLA-DMB	1.386542274444916	10.058223564468749	1.1775152969048497
CMTM2	1.3812780050530211	9.889984215354167	1.175277841641295
EPAS1	1.3795441943926425	6.4783750171770835	1.1745399926748525
CDC20	1.3778851218163057	7.71752598475	1.173833515374436
SELENBP1	1.3722520967423633	7.310616074854167	1.1714316440758987
KIAA1324	1.3708953099807812	6.540884717697916	1.1708523860763926
MX1	1.3702434702494777	9.53613720784375	1.1705739917875662
CLIC3	1.3612140498263072	5.723970119781249	1.166710782424808
SLC2A5	1.352219207398935	10.612840909166666	1.1628496065265423
HIST1H2AM	1.351002700405739	5.6766256218854165	1.1623264173224916
ARID5B	1.3497153152609018	6.766064897229167	1.161772488597015
APOBEC3B	1.3496493359762483	6.595533405541667	1.161744092292381
CLEC5A	1.3443474664376114	8.871273403541666	1.1594599891490918
TMEM176A	1.3414848381884816	5.805020314531251	1.1582248651226934
IFNG	1.3401134165519235	5.726820717416667	1.157632677731552
THBS4	1.334943525642884	7.66325805840625	1.1553975617262158
CD177	1.3348468962937934	5.82503624621875	1.1553557444760438
CKAP2L	1.3334991486970817	7.251564335343751	1.154772336305768
SOCS2	1.3323290220663417	8.100715593411458	1.1542655769216812
VSTM1	1.3275836810698411	10.068258568333334	1.1522081760991982
TREM1	1.3270637066057867	8.478369755947917	1.1519825114149027
CLDN5	1.3225976107540924	5.2031612944375	1.1500424386752397
SUCNR1	1.3165245549357245	7.686905780843749	1.1473990391035391
AURKB	1.3135974768465148	7.295488062687499	1.146122801817726
ACRBP	1.3037039028788189	6.5368765036562495	1.1417985386568066
LAMA5	1.3010782110253107	5.888833848489583	1.140648153913077
TMEM140	1.3001517221309549	6.613368626395833	1.1402419577137808
PLEKHA1	1.2957907829103539	6.7604104020625	1.1383280647117304
ASGR1	1.2843515908267504	7.353409612354166	1.1332923677616253
RRM2	1.2798880610570977	7.631764063458333	1.1313213783258484
TK1	1.27786681022402	7.942773309218751	1.1304277111890082
DLGAP5	1.2738037553311778	6.681839646421875	1.1286291487159004
CSF1R	1.272775627599905	9.198756665625	1.128173580438713
MCOLN2	1.2657591256047007	6.8234421138437495	1.12505960980061
AVPI1	1.2643220877324512	6.431889994302083	1.1244207787712086
SNCA	1.2626589999144926	9.787199784760416	1.1236810045179604
TMCC2	1.2591778203472315	5.506142060458334	1.122130928344474
CEP55	1.2573097880752482	6.574739507135416	1.121298260087497
GADD45B	1.2535396630490345	9.361240926604168	1.1196158551257813
CCNB2	1.2524822271880296	8.181150367239583	1.1191435239449985
EPDR1	1.2487085611865802	6.384674885062501	1.11745629050383
HMMR	1.247917458848788	6.306184589005208	1.1171022597993379
CRISP3	1.2457206232010063	7.3871344134895836	1.1161185524849078
GBP1	1.2431966143469173	6.638127225312499	1.1149872709349276
FAR2	1.2387660319451024	8.44689755703125	1.1129986666412062
STOX2	1.2326268500529127	8.195070114666667	1.1102372944793888
CYTL1	1.2323616064964293	5.9503786105000005	1.1101178345096658
CFC1B	1.232237676036036	9.548131561572916	1.110062014500107
TNFRSF21	1.2292080498267626	5.7686922145	1.1086965544398355
S1PR1	1.2291249373747437	5.992938425770833	1.1086590717505287
C15orf48	1.2273560819598208	5.587378182961804	1.1078610391018455
TROAP	1.226989507157519	6.824882804312499	1.1076955841554659
HIST1H1C	1.2259264797055847	11.035382048270833	1.1072156428201256
PRKCH	1.225509377066151	8.292617346947916	1.1070272702450246
PVRIG	1.2221622773971728	5.600446295552083	1.1055144853855026
IFIT1	1.2208248367463324	6.36707907565625	1.1049094246798388
PLCH2	1.2175426007066912	5.908133489770833	1.1034231285897043
FFAR2	1.2160961100636367	8.338309943354167	1.1027674777865168
PITX1	1.2156781449172	4.773498669677083	1.1025779541226102
CEACAM3	1.2155716139117492	8.212803709364584	1.1025296430988825
CD14	1.2130074256423387	10.68332561094271	1.1013661632910006
PLAU	1.2118116243808854	8.59357680878125	1.1008231576329077
RGL4	1.2066377944982847	11.37408212015625	1.0984706616465845
BEX2	1.2053177616665522	7.28117790040625	1.097869646937446
TSPAN2	1.2041109331587678	7.688528353067707	1.0973198864318314
IFITM3	1.2030056729379897	9.482039139979166	1.0968161527521325
HAVCR2	1.1999601803009063	7.580756970760416	1.0954269397366974
HDC	1.1999247944229585	10.976315403479168	1.095410787979997
TYMS	1.198267432072382	10.2303848411875	1.0946540239145803
HMOX1	1.1971462127286798	6.750601360572918	1.0941417699405682
PDE6H	1.195356608462793	7.588349261635417	1.093323652201302
AQP9	1.1945967554479735	10.549153657395834	1.0929761001266098
ZMYND15	1.1859017289277158	6.545285772364584	1.0889911519051547
HBQ1	1.1847878542149946	8.1125337458125	1.0884796067060671
FCGR3B	1.184759887253081	9.69822887821875	1.088466759829202
VNN1	1.1836808359615223	6.500731083635416	1.0879709720215527
NCAPG	1.181180017844756	7.7000253849895826	1.0868210606372863
XK	1.1806942853173998	6.026114445979165	1.086597572847188
CPA3	1.1755392166376764	10.024420071447915	1.0842228629934325
HBD	1.1741892037995718	11.865574356104167	1.0836001124951828
PPFIA4	1.1730319582090316	7.1743490446875	1.083065999008847
DDIT4	1.1714490185637991	10.127199452802083	1.0823349844497308
PLSCR1	1.169229641992433	8.01024036896875	1.0813092258888908
OSM	1.1689618367335197	10.405112492697917	1.0811853849981137
