gene	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
ANLN	0.09188861185694273	0.006747424715530507	0.014686312406383665	-0.02913347926598215	0.0032779208886810746	0.006672304525592636	0.021419223082889852	0.06661277658407437	-0.04309100595891863	0.00884788749607258	-0.001987447174992223	-0.0019045543810073872	-0.01227918992571075	0.0025250891003016467	-0.0020215651667162796	0.008801661752322365
TMEM158	-0.02420102469315496	-0.07842882707886421	0.06861575024763307	-0.026146606944888705	0.036995889166818695	0.1440353104787957	0.014221619142683445	0.08549298015262874	-0.07658384152431617	0.004457212341092959	-0.14025541241165343	0.1250512223476172	-0.02149758293500546	-0.04884009902720914	-0.07064246660641713	0.017951411918367636
HP	0.08640121732479082	0.021066980968679188	0.0024058795037155732	-0.020135630958818013	0.0942115065739398	-0.018906545309503937	-0.03164737635357009	-0.023325201887045347	0.012263645013183784	0.03887843911168421	-0.014971645609812895	0.01829650296053189	-0.013912355410392261	0.02721839598209118	-0.004989001648719557	-0.0040697147816756065
PRC1	0.09250831718275608	-0.006269198304133228	0.019563565524049573	-0.007323566075725714	-0.0006863712493827257	-0.01863300967791114	0.03342349040862745	0.06271316671096572	-0.04376065298001776	0.005626925205905383	0.019742370642905453	-0.016066995332910703	-0.02019323907318985	-0.0038752857694774106	0.001118187608135812	0.01777787524609508
IFI6	-0.004730571057778561	0.12193083432820619	0.11979370393894502	0.06640788321569152	-0.004272486800231186	-0.0014624145561225146	-0.02495920649588932	0.014742908524824072	0.026691390040176483	0.03204724186767807	-0.03710978506071944	0.01936793213279665	0.021987325074805053	0.04395584472055367	-0.12159282029443938	0.030727842900454185
CLEC11A	0.08203984619517687	0.0030202651101501996	0.0030478510961169337	0.01048226041803609	0.017077518867013673	0.08191359199404039	0.04838679424445067	0.039991740188072424	-0.04429225321318272	-0.06522733562118074	-0.012266062458920911	0.049943175244913166	-0.00834224126717719	0.006496863029207889	-0.011591237762655594	0.002933056254855747
HLA-DQA2	-0.05247469877018662	0.019278998043148518	-0.03868319274769737	-0.04478522657830478	0.049989648605314185	0.09933266201372798	0.02954892302328982	0.1200440755321456	0.045848478142366464	-0.08118643387714998	-0.003807144696489976	0.003798783585048365	0.07575081368655469	0.2086147825767315	-0.11857566571245344	-0.002918478476667586
DLGAP5	0.08886878434136775	-0.010472039033616737	0.03485535083745464	-0.013369071969208971	-0.042240234860641344	-0.0066103697440084725	0.014178008474163091	0.06740368909161244	-0.07607351020380747	0.0013754808650281952	0.004672426383571113	0.016773281943212138	0.011876823073863554	-0.0191646930927867	0.039018865253118096	0.028046941985605322
KIF11	0.09181839563518744	0.0037686056447317814	0.011146179943374229	-0.02075678465219392	0.007385204008667623	-0.021714303583222128	0.02448936612599672	0.07208074691181081	-0.050455789193540546	-0.003371011830521354	-0.0005468377957318035	-0.03199431137553961	-0.005679327639337758	0.01564976976318207	0.0065293241351477085	0.03533585254833899
TMEM176A	-0.02046438053226733	0.058453825244487105	-0.028601528233090437	-0.036275078280518396	0.04224363866275481	0.09243081523109846	0.06642557824650804	-0.08460326312176854	0.0865241115317193	-0.10855991596171077	0.09643741078133151	-0.010273464530389837	0.03840249964889845	0.001168239576055065	-0.009413283788260937	0.1657690855761428
LRRN1	0.08057551785762626	0.031898277239035586	0.001599925004416168	0.013594576168865603	0.005871422468981418	0.002884920478694255	-0.09899398688230797	-0.04916770439231296	-0.06763067086660488	0.08016364392804222	-0.04209947149804356	0.053616506744898165	-0.018294153707073893	0.1420643636930801	-0.01617476026155706	-0.048246493680339515
TPSB2	0.03789522109077583	-0.06630756510044966	-0.03162526071133067	0.13541132591063346	-0.027471165551734796	-0.0676143481645473	-0.03930563595089521	0.02171085353127592	0.14279782997460094	-0.06490795840774566	0.2075727978352183	0.07341873913731436	0.046475595131031916	-0.057581098878119706	-0.08743576129413128	-0.020995370028542962
LY6E	-0.02276549682596012	0.11889178356559743	0.11478498791672544	0.08385883608635832	0.013606404171764069	-0.016216874115545243	0.010277047165546574	-0.031128265858481684	-0.003193856341742215	-0.04611700158592852	-0.0037482230887465207	0.06933662515154872	0.014091627328048627	0.007372892864865833	-0.05895448457217766	-0.003170004591720211
ISG15	-0.013418203650165971	0.1202363582538375	0.12021917279787116	0.07818831359678798	0.012219915211038759	-0.04541063034365583	-0.044627428515087	-0.03172201613094289	0.018491877469065075	-0.0005967153382882401	0.005163463953743129	-0.00745728617507123	0.03876111426359966	-0.004492355253480299	-0.056161277839255744	0.04614678588122966
TPX2	0.08973850606070642	-0.010180967482744342	0.027201936829614585	0.007526590073251597	-0.020485929965024487	0.009415760592635871	0.02719585558816416	0.05497398572488781	-0.09918018816955604	-0.007846021311827727	0.049777762043027675	0.007717662493523749	-0.039519511396070975	-0.006418684853599408	-0.016687852955284792	-0.0003182880352878651
BUB1B	0.09285294196219115	0.001208345730306269	0.00831330489278711	-0.01450399684871244	-0.005551416730132251	-0.0036637849397802504	0.03590300723197505	0.03607558715667192	-0.026814374474436756	-0.0067963522396448815	0.028515562547935344	-0.028144225885462792	-0.00763078680479783	0.008800413026049135	-0.00419610986159542	0.007674129779780391
HERC5	-0.024615531314868794	0.12157281583173705	0.11556290837101492	0.06231731137985698	0.025516035731673124	-0.024485186819593066	-0.03843497572854942	0.02417060866208973	0.01400398105029581	0.04736120713644227	-0.010175957977958124	-0.042140592728207395	0.02170292741999379	0.012990703874575413	-0.039238265071587	0.04440429081071513
PF4V1	-0.03696699914204174	-0.04778758479452406	-0.009995868102464394	0.09479865777847167	0.09251253253383707	0.015513964752293514	0.008613710262029728	-0.017523309008679443	-0.07626274165910338	0.07672281840780615	-0.03607723238958999	-0.03804711093864519	0.04936460106820742	-0.12705121983905474	0.09197137059047508	0.14004543661197588
TTK	0.09090786438486145	-0.009294968491342788	0.0268691017226483	0.005866931331668997	-0.04785496780197151	-0.017430902603779854	0.012004786593477009	0.05125820128450147	-0.03318416491252279	-0.021868147585169417	0.0009427410254616442	-0.024446065656952204	0.009905784178040172	-0.00567629562617564	0.020608854421291647	0.01984103393358406
ORM1	0.07975516564569102	0.01190864947152736	-0.033226345140751755	-0.026888386383532005	0.08072205413275127	-0.02140448309544619	-0.08040996422360824	-0.05620595460170073	-0.035015486512052774	0.058423363761798554	0.03374025704928299	0.08209171853737175	0.07991611192253281	0.017767231258750644	0.08024882878310809	0.009508834452954898
LGALS3BP	-0.01079167105897765	0.11255473881861003	0.10931575580539304	0.05639887906699873	0.029363697811501204	0.03753979284486352	0.05018541718334465	-0.019647120195013187	-0.05315920482379914	-0.10866148135360801	0.019559896190097254	0.040724699310906984	0.038387182441437157	0.03369123427326559	0.028672308445897778	-0.06952398967663326
GPR84	0.08337261159783275	0.03532710143173361	0.005792728044972158	-0.013538722104585767	0.08427530013813746	-0.009761702058904047	-0.0900070792833865	-0.033372911851978916	-0.022849757415726583	0.052214897057023237	0.02830994235569633	0.0032161734860929585	-0.007516192140124357	0.056736260269292176	0.05057680928515245	-0.028612147977724316
MX1	-0.024660272602001623	0.12442617570046317	0.10584572137657197	0.06878243858775429	0.04432768065065795	-0.004985598275724429	-0.026513493626033738	0.011179523113309974	-0.0026524123950334845	0.014916692186885709	0.0002321201562048699	0.008594911198064428	0.006828421323247655	0.04578895833317322	-0.0732638055141169	0.021558855183297806
PTH2R	0.08157663062332604	0.01326849016773629	0.004314672724594111	0.015087581704091474	0.03125505516861372	-0.006944204524806691	0.011703440047071287	0.02703529032761009	0.06996357735707719	-0.057106498086169286	-0.044724544992421476	0.03881849204874855	-0.009656657937173267	0.07170452942816966	0.03272172159310775	-0.019790209888670373
CLEC5A	0.08754418990341194	0.027029939251092542	0.0029176128337975336	-0.02198022633810245	0.07605725918412035	-0.0018648243790429378	-0.015191223506138564	0.02396407677617858	0.023223867660119107	0.02236203914446915	0.0031128266095857113	0.0030225895372737966	0.006088712450045079	-0.001866373651342075	0.023560306170581358	-0.027641539068960237
FOLR3	0.04856704568916619	0.021353246176001085	-0.005106723017154684	-0.04272423576235556	0.0013356065191927457	0.025305305349593365	-0.0794664189685448	-0.10172270624292436	-0.01596222869119189	-0.061363278994511584	-0.05382381723486168	0.006696391007427933	0.11592193966199274	-0.08179639736701924	0.11214650280287154	-0.024741488640511792
