null_rep,mean_normalized_projector_overlap,median_normalized_projector_overlap
504,0.05625337808438346,0.0560888437825322
505,0.05605932519333912,0.055920396473707626
506,0.056124963818754925,0.05602819684210339
507,0.05639204775080198,0.056217622933752015
508,0.05629194443569145,0.0561920458117728
509,0.05624346654851635,0.056132120178404965
510,0.05617212259868102,0.05611023378997499
511,0.05619930214749408,0.05598870621590546
512,0.05607798997040154,0.05588442612644999
513,0.05633339645909723,0.05613914817975855
514,0.05631361123862206,0.056181163066457325
515,0.05630362849885775,0.05625925325270846
516,0.05624179293888078,0.05612113026708488
517,0.05605159379320836,0.0560006908493081
518,0.056311265205937516,0.05618449313272847
519,0.056037526730849184,0.055887943495437166
520,0.05614773112003496,0.05604339672464055
521,0.05628942961859625,0.056206408690571925
522,0.05645219684378801,0.056319958336616044
523,0.05612446802288316,0.05596358550516532
524,0.056138104140431674,0.055886298524443274
525,0.05622584035006901,0.05615593997614687
526,0.0562755799335725,0.0562133431679028
527,0.05616064685564528,0.05611772503997998
528,0.0561130892772732,0.05610314833682333
529,0.05629162277422384,0.05610211808472835
530,0.05624353654501604,0.05618103705315644
531,0.056172469904966514,0.056102429083862
532,0.05610261322159904,0.05597038024582471
533,0.05612732115174241,0.055988105694857765
534,0.05622049613990125,0.0561382401738341
535,0.05636441543511813,0.056282822002329785
536,0.05627449304221757,0.0560834538065156
537,0.056224750480867926,0.05612272215682326
538,0.05617259991749059,0.056049907523871345
539,0.05630752639938946,0.05624227847928888
540,0.056165827335580676,0.05610932939206272
541,0.05606769710485559,0.05593815040528657
542,0.05610269604129222,0.055986266833891796
543,0.05618478696366149,0.05607184089764038
544,0.05608375378830979,0.05588105440730448
545,0.05614310744435041,0.05592952728608338
546,0.05621225880734082,0.05614441775942565
547,0.056146549449746716,0.055890304647846
548,0.056088333490184696,0.055968148390951766
549,0.056173196040014126,0.05599102982045634
550,0.056195577688188704,0.05600505092597996
551,0.05628657334257521,0.056219508278247565
552,0.056238647598636636,0.05608008618920446
553,0.05621547089997993,0.05617723941490693
554,0.05623666568718602,0.05608718363466625
555,0.056227481243608594,0.056157121725537384
556,0.05620221548610716,0.05601180104888048
557,0.056183379782880315,0.05610178205272556
558,0.05619919468545828,0.05603025171227183
559,0.05624118058732563,0.05608708222113576
560,0.05619601257359984,0.05599458333161565
561,0.056147118865533585,0.05596918614051248
562,0.05602643634118583,0.05588693808530472
563,0.0563131670706171,0.056078304466217886
564,0.05615952173080518,0.05600118790236786
565,0.05621644457421934,0.05618049173124323
566,0.05629775146506417,0.05622242242116589
567,0.05610269622384651,0.05599362813948844
568,0.056309291852098244,0.056118818930977615
569,0.05617976720898767,0.055956017195991886
570,0.0562071905926216,0.05598128819075392
571,0.05611848347931819,0.055979567942110425
572,0.05629996706955995,0.05614581099393062
573,0.05607487081947571,0.055933843548980795
574,0.056104211756664205,0.05599016489356167
575,0.05623712758005722,0.05609759374686869
576,0.056235926355973895,0.0560822979802932
577,0.05621238599765839,0.056071895789667564
578,0.05622858476952443,0.05610796744648365
579,0.05614841382955969,0.056099182050312155
580,0.05613012221525839,0.05594848859300886
581,0.056306668438735864,0.05619485037281247
582,0.05631255605501627,0.056192260316193295
583,0.05612911886142683,0.05596753676163163
584,0.0561468029648318,0.05598791231617751
585,0.05623259787937223,0.056018513070450096
586,0.05621637843223317,0.05618220815551444
587,0.056240458669038464,0.0560807564490617
588,0.056240539633885867,0.05608464522784705
589,0.056130988091451235,0.05597918314141509
590,0.05624796681866515,0.05609925656867812
591,0.05626993450046944,0.05607137264316922
592,0.05624913614370876,0.05606849978229316
593,0.05624616808396998,0.05618957375089919
594,0.056264734213201266,0.05609579184206895
595,0.0562265910841652,0.056135303714992396
596,0.05629789571132129,0.05626638146902602
597,0.05625704356433644,0.0561176500052925
598,0.05615202375206157,0.05601020384440745
599,0.0561568487592152,0.05606405204539268
600,0.05608623015382348,0.05594239784219455
601,0.05626266987008061,0.05613989590850045
602,0.056063727436604656,0.055970108468347046
603,0.056159722355281265,0.055990651611194764
604,0.05621832289839879,0.0560800771001498
605,0.05623964317274548,0.05619134547568905
