gsm	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	mean_knn_distance	density_proxy	local_anisotropy	distance_to_centroid
GSM3737730	11.399546406684525	0.04821184532806009	4.967035569194284	5.942810663418324	11.184535062250411	3.08782097110762	3.8023563062936883	0.0872171432204894	2.276769837413557	-2.1093669154457886	1.246684756807912	-1.6191502750650264	0.011187718416815215	-1.3329896766395988	0.11318989450661278	-1.1368496161911115	15.356970309336088	0.06511701070308099	0.38842501962421505	18.865990899585015
GSM3737731	-6.780945661055894	-1.5802868088197974	-3.7571874920392974	1.699623748465756	4.157082514229266	1.6978570225306742	-0.49454023849982337	3.094480011023283	0.10928393232770432	-1.9296758574020165	-0.2653296693729513	-0.41111718883830184	-2.182396483229237	0.2920270685929245	-2.3430980233904593	0.40715383494868557	10.317612245492239	0.09692164971956595	0.275106809526568	10.48556937693126
GSM3737732	-2.3766333537749764	-0.23024401617001666	-2.4724101735605752	1.4187726758412333	4.037469161031188	-1.8715172756141298	1.1341244207701027	0.23539680113284495	-3.1132473532714107	1.7816848626903625	-3.933908524278352	-2.338259861478401	2.5992650230109833	1.6846138587080912	-1.6953330543185563	3.009124674533279	11.326197845186432	0.08829088222442678	0.31150483101564136	9.502915544547372
GSM3737733	3.8576000075950176	-2.2907028553854007	2.3034170450584983	-1.583026474278526	1.4229165400874848	-8.718925899307823	-0.5563649144838236	0.6443469855476102	-2.307356474458638	-1.7825457051190914	-2.6590180824320098	0.7295070084829076	-1.2883064767575803	-1.2914208198217538	-0.7782643366238395	2.5201074867126048	10.773852818111704	0.09281730657382171	0.288243046934438	11.53677791798428
GSM3737734	15.731686145580287	-1.2924419314816686	-2.5259594670183656	4.841679993846988	-8.359356632568584	5.760522798396437	-2.0466084858763502	-3.8477518693756325	-2.942786697162679	-4.511882098297559	-2.8636312625924547	-0.1368261053015927	-0.16472437337611828	-1.300319685733973	-0.850966658723125	1.8797287057238605	15.449573612041116	0.0647267054166824	0.48294406341025686	21.077158896682153
GSM3737735	23.736371625606854	5.980069754399505	-4.605698095640556	0.7694164548291962	-4.639696755986543	0.7877496817365659	2.0186598543699183	1.9974958529445832	0.38502310633594383	1.655534486052593	0.2914345445838179	-2.5468231738610165	-4.047592469144515	2.635753402647823	0.4516849652489584	-1.6416365109915645	16.39679165436238	0.06098754079941537	0.4042355462144024	26.208449244887085
GSM3737736	-6.840373328491799	-1.5994346982486785	-0.054602319958688854	-3.484621756536499	1.3760520848597833	-4.586420677690626	-0.17775680995950494	-0.40086932892364585	-1.0924238785967886	-0.7269598784002826	0.13282818824784623	-0.895426851336987	-1.444659454796258	0.697413758011625	1.2180761394410158	-0.9210731371400743	8.578801996472055	0.11656639241832638	0.37341843865410185	9.594912285507531
GSM3737737	-6.29762509954066	-6.5106270840931675	-8.798225770520746	-2.3425944570220456	4.913717849020758	-2.53169563652171	0.1385005578299996	-0.8808625460718905	2.8926504071699126	-0.1726801371428441	-1.8955686695590457	-0.0576600850748272	0.8082553344303487	0.31739134963600046	-0.5824534653261045	-0.09157506139499337	10.84357239038113	0.09222053065159275	0.3994563381635423	14.47029652795218
GSM3737738	-10.211816206918096	-0.07363556026874468	2.792966590868045	-2.8642384117403172	0.9146915721500628	5.944256418912806	1.0012604157043896	0.310053088604664	-2.271909006895	2.6028790222763645	-2.3017915900779946	0.7814485721119243	-3.2256433861180764	0.41564530472699057	2.419279894579764	0.561077650212262	9.07734973376989	0.11016431329947035	0.2770387174506401	13.86186685216765
GSM3737739	-8.308402813531519	6.446028716726793	7.632007788526313	-2.266047033632511	0.05072531324644345	2.5842983214486983	1.9674629445361318	1.4080427425863022	3.544379595642151	2.167241115263564	-4.230057138377489	2.9205918562872926	0.2914339364081916	-1.1234177819866036	1.525605332033416	-0.02094581868084167	11.38075045057734	0.0878676678082492	0.3519467015278013	15.292342325801876
GSM3737740	-3.176539657365152	0.6292022614283321	2.0875333801319793	0.37539499619086014	6.315560188521216	-5.426286405554503	-1.747204112079962	0.6818636669905814	0.8044583211514179	-0.16694624933661717	-3.766821823980878	-0.14402403184772652	-2.2486673787835514	0.7691045863749786	0.39265796899506095	-1.2710106781918498	10.124421701528968	0.0987710734973518	0.33296712340412726	10.494567675821052
GSM3737741	-8.106273811277969	4.509046198058163	3.2537106466504797	2.1747378999679303	0.05837350569390697	-1.6424042521447086	-0.17040288168233939	2.6601102594387833	0.9583732456642502	-2.5196073653060442	1.6327665900752502	-0.07168538899966428	-0.7651982195943262	1.9953973071653461	-0.8987004735572764	0.5195793214358583	7.821119569922416	0.12785893260672807	0.30608353682602946	11.258247802412457
GSM3737742	-8.98187688269763	4.903358993938483	5.315881397009642	-2.784573700376752	-1.7462072278027703	-1.5032015348960923	0.7907954141966891	-0.02198504885522652	-0.018038886603995767	2.0041327350762677	1.2222565971815211	-0.1662828451991096	-0.5567808158641648	-0.03230474352472519	0.3689670441295274	1.5969515365090248	8.400000135556938	0.11904761712644649	0.31254047421303244	12.457931477732856
GSM3737743	12.985621015350496	0.2073382448946243	2.1446792045294996	-0.37791769480251286	-2.659226440598416	-6.276419363859874	4.111548122563592	0.11345951422570749	2.1479222777824845	-0.4517183292353547	-0.6701671818085244	0.7530063799201071	-1.0665101640977066	0.6200129249431494	0.721553172246387	1.2715544631370876	12.399821371231589	0.0806463230446195	0.4877631269736742	15.693551261772779
GSM3737744	-8.446286716834868	-5.00422984679599	-1.7148281769182296	-0.6195424228689879	2.4599354067496826	7.019798285405229	-2.4997561694203845	-2.01589009837392	-0.9787611534914878	-0.35573401608038935	-0.9703071481869294	1.3345983490663411	1.3519540795888865	0.39880406317631933	0.2412977874995338	-2.348274187678672	10.707585607091085	0.09339173523279215	0.3706335179432207	13.293404293817863
GSM3737745	-1.641030661361977	-1.6881771938254142	7.507922607220884	0.9247733263057607	6.772753872341014	2.3285335978662194	-3.8278456618786953	-4.471113574686135	-0.7333966631162716	0.1531241209007117	-2.241708350140995	-0.8661490247935867	-0.8526826701569303	-0.34159417514633394	2.4484306625309866	0.8555009578157964	12.425017362451365	0.08048278491923386	0.3036897310749053	12.75185442308669
GSM3737746	1.1673852273293475	1.9105598449318826	-3.3036380047848284	7.672941170815171	-1.6208670488928225	-0.6507476437153353	-0.2701595569646418	1.6295606408984926	-2.182555229683054	-0.8791552453624534	-0.6060247208240794	2.262804680759541	1.8447425889008595	0.27628361394068346	2.5589789742235496	-0.34504826191823224	11.778442297510498	0.0849008701440322	0.29246719422927625	10.087173332101747
GSM3737747	-6.018491147601694	-1.0097475720897822	0.298088093333529	0.8436293882062808	-2.403899412383965	-3.308868781023438	-3.6175164246483296	-0.3676792908158884	-0.13132052219050583	-0.30333692698460907	2.7311122855224896	-1.8103301243607437	-1.0615293958304117	1.6798681096034251	-0.6003272671566127	-1.1760871537907522	8.90261528979146	0.11232654309420488	0.4184656259960329	9.193979238529922
GSM3737748	-8.060150694318924	2.9244531305950785	0.6595319066053426	-2.1305466322257223	1.8739797911897504	-2.690929730817927	1.1057984695644398	0.6536785639635654	1.061367602104323	-1.9576532402207283	-0.18524692574049434	-3.3595770856678424	-0.07558857537973764	1.6991787268442573	1.4807866073391085	-0.3911984625724156	7.936065253484264	0.1260070284277	0.2540808484431436	10.602562181672221
GSM3737749	-1.1159360291189282	-7.199261696304044	-7.341509914072105	0.7307216878449456	-0.8306901003764326	-1.005367599869074	-4.188499246601761	0.1635594410417349	1.6606138478309007	2.7180113260034497	0.2768113974790313	-0.3417044461688653	1.2804459331476992	-0.034932837195660545	-0.8016236369167283	-1.7913402075439664	10.006211885611274	0.09993791970744488	0.48990085499401337	11.941874415818587
GSM3737750	-5.148169499130411	-4.302859011473416	-1.9518046288374553	-1.0786375436863376	-6.378115507708182	0.13460186297350507	0.03372717998261157	-2.1932097925345766	-0.07271619418313716	0.30475431349190607	-0.2865769420567628	-0.24177873864173283	2.792978288480386	-1.3616571087746805	1.5444494253828445	-0.4360634950659848	10.310095408606648	0.09699231290964819	0.48838441434940516	10.39086552082542
GSM3737751	-6.86775054869428	-2.98859018345795	3.4777441210891	-2.77171617589776	-1.3703721982649981	1.3340076409311667	-0.9664344799810388	-2.965513497133543	-0.5190862135097479	-2.046579884420246	1.7040362807160092	-3.184453776793848	-0.4278508949271128	-2.0084397548464663	3.5069923839496044	2.49018319357076	10.023941826935637	0.09976115357261651	0.300997522515315	11.378921989693739
GSM3737752	-0.35999550697611954	-9.792785414408241	-3.4843954360185814	-3.912596183876032	-2.859532442322279	-1.776366225020727	-3.339555683397493	-1.2932457479894948	1.8812431113838293	0.8477063713458892	-0.4034406113215787	3.047483175029161	0.29774394857401154	1.17746846806495	0.9667324375178374	1.2140497746355012	11.063738534413854	0.09038536086960126	0.4300437786491053	12.85404039786525
