gene	probe_count	probes
XIST	7	214218_s_at | 221728_x_at | 224588_at | 224589_at | 224590_at | 227671_at | 243712_at
TSPAN9	2	205665_at | 220968_s_at
RNASE3	1	206851_at
GJB6	1	231771_at
HBEGF	4	203821_at | 222076_at | 244857_at | 38037_at
HLA-DQA1	4	203290_at | 212671_s_at | 213831_at | 236203_at
SPOCK2	2	202523_s_at | 202524_s_at
CEACAM6	2	203757_s_at | 211657_at
MMP9	1	203936_s_at
LEF1	3	210948_s_at | 221557_s_at | 221558_s_at
KLRF1	1	220646_s_at
NRGN	1	204081_at
RETN	1	220570_at
SH3BGRL2	1	225354_s_at
GSTM1	2	204550_x_at | 215333_x_at
CEBPE	1	214523_at
CD19	1	206398_s_at
IL1B	2	205067_at | 39402_at
CD2	1	205831_at
SLC45A3	2	228696_at | 238499_at
TNFAIP3	2	202643_s_at | 202644_s_at
VCAN	5	204619_s_at | 204620_s_at | 211571_s_at | 215646_s_at | 221731_x_at
SLPI	1	203021_at
RHAG	3	206145_at | 206146_s_at | 211254_x_at
LGALS2	1	208450_at
PIK3IP1	3	1555632_at | 221756_at | 221757_at
ESAM	1	225369_at
PHACTR1	3	213638_at | 226397_s_at | 232045_at
TPSB2	3	207134_x_at | 216474_x_at | 217023_x_at
COL17A1	1	204636_at
TSPAN33	1	225775_at
TACSTD2	4	202285_s_at | 202286_s_at | 202287_s_at | 227128_s_at
CD83	1	204440_at
ABCA13	3	1553295_at | 1553604_at | 1553605_a_at
TGFBI	1	201506_at
ITGB3	7	204625_s_at | 204626_s_at | 204627_s_at | 204628_s_at | 211579_at | 215240_at | 216261_at
CYP1B1	4	202434_s_at | 202435_s_at | 202436_s_at | 202437_s_at
CCL3	1	205114_s_at
AHSP	1	219672_at
TCN1	1	205513_at
OSBP2	3	1569617_at | 221237_s_at | 223432_at
CD8A	1	205758_at
CEACAM1	5	206576_s_at | 209498_at | 210610_at | 211883_x_at | 211889_x_at
BPI	3	1563753_at | 205557_at | 244231_at
HLA-DQB1	10	209312_x_at | 209480_at | 209823_x_at | 210747_at | 211654_x_at | 211656_x_at | 212998_x_at | 212999_x_at | 215193_x_at | 221491_x_at
CD24	6	208650_s_at | 208651_x_at | 209771_x_at | 209772_s_at | 216379_x_at | 266_s_at
DEFA4	1	207269_at
ITGA2B	4	206493_at | 206494_s_at | 216956_s_at | 216966_at
S1PR5	3	221417_x_at | 230464_at | 233743_x_at
TGFBR3	2	204731_at | 226625_at
ITK	1	211339_s_at
CEACAM8	1	206676_at
EPB42	1	210746_s_at
GNLY	2	205495_s_at | 37145_at
ITPR3	4	201187_s_at | 201188_s_at | 201189_s_at | 239542_at
KLF9	5	203541_s_at | 203542_s_at | 203543_s_at | 228474_s_at | 230636_s_at
OLR1	1	210004_at
CX3CR1	2	1568934_at | 205898_at
PPP1R16B	3	212750_at | 233813_at | 41577_at
HIST1H2AE	1	214469_at
IFIT2	2	217502_at | 226757_at
OLFM4	1	212768_s_at
ARG1	4	206177_s_at | 231662_at | 231663_s_at | 231665_at
FPR2	2	210772_at | 210773_s_at
IFI27	1	202411_at
SERPINB10	1	214539_at
CLEC11A	3	205131_x_at | 210783_x_at | 211709_s_at
CRISP2	1	210262_at
CD7	2	214049_x_at | 214551_s_at
TOP2A	3	201291_s_at | 201292_at | 237469_at
ORM2	2	205041_s_at | 214465_at
HIST1H4E	6	205967_at | 206951_at | 207046_at | 208181_at | 208580_x_at | 214516_at
ADM	1	202912_at
IFIT3	2	204747_at | 229450_at
ICOS	1	210439_at
BAG3	1	217911_s_at
TNFSF10	3	202687_s_at | 202688_at | 214329_x_at
MPO	2	203948_s_at | 203949_at
SERPINE2	2	212190_at | 227487_s_at
ANXA3	1	209369_at
LY86	1	205859_at
TEX101	1	223906_s_at
MS4A2	2	207496_at | 207497_s_at
PTPN20	0	
SIK1	2	208078_s_at | 232470_at
BAMBI	1	203304_at
KLHL15	1	226370_at
GTSF1	1	227711_at
FGL2	2	204834_at | 227265_at
MAL	1	204777_s_at
FCRLA	3	235372_at | 235400_at | 235401_s_at
FOLR3	1	206371_at
EOMES	1	231776_at
NEU4	1	222957_at
MPL	3	207550_at | 211903_s_at | 216825_s_at
G0S2	1	213524_s_at
PROS1	1	207808_s_at
IRF8	1	204057_at
CHIT1	1	208168_s_at
DUSP5	1	209457_at
AQP10	1	1555338_s_at
CDCA5	1	224753_at
BEX1	1	218332_at
CD27	1	206150_at
GATA2	3	207954_at | 209710_at | 210358_x_at
CA4	2	206208_at | 206209_s_at
GBP5	2	229625_at | 238581_at
GIMAP8	2	235306_at | 240646_at
HLA-DMB	1	203932_at
CMTM2	1	229967_at
EPAS1	2	200878_at | 200879_s_at
CDC20	1	202870_s_at
SELENBP1	1	214433_s_at
KIAA1324	3	221874_at | 226248_s_at | 243349_at
MX1	1	202086_at
CLIC3	1	219529_at
SLC2A5	4	204429_s_at | 204430_s_at | 230705_at | 242525_at
HIST1H2AM	3	207156_at | 214481_at | 214542_x_at
ARID5B	5	1558000_at | 1558001_s_at | 212614_at | 235404_at | 241969_at
APOBEC3B	1	206632_s_at
CLEC5A	1	219890_at
TMEM176A	1	218345_at
IFNG	1	210354_at
THBS4	1	204776_at
CD177	1	219669_at
CKAP2L	1	229610_at
SOCS2	3	203372_s_at | 203373_at | 232539_at
VSTM1	1	235818_at
TREM1	1	219434_at
CLDN5	1	204482_at
SUCNR1	1	223939_at
AURKB	2	209464_at | 239219_at
ACRBP	3	223717_s_at | 223718_at | 230833_at
LAMA5	1	210150_s_at
TMEM140	1	218999_at
PLEKHA1	2	219024_at | 226247_at
ASGR1	1	206743_s_at
RRM2	2	201890_at | 209773_s_at
TK1	2	1554408_a_at | 202338_at
DLGAP5	1	203764_at
CSF1R	1	203104_at
MCOLN2	2	1555465_at | 230110_at
AVPI1	1	218631_at
SNCA	5	204466_s_at | 204467_s_at | 207827_x_at | 211546_x_at | 236081_at
TMCC2	2	1555503_a_at | 213096_at
CEP55	1	218542_at
GADD45B	4	207574_s_at | 209304_x_at | 209305_s_at | 213560_at
CCNB2	3	202705_at | 232764_at | 232768_at
EPDR1	1	223253_at
HMMR	2	207165_at | 209709_s_at
CRISP3	1	207802_at
GBP1	4	202269_x_at | 202270_at | 231577_s_at | 231578_at
FAR2	3	1557796_at | 220615_s_at | 239108_at
STOX2	4	226822_at | 231969_at | 234317_s_at | 234319_at
CYTL1	1	219837_s_at
CFC1B	2	223753_s_at | 228878_s_at
TNFRSF21	2	214581_x_at | 218856_at
S1PR1	1	204642_at
C15orf48	1	223484_at
TROAP	2	1568596_a_at | 204649_at
HIST1H1C	1	209398_at
PRKCH	3	206099_at | 218764_at | 230124_at
PVRIG	1	219812_at
IFIT1	1	203153_at
PLCH2	1	206080_at
FFAR2	1	221345_at
PITX1	2	208502_s_at | 209587_at
CEACAM3	3	208052_x_at | 210789_x_at | 217209_at
CD14	1	201743_at
PLAU	2	205479_s_at | 211668_s_at
RGL4	1	235816_s_at
BEX2	1	224367_at
TSPAN2	3	214606_at | 227233_at | 227236_at
IFITM3	1	212203_x_at
HAVCR2	4	1554285_at | 1555628_a_at | 1555629_at | 235458_at
HDC	1	207067_s_at
TYMS	3	1554696_s_at | 202589_at | 217684_at
HMOX1	1	203665_at
PDE6H	1	206841_at
AQP9	1	205568_at
ZMYND15	1	223683_at
HBQ1	1	220807_at
FCGR3B	2	204006_s_at | 204007_at
VNN1	2	1558549_s_at | 205844_at
NCAPG	2	218662_s_at | 218663_at
XK	1	206698_at
CPA3	1	205624_at
HBD	1	206834_at
PPFIA4	1	214978_s_at
DDIT4	1	202887_s_at
PLSCR1	3	202430_s_at | 202446_s_at | 244315_at
OSM	2	214637_at | 230170_at
