gene	subspace_leverage	projector_mass_fraction	effective_gene_beta	abs_effective_gene_beta	classifier_weight_share	leverage_rank_desc	abs_beta_rank_desc	weight_share_rank_desc
SLC4A1	0.08349713773899438	0.005218571108687149	-0.06745699876273305	0.06745699876273305	0.0010003743964237862	44	149	149
HBG1	0.08345417736572139	0.005215886085357587	0.23814555797643605	0.23814555797643605	0.012467905682013959	45	18	18
XK	0.08327965883279466	0.005204978677049666	-0.042984589626304394	0.042984589626304394	0.00040619456448408433	46	177	177
EPAS1	0.08207398926489125	0.005129624329055703	0.08915947384720625	0.08915947384720625	0.0017476060184105123	47	124	124
HBG2	0.0819018682337145	0.005118866764607156	0.23889132738919305	0.23889132738919305	0.01254611618261287	48	17	17
MS4A2	0.0816788217681725	0.005104926360510781	-0.024029930900632733	0.024029930900632733	0.0001269444100793855	49	213	213
DDIT4	0.0810263854211819	0.005064149088823869	-0.084010922353771	0.084010922353771	0.0015516009737582177	50	129	129
MX1	0.08055347133818899	0.005034591958636812	0.23573980551798968	0.23573980551798968	0.012217275845230536	51	20	20
FOLR3	0.08047988738324348	0.005029992961452717	0.020092232850539023	0.020092232850539023	8.874930136672534e-05	52	220	220
FGL2	0.07998473807986858	0.0049990461299917865	0.03655081025593872	0.03655081025593872	0.0002936990592427435	53	183	183
SLC45A3	0.07907245979424092	0.0049420287371400575	-0.008934876530365947	0.008934876530365947	1.7550344617758073e-05	54	237	237
IFIT1	0.0780882158483708	0.004880513490523175	0.193223537520749	0.193223537520749	0.008207834588026009	55	36	36
NEU4	0.0772627364503126	0.004828921028144538	0.12012616756201841	0.12012616756201841	0.003172369614013522	56	92	92
EPB42	0.07698856959351594	0.004811785599594746	0.08687682419063734	0.08687682419063734	0.001659267517432826	57	125	125
PCOLCE2	0.07689315674647244	0.004805822296654528	0.12466966017458647	0.12466966017458647	0.0034168828512502664	58	86	86
BEX2	0.0768566827790924	0.004803542673693275	0.15199616121151197	0.15199616121151197	0.005078948124397845	59	62	62
SPTA1	0.07670990917529472	0.00479436932345592	-0.26171053665256244	0.26171053665256244	0.015057433499079953	60	14	14
CCL2	0.07632086973217327	0.004770054358260829	0.0018882852047649515	0.0018882852047649515	7.838694131591969e-07	61	254	254
SELENBP1	0.07504965266909695	0.0046906032918185596	-0.026830033704067592	0.026830033704067592	0.00015825264384021216	62	201	201
HBEGF	0.07491756399008806	0.004682347749380504	-0.11693324287179545	0.11693324287179545	0.0030059691959911255	63	97	97
PPFIA4	0.07469653384795859	0.004668533365497412	0.23143636819265168	0.23143636819265168	0.011775293720337556	64	22	22
TMCC2	0.07431347831996264	0.004644592394997665	0.0072269837506550375	0.0072269837506550375	1.1482136204119258e-05	65	243	243
CLDN5	0.07396391109669592	0.004622744443543495	0.06230677464182516	0.06230677464182516	0.0008534519564229831	66	157	157
CD14	0.07389255121157781	0.004618284450723613	0.01867892234518774	0.01867892234518774	7.670296831866754e-05	67	225	225
ICOS	0.07389128609700908	0.004618205381063068	-0.13321283120384766	0.13321283120384766	0.003901221912634308	68	78	78
DLGAP5	0.07370279578698552	0.004606424736686595	-0.4094266574108008	0.4094266574108008	0.03685197512630348	69	2	2
CD177	0.07363937183541881	0.004602460739713676	0.07722401580302056	0.07722401580302056	0.0013110320293434313	70	137	137
TGFBI	0.07363296567625276	0.004602060354765797	0.034346382514661856	0.034346382514661856	0.00025934061862889957	71	190	190
ACRBP	0.07358570348194647	0.0045991064676216544	0.16913340659662698	0.16913340659662698	0.0062887934419047845	72	51	51
HIST1H2AM	0.07341148257528332	0.004588217660955208	0.19954748971475436	0.19954748971475436	0.008753889804860736	73	32	32
BAMBI	0.0733726127106168	0.00458578829441355	0.201795716492871	0.201795716492871	0.008952254587115495	74	31	31
HMOX1	0.07246733616155404	0.004529208510097128	0.0790832025204192	0.0790832025204192	0.0013749187476512891	75	135	135
GATA2	0.07244877248416637	0.004528048280260398	0.10420651326632299	0.10420651326632299	0.0023872520075249085	76	111	111
FFAR2	0.07196366117109486	0.004497728823193429	-0.0659887131921295	0.0659887131921295	0.0009572995545655614	77	152	152
RGS1	0.07188943494344473	0.0044930896839652954	0.11084067131645722	0.11084067131645722	0.0027008896008766095	78	102	102
AQP9	0.0709517032474121	0.004434481452963256	-0.03538800710429288	0.03538800710429288	0.0002753092158019771	79	187	187
CXCL2	0.0708997915895241	0.004431236974345256	0.0254733666511217	0.0254733666511217	0.00014265310570425182	80	207	207
VNN1	0.07071762777253386	0.004419851735783366	-0.09001650110063136	0.09001650110063136	0.0017813645032907284	81	121	121
PLAU	0.07002618833797633	0.004376636771123521	0.03299676596126981	0.03299676596126981	0.0002393598426257894	82	193	193
HBQ1	0.07000248063411962	0.0043751550396324765	0.0203762069256179	0.0203762069256179	9.12757105563379e-05	83	219	219
OSBP2	0.06988674812552681	0.004367921757845426	0.02479984148593286	0.02479984148593286	0.00013520923253179757	84	209	209
SERPINE2	0.06979600960965604	0.0043622506006035025	0.1990964818797269	0.1990964818797269	0.008714364263643184	85	34	34
HIST1H1C	0.0696713324438272	0.0043544582777392	-0.021858536130615423	0.021858536130615423	0.00010503902586548492	86	218	218
TSPAN2	0.06951742609915579	0.004344839131197237	-0.22476335572957168	0.22476335572957168	0.011106048170691576	87	25	25
HLA-DQB1	0.06914811461772563	0.004321757163607852	0.10475873995650355	0.10475873995650355	0.0024126208124217157	88	109	109
LY86	0.06912441284287194	0.004320275802679496	-0.0027429659523636116	0.0027429659523636116	1.654052810371555e-06	89	253	253
NRGN	0.06879787309074095	0.0042998670681713095	-0.21496565870804443	0.21496565870804443	0.01015890056516618	90	28	28
HIST1H1E	0.06857613350712545	0.004286008344195341	0.10179898876503302	0.10179898876503302	0.0022782189795413394	91	115	115
TMEM176A	0.06834236840096358	0.004271398025060224	0.17855342649997374	0.17855342649997374	0.007008820143964113	92	42	42
CMTM2	0.06765747204495241	0.004228592002809526	-0.012264433528998041	0.012264433528998041	3.306766470111351e-05	93	230	230
S1PR1	0.0674897123595542	0.0042181070224721375	-0.07500837515047994	0.07500837515047994	0.001236881384664894	94	141	141
C15orf48	0.06691478711798832	0.00418217419487427	-0.1834955865712598	0.1834955865712598	0.007402182424723209	95	39	39
CSF1R	0.06681753623602613	0.004176096014751633	0.07393332512598255	0.07393332512598255	0.0012016805048404326	96	144	144
IFIT3	0.06629979432190308	0.004143737145118943	0.16266752154261133	0.16266752154261133	0.005817149658952219	97	54	54
HIST1H2AH	0.06620302323829996	0.004137688952393748	0.09573333430333997	0.09573333430333997	0.0020148137605892273	98	116	116
FCGR3B	0.06610592685071008	0.00413162042816938	-0.08559538775090217	0.08559538775090217	0.0016106799965058594	99	127	127
TNFSF10	0.06609842737687531	0.004131151711054707	0.11909634911658339	0.11909634911658339	0.003118210536416721	100	94	94
HIST1H4E	0.06567476436337584	0.00410467277271099	0.13501096458608017	0.13501096458608017	0.004007251664663671	101	73	73
