fold,variance_pool,p_dim,real_topP_abs_fraction,null_topP_abs_fraction,delta_topP_abs_fraction,real_max_abs_eigenvalue,null_max_abs_eigenvalue,real_coupling_mean,null_coupling_mean,real_coupling_max,null_coupling_max,top32_jaccard_real_null,fold_runtime_seconds,budget,real_roc_auc,null_roc_auc,delta_roc_auc,real_balanced_accuracy,null_balanced_accuracy,delta_balanced_accuracy,real_accuracy,null_accuracy,delta_accuracy,topk_jaccard_real_null
11,256,16,0.33637394321963215,0.3273601026326363,0.009013840586995836,22.138105860333308,16.650600834778878,0.058017567648977135,0.05805254763589706,0.12073613146012654,0.11922341039943168,0.0847457627118644,0.2040623999782838,16,0.7633087633087633,0.7395577395577395,0.02375102375102378,0.6441441441441441,0.6392301392301393,0.004914004914004844,0.6428571428571429,0.6428571428571429,0.0,0.0
11,256,16,0.33637394321963215,0.3273601026326363,0.009013840586995836,22.138105860333308,16.650600834778878,0.058017567648977135,0.05805254763589706,0.12073613146012654,0.11922341039943168,0.0847457627118644,0.2040623999782838,32,0.8058968058968059,0.9271089271089272,-0.12121212121212133,0.7133497133497133,0.8447993447993448,-0.1314496314496315,0.7142857142857143,0.8428571428571429,-0.12857142857142856,0.0847457627118644
11,256,16,0.33637394321963215,0.3273601026326363,0.009013840586995836,22.138105860333308,16.650600834778878,0.058017567648977135,0.05805254763589706,0.12073613146012654,0.11922341039943168,0.0847457627118644,0.2040623999782838,64,0.9172809172809173,0.9164619164619164,0.0008190008190008813,0.8431613431613432,0.8144963144963145,0.028665028665028625,0.8428571428571429,0.8142857142857143,0.02857142857142858,0.29292929292929293
12,256,16,0.3297972460965376,0.31067184648530377,0.01912539961123383,17.267528080849907,15.554541214551149,0.058024587162492536,0.05809459685625476,0.1354448822106502,0.12317855474566637,0.18518518518518517,0.1974859000183642,8,0.6986076986076986,0.8525798525798526,-0.15397215397215402,0.6560196560196561,0.7723177723177723,-0.11629811629811626,0.6571428571428571,0.7714285714285715,-0.11428571428571432,0.06666666666666667
12,256,16,0.3297972460965376,0.31067184648530377,0.01912539961123383,17.267528080849907,15.554541214551149,0.058024587162492536,0.05809459685625476,0.1354448822106502,0.12317855474566637,0.18518518518518517,0.1974859000183642,16,0.9025389025389026,0.8091728091728092,0.09336609336609336,0.8415233415233416,0.7588042588042587,0.0827190827190829,0.8428571428571429,0.7571428571428571,0.08571428571428574,0.06666666666666667
12,256,16,0.3297972460965376,0.31067184648530377,0.01912539961123383,17.267528080849907,15.554541214551149,0.058024587162492536,0.05809459685625476,0.1354448822106502,0.12317855474566637,0.18518518518518517,0.1974859000183642,32,0.9041769041769041,0.9221949221949222,-0.018018018018018056,0.7977067977067978,0.8144963144963145,-0.01678951678951679,0.8,0.8142857142857143,-0.014285714285714235,0.18518518518518517
12,256,16,0.3297972460965376,0.31067184648530377,0.01912539961123383,17.267528080849907,15.554541214551149,0.058024587162492536,0.05809459685625476,0.1354448822106502,0.12317855474566637,0.18518518518518517,0.1974859000183642,64,0.9369369369369369,0.8820638820638821,0.05487305487305483,0.8566748566748568,0.7723177723177723,0.08435708435708444,0.8571428571428571,0.7714285714285715,0.08571428571428563,0.24271844660194175
13,256,16,0.3329153690631685,0.31362808916722185,0.01928727989594664,20.000039113048267,14.719470641021333,0.05802660549607175,0.0581923368922988,0.11886536723615011,0.11099942588057818,0.14285714285714285,0.20411290001356974,8,0.8705978705978705,0.9041769041769042,-0.03357903357903369,0.8177723177723177,0.8734643734643734,-0.05569205569205571,0.8142857142857143,0.8714285714285714,-0.05714285714285716,0.0
13,256,16,0.3329153690631685,0.31362808916722185,0.01928727989594664,20.000039113048267,14.719470641021333,0.05802660549607175,0.0581923368922988,0.11886536723615011,0.11099942588057818,0.14285714285714285,0.20411290001356974,16,0.8730548730548731,0.877968877968878,-0.004914004914004955,0.7940212940212941,0.7940212940212941,0.0,0.7857142857142857,0.7857142857142857,0.0,0.06666666666666667
13,256,16,0.3329153690631685,0.31362808916722185,0.01928727989594664,20.000039113048267,14.719470641021333,0.05802660549607175,0.0581923368922988,0.11886536723615011,0.11099942588057818,0.14285714285714285,0.20411290001356974,32,0.9402129402129402,0.9631449631449631,-0.0229320229320229,0.8464373464373465,0.8734643734643734,-0.027027027027026973,0.8428571428571429,0.8714285714285714,-0.02857142857142858,0.14285714285714285
