fold,model,rank,gene,coupling_score,global_gene_column
3,REAL,42,EIF1B,0.07785244629506623,5000
3,REAL,43,LOC100294362,0.07764929726186055,9987
3,REAL,44,ACTG1///ACTB,0.07753131498423117,206
3,REAL,45,ATP11B,0.07648542031107215,1246
3,REAL,46,DGKD,0.07600184014678385,4386
3,REAL,47,CEMP1,0.07592722854266473,2986
3,REAL,48,GNPAT,0.07533217864635369,6735
3,REAL,49,ANKRD50,0.07446755222848007,753
3,REAL,50,APBA2,0.07436186483109318,843
3,REAL,51,CSNK1G3,0.07420358222646185,3842
3,REAL,52,TSPAN5,0.07404763814201257,20393
3,REAL,53,TLR9,0.0735142277933345,19613
3,REAL,54,BCAS1,0.07304679599876752,1486
3,REAL,55,FGF18,0.07289954239652185,5928
3,REAL,56,MLNR,0.07281503561576534,12827
3,REAL,57,SLIT2-IT1,0.07216562699177187,18122
3,REAL,58,SSR3,0.07165729128680388,18738
3,REAL,59,CCDC77,0.07114099835215978,2601
3,REAL,60,BBS9,0.07109268897054857,1477
3,REAL,61,C7orf26,0.07105842099061274,2156
3,REAL,62,WHAMMP2///WHAMMP3,0.0709905966250596,21186
3,REAL,63,ANKRD36B,0.07081660815250723,741
3,REAL,64,SPERT,0.07065582034611431,18561
3,NULL,1,ADRA1D,0.1118500571321885,393
3,NULL,2,MOK,0.11169460602206577,12897
3,NULL,3,HAVCR1P1,0.10896487278253314,7194
3,NULL,4,LZTFL1,0.10330496810918807,12060
3,NULL,5,SNORA64///RPS2,0.0999526109331768,18301
3,NULL,6,LOC100131763,0.09970190477720108,9890
3,NULL,7,ACTG1///ACTB,0.09885084557016773,206
3,NULL,8,SP140L,0.09790250804329204,18468
3,NULL,9,XPOT,0.09755947815845768,21280
3,NULL,10,ARFGEF2,0.09659527955811731,943
3,NULL,11,CEACAM21,0.09572274826736374,2944
3,NULL,12,PCDHA2,0.09569092988756024,14653
3,NULL,13,C7orf77,0.09505326629427191,2171
3,NULL,14,AKR1C6P,0.09109108722837242,538
3,NULL,15,YTHDC2,0.09004270350347474,21328
3,NULL,16,FAM47E,0.08947887895755936,5658
3,NULL,17,SPHAR///RAB4A,0.08931466666146065,18568
3,NULL,18,ANKRD50,0.0887645275647115,753
3,NULL,19,SCGN,0.08786737186866725,17238
3,NULL,20,TMEM141,0.08763063218140632,19716
3,NULL,21,COPA,0.08625526725926916,3588
3,NULL,22,GLYR1///SEPT6,0.08550075701264996,6674
3,NULL,23,PGRMC1,0.08526991409056858,14933
3,NULL,24,TRAM2,0.08455291122975488,20165
3,NULL,25,EIF1B,0.0845077216340553,5000
3,NULL,26,LINC01107,0.08282973804305489,9524
3,NULL,27,GPAT2,0.08242434845608919,6793
3,NULL,28,ANKRD24,0.08231849428840853,724
3,NULL,29,FNDC4,0.08180388520016751,6106
3,NULL,30,LOC284395,0.08128576133763528,11459
3,NULL,31,BORCS6,0.08056422852589026,1651
3,NULL,32,SFT2D2,0.08012465051416519,17525
3,NULL,33,ZNF670-ZNF695///ZNF670///ZNF695,0.07973493472500688,21951
3,NULL,34,SH3PXD2B,0.07966003398774346,17601
3,NULL,35,NACA,0.07872101098725318,13377
3,NULL,36,HIRIP3,0.07792099761246221,7362
3,NULL,37,LRRTM2,0.07777324832231104,11953
3,NULL,38,ATP6V1E2,0.07773503758555408,1316
3,NULL,39,PLEKHA6,0.07671849679047352,15208
3,NULL,40,CGB1///CGB8///CGB7///CGB5///CGB3,0.07579529071793616,3111
3,NULL,41,IGSF11,0.07577233606628418,7936
3,NULL,42,LOC100294362,0.07561769114097455,9987
3,NULL,43,HHEX,0.07525240759680372,7328
3,NULL,44,ZNF197,0.07520155400390409,21618
3,NULL,45,LOC101929505,0.07505036936929155,10891
3,NULL,46,TBC1D22A,0.07466466400155422,19205
3,NULL,47,FAM151A,0.07400606467869279,5504
3,NULL,48,CACNG7,0.07392969561792669,2279
3,NULL,49,MRAS,0.07391936643052524,12959
3,NULL,50,ZAP70,0.07293369337411254,21347
3,NULL,51,EPB41L4B,0.07275285191420347,5182
3,NULL,52,P3H1,0.07189010634230072,14462
3,NULL,53,CD163,0.0717713731309436,2723
3,NULL,54,LINC00935,0.07136443018623054,9456
3,NULL,55,WTAP,0.07114513215537721,21232
3,NULL,56,ATP11B,0.07082789023871239,1246
3,NULL,57,SPERT,0.07080161283261664,18561
3,NULL,58,TXNDC12,0.07075747304819915,20575
3,NULL,59,NPM3,0.07070378721631476,13904
3,NULL,60,ALPK1,0.07062162571482967,615
3,NULL,61,MXI1,0.07053690347314791,13231
3,NULL,62,UTP20,0.06985966182929922,20904
3,NULL,63,SLC39A11,0.0697214947841049,17979
3,NULL,64,ASB6,0.06967411573516823,1141
4,REAL,1,RALYL,0.12218267946920512,16277
4,REAL,2,LOC105372762,0.11813791226757589,11230
4,REAL,3,BTN2A2,0.11338622673887025,1746
4,REAL,4,C16orf74,0.11128115874731431,1883
4,REAL,5,SFTPB,0.10970198259194604,17532
4,REAL,6,BFSP2,0.10866619987985592,1559
4,REAL,7,KANK4,0.10445363978777622,8352
4,REAL,8,SEMA4D,0.0984740175310529,17379
4,REAL,9,HSPBP1,0.0978146410710536,7693
4,REAL,10,ANK1,0.09768592966079825,684
4,REAL,11,GFOD1,0.09762606479015568,6525
4,REAL,12,CDYL,0.09641025822645975,2940
4,REAL,13,RPN1,0.09459992862205596,16913
4,REAL,14,HIP1R,0.09409716255073694,7355
4,REAL,15,DEGS2,0.09385410561586578,4334
4,REAL,16,GALNT2,0.09190639152067291,6376
4,REAL,17,FAM222A-AS1,0.09090163673806766,5611
4,REAL,18,FBXO6,0.08935473071212423,5831
4,REAL,19,PEAR1,0.08875810321018718,14839
4,REAL,20,ZSCAN29,0.08837390599641338,22124
4,REAL,21,FABP7,0.08829060068921003,5432
4,REAL,22,PLXNA1,0.08824037424790444,15277
4,REAL,23,BTN3A1,0.08819992431136144,1748
4,REAL,24,PINX1,0.08790740723435551,15078
4,REAL,25,GOLPH3L,0.08701898078258352,6769
4,REAL,26,WASF1,0.08695222811024651,21074
4,REAL,27,NUP88,0.08660354724721199,14112
4,REAL,28,FAM3D,0.08645628146369817,5645
4,REAL,29,CDIPT,0.08617801361662697,2876
4,REAL,30,HACE1,0.08536836671605799,7156
4,REAL,31,NRG1,0.08481990749515317,13969
4,REAL,32,SEPT3,0.08467971961238645,17413
4,REAL,33,UBXN2A,0.08443430394866128,20706
4,REAL,34,APCDD1L-AS1,0.08420256080406892,852
4,REAL,35,C10orf107,0.08391248772417122,1768
4,REAL,36,MBNL3,0.08327829814187483,12307
4,REAL,37,MATN1-AS1,0.08269088336202504,12281
4,REAL,38,LINC00305,0.08183975154393376,9211
4,REAL,39,CECR5-AS1,0.08170580171169718,2963
4,REAL,40,LINC01010,0.08145815742022672,9492
4,REAL,41,PRTFDC1,0.08122824224537625,15866
4,REAL,42,NARS,0.07936711384531502,13424
4,REAL,43,XBP1,0.07914640091583422,21252
4,REAL,44,RAD17,0.0787446515452291,16236
4,REAL,45,PDCD4,0.07838734192377965,14748
4,REAL,46,KIR3DS1,0.07799057519036506,8676
4,REAL,47,LINC00280,0.07778281438870076,9200
4,REAL,48,FBXO11,0.07770159706193444,5801
4,REAL,49,MIS18A,0.07753623430547683,12791
4,REAL,50,RGS12,0.07730934007524895,16573
4,REAL,51,TMPO-AS1,0.0770236188675057,19924
4,REAL,52,BCL2L2-PABPN1///PABPN1///BCL2L2,0.0766037796479836,1513
4,REAL,53,METTL7B,0.0765321735701354,12483
4,REAL,54,ZNF626,0.07623196527472961,21921
4,REAL,55,GNG2,0.0758617697432262,6721
4,REAL,56,RRS1-AS1,0.07514359290660927,17008
4,REAL,57,KMT2A,0.07468024177363722,8786
4,REAL,58,LINC01541,0.07412692921449554,9679
4,REAL,59,FZD1,0.07377152298598638,6288
4,REAL,60,TRMT11,0.07350886913514816,20296
4,REAL,61,LOC101928813,0.07347382526664846,10742
4,REAL,62,LINC01088,0.07260186523778683,9510
4,REAL,63,CDKN1C,0.07152590938302889,2911
4,REAL,64,CLIC3,0.07134338613938863,3353
4,NULL,1,TMPO-AS1,0.13228498298389868,19924
4,NULL,2,BFSP2,0.12260345508209834,1559
4,NULL,3,HACE1,0.11399315541933155,7156
4,NULL,4,SNRPE,0.10935401636875199,18358
4,NULL,5,UBXN2A,0.10358302576268826,20706
4,NULL,6,CDYL,0.1035596195786886,2940
4,NULL,7,CDIPT,0.10059978952700585,2876
4,NULL,8,LOC652276,0.09900993911466542,11713
4,NULL,9,FBXO6,0.0980330597709605,5831
4,NULL,10,SNX7,0.09768742432907808,18402
4,NULL,11,FLJ37035,0.09649723236218313,6048
4,NULL,12,KANK4,0.093301931931985,8352
4,NULL,13,FBXO11,0.09282989724397553,5801
4,NULL,14,BTN2A2,0.09253592206051714,1746
4,NULL,15,LINC01137,0.09088583200628265,9542
4,NULL,16,RAB11A,0.09015976673877509,16146
4,NULL,17,LOC101927709,0.08779568043882754,10496
4,NULL,18,KCNA5,0.08748549983860351,8388
4,NULL,19,LINC00870,0.08684208681206472,9414
4,NULL,20,VGLL4,0.08672455782510156,20969
4,NULL,21,ANKRD7,0.0859711945250293,761
4,NULL,22,MIR6785///TMEM94,0.08531239708715774,12750
4,NULL,23,EGF,0.08501353808214733,4963
4,NULL,24,BCL2L2-PABPN1///PABPN1///BCL2L2,0.08442856667717709,1513
4,NULL,25,DPY30///MEMO1,0.0833176973208473,4720
4,NULL,26,PGF,0.08211658404524809,14913
4,NULL,27,RPN1,0.08157224102001895,16913
4,NULL,28,CLCN4,0.08123001376764757,3295
4,NULL,29,FZD9,0.08109429550108024,6297
4,NULL,30,XBP1,0.08073166508055227,21252
4,NULL,31,BZW1,0.08014650085054402,1765
4,NULL,32,GNG2,0.07889566953838273,6721
4,NULL,33,PDCD4,0.07858436901771815,14748
4,NULL,34,YY2///MBTPS2,0.07745667535843447,21342
4,NULL,35,SRRM2,0.07687485186190764,18699
