gsm	parsed_label	n_matching_lines	matching_lines
GSM2329119	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329120	UNRESOLVED	0	
GSM2329121	UNRESOLVED	0	
GSM2329122	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329123	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329124	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329125	UNRESOLVED	0	
GSM2329126	UNRESOLVED	0	
GSM2329127	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329128	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329129	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329130	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329131	UNRESOLVED	0	
GSM2329132	UNRESOLVED	0	
GSM2329133	UNRESOLVED	0	
GSM2329134	UNRESOLVED	0	
GSM2329135	UNRESOLVED	0	
GSM2329136	UNRESOLVED	0	
GSM2329137	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329138	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329139	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329140	UNRESOLVED	0	
