gsm	parsed_label	matched_line	all_coo_lines
GSM2329075	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329076	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329077	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329078	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329079	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329080	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2329081	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329082	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329083	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329084	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329085	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329086	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329087	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2329088	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329089	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329090	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329091	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329092	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329093	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329094	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329095	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329096	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329097	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2329098	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329099	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329100	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329101	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2329102	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329103	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329104	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329105	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329106	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329107	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329108	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329109	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329110	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329111	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329112	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329113	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329114	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329115	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329116	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329117	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329118	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329119	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329120	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329121	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329122	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329123	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
