null_rep	roc_auc
101	0.9537673010380624
102	0.9022794117647058
103	0.838587802768166
104	0.9560748269896192
105	0.9657158304498269
106	0.7429692906574394
107	0.8370588235294119
108	0.808226643598616
109	0.8950778546712803
110	0.8004606401384082
111	0.9179995674740483
112	0.8090030276816609
113	0.9445544982698963
114	0.8394377162629756
115	0.8203741349480969
116	0.9186224048442905
117	0.8508174740484429
118	0.9358693771626299
119	0.9469658304498267
120	0.8765419550173011
121	0.8957309688581317
122	0.9224891868512113
123	0.9128698096885813
124	0.879102508650519
125	0.9308369377162629
126	0.9338840830449827
127	0.8959969723183389
128	0.9642257785467127
129	0.8766046712802767
130	0.9086072664359861
131	0.8677292387543253
132	0.7205882352941175
133	0.924061418685121
134	0.7978092560553632
135	0.8929541522491349
136	0.8881379757785467
137	0.822238321799308
138	0.8855493079584775
139	0.7966089965397924
140	0.9578092560553635
141	0.9652141003460207
142	0.855211937716263
143	0.759212802768166
144	0.9851816608996541
145	0.9149589100346022
146	0.9224070069204154
147	0.8534147923875434
148	0.7537175605536333
149	0.8456509515570935
150	0.8377249134948097
151	0.8605709342560555
152	0.8271042387543253
153	0.8901730103806227
154	0.7427205882352942
155	0.8488667820069205
156	0.8596107266435986
157	0.9050908304498269
158	0.9118187716262973
159	0.8855752595155709
160	0.9396864186851213
161	0.8244831314878893
162	0.8566046712802766
163	0.9457634083044982
164	0.8661743079584775
165	0.9104779411764706
166	0.9230644463667821
167	0.8824221453287197
168	0.9270501730103805
169	0.9000756920415225
170	0.8852357266435987
171	0.8659212802768167
172	0.7903654844290655
173	0.891580882352941
174	0.8616738754325258
175	0.8400951557093426
176	0.7424113321799307
177	0.883075259515571
178	0.9387499999999999
179	0.879180363321799
180	0.836239186851211
181	0.7903265570934256
182	0.6938170415224915
183	0.9248053633217995
184	0.7442322664359861
185	0.8153481833910036
186	0.8609126297577852
187	0.7923853806228373
188	0.9277984429065745
189	0.9416306228373702
190	0.8829476643598615
191	0.8401275951557095
192	0.8174956747404845
193	0.9110207612456748
194	0.950194636678201
195	0.8602443771626297
196	0.8945480103806227
197	0.8279801038062282
198	0.9224567474048442
199	0.9279995674740483
200	0.8544896193771625
201	0.8546064013840831
202	0.8294615051903115
203	0.8674978373702422
204	0.7716003460207612
205	0.9251686851211073
206	0.846844723183391
207	0.9272880622837372
208	0.8721366782006921
209	0.9328373702422145
210	0.9780060553633217
211	0.8840635813148787
212	0.9435272491349481
213	0.924292820069204
214	0.9039186851211072
215	0.9281249999999999
216	0.8535402249134948
217	0.7831833910034603
218	0.830192474048443
219	0.953951124567474
220	0.74776384083045
221	0.8283953287197231
222	0.8958282871972318
223	0.9338321799307958
224	0.9464878892733561
225	0.8822664359861591
226	0.6675886678200692
227	0.7965419550173012
228	0.9204087370242213
229	0.8970609861591696
230	0.924344723183391
231	0.9067301038062284
232	0.863669982698962
233	0.7616760380622837
234	0.8723421280276819
235	0.8231509515570936
236	0.9079022491349481
237	0.9420977508650519
238	0.9610099480968856
239	0.8645134083044984
240	0.8583369377162628
241	0.8945480103806227
242	0.7806314878892734
243	0.9083282871972318
244	0.8641911764705883
245	0.7969831314878892
246	0.7093685121107266
247	0.822893598615917
248	0.9210510380622838
249	0.750525519031142
250	0.9208672145328718
251	0.7975173010380623
252	0.8413408304498272
253	0.9120371972318337
254	0.8887543252595154
255	0.8405017301038061
256	0.8553546712802768
257	0.8283585640138409
258	0.8535748269896195
