null_rep,panel,GSE10846_to_GSE87371__corr_structure_similarity,GSE10846_to_GSE87371__top4_eigensubspace_overlap,GSE10846_to_GSE87371__top8_eigensubspace_overlap,GSE10846_to_GSE87371__eigenvalue_profile_cosine,GSE10846_to_GSE31312__corr_structure_similarity,GSE10846_to_GSE31312__top4_eigensubspace_overlap,GSE10846_to_GSE31312__top8_eigensubspace_overlap,GSE10846_to_GSE31312__eigenvalue_profile_cosine,GSE87371_to_GSE31312__corr_structure_similarity,GSE87371_to_GSE31312__top4_eigensubspace_overlap,GSE87371_to_GSE31312__top8_eigensubspace_overlap,GSE87371_to_GSE31312__eigenvalue_profile_cosine
42,LINC01102|ZNF711|PITX1|CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3|LINC01021|CAMP|EIF1AY|CLGN|CHIT1|SFRP2|LHX8|NPY1R|LINC01297|KRT13|GOLIM4|ZNF257,0.4499751675307,0.5688775715222243,0.6372912730850615,0.9945611633281874,0.2692108087162885,0.44513151811487606,0.6528775234985154,0.9888620242994683,0.3574346099328291,0.4606426396055721,0.6926942379045249,0.9965645513063355
43,ABCG5|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|DNAH8|WISP2|LOC101929141///CCDC144CP///CCDC144B///CCDC144A|S100A8|PROK2|STAG3|CCL21|SPINK2|IGKV1OR2-108|IL22RA2|MMP20|LINC01102|CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3|HTR3A,0.836594532920671,0.7380603596286837,0.8193143322808312,0.9945284629953147,0.8043919906606948,0.7495438117636906,0.7294329920439228,0.9953730655737665,0.8285919675406476,0.6779734690734727,0.738025949666488,0.9836563609750882
44,LMO2|SERPINA9|CD1C|ZYG11A|MGST1|LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1|ASZ1|HPDL|COL11A1|SPINK2|RGS13|S100Z|RNF183|IGHV1-69|FCAMR|LOC100134317///LOC284412,0.8668084900436123,0.5895907442035162,0.7559215913099456,0.9930701093382753,0.7271616518303459,0.45794978180701174,0.7265950572881053,0.971621332548901,0.7850880941726677,0.7081275384018322,0.7511851477355332,0.9783649337109462
45,KCCAT333|LIN28B|LOC100509457///HLA-DQA1|LOC283454///HRK|FCRL4|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|AICDA|FAM30A|VPREB3|HLF|LILRA4|MUC16|ZNF257|COL9A3|LOC440864///MSH6|BEX2,0.7232136498348674,0.7015484208519629,0.6598752818155167,0.9953109393689854,0.7132357800488668,0.5446870494470339,0.6483728059114477,0.9884773369756056,0.6645315727454426,0.6274130279950436,0.6514910099035691,0.9786765612779609
46,STAG3|FAM167A-AS1|KLHL13|FAM111B|GTSF1|NME8|CENPV|MMP1|SEC31B|MAGEB1|GJB6|MYOT|IL22RA2|C17orf99|AQP9|LOC102725426///MIR8071-2///MIR8071-1///IGHM///IGHG1,0.6077015025491558,0.5769811406859319,0.7414856453164975,0.9951226428024604,0.48035217380375206,0.5027840803998613,0.7600242796045515,0.9894421917562288,0.5619162277703043,0.48351030276695406,0.7096638928062229,0.9900430126417337
47,KRT13|C7orf57|LOC101929272|LRRN1|IGHD|PXDNL|H2AFB1///H2AFB2///H2AFB3|STXBP6|ZNF711|KCCAT333|MAGEA6///MAGEA3|LINC00877|IL17RB|PABPC5|ZBTB32|LINC01268,0.5880563755909427,0.6058144434966417,0.7011268720671527,0.9903409944201023,0.6394959568661244,0.487395641366809,0.7098288721531858,0.9862526184531794,0.49631540707421273,0.4000752061236969,0.6493676237109084,0.9870315159657729
48,WISP2|MYOCD|LGSN|ASMT|KLHL13|SMC3|MAGEB1|SOX8|SERPINA9|TXLNGY|MAGEA9B///MAGEA9|TRPM4|CCL20|XIST|KCNN3|C3orf67,0.790165701449421,0.6982715426898611,0.7305713205493529,0.9951414482371225,0.6693509387415615,0.6844223095732156,0.6811478130682822,0.9879565312784649,0.6542938137832168,0.6739655855795627,0.6701892482599523,0.9927042729311965
49,LEP|FCGR3B///FCGR3A|KLHL13|PABPC5|LOC102724689|BEX2|LOC440864///MSH6|C7orf57|DNAH8|UHMK1|PITX1|FAM111B|ORM2///ORM1|IL22RA2|SOX2-OT|CHIT1,0.5093296167305711,0.6783573806559247,0.6894687266446151,0.9946630487626584,0.2968797329114985,0.5373046754345624,0.6568722567386484,0.9801721203089713,0.33594262405039077,0.5513940868623497,0.6449990011774231,0.9837016836992847
50,LINC01268|FCAMR|COL11A1|ZNF883|IGLJ3///CKAP2|PITX1|MAGEA6|DAPL1|MIS18BP1|PKHD1L1|WFDC21P|CILP|SUGCT|KCCAT333|ASMT|LILRA3,0.6640292038342976,0.536912057559713,0.7211209355253684,0.9908785771478785,0.42810163044708693,0.3994161053538492,0.6653967226066653,0.973753231011326,0.3888302529231659,0.4648520526567499,0.6610332859248991,0.9881711162526492
51,KCNK12|NME8|CD1C|CCL21|STXBP6|LOC101930067|KRT14|KDM5D|PKHD1L1|ICOS|ASPN|PLA2G2A|COL9A3|HTR3A|SOX2-OT|LOC105375172,0.7010297267027775,0.6649219337897445,0.6736798125202235,0.9951940200255983,0.5036381723383437,0.5535067538899715,0.628734394389973,0.9910644213350482,0.6497053820712714,0.6942307952553777,0.7178093405470296,0.9767475246856696
