resample,real_subspace_capture,null_subspace_capture,delta_subspace_capture,real_corr_neighborhood,null_corr_neighborhood,delta_corr_neighborhood,real_exact_overlap,null_exact_overlap,delta_exact_overlap
105,0.3146417372490231,0.18921278365225128,0.12542895359677184,0.41187243507963467,0.34551040552604495,0.06636202955358972,0.25,0.0625,0.1875
106,0.3690891265882995,0.20026243427904084,0.16882669230925867,0.5187392988913226,0.34443212920481336,0.17430716968650928,0.3125,0.0625,0.25
107,0.27400353509344366,0.2409964529587108,0.03300708213473286,0.3814798020770467,0.4036383305420739,-0.022158528465027194,0.1875,0.125,0.0625
108,0.27125399143491336,0.2086885201285447,0.06256547130636866,0.4209597049683476,0.3465833293066424,0.07437637566170524,0.1875,0.0625,0.125
109,0.26243853958468233,0.19332747942148404,0.06911106016319829,0.38059085142865157,0.36812812077778684,0.012462730650864728,0.1875,0.0,0.1875
110,0.2646741748289429,0.1837078999573327,0.0809662748716102,0.38400960999501543,0.3511844282289771,0.032825181766038325,0.1875,0.0,0.1875
111,0.2888483114059133,0.1520825766901703,0.13676573471574302,0.4156784102517635,0.28814038761848493,0.12753802263327857,0.1875,0.0,0.1875
112,0.3802575954177424,0.15253681367830196,0.22772078173944044,0.48956454886870876,0.3159942031598774,0.17357034570883134,0.3125,0.0,0.3125
113,0.22762547816214462,0.2823072189217566,-0.05468174075961196,0.34497166675918856,0.4466116045587881,-0.10163993779959957,0.125,0.125,0.0
114,0.32909117712059266,0.1662120418349872,0.16287913528560546,0.4683336113223925,0.30373720521146724,0.16459640611092524,0.25,0.0,0.25
115,0.4206450396642102,0.19185533472607816,0.22878970493813203,0.5524362414264976,0.3176860328711041,0.23475020855539352,0.375,0.0625,0.3125
116,0.35126583253131843,0.225216646477757,0.12604918605356144,0.47609730186099736,0.3808692206221042,0.09522808123889315,0.25,0.125,0.125
117,0.4791216237736977,0.19690938273889583,0.2822122410348019,0.573232242493645,0.3385789376363746,0.23465330485727043,0.4375,0.0625,0.375
118,0.18918383085192061,0.25629863687106014,-0.06711480601913952,0.3409008449111805,0.422617559885275,-0.0817167149740945,0.0625,0.125,-0.0625
119,0.2859299479023877,0.19417415619169007,0.09175579171069762,0.4404754915378742,0.3206427185188951,0.1198327730189791,0.1875,0.0625,0.125
120,0.3205289681769048,0.1509449529916948,0.16958401518521,0.44374060554381084,0.29814901488032775,0.1455915906634831,0.25,0.0,0.25
121,0.43450370496333046,0.15263387658831123,0.2818698283750192,0.5409801741088854,0.3105783145618756,0.2304018595470098,0.375,0.0,0.375
122,0.38095558623041137,0.22559868268387828,0.1553569035465331,0.49653638100875686,0.36700814498054923,0.12952823602820762,0.3125,0.0625,0.25
123,0.2791181674177024,0.1884324873197541,0.0906856800979483,0.40727454282906705,0.3206112613267669,0.08666328150230013,0.1875,0.0625,0.125
124,0.18419738501035787,0.2484250369859235,-0.06422765197556562,0.3344270130042418,0.36172008412950846,-0.027293071125266632,0.0625,0.0625,0.0
125,0.30233416743166996,0.2979421995189976,0.004391967912672379,0.42340060293004855,0.46260285671065704,-0.03920225378060849,0.25,0.1875,0.0625
