resample,n_samples,n_gcb,n_abc,overlap_fraction_with_frozen16,panel,null_panel,coupling_mean,coupling_median,coupling_max,topP_abs_fraction
20,280,146,134,0.125,MYBPC1|IGSF11|DNAH8|UMODL1|OLFM4|KRT6A|RGS13|EEF1A2|HEPACAM2|NME8|KRT5|GTSF1|NLRP7|UBASH3A|CCDC110|IGLJ3///IGLV@///IGLC1,CPXM1|STXBP6|MIS18BP1|KRT14|FCER2|LHX8|SOX8|XK|TRPM4|LOC100653057///CES1|PKHD1L1|SDR16C5|HLF|LOC101930415|FAM30A|ZPBP2,0.058333436599595806,0.05781383166715836,0.11623686387706482,0.4069502099467036
21,280,146,134,0.375,SPIC|CTCFL|FSTL5|SYT14|RASSF6|EML6|LINC01268|UMODL1|CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3|HLF|TMEM52B|IGK///IGKC|DNER|RGS13|MARCO|ZNF257,LGSN|MARCO|IGK///IGKC|SERPINA9|SFTA3|SPIC|ASMT|COMP|SCARA5|P2RY12|UGT2B17|VPREB3|PITX1|ICOS|FAR2P3///FAR2P2|AQP9,0.05827038830503069,0.05701494137870744,0.10143369473489733,0.38877260541561287
22,280,146,134,0.125,BIK|NMU|FAM167A-AS1|RGS13|PITX2|MMP20|LOC102724689|TSIX|IGLJ3///IGLV@///IGLC1|ITIH3|NOL4|MAGEA4|RASSF6|LILRA4|IGHV1-69|LOC105372840,COL9A3|LRRN1|SDR16C5|FSTL5|LILRA4|GJB6|HPDL|CXCL8|NLRP7|SOX8|MYOT|LOC100287497|IGKV1OR2-108|WISP2|ASMT|KLRC2///KLRC1,0.05828978609536429,0.05832413852884932,0.0949975302352172,0.39246656903818183
23,280,146,134,0.0625,C2CD4A|SNORD3D///SNORD3C///SNORD3B-2///SNORD3A///SNORD3B-1|PDZRN4|MMP13|LOC102725426///MIR8071-2///MIR8071-1///IGHM///IGHG1|LILRA4|BTBD16|LOC105375172|MMP3|PCSK1|DNAH8|UMODL1|CLGN|FDCSP|UGT2B17|KRT14,STEAP2|LRP1B|MAGEB2|LOC101929141///CCDC144CP///CCDC144B///CCDC144A|MATN3|COL11A1|S100A7|FCGR3B///FCGR3A|COMP|HK3|FAM111B|LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH|XIST|NCKAP5|EML6|IGSF11,0.05831436599801405,0.05796072289910412,0.09809995707506865,0.4038344222811735
24,280,146,134,0.3125,MMP3|EML6|KRT14|HLF|RASSF6|MYOCD|TCL1A|UGT2B17|AICDA|S100A2|MUC16|NOL4|CLGN|MMP12|DNER|MMP20,MGST1|PRAME|SFTA3|KCCAT333|MLC1|CCL21|C12orf77|FCGR3B///FCGR3A|C3orf67|DNER|MAL2|GPAT2|MYH1|USP9Y|EIF1AY|EPCAM,0.058293654984650826,0.05707601801601829,0.11044776482178463,0.40620853531824064
25,280,146,134,0.375,DNER|MYOCD|EYA2|DNAH8|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|TCL1A|FCER2|ASB5|HLF|RGS13|UMODL1|ITIH3|MYOT|RSPH1|XIRP2|MYL2,COL11A1|ZIC2|KRT6A|CKAP2///IGLC1|IL17RB|TCL1A|MAGEA9B///MAGEA9|LGSN|PSMA8|CETP|SYT17|ZYG11A|SACS-AS1|ASMT|SMPX|CCL21,0.05823515023894746,0.057229514166355994,0.10876399343652887,0.38246781197286767
26,280,146,134,0.125,DNER|SYT17|LILRA3|FDCSP|LIN28B|MMP13|GPR158|MYH1|LRRN1|C2CD4A|LOC283454///HRK|COL9A3|JCHAIN|NMU|NOL4|HK3,CLGN|MUC16|NPY1R|MMP3|FCER2|JCHAIN|LMO2|HTR2B|ICOS|SMC3|TXLNGY|OVAAL|AP3D1|GPAT2|SOST|ORM2///ORM1,0.05829664996393835,0.05648459855953567,0.10596883007039674,0.4141087690694053
27,280,146,134,0.25,SPIC|CENPV|MAL2|TCL1A|DNAH8|UMODL1|SOX9|CCL17|LOC101930114|LOC105375172|MUC16|NOL4|SI|FAM30A|KCCAT333|LINC01405,LOC102725426///MIR8071-2///MIR8071-1///IGHM///IGHG1|SFRP2|TXLNGY|MFAP4|FAM167A-AS1|ASMT|SUSD5|STXBP6|NTS|P2RY12|MYOT|LYPD6B|FAM111B|SMC3|MAGEA9B///MAGEA9|FDCSP,0.05826926614461561,0.05652394117053221,0.11082176439338078,0.4019258127566137
28,280,146,134,0.25,EYA2|MAGEA6///MAGEA3|TCL1A|NPIPA5///NPIPB6///NPIPB8///NPIPB3|SFTA3|WFDC21P|HSF5|USP9Y|XIST|FCRL4|UMODL1|MMP20|KDM5D|LRRN1|MARCO|C17orf99,CTCFL|MMP7|PITX1|RGS13|CLGN|MGST1|GJB2|JCHAIN|STAG3|FAM111B|MAGEA9B///MAGEA9|LIN28B|COL11A1|GPAT2|GPM6A|NME8,0.05829254705380599,0.05787091114156001,0.10423516515129849,0.3898421739667909
29,280,146,134,0.1875,HLA-DQB1|JCHAIN|LOC100509457///HLA-DQA1|CLGN|MMP1|LOC105375172|UMODL1|RSPH1|MYOT|NOL4|KCCAT333|PDZRN4|LOC100653057///CES1|ASB5|MMP20|EYA2,IGLJ3///CKAP2|CRNDE|NPY1R|KRT5|MYOCD|EPHA4|IL22RA2|LOC102725426///MIR8071-2///MIR8071-1///IGHM///IGHG1|RGS13|TXLNGY|ORM1|HAGLROS|SPIC|IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH|KRT6A|NLRP11,0.05829984698596562,0.05805259392317771,0.1008774784305194,0.4005909325113571
