null_rep,panel,corr_structure_similarity,top4_eigensubspace_overlap,top8_eigensubspace_overlap,eigenvalue_profile_cosine
57,FCAMR|NME8|SOX8|FAM129C|LINC01405|ASZ1|P2RY12|ANKRD36BP2|CA3|MMP1|UHMK1|FOSB,0.42753946271876325,0.6209530929466285,0.813040243130684,0.9936365987644997
58,SOX2-OT|SMC3|ZNF883|PNMAL1|PKHD1L1|TSPAN8|ABCG5|LIN28B|FAM111B|NTS|LOC101927811|DNER,0.6369241889521248,0.554647050212027,0.7600139143005433,0.981114536842745
59,KDM5D|FCRL4|FOSB|LMO2|CCL20|NMU|ZNF876P|CCL17|S100A2|PITX1|KLHL13|SPIC,0.31720382831945376,0.6358192345477017,0.6971031935500809,0.9979380609103387
60,MAGEB1|NME8|MAGEA1|MIS18BP1|AP3D1|LMO2|ZYG11A|MAGEB2|CAMP|IL13RA2|AQP9|CTTNBP2,0.02664322825722193,0.4739507233574129,0.7200801771828083,0.9949132809587765
61,MYH1|COMP|SFTA3|C4orf22|LOC101930415|ASB5|KRT13|MAMDC4|LHX8|DNAH8|KRT6A|LRP1B,0.29833705421242507,0.6155476622458099,0.798566031862226,0.9935529367694661
62,IL13RA2|MMP1|EPCAM|PPBP|AP3D1|NLRP11|ASMT|UHMK1|WISP2|NMU|LOC101928173|NME8,0.45873559888390386,0.5630005691357662,0.8338398208074671,0.9841375058103772
63,NOL4|LGALS2|COMP|LIN28B|SFTA3|PNMAL1|NLRP4|LOC101930067|ZYG11A|ZNF257|LINC00877|FAM129C,0.5293208104152833,0.5547191164823966,0.8092300081828206,0.994465305014095
64,LGSN|C3orf67|TPSB2|LOC100130744|CD74|MLK7-AS1|BIK|PROK2|PKHD1L1|MGST1|TSIX|C16orf74,-0.013282101004630231,0.47576994669199285,0.7369410969946953,0.9957570317811736
65,SCARA5|S100A2|STEAP2|CD163|ASB5|KRT13|EPCAM|CCL17|HTR3A|ADIRF|ASMT|LINC01268,0.4360607684642703,0.6488331883376552,0.7713387682106387,0.996365943987773
66,RGS13|LRP1B|HLA-DQB1|SDR16C5|PITX1|IL12B|NLRP11|SUGCT|MGST1|IGHD|COL9A3|MUC16,0.18214323977330507,0.4133999985496941,0.6668950450485234,0.990964392732073
67,GPM6A|KRT6A|RASSF6|LOC100130744|PCSK1|MGST1|SOST|IGHV1-69|PABPC5|INHBA|TNFRSF17|STXBP6,0.33856943370384296,0.5039618429578661,0.8384196332004167,0.9887713615324157
68,ABCG5|FSTL5|NMU|LOC100130744|S100A9|HSF5|ZYG11A|LRP1B|SFTA3|SOX8|IL13RA2|VPREB3,0.11097512133318507,0.4281753927787124,0.7031552104170611,0.9917858943203126
69,PSMA8|LRRN1|MIS18BP1|LYPD6B|HIST1H1B|CAMP|KRT13|TRPM4|CHRM3-AS2|FCRL4|ZBTB32|LOC101930067,0.4103639582444788,0.4689798412051212,0.7879068682981681,0.9882799492078796
70,ZYG11A|MIS18BP1|IL12B|S100A8|STXBP6|SPINK2|ZIC2|CAMP|CCL21|KCNH8|DNER|C4orf22,0.5650729599106792,0.6758950253117414,0.7028492637019026,0.9893385976690281
71,FHOD3|TRPM4|KRT13|HIST1H1B|C17orf99|IGHV1-69|ANKRD36BP2|EPHB1|ZPBP2|CCR10|HEPACAM2|DNER,0.5127122037959618,0.5861092809236967,0.7729796710759942,0.9988397234454435
72,TFPI2|CHRM3-AS2|SOST|CHIT1|C12orf77|SFTA3|MME|SERPINA9|PLA2G2A|LRRN1|UHMK1|WFDC21P,0.4641964628590398,0.6098077303057363,0.8074140385921511,0.9821602955493326
73,SMPX|MLK7-AS1|EPHB1|ZYG11A|UMODL1|C12orf77|CA3|C17orf99|LINC01405|SYT17|NPY1R|KCNN3,0.7385144238829469,0.7699431216402984,0.8056329135210725,0.9931364266032591
74,TPSB2|C3orf67|LILRA4|ZNF385B|EIF1AY|CA3|CCL21|LOC101930114|ARL14|EYA2|SOX2-OT|CD74,0.44675979945529787,0.586666330241938,0.716399938431529,0.9933880582504355
75,RSPH1|CCL20|MGST1|TMEM158|CHRM3-AS2|ORM1|LINC01405|MMP1|MATN3|NPY1R|LOC102724689|COL11A1,0.7200089766362374,0.6002321875235671,0.7865465200064088,0.9973188807472274
76,INHBA|CTGF|ORM1|TNFRSF17|RPS4Y1|CTCFL|EPCAM|MIS18BP1|MT1M|NOL4|ZNF883|KCNN3,0.40204648569096596,0.5142020833251281,0.810672168504841,0.9965539954117129
77,CENPV|CTCFL|AQP9|ZNF883|NLRP11|KCNH8|IL22RA2|C15orf48|KRT13|CAMP|IL17RB|ARL14,0.6186182348021384,0.4903242506921515,0.8314688138213701,0.9956644911087322
78,COL11A1|TSPAN8|MAGEA1|UHMK1|COMP|ZPBP2|EEF1A2|CTTNBP2|CCL21|MAMDC4|OLFM4|NLRP4,0.20013719830078236,0.5564626130945394,0.792963460984391,0.9979603764045998
79,PXDNL|LOC101927811|EIF1AY|FOSB|IGHD|UHMK1|MAGEB2|WFDC21P|STAG3|LINC01021|P2RY12|S100A8,0.6245417024789403,0.5990240529594935,0.7467810945285276,0.9964699724439344
80,MME|GTSF1|FAM111B|LOC613266|KDM5D|MMP3|MYOT|IL22RA2|MAGEA6|XK|CCDC110|CTGF,0.23186883545793205,0.6108383813979874,0.7293810898658022,0.9931675063467998
81,MUC16|ITIH3|SPRR1B|CD163|EPYC|LRP1B|CCL22|LTF|EYA2|S100A8|RNF128|ZNF385B,0.6344884943983744,0.6295826621008682,0.8217904342326401,0.9975257894725329
82,MAGEB18|IGHV1-69|CHRM3-AS2|ICOS|DNAH8|AQP9|TNFRSF17|SPIC|KCNN3|ZNF883|KRT6A|HSF5,0.5368879320972576,0.6012139707726943,0.7615795731463397,0.9957041405877508
83,LILRA4|HMCN1|LYPD6B|MYOT|MMP7|IL12B|DAPL1|PXDNL|PSMA8|HEPACAM2|LOC613266|AQP9,0.40831599242289246,0.5205955472027046,0.7247825285957816,0.9957269112084911
84,USP9Y|TNFRSF17|SMPX|CLGN|SUSD5|HSF5|CENPV|NPY1R|STAG3|UMODL1|SOX2-OT|GJB6,0.3522790236080364,0.5004269677582363,0.8026624246027371,0.9969454143594743
85,SFTA3|UMODL1|RASSF6|PKHD1L1|UGT2B17|ZNF385B|LIN28B|TXLNGY|MAGEB1|INHBA|NME8|HTR3A,0.4898174726176719,0.5414523281768449,0.7547244822152486,0.9989506877136616
86,SPIC|VPREB3|LOC101930067|GTSF1|SOX8|RNF128|SDR16C5|LOC613266|IGKV1OR2-108|EIF1AY|MLK7-AS1|KCNK12,0.4482413073461421,0.640883639195323,0.7654941741375432,0.9976243428066578
87,UBASH3A|HLF|CCR10|LRP1B|XIST|SCARA5|LINC01268|MATN3|CD163|HK3|ITIH3|KDM5D,0.6477367452986935,0.5673604180992016,0.8370407475158066,0.9942914593328898
88,S100Z|MME|SCARA5|MYOT|LHX8|SPRR1B|MYOCD|ZPBP2|HLA-DQB1|HAGLROS|GJB2|NMU,0.5027927245481646,0.6619392118607945,0.7702983764690815,0.990268127940153
89,LOC101929272|C15orf48|LOC101930415|MAGEB18|ABCG5|HEPACAM2|SOST|HIST1H3B|SFRP4|MAMDC4|HSF5|SMC3,-0.04915870584634801,0.46357078601175095,0.7460466202024947,0.9715228057131283
90,CHIT1|COMP|TRPM4|MAGEA6|LOC613266|PCSK1|LRRN1|MAL2|RSPH1|PLA2G2A|SFTA3|LIN28B,0.3226587536868915,0.5540863557877295,0.7358714479452522,0.9915251221522628
91,KCNH8|UHMK1|SACS-AS1|IL17RB|C17orf99|MMP1|ITIH3|S100A9|CLGN|CRNDE|NME8|HLA-DQA1,0.5678417899190855,0.5634248540563866,0.7649941230055636,0.9971511963455665
92,PLA2G2A|CTAG2|EIF1AY|EML6|FSTL5|MYH1|PXDNL|MME|S100A8|RNF128|CCL21|TMEM158,0.6342304749428739,0.7458101288505057,0.7832994156497064,0.9972470555766366
93,CTCFL|LRRN1|XK|ICOS|ITIH3|NTS|S100A9|HLF|RGS13|ZBTB32|CAMP|SPIC,0.5252821152710528,0.5796273123357338,0.8111098391755389,0.9949239924924783
94,COL9A3|CHRM3-AS2|PCSK1|C16orf74|MAGEB18|CTAG2|MMP12|KRT6A|LIN28B|EML6|FDCSP|FCAMR,0.5878192247478097,0.6609677358197229,0.8056008648174178,0.9885472927480206
