null_rep,panel,corr_structure_similarity,eigenvalue_profile_cosine,top4_eigensubspace_overlap,top8_eigensubspace_overlap
38,GGT5|GPAT2|INHBA|C1QB|CA3|ASPN|CCR10|EPCAM|TNFRSF17|MT1M|BAIAP2L1|PABPC5,0.5912441036205704,0.9931953310210562,0.6488500031208541,0.8221759633339305
39,CTGF|SULF1|MATN3|CD1C|HBB|UGT2B4|ORM1|EPHA4|UHMK1|PNMA6A|VSIG4|TSPAN8,0.5943076726337843,0.9943392582194547,0.6809285231331612,0.8396105526246301
40,ABCG5|HTR3A|ASMT|CD163|HIST1H3B|IYD|SFTA2|NCKAP5|MAGEB18|S100A2|C15orf48|ASPN,0.2513856786824639,0.9988513933512411,0.5914624854973136,0.7012781125734884
41,NLRP11|LYPD6B|CILP|HIST1H3B|MYOCD|IL12B|LILRA4|ZNF257|TUBB2B|LIN28B|LIPI|PSMA8,0.4470759224393288,0.9968339929174663,0.5007514014300036,0.7445096464261762
42,TUBB2B|CHIT1|MAGEB1|SFTA2|NTS|MAGEA6|CLIP2|BAIAP2L1|LTF|GPM6A|DHRS9|ASPN,0.5025189258637106,0.9983654082566303,0.6206807849854246,0.7043850652709756
43,IGSF11|AICDA|LCTL|C3orf67|COMP|KLHL32|TFPI2|CHI3L1|PABPC5|HEPACAM2|CTCFL|C4orf22,0.15884450110274864,0.9950813075401265,0.48382429123609916,0.740359324981191
44,C16orf74|MYH1|S100A9|TMEM17|LYPD6B|ARL14|CENPV|CCL20|LILRA3|PABPC5|SEC31B|MMP13,0.6385844811622109,0.9847092727462224,0.7616628380691478,0.7787785283624409
45,DDX43|MAMDC4|GTSF1|KRT5|RASSF6|KLHL13|LEP|HLA-DQA1|COMP|FOSB|EIF1AY|SEC31B,0.27253390868715655,0.9804964414825011,0.39181670682324143,0.7441965614334594
46,SYT17|NLRP7|CTTNBP2|ZBTB32|ORM1|C2CD4A|CTCFL|KRT5|FHOD3|ELOVL7|PDGFRL|C1QB,0.7142644514896299,0.9955339071665427,0.5530795279252099,0.776704075626132
47,BEX2|STAG3|FAM111B|OLFM4|NLRP4|ZNF257|HTR3A|KCNH8|KRT13|RNF183|FABP4|GPM6A,0.6821854284915178,0.9983511938097734,0.454836148611799,0.8284675330364707
