geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,overlap_with_real
0.75,RANDOM,25043009,16,0.002910350159089515,0.5662400479777574,-4.636338928968467,-5.202578976946224,0.0,0.0,0.0006193255457554933,0.00018189688494309468,6
0.75,NULL,25043010,16,0.9930643384004885,0.017215896459539692,-5.185363080486685,-5.202578976946224,0.0625,1.0,0.24659067165064455,0.06206652115003053,9
0.75,RANDOM,25043010,16,0.006066137881990043,0.7674052545265369,-4.435173722419687,-5.202578976946224,0.0,0.0,0.0024057098379760013,0.00037913361762437767,8
0.75,NULL,25043011,16,0.9740335072895712,0.039342989826344876,-5.163235987119879,-5.202578976946224,0.0625,1.0,0.24228655031249083,0.0608770942055982,7
0.75,RANDOM,25043011,16,0.9784419047246404,0.029372993989397855,-5.173205982956826,-5.202578976946224,0.0625,1.0,0.28768678854520274,0.06115261904529003,7
1.0,REAL,,2,0.9716905822156552,0.0438875820113136,-4.415601113943449,-4.459488695954763,1.0,1.0,1.0,0.4858452911078276,
1.0,NULL,25043000,2,1.3765271264930563e-05,2.050135721367535,-2.4093529745872275,-4.459488695954763,0.0,0.0,1.0265902260807558e-05,6.882635632465282e-06,0
1.0,RANDOM,25043000,2,0.03522672583037588,0.8306705006259127,-3.62881819532885,-4.459488695954763,0.5,0.5,0.016779403043504556,0.01761336291518794,1
1.0,NULL,25043001,2,1.9449051435623355e-05,0.9568410085849566,-3.502647687369806,-4.459488695954763,0.0,0.0,1.4504796205371464e-05,9.724525717811678e-06,0
1.0,RANDOM,25043001,2,0.0032818803789740328,1.3048389222763728,-3.15464977367839,-4.459488695954763,0.0,0.0,0.0021962459429003436,0.0016409401894870164,0
1.0,NULL,25043002,2,1.378249444156684e-05,1.893831455758387,-2.5656572401963755,-4.459488695954763,0.0,0.0,8.381937194583371e-06,6.89124722078342e-06,0
1.0,RANDOM,25043002,2,1.3765271264930412e-05,1.0278635702812555,-3.431625125673507,-4.459488695954763,0.0,0.0,6.477063183599981e-06,6.882635632465206e-06,0
1.0,NULL,25043003,2,0.001771865643812721,0.6496212835634427,-3.80986741239132,-4.459488695954763,0.0,0.0,0.0008433462423560313,0.0008859328219063605,0
1.0,RANDOM,25043003,2,0.006228874194138717,0.4365042489347104,-4.022984447020052,-4.459488695954763,0.0,0.0,0.002937235193617288,0.0031144370970693585,0
1.0,NULL,25043004,2,2.2018206671781134e-34,1.0278635702812555,-3.431625125673507,-4.459488695954763,0.0,0.0,0.0,1.1009103335890567e-34,0
1.0,RANDOM,25043004,2,8.77493237578351e-35,1.6547730021455247,-2.804715693809238,-4.459488695954763,0.0,0.0,0.0,4.387466187891755e-35,0
1.0,NULL,25043005,2,0.002657494505912871,1.3815660339012363,-3.0779226620535263,-4.459488695954763,0.0,0.0,0.0017299294988499866,0.0013287472529564354,0
1.0,RANDOM,25043005,2,1.9732399335275217e-33,1.290196074168981,-3.1692926217857815,-4.459488695954763,0.0,0.0,0.0,9.866199667637608e-34,0
1.0,NULL,25043006,2,0.0036267437093466014,1.3951873591290522,-3.0643013368257104,-4.459488695954763,0.0,0.0,0.0024538902579838624,0.0018133718546733007,0
