geometry_angstrom,method,k,n,captured_probability_mass_mean,captured_probability_mass_median,captured_probability_mass_std,captured_probability_mass_min,captured_probability_mass_max,absolute_energy_error_hartree_mean,absolute_energy_error_hartree_median,absolute_energy_error_hartree_std,absolute_energy_error_hartree_min,absolute_energy_error_hartree_max,precision_at_k_mean,precision_at_k_median,precision_at_k_std,precision_at_k_min,precision_at_k_max,recall_at_k_mean,recall_at_k_median,recall_at_k_std,recall_at_k_min,recall_at_k_max,ndcg_at_k_mean,ndcg_at_k_median,ndcg_at_k_std,ndcg_at_k_min,ndcg_at_k_max,selection_efficiency_mean,selection_efficiency_median,selection_efficiency_std,selection_efficiency_min,selection_efficiency_max
0.75,REAL,2,1,0.989523320134482,0.989523320134482,0.0,0.989523320134482,0.989523320134482,0.024741825871426038,0.024741825871426038,0.0,0.024741825871426038,0.024741825871426038,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.494761660067241,0.494761660067241,0.0,0.494761660067241,0.494761660067241
0.75,REAL,4,1,0.9940097475542857,0.9940097475542857,0.0,0.9940097475542857,0.9940097475542857,0.015001254255440521,0.015001254255440521,0.0,0.015001254255440521,0.015001254255440521,0.25,0.25,0.0,0.25,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.24850243688857143,0.24850243688857143,0.0,0.24850243688857143,0.24850243688857143
0.75,REAL,8,1,0.9982024960051008,0.9982024960051008,0.0,0.9982024960051008,0.9982024960051008,0.0037794029454794043,0.0037794029454794043,0.0,0.0037794029454794043,0.0037794029454794043,0.125,0.125,0.0,0.125,0.125,1.0,1.0,0.0,1.0,1.0,0.9999854432197623,0.9999854432197623,0.0,0.9999854432197623,0.9999854432197623,0.1247753120006376,0.1247753120006376,0.0,0.1247753120006376,0.1247753120006376
0.75,REAL,12,1,0.9998744602061064,0.9998744602061064,0.0,0.9998744602061064,0.9998744602061064,0.00036521728580751756,0.00036521728580751756,0.0,0.00036521728580751756,0.00036521728580751756,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0,0.0,1.0,1.0,0.9999906449429804,0.9999906449429804,0.0,0.9999906449429804,0.9999906449429804,0.0833228716838422,0.0833228716838422,0.0,0.0833228716838422,0.0833228716838422
0.75,REAL,16,1,0.999930818732274,0.999930818732274,0.0,0.999930818732274,0.999930818732274,0.00030573929190502724,0.00030573929190502724,0.0,0.00030573929190502724,0.00030573929190502724,0.0625,0.0625,0.0,0.0625,0.0625,1.0,1.0,0.0,1.0,1.0,0.9999840526719046,0.9999840526719046,0.0,0.9999840526719046,0.9999840526719046,0.06249567617076712,0.06249567617076712,0.0,0.06249567617076712,0.06249567617076712
1.0,NULL,2,12,0.0012947679807738934,1.6615772938595096e-05,0.001696522075338418,8.426805829983901e-35,0.00507103117217246,1.1587512142868912,1.204714802091246,0.564620807077952,0.420686479848853,2.050135721367535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000767691953758643,1.238534923308951e-05,0.0010459652650709771,0.0,0.003039161637004867,0.0006473839903869467,8.307886469297548e-06,0.000848261037669209,4.2134029149919507e-35,0.00253551558608623
1.0,NULL,4,12,0.004076525388341274,0.003476405811276018,0.0034750556357982954,1.9449051435623355e-05,0.009855617903485311,0.7582172923576692,0.7976536866849493,0.30476033214854076,0.2987415143842025,1.3063071802540795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016734258957168552,0.001237374559582137,0.0014831073725439388,7.221111346953265e-06,0.0044396297064924805,0.0010191313470853185,0.0008691014528190045,0.0008687639089495739,4.862262858905839e-06,0.002463904475871328
1.0,NULL,8,12,0.16517249065891526,0.00834928072309855,0.34851084528499465,1.9449051435623355e-05,0.9449476631818685,0.6090927728511472,0.5380841820983677,0.35752422614534546,0.05465306376563017,1.263131183186906,0.03125,0.0,0.05412658773652741,0.0,0.125,0.125,0.0,0.21650635094610965,0.0,0.5,0.059141035080759,0.0035072821629396323,0.12526521142574573,7.198996573164396e-06,0.3496725988693753,0.020646561332364408,0.0010436600903873188,0.04356385566062433,2.4311314294529194e-06,0.11811845789773356
1.0,NULL,12,12,0.25890021750512615,0.044185748960268986,0.4042029704105982,7.895694606597034e-05,0.979790216921916,0.3710842068430517,0.4146551263289946,0.23419743312219166,0.029957554865437608,0.7942587772908904,0.05555555555555555,0.08333333333333333,0.05196746370519363,0.0,0.16666666666666666,0.3333333333333333,0.5,0.31180478223116176,0.0,1.0,0.08589785154601999,0.010028856863309484,0.13814804490251645,2.003651831693464e-05,0.34987930737522144,0.02157501812542718,0.0036821457466890816,0.03368358086754985,6.579745505497528e-06,0.081649184743493
1.0,NULL,16,12,0.9641677010194886,0.9535657762720051,0.01725384568111663,0.9392839281785917,0.9904657364151661,0.038499731260172775,0.04078450507457454,0.014266147109368403,0.011242500601827743,0.06345772450391518,0.08854166666666667,0.0625,0.030812915536977167,0.0625,0.125,0.7083333333333334,0.5,0.24650332429581734,0.5,1.0,0.26830256777084105,0.2499167561021911,0.035863002569003814,0.23909009033097917,0.3515208457917028,0.060260481313718035,0.05959786101700032,0.0010783653550697893,0.058705245511161984,0.06190410852594788
1.0,RANDOM,2,12,0.004446988359023162,1.3765271264930412e-05,0.009564050200776074,6.95034887915637e-35,0.03522672583037588,1.1666280878946764,1.297517498222677,0.5193641410987756,0.42303016279803085,2.050135721367535,0.041666666666666664,0.0,0.13819269959814165,0.0,0.5,0.041666666666666664,0.0,0.13819269959814165,0.0,0.5,0.00236267169655118,8.371482722203769e-06,0.004590086259137252,0.0,0.016779403043504556,0.002223494179511581,6.882635632465206e-06,0.004782025100388037,3.475174439578185e-35,0.01761336291518794
1.0,RANDOM,4,12,0.005505766476910738,0.0009025633466199398,0.009591516962319361,3.481469629210652e-34,0.03522672583037588,0.7742061823210893,0.7886187531563891,0.33516446706183595,0.42026462693164124,1.3360464346410836,0.020833333333333332,0.0,0.06909634979907082,0.0,0.25,0.041666666666666664,0.0,0.13819269959814165,0.0,0.5,0.0026993871304283918,0.00033685346342618807,0.004576057855014886,0.0,0.016707016906267504,0.0013764416192276845,0.00022564083665498494,0.0023978792405798402,8.70367407302663e-35,0.00880668145759397
1.0,RANDOM,8,12,0.17368740989544865,0.010672626410086497,0.3590686467971202,2.0656518485714093e-05,0.9803157079266678,0.5851249497523915,0.6141054384538815,0.32686526072928307,0.030952589571676015,1.183358770594336,0.0625,0.0,0.09547032697824667,0.0,0.25,0.25,0.0,0.3818813079129867,0.0,1.0,0.05985984488334172,0.003559509505253439,0.12487377869431494,5.006120421924474e-06,0.34419069585993084,0.02171092623693108,0.0013340783012608121,0.044883580849640024,2.5820648107142617e-06,0.12253946349083347
1.0,RANDOM,12,12,0.2585589043550069,0.028286879680921456,0.41123052578331626,0.0032470022264198643,0.9803626580170832,0.40619666191206427,0.42872073648068065,0.24837100001220405,0.030623200285079477,0.8195564251687455,0.05555555555555555,0.041666666666666664,0.062112999374994156,0.0,0.16666666666666666,0.3333333333333333,0.25,0.37267799624996495,0.0,1.0,0.08475258907901063,0.00770783398597809,0.1375788227866676,0.0008452826413251846,0.34390222158559447,0.02154657536291724,0.0023572399734101213,0.03426921048194302,0.00027058351886832203,0.08169688816809027
1.0,RANDOM,16,12,0.5008042398265306,0.4992415789837602,0.4690027567303746,0.0052369339952488955,0.9839687919346708,0.24715010635661502,0.16871072674452803,0.22583566589030518,0.022893822466487634,0.6622917486700275,0.06770833333333333,0.0625,0.047450174891376554,0.0,0.125,0.5416666666666666,0.5,0.37960139913101243,0.0,1.0,0.1477942617761961,0.13060435557913477,0.14289490688071282,0.001154406031266778,0.3440719414167716,0.03130026498915816,0.031202598686485013,0.029312672295648413,0.00032730837470305597,0.061498049495916925
1.0,REAL,2,1,0.9716905822156552,0.9716905822156552,0.0,0.9716905822156552,0.9716905822156552,0.0438875820113136,0.0438875820113136,0.0,0.0438875820113136,0.0438875820113136,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4858452911078276,0.4858452911078276,0.0,0.4858452911078276,0.4858452911078276
1.0,REAL,4,1,0.9821448717296378,0.9821448717296378,0.0,0.9821448717296378,0.9821448717296378,0.028025561352899686,0.028025561352899686,0.0,0.028025561352899686,0.028025561352899686,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.9992534538095167,0.9992534538095167,0.0,0.9992534538095167,0.9992534538095167,0.24553621793240946,0.24553621793240946,0.0,0.24553621793240946,0.24553621793240946
1.0,REAL,8,1,0.9951834751437878,0.9951834751437878,0.0,0.9951834751437878,0.9951834751437878,0.006291003741574208,0.006291003741574208,0.0,0.006291003741574208,0.006291003741574208,0.25,0.25,0.0,0.25,0.25,1.0,1.0,0.0,1.0,1.0,0.999660846056407,0.999660846056407,0.0,0.999660846056407,0.999660846056407,0.12439793439297347,0.12439793439297347,0.0,0.12439793439297347,0.12439793439297347
1.0,REAL,12,1,0.9994173195768099,0.9994173195768099,0.0,0.9994173195768099,0.9994173195768099,0.0014134786915445119,0.0014134786915445119,0.0,0.0014134786915445119,0.0014134786915445119,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0,0.0,1.0,1.0,0.9997131710840775,0.9997131710840775,0.0,0.9997131710840775,0.9997131710840775,0.08328477663140083,0.08328477663140083,0.0,0.08328477663140083,0.08328477663140083
1.0,REAL,16,1,0.999489385275655,0.999489385275655,0.0,0.999489385275655,0.999489385275655,0.0013556073912370792,0.0013556073912370792,0.0,0.0013556073912370792,0.0013556073912370792,0.125,0.125,0.0,0.125,0.125,1.0,1.0,0.0,1.0,1.0,0.999707060255376,0.999707060255376,0.0,0.999707060255376,0.999707060255376,0.06246808657972844,0.06246808657972844,0.0,0.06246808657972844,0.06246808657972844
1.25,NULL,2,12,0.003339186354948062,0.00010213635112995217,0.0046546386723033085,1.2421709591498412e-33,0.01472776628257616,0.8369317510739288,0.876483606754427,0.35976004917451543,0.35580410214887914,1.4136250397977874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002182110707035071,7.388322488780012e-05,0.0031428152987882387,0.0,0.009655499437640882,0.001669593177474031,5.1068175564976083e-05,0.0023273193361516543,6.210854795749206e-34,0.00736388314128808
1.25,NULL,4,12,0.011505020403234673,0.006560275898501154,0.01809200948414356,8.814588628128166e-32,0.06808836178124904,0.616524273359026,0.5816852219466533,0.30052313563156074,0.22904142981370423,1.3013770019601663,0.041666666666666664,0.0,0.09316949906249124,0.0,0.25,0.041666666666666664,0.0,0.09316949906249124,0.0,0.25,0.005091726821325925,0.0030307181849587314,0.006653773482303557,0.0,0.024229547909022948,0.002876255100808668,0.0016400689746252884,0.00452300237103589,2.2036471570320415e-32,0.01702209044531226
