geometry_angstrom,method,k,n,captured_probability_mass_mean,captured_probability_mass_median,captured_probability_mass_std,captured_probability_mass_min,captured_probability_mass_max,absolute_energy_error_hartree_mean,absolute_energy_error_hartree_median,absolute_energy_error_hartree_std,absolute_energy_error_hartree_min,absolute_energy_error_hartree_max,precision_at_k_mean,precision_at_k_median,precision_at_k_std,precision_at_k_min,precision_at_k_max,recall_at_k_mean,recall_at_k_median,recall_at_k_std,recall_at_k_min,recall_at_k_max,ndcg_at_k_mean,ndcg_at_k_median,ndcg_at_k_std,ndcg_at_k_min,ndcg_at_k_max,selection_efficiency_mean,selection_efficiency_median,selection_efficiency_std,selection_efficiency_min,selection_efficiency_max,chemical_accuracy_fraction
1.2,CHEM_EXCITATION,2,1,0.9829768011648733,0.9829768011648733,0.0,0.9829768011648733,0.9829768011648733,0.016815027638992674,0.016815027638992674,0.0,0.016815027638992674,0.016815027638992674,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.9963233337135315,0.9963233337135315,0.0,0.9963233337135315,0.9963233337135315,0.49148840058243665,0.49148840058243665,0.0,0.49148840058243665,0.49148840058243665,0.0
1.2,CHEM_EXCITATION,4,1,0.9839416790458977,0.9839416790458977,0.0,0.9839416790458977,0.9839416790458977,0.016815027638987345,0.016815027638987345,0.0,0.016815027638987345,0.016815027638987345,0.25,0.25,0.0,0.25,0.25,1.0,1.0,0.0,1.0,1.0,0.9953013211803119,0.9953013211803119,0.0,0.9953013211803119,0.9953013211803119,0.24598541976147442,0.24598541976147442,0.0,0.24598541976147442,0.24598541976147442,0.0
1.2,CHEM_EXCITATION,8,1,0.9839427288081714,0.9839427288081714,0.0,0.9839427288081714,0.9839427288081714,0.016815027638989122,0.016815027638989122,0.0,0.016815027638989122,0.016815027638989122,0.125,0.125,0.0,0.125,0.125,1.0,1.0,0.0,1.0,1.0,0.9943158903447837,0.9943158903447837,0.0,0.9943158903447837,0.9943158903447837,0.12299284110102142,0.12299284110102142,0.0,0.12299284110102142,0.12299284110102142,0.0
1.2,CHEM_EXCITATION,12,1,0.9839440515811935,0.9839440515811935,0.0,0.9839440515811935,0.9839440515811935,0.01681502763898557,0.01681502763898557,0.0,0.01681502763898557,0.01681502763898557,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0,0.0,1.0,1.0,0.9941914002420754,0.9941914002420754,0.0,0.9941914002420754,0.9941914002420754,0.08199533763176613,0.08199533763176613,0.0,0.08199533763176613,0.08199533763176613,0.0
1.2,CHEM_EXCITATION,16,1,0.9839442300238235,0.9839442300238235,0.0,0.9839442300238235,0.9839442300238235,0.016815027638989122,0.016815027638989122,0.0,0.016815027638989122,0.016815027638989122,0.0625,0.0625,0.0,0.0625,0.0625,1.0,1.0,0.0,1.0,1.0,0.9941864338989725,0.9941864338989725,0.0,0.9941864338989725,0.9941864338989725,0.06149651437648897,0.06149651437648897,0.0,0.06149651437648897,0.06149651437648897,0.0
1.2,EN2,2,1,0.9911805297213808,0.9911805297213808,0.0,0.9911805297213808,0.9911805297213808,0.004896021522343474,0.004896021522343474,0.0,0.004896021522343474,0.004896021522343474,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4955902648606904,0.4955902648606904,0.0,0.4955902648606904,0.4955902648606904,0.0
1.2,EN2,4,1,0.9953369566329836,0.9953369566329836,0.0,0.9953369566329836,0.9953369566329836,0.0022972999548276363,0.0022972999548276363,0.0,0.0022972999548276363,0.0022972999548276363,0.25,0.25,0.0,0.25,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2488342391582459,0.2488342391582459,0.0,0.2488342391582459,0.2488342391582459,0.0
1.2,EN2,8,1,0.997999081356092,0.997999081356092,0.0,0.997999081356092,0.997999081356092,0.0004890799378518551,0.0004890799378518551,0.0,0.0004890799378518551,0.0004890799378518551,0.125,0.125,0.0,0.125,0.125,1.0,1.0,0.0,1.0,1.0,0.9996927105412693,0.9996927105412693,0.0,0.9996927105412693,0.9996927105412693,0.1247498851695115,0.1247498851695115,0.0,0.1247498851695115,0.1247498851695115,1.0
1.2,EN2,12,1,0.9980362534816164,0.9980362534816164,0.0,0.9980362534816164,0.9980362534816164,0.00041049738324439033,0.00041049738324439033,0.0,0.00041049738324439033,0.00041049738324439033,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0,0.0,1.0,1.0,0.9995747434434684,0.9995747434434684,0.0,0.9995747434434684,0.9995747434434684,0.0831696877901347,0.0831696877901347,0.0,0.0831696877901347,0.0831696877901347,1.0
1.2,EN2,16,1,0.9980518632845219,0.9980518632845219,0.0,0.9980518632845219,0.9980518632845219,0.00034852936962970205,0.00034852936962970205,0.0,0.00034852936962970205,0.00034852936962970205,0.0625,0.0625,0.0,0.0625,0.0625,1.0,1.0,0.0,1.0,1.0,0.9995724985846611,0.9995724985846611,0.0,0.9995724985846611,0.9995724985846611,0.06237824145528262,0.06237824145528262,0.0,0.06237824145528262,0.06237824145528262,1.0
1.2,RANDOM,2,12,0.0003467898248133603,1.5520424977333389e-37,0.0007746308901449855,1.192758828033814e-42,0.0020792632180750724,3.2336484740792533,2.818642225356851,2.01327696315963,0.2266549076680242,6.39355145192013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020036534524218858,0.0,0.00046096419346585376,0.0,0.0014722644272140086,0.00017339491240668016,7.760212488666694e-38,0.00038731544507249275,5.96379414016907e-43,0.0010396316090375362,0.0
1.2,RANDOM,4,12,0.00034829549984393137,1.998390701492223e-06,0.00077398855201797,1.1935009771756323e-42,0.0020793772908181047,2.260754623569286,2.7172713316673143,1.3725792300358535,0.2266549076680242,5.34087278182152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020060270894008147,6.976144831015732e-07,0.00046011908881304556,0.0,0.0014702523302970913,8.707387496098284e-05,4.995976753730557e-07,0.0001934971380044925,2.983752442939081e-43,0.0005198443227045262,0.0
1.2,RANDOM,8,12,0.08226574341663384,1.0885775649632974e-05,0.27128485641150385,2.7822205690202097e-09,0.9820121829417209,1.2717744629091765,0.8455260153303641,0.9746090536129327,0.01681445422405048,2.6021320525821814,0.010416666666666666,0.0,0.03454817489953541,0.0,0.125,0.08333333333333333,0.0,0.2763853991962833,0.0,1.0,0.027821539679054957,3.184960537956732e-06,0.0914676312149586,9.82364670807418e-10,0.3311816720375388,0.01028321792707923,1.3607219562041218e-06,0.03391060705143798,3.477775711275262e-10,0.12275152286771511,0.0
1.2,RANDOM,12,12,0.16418208425188163,1.3752152955542783e-05,0.365962096302327,2.0746199027210025e-07,0.9829804532417614,0.7825672841679868,0.7217447412385543,0.7724734621772441,0.016803471274005943,2.404921583369667,0.013888888888888888,0.0,0.031056499687497085,0.0,0.08333333333333333,0.16666666666666666,0.0,0.3726779962499649,0.0,1.0,0.05020538324884613,4.783632007364095e-06,0.1124066174912225,4.443425778041547e-08,0.3311401155222951,0.013681840354323472,1.146012746295232e-06,0.030496841358527243,1.7288499189341688e-08,0.08191503777014679,0.0
