geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,reaches_chemical_accuracy,overlap_with_real
1.0,RANDOM,25043006,16,2.0384555939354468e-05,0.18972303725039197,-9.18226887554083,-9.371991912791222,0.0,0.0,5.5836469411916625e-06,1.2740347462096543e-06,False,1
1.0,RANDOM,25043007,16,3.743760981331074e-07,0.8478898166184514,-8.52410209617277,-9.371991912791222,0.0,0.0,7.919293466730144e-08,2.3398506133319212e-08,False,0
1.0,RANDOM,25043008,16,0.0018943746641764752,0.605963285253738,-8.766028627537484,-9.371991912791222,0.0,0.0,0.0008401558320772753,0.0001183984165110297,False,3
1.0,RANDOM,25043009,16,8.988748406072796e-06,0.2183770082107266,-9.153614904580495,-9.371991912791222,0.0,0.0,2.256992138230309e-06,5.617967753795498e-07,False,1
1.0,RANDOM,25043010,16,0.0009145277054757533,0.17249590279415372,-9.199496009997068,-9.371991912791222,0.0,0.0,0.00017458970160213788,5.715798159223458e-05,False,0
1.0,RANDOM,25043011,16,1.9831221593338338e-05,2.3413353163508406,-7.030656596440381,-9.371991912791222,0.0,0.0,5.866383362700452e-06,1.2394513495836461e-06,False,1
1.2,REAL,,2,0.9911805297213808,0.004896021522343474,-9.170477858973577,-9.17537388049592,0.5,1.0,1.0,0.4955902648606904,False,
1.2,EN2,,2,0.9911805297213808,0.004896021522343474,-9.170477858973577,-9.17537388049592,0.5,1.0,1.0,0.4955902648606904,False,2
1.2,CHEM_EXCITATION,,2,0.9829768011648733,0.016815027638992674,-9.158558852856928,-9.17537388049592,0.5,1.0,0.9963233337135315,0.49148840058243665,False,1
1.2,RANDOM,25043000,2,7.203737425163091e-40,5.9173624948965715,-3.2580113855993487,-9.17537388049592,0.0,0.0,0.0,3.6018687125815454e-40,False,0
1.2,RANDOM,25043001,2,2.648998897449232e-37,5.340872781821519,-3.834501098674402,-9.17537388049592,0.0,0.0,0.0,1.324499448724616e-37,False,0
1.2,RANDOM,25043002,2,3.6420790890124163e-06,2.6996541819895192,-6.475719698506401,-9.17537388049592,0.0,0.0,2.5780184218704423e-06,1.8210395445062082e-06,False,0
