seed,pair_rank,group,partner_group,sign,energy,partner_energy,dim_p,family,basis,pvp_fro,pvq_fro,pvq_fro_sq,gap_pq,sigma_fro,sigma_trace_abs,discovery_prominence
25042001,1,19,12,+,0.520032371270511,-0.520032371270511,8,transverse,REAL,0.6559382305963382,4.549709356323119,20.699855227014126,0.07991867165354977,2.6944118645545734,5.948027140481981,0.2468585831823455
25042001,1,19,12,+,0.520032371270511,-0.520032371270511,8,transverse,NULL,0.7634076494471783,4.5492821065453795,20.695967684933965,0.07991867165354977,28.222272645297775,46.62005771049742,0.2468585831823455
25042001,2,4,27,-,-2.7582925100189,2.7582925100189017,8,dephasing,REAL,0.27870022355151647,4.465979079645072,19.944969139827442,0.13664450956606444,6.075623916167491,14.959829534098116,0.17457327414625715
25042001,2,4,27,-,-2.7582925100189,2.7582925100189017,8,dephasing,NULL,0.793493005149078,4.396349906099575,19.32789249686174,0.13664450956606444,25.473888403529326,40.20138265558454,0.17457327414625715
25042001,2,4,27,-,-2.7582925100189,2.7582925100189017,8,transverse,REAL,0.6595327883916341,4.549189674041779,20.695126690408348,0.13664450956606444,3.611781330846893,9.92011831563004,0.17457327414625715
25042001,2,4,27,-,-2.7582925100189,2.7582925100189017,8,transverse,NULL,0.8122197407731586,4.678429979636874,21.887707074365082,0.13664450956606444,26.77655823660673,45.4542688178249,0.17457327414625715
25042001,2,27,4,+,2.7582925100189017,-2.7582925100189,8,dephasing,REAL,0.2787002235515164,4.465979079645074,19.944969139827457,0.13664450956606622,6.0756239161673795,14.959829534097825,0.18670224093779636
25042001,2,27,4,+,2.7582925100189017,-2.7582925100189,8,dephasing,NULL,0.7268272721771013,4.273298349484811,18.261078783709614,0.13664450956606622,14.535678783623686,26.60853743249023,0.18670224093779636
25042001,2,27,4,+,2.7582925100189017,-2.7582925100189,8,transverse,REAL,0.6595327883916334,4.549189674041779,20.695126690408348,0.13664450956606622,3.6117813308468376,9.920118315629887,0.18670224093779636
25042001,2,27,4,+,2.7582925100189017,-2.7582925100189,8,transverse,NULL,0.7929562423537198,4.429478287627882,19.620277900566833,0.13664450956606622,18.26300174008952,33.91937887334412,0.18670224093779636
25042001,3,13,18,-,-0.44011369961696106,0.4401136996169611,8,dephasing,REAL,0.35485681899449895,4.460573908416744,19.896719592448225,0.07991867165354943,3.539606066539949,4.482687070198535,0.18396790902393384
25042001,3,13,18,-,-0.44011369961696106,0.4401136996169611,8,dephasing,NULL,0.7394166957234292,4.423733761701288,19.56942039441583,0.07991867165354943,67.40352440410422,64.80152931807771,0.18396790902393384
25042001,3,13,18,-,-0.44011369961696106,0.4401136996169611,8,transverse,REAL,0.940199299368472,4.499570586938161,20.24613546683902,0.07991867165354943,1.7567998100334925,1.5565914311562223,0.18396790902393384
25042001,3,13,18,-,-0.44011369961696106,0.4401136996169611,8,transverse,NULL,0.8196746614820289,4.595573185470116,21.119292903011946,0.07991867165354943,43.52823479365571,43.59647074087869,0.18396790902393384
25042001,3,18,13,+,0.4401136996169611,-0.44011369961696106,8,dephasing,REAL,0.3548568189944996,4.460573908416743,19.896719592448218,0.07991867165354949,3.5396060665399554,4.482687070198548,0.16440660732279322
25042001,3,18,13,+,0.4401136996169611,-0.44011369961696106,8,dephasing,NULL,0.7864129512878604,4.429664181607002,19.621924761812032,0.07991867165354949,37.82706482538501,1.5997601066966416,0.16440660732279322
25042001,3,18,13,+,0.4401136996169611,-0.44011369961696106,8,transverse,REAL,0.94019929936847,4.4995705869381615,20.246135466839032,0.07991867165354949,1.7567998100335023,1.5565914311562454,0.16440660732279322
25042001,3,18,13,+,0.4401136996169611,-0.44011369961696106,8,transverse,NULL,0.8363477533805532,4.441432257373946,19.726320496841826,0.07991867165354949,59.38957786323071,10.968673425790445,0.16440660732279322
25042001,4,1,30,-,-3.384229799690455,3.3842297996904556,8,dephasing,REAL,0.11870450750597691,4.473092017199384,20.008552194332857,0.015165606001127596,61.86824532768296,174.48487247974884,0.17102702157231045
25042001,4,1,30,-,-3.384229799690455,3.3842297996904556,8,dephasing,NULL,0.8400617354390193,4.435587897044809,19.67443999241039,0.015165606001127596,62.948048510759634,86.11648772343274,0.17102702157231045
