version,seed,family,metric,order,n_pairs,spearman_rho_vs_prominence,h2
v32.19,25042007,transverse,A_group,2,16,-0.1323529411764706,0.001
v32.19,25042007,transverse,C_group,2,16,0.11470588235294117,0.001
v32.19,25042007,transverse,R2_E,2,16,0.27941176470588236,0.001
v32.19,25042007,transverse,D2_E,2,16,0.19705882352941176,0.001
v32.19,25042008,dephasing,A_group,1,32,0.2562316715542522,
v32.19,25042008,dephasing,C_group,1,32,0.1601906158357771,
v32.19,25042008,dephasing,R1_E,1,32,-0.34970674486803516,
v32.19,25042008,dephasing,D1_E,1,32,-0.22507331378299117,
v32.19,25042008,transverse,A_group,2,32,0.4131231671554252,0.001
v32.19,25042008,transverse,C_group,2,32,0.5854105571847507,0.001
v32.19,25042008,transverse,R2_E,2,32,-0.06268328445747799,0.001
v32.19,25042008,transverse,D2_E,2,32,0.2624633431085044,0.001
v32.19,25042009,dephasing,A_group,1,16,0.7764705882352941,
v32.19,25042009,dephasing,C_group,1,16,0.6617647058823529,
v32.19,25042009,dephasing,R1_E,1,16,0.12352941176470587,
v32.19,25042009,dephasing,D1_E,1,16,-0.06764705882352941,
v32.19,25042009,transverse,A_group,2,16,0.2352941176470588,0.001
v32.19,25042009,transverse,C_group,2,16,0.15882352941176472,0.001
v32.19,25042009,transverse,R2_E,2,16,0.0,0.001
v32.19,25042009,transverse,D2_E,2,16,0.1176470588235294,0.001
v32.19,25042010,dephasing,A_group,1,16,0.055882352941176466,
v32.19,25042010,dephasing,C_group,1,16,0.0029411764705882353,
v32.19,25042010,dephasing,R1_E,1,16,0.19411764705882353,
v32.19,25042010,dephasing,D1_E,1,16,0.10588235294117648,
v32.19,25042010,transverse,A_group,2,16,0.8558823529411764,0.001
v32.19,25042010,transverse,C_group,2,16,0.7294117647058823,0.001
v32.19,25042010,transverse,R2_E,2,16,0.011764705882352941,0.001
v32.19,25042010,transverse,D2_E,2,16,0.25,0.001
v32.19,25042011,dephasing,A_group,1,16,-0.02647058823529412,
v32.19,25042011,dephasing,C_group,1,16,0.03823529411764706,
v32.19,25042011,dephasing,R1_E,1,16,-0.15588235294117647,
v32.19,25042011,dephasing,D1_E,1,16,-0.02647058823529412,
v32.19,25042011,transverse,A_group,2,16,0.6029411764705882,0.001
v32.19,25042011,transverse,C_group,2,16,0.7176470588235294,0.001
v32.19,25042011,transverse,R2_E,2,16,-0.13823529411764704,0.001
v32.19,25042011,transverse,D2_E,2,16,0.12352941176470587,0.001
