version,seed,family,group,energy,group_dim,K2_norm,K3_norm,K4_norm,K3_over_K2,K4_over_K2,slope_abs_K2,slope_abs_K2K3,slope_abs_K2K3K4,slope_rel_K2,slope_rel_K2K3,slope_rel_K2K3K4,smallest_lambda_rel_K2,smallest_lambda_rel_K2K3,smallest_lambda_rel_K2K3K4
v32.24,25042000,dephasing,29,-0.07081255002358791,4,7.523518075247102,0.07239973162937627,6.483316687032111,0.009623121909891653,0.8617400293571,3.045679218109725,3.989301860429963,4.992214324361509,1.0456651353085409,1.9892877776287794,2.9922002415603255,2.887504510936313e-06,7.755556233850586e-08,4.740687872825728e-10
v32.24,25042000,dephasing,30,-0.048600388009180505,4,11.391614159650551,0.07319491661639545,42.43408559433721,0.006425333196032402,3.7250283409913982,3.5463496966828694,4.04430177234539,5.313969306035192,1.546236988927176,2.044189064589698,3.3138565982794965,1.957133516518353e-06,3.3531029761276907e-07,6.193037830894974e-10
v32.24,25042000,dephasing,31,-0.046593787730558514,4,11.389448135618318,0.09520462422058877,51.16921146140527,0.008359019953113842,4.492685760724733,3.4370180689276553,3.9589543748820644,5.282290230524665,1.4371197517765923,1.9590560577310003,3.2823919133736013,2.539434746628072e-06,4.0428229775890334e-07,6.840031833770986e-10
v32.24,25042000,dephasing,32,0.04659378773055864,4,11.389448135618288,0.09520462422064079,51.16921146140858,0.008359019953118432,4.492685760725035,3.4370180689283067,3.958954374604861,5.282290203542161,1.437119751777244,1.9590560574537974,3.2823918863910992,2.5394347466113895e-06,4.042822981792506e-07,6.840032554995024e-10
v32.24,25042000,dephasing,33,0.048600388009180644,4,11.391614159650588,0.07319491661600103,42.43408559434161,0.006425333195997758,3.725028340991772,3.546349696694507,4.044301772075206,5.313969350615875,1.5462369889388137,2.044189064319514,3.3138566428601823,1.957133516424226e-06,3.3531029795952487e-07,6.193036756732082e-10
v32.24,25042000,dephasing,34,0.07081255002358793,4,7.5235180752470985,0.07239973162950158,6.483316687040272,0.009623121909908314,0.8617400293581853,3.0456792181230954,3.989301860426342,4.992214254604159,1.0456651353219124,1.9892877776251587,2.992200171802977,2.8875045108133112e-06,7.755556233229655e-08,4.740689133360869e-10
v32.24,25042000,dephasing,35,0.07278294475567904,4,7.542886475801152,0.07033659115127801,12.78443127616578,0.009324890594194892,1.694899070426207,3.2204831037074415,4.015749087136412,5.045289840455831,1.2204379176082931,2.0157039010372637,3.0452446543566807,2.802058138556195e-06,1.5255254018480337e-07,4.40357438243882e-10
v32.24,25042000,dephasing,36,0.2619864687735263,4,1.4374558802109365,0.23775794373169554,134.12716243193918,0.16540190694187165,93.30871596021227,3.487783103484663,3.993753195758053,5.293932347908464,1.4857411019158984,1.9917111941892884,3.2918903463396987,5.032787678434188e-05,8.39754693757246e-06,2.1936512856374796e-09
v32.24,25042000,dephasing,37,0.26482062964046393,4,2.455821420040909,0.31571349334697646,147.93404925999232,0.12855718692351714,60.23811342826713,3.4461318829757976,4.00617113745006,5.389237112821967,1.4446392621183692,2.004678516592631,3.387744491964539,3.8945175138791816e-05,5.4215162236084625e-06,1.004216662522498e-09
v32.24,25042000,dephasing,38,0.2812054412565679,4,1.213368930527385,0.22075216665745373,135.44039266915715,0.181933261272402,111.62342240812828,3.512171470663353,3.9944027078556292,5.3468427604808015,1.5097088180734455,1.991940055265722,3.3443801078908963,5.5498061288454586e-05,1.0045830995159052e-05,1.925509429428917e-09
v32.24,25042000,dephasing,39,0.2843715887463743,4,2.3713177441735294,0.32222848676962085,144.03040457497562,0.1358858329135164,60.7385513514024,3.4323705342618913,4.005629587797185,5.445962452070733,1.4308492907292893,2.0041083442645826,3.444441208538132,4.112970281183237e-05,5.466545457313099e-06,7.546049556804197e-10
v32.24,25042000,dephasing,40,0.6293356210701317,4,1.9968541372169815,0.008300156620894797,116.60641238616454,0.004156616382838427,58.395057612309664,3.9915354312096105,3.9988230805695606,5.703353017972299,1.9930692551675528,2.0003569045275036,3.7048868419302416,5.401466709600206e-06,5.2555615248237225e-06,6.234570782832378e-11
v32.24,25042000,dephasing,41,0.6353883011550365,4,2.970742373117034,0.3093928249747749,65.49786898848022,0.10414663613194645,22.047643572591912,3.2333692989754357,4.0010351489012965,5.308923539587956,1.2328247749099501,2.0004906248358085,3.308379015522469,3.130695556509132e-05,1.9842912134041757e-06,8.1121630303331e-11
v32.24,25042000,dephasing,42,0.6523641195267388,4,1.9634699758593208,0.03521778892520793,176.89138990310764,0.017936504941866868,90.09121202665214,3.9501767004933117,3.9989109281481516,5.385564167886013,1.9525648643603746,2.001299092015213,3.3879523317530778,9.731465950657709e-06,8.108244574623616e-06,2.678675414577795e-10
v32.24,25042000,dephasing,43,0.6587625915442124,4,3.343847142231574,0.2696191718671313,121.72724313040769,0.08063142853090956,36.40335157460903,3.4314222532921983,4.001332834394535,5.7768145410234375,1.4304748738647457,2.000385454967082,3.775867161595984,2.4410249892659833e-05,3.2763059080321078e-06,3.3838744145631714e-11
v32.24,25042000,dephasing,44,1.0687765868124621,4,2.299450341950258,0.16042997148237967,190.7690419508952,0.06976883499311076,82.96288833491232,3.6973905850809445,3.998401842769407,5.496260461059906,1.6995906032389434,2.0006018609274046,3.498460479217903,2.2222511504448587e-05,7.4666751482492234e-06,2.3963353086401226e-10
v32.24,25042000,dephasing,45,1.0741101228597905,4,3.70469616148372,0.27458361993806896,175.83073650271527,0.07411771653308784,47.46158087963024,3.5311020921200513,4.0015744098339425,5.490123000682532,1.5298405233947783,2.000312841108671,3.488861431957259,2.2641933989074726e-05,4.271546803833113e-06,1.3859665831430745e-10
v32.24,25042000,dephasing,46,1.0881648225246672,4,2.4210925556857728,0.09037848316625034,203.78254464026517,0.037329627466741226,84.16966305633198,3.8419624063200306,3.9985777090774715,5.5117679089912075,1.8441973894159687,2.0008126921734113,3.5140028920871487,1.3520265208628036e-05,7.5752904466759285e-06,2.0546613861835723e-10
v32.24,25042000,dephasing,47,1.0939615772545648,4,3.8981997514381184,0.1899678518519141,183.85030815108914,0.04873220049378727,47.16287514082965,3.6462581898808835,4.001532006779642,5.565357535727476,1.645003505713837,2.000277322612594,3.5641028515604303,1.5223428703929701e-05,4.244662745780777e-06,1.0378710572438595e-10
v32.24,25042000,dephasing,48,1.4275616977982164,4,1.924279006160843,0.08470886303157568,138.5942391602264,0.044021091931247314,72.02398338104712,3.7750644707092795,3.9986474816611266,5.361227652570984,1.7769767203164348,2.000559731268281,3.3631399021781387,1.4711738862824246e-05,6.482170774722308e-06,2.8186189472396684e-10
v32.24,25042000,dephasing,49,1.4334527954745644,4,3.211423181358416,0.10567725417706714,124.71369151686922,0.03290667352421806,38.83439972682639,3.698414623450101,4.001323929979577,5.274563523802429,1.6973799892040569,2.000289295733533,3.2735288895563848,1.0472610128090205e-05,3.4950993979737063e-06,2.082049290725877e-10
v32.24,25042000,dephasing,50,1.4584129115423414,4,1.7083425418461946,0.3007977897987753,147.4308249063973,0.17607580589411834,86.30050548707274,3.4517748780491773,3.998583607592607,5.129356568365773,1.4540671807885057,2.0008759103319327,3.131648871105102,5.339016810786618e-05,7.767068475191543e-06,9.727726029971243e-10
v32.24,25042000,dephasing,51,1.4639107662982664,4,3.0673797250911963,0.6109025978441206,133.4682973457088,0.19916106012142265,43.51215346894838,3.2413584531403723,4.0014634080591955,5.143235405450158,1.2401977112759064,2.0003026661947274,3.1420746635856913,5.987675592424635e-05,3.916097823428624e-06,4.734112687816599e-10
v32.24,25042000,dephasing,52,1.6720595812293473,4,1.9107528466316412,0.7512181574705971,164.7704751778823,0.39315297046129083,86.2332747368907,3.2393263597182433,3.998398370285164,5.895544078382606,1.241613847461991,2.000685858028912,3.897831566126355,0.00011820182580076188,7.761012735896313e-06,6.188025502568641e-11
v32.24,25042000,dephasing,53,1.6764420039565993,4,3.175273016924428,0.4592156159819103,167.59542431260527,0.14462240365923146,52.78142176099816,3.372552162968991,4.001650118079424,5.911473477447962,1.371143655506911,2.000241610617344,3.9100649699858843,4.364581928898112e-05,4.750331853567456e-06,3.701537770840861e-11
