version,seed,family,target_group,partner_target_group,path,bar_path,X5_norm,partner_norm,anti_pair_residual,same_pair_residual,pair_sum_norm
v32.26,25042000,transverse,59,4,9-63-35-30,54-0-28-33,3.4220135109128535e-12,3.422013477427813e-12,5.073669802477314e-08,1.999999990214813,1.736216661398792e-19
v32.26,25042000,transverse,59,4,25-61-24-26,38-2-39-37,2.4517256697904565e-12,2.451725670496599e-12,7.0455313759701635e-09,1.9999999997119815,1.7273710136755276e-20
v32.26,25042000,transverse,59,4,24-0-35-45,39-63-28-18,8.600212351207052e-10,8.600212351701052e-10,4.1326122816343904e-10,1.9999999999425597,3.5541343189303547e-19
v32.26,25042000,transverse,59,4,42-26-34-5,21-37-29-58,6.812499191306585e-10,6.812499186858694e-10,3.760656247048935e-09,1.9999999993470985,2.5619467641802926e-18
v32.26,25042000,transverse,59,4,24-14-10-38,39-49-53-25,9.160574324814807e-11,9.160574324543945e-11,6.022756880267818e-10,1.9999999999704317,5.51719120419831e-20
v32.26,25042000,transverse,59,4,62-29-19-48,1-34-44-15,7.743867439848523e-10,7.743867438998791e-10,5.08018636075337e-10,1.9999999998902704,3.934028974740058e-19
v32.26,25042000,transverse,59,4,55-39-42-29,8-24-21-34,2.007228916495635e-09,2.00722891650224e-09,8.98246463572478e-10,1.9999999999967093,1.8029862758285538e-18
v32.26,25042000,transverse,59,4,3-60-51-12,60-3-12-51,7.2021220649981835e-34,1.0151689932271346e-33,0.0014561352847193205,0.000989048758655328,1.4561352847193206e-33
v32.26,25042000,transverse,59,4,53-21-14-58,10-42-49-5,0.0001732895991071731,0.00017328959910777356,5.360132599008479e-12,1.999999999996535,9.288552292466877e-16
v32.26,25042000,transverse,59,4,5-0-61-53,58-63-2-10,5.7697989073760627e-11,5.769798917677307e-11,3.504944641586969e-09,1.999999998214627,2.022282579954737e-19
v32.26,25042000,transverse,59,4,46-28-58-3,17-35-5-60,0.00011129305036973112,0.00011129305036976899,1.3864068427079141e-11,1.9999999999996598,1.5429744657848427e-15
v32.26,25042000,transverse,59,4,45-48-25-2,18-15-38-61,1.5882778356874262e-06,1.5882778356051196e-06,1.9417893180187173e-10,1.9999999999481783,3.0841009353837317e-16
v32.26,25042000,transverse,59,4,17-46-22-2,46-17-41-61,2.2695194939722003e-19,3.034305158775998e-19,1.1021538753618472,1.3799007345168965,3.344271189775411e-19
