version,seed,family,target_group,partner_target_group,g,k,bar_g,bar_k,X_norm,partner_norm,anti_pair_residual,same_pair_residual,pair_sum_norm
v32.26,25042000,dephasing,32,31,0,33,63,30,0.000840253471028755,0.0008402534710294731,1.8589632882291234,0.7377367369278467,0.0015620003554508838
v32.26,25042000,dephasing,32,31,0,34,63,29,3.7586323921744925e-05,3.758632392124664e-05,0.245865046506485,1.9848300629659295,9.241163279027626e-06
v32.26,25042000,dephasing,32,31,0,35,63,28,7.587696531713688e-06,7.58769653140613e-06,0.18650700090338926,1.9912847959174218,1.4151585238949685e-06
v32.26,25042000,dephasing,32,31,0,36,63,27,9.005790488774099e-05,9.00579048877063e-05,0.007610743518290376,1.9999855190929658,6.854076158951858e-07
v32.26,25042000,dephasing,32,31,0,37,63,26,0.0004660285503866167,0.00046602855038651317,0.013984454519195349,1.999951108160125,6.517155067528179e-06
v32.26,25042000,dephasing,32,31,0,38,63,25,3.0410433495235976e-05,3.0410433495243217e-05,0.011996756519441138,1.9999640191343593,3.6482656629309024e-07
v32.26,25042000,dephasing,32,31,0,39,63,24,1.3614950372772035e-05,1.3614950372778337e-05,0.01601579008896578,1.9999358725884124,2.1805418724210424e-07
v32.26,25042000,dephasing,32,31,0,40,63,23,4.0720408785121775e-06,4.07204087851388e-06,0.0009191896842176044,1.999999788772152,3.74297796924235e-09
v32.26,25042000,dephasing,32,31,0,41,63,22,2.0087326241925645e-05,2.0087326241918543e-05,0.007581805397365536,1.999985629004744,1.5229819851967423e-07
v32.26,25042000,dephasing,32,31,0,42,63,21,4.88982271438751e-06,4.889822714385288e-06,0.007074964278591998,1.999987486180511,3.45953210329394e-08
v32.26,25042000,dephasing,32,31,0,43,63,20,3.0722320852950104e-06,3.0722320852962818e-06,0.00112211843127285,1.999999685212118,3.44740824805878e-09
v32.26,25042000,dephasing,32,31,0,44,63,19,3.325647106248781e-05,3.3256471062511496e-05,0.0006209983837664545,1.9999999035895375,2.0652214779595503e-08
v32.26,25042000,dephasing,32,31,0,45,63,18,0.0001810171331064677,0.00018101713310645693,0.0008257501631508007,1.9999998295341004,1.494749271957559e-07
v32.26,25042000,dephasing,32,31,0,46,63,17,3.296748746253287e-05,3.2967487462566404e-05,0.007284661282918273,1.9999867333824801,2.4015697951365105e-07
v32.26,25042000,dephasing,32,31,0,47,63,16,6.849217150758372e-05,6.849217150762304e-05,9.568468919467312e-05,1.999999997710536,6.5536521429751565e-09
v32.26,25042000,dephasing,32,31,0,48,63,15,1.9423020115318878e-06,1.9423020115316807e-06,0.0007813246298605701,1.999999847382843,1.517568400237593e-09
v32.26,25042000,dephasing,32,31,0,49,63,14,1.6436840157630833e-07,1.6436840157630934e-07,0.0009741629595577504,1.999999762751612,1.6012160853735432e-10
v32.26,25042000,dephasing,32,31,0,50,63,13,6.282850652255877e-06,6.282850652253597e-06,0.001995434845494577,1.9999990045593337,1.253701912054971e-08
v32.26,25042000,dephasing,32,31,0,51,63,12,8.650157543939448e-07,8.650157543944146e-07,0.00033886130088557896,1.9999999712927112,2.931203638206118e-10
v32.26,25042000,dephasing,32,31,0,52,63,11,5.879650319925654e-07,5.879650319903982e-07,0.008303495834804196,1.999982762911265,4.882165194160782e-09
v32.26,25042000,dephasing,32,31,0,53,63,10,1.793077254714577e-05,1.7930772547136038e-05,0.0022243387823799136,1.9999987630783198,3.98841127746494e-08
v32.26,25042000,dephasing,32,31,0,54,63,9,3.579782800269309e-05,3.5797828002689785e-05,0.0006652634073491105,1.999999889356054,2.3814985032769012e-08
v32.26,25042000,dephasing,32,31,0,55,63,8,1.0863398483616913e-05,1.0863398483618199e-05,0.0003534792983022298,1.9999999687629777,3.839986473166868e-09
v32.26,25042000,dephasing,32,31,0,56,63,7,1.1261726503355308e-05,1.1261726503380996e-05,0.00040659205929115597,1.999999958668443,4.578928570183469e-09
v32.26,25042000,dephasing,32,31,0,57,63,6,4.470604020217216e-05,4.470604020213872e-05,0.0005456582065214093,1.999999925563531,2.4394217717391285e-08
v32.26,25042000,dephasing,32,31,0,58,63,5,1.5849899367410444e-05,1.5849899367407178e-05,0.00039079375936808226,1.999999961819853,6.194041759396116e-09
v32.26,25042000,dephasing,32,31,0,59,63,4,2.985263064448797e-06,2.985263064448488e-06,0.00023292397152642846,1.9999999864365023,6.953393290225701e-10
v32.26,25042000,dephasing,32,31,0,60,63,3,3.737346856189532e-08,3.737346856220534e-08,8.180946879030681e-05,1.9999999983185077,3.0575036099252504e-12
v32.26,25042000,dephasing,32,31,0,61,63,2,3.957669770271067e-07,3.9576697702608734e-07,8.40990892916051e-05,1.99999999822926,3.328364233967127e-11
v32.26,25042000,dephasing,32,31,0,62,63,1,0.0001888010416999945,0.0001888010417000477,6.329792259804776e-05,1.9999999989980615,1.1950713723960408e-08
