version,seed,family,order,g_minus,g_plus,E_abs,prominence,A_group,C_group,R_response,D_response,response_label_R,response_label_D,h2
v32.19,25042002,dephasing,1,29,34,1.0686654956126873,-0.10021879565394456,-0.18272912563710142,0.1408225022641456,9835.906893281248,14.639662747867533,R1_E,D1_E,
v32.19,25042002,dephasing,1,30,33,1.0106867570449074,0.18037575092928343,0.0388617367807718,0.4294232819415229,3509.991654048513,19.256402097772025,R1_E,D1_E,
v32.19,25042002,dephasing,1,31,32,1.010637486580221,-0.14368580372395298,0.37361755328577406,0.7084640576462065,3582.159338505746,30.42559844039056,R1_E,D1_E,
v32.19,25042002,transverse,2,0,63,2.8086271322578424,-0.02448535306527211,0.7205314514211196,0.9041366199021681,752.3220281652268,22720.474323714323,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,1,62,2.808624788819107,0.004825865361237053,0.7016269590074615,0.8926051431716162,193.44009375467522,23921.99684155568,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,2,61,2.762512443577755,0.06806648475971927,0.6739597550175087,0.8760511430463147,5534.074728498395,353194.0337242279,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,3,60,2.7625074275378037,0.09402773487580929,0.651959598382049,0.8654282788398782,3571.812189449375,370856.4721254492,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,4,59,2.6005246121962595,-0.006225473753893929,0.32134671682318516,0.6387438261043943,33104.32800753348,2283790.988049626,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,5,58,2.600508788201716,0.021577668837121367,0.21450921646266696,0.5451834242169873,26699.466337900056,2336882.5008758074,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,6,57,2.552457966072332,0.1790638430531717,0.16707562234006695,0.5010538166487437,10619.52937875779,342438.62430961954,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,7,56,2.5524435325715658,0.010336050883219705,0.12551938446461092,0.458821720624064,7422.399011264465,362220.69011032744,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,8,55,2.160985826193258,-0.3367155757894618,0.1064822606172014,0.44822938907167753,43696.20480396958,31951.12701065674,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,9,54,2.1608931127576194,0.06736562028457443,0.07362552675881345,0.39870295826744706,38846.82135256756,123889.17161195833,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,10,53,2.1348743799688936,-0.2565858217291097,0.15085388722640164,0.47948886218917797,136151.15505906215,174457.94405989384,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,11,52,2.134741476920111,-0.36313251941490354,0.0025797897968403913,0.3012444037022852,128634.59319022478,411366.3189365656,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,12,51,1.9351215129294321,-0.08892200420392812,0.31476879829657356,0.7294366556792373,740835.653449458,442968.1202885329,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,13,50,1.9348470216724338,-0.2799836884730702,-0.20571645070951378,0.1568582527020133,760970.1121419244,5449988.130869144,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,14,49,1.9007559054745453,0.16030325868275902,0.27480535084103674,0.7640390272133343,364350.44900439144,3105543.2871062784,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,15,48,1.9006317320412505,0.26080477643311095,-0.06053757787705748,0.5115796013699039,350783.1839414544,8005934.778996032,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,16,47,1.8816619921390059,0.17041253391595496,-0.07241598048446914,0.4133444268162833,2158.1941732165797,61141.627137583106,R2_E,D2_E,0.001
