version,seed,family,g_minus,g_plus,E_abs,lambda,paired_gamma_response_residual,same_target_evenness_residual
v32.25,25042000,dephasing,14,49,1.4334527954745644,0.0003,2.1413531376472233e-13,1.97443503958294e-05
v32.25,25042000,dephasing,15,48,1.4275616977982164,0.01,3.8587769444554585e-13,0.0009074053010939917
v32.25,25042000,dephasing,15,48,1.4275616977982164,0.003,3.8497523581524915e-13,0.00026485598108922406
v32.25,25042000,dephasing,15,48,1.4275616977982164,0.001,3.8454310035873806e-13,8.806920264451829e-05
v32.25,25042000,dephasing,15,48,1.4275616977982164,0.0003,3.8466671929421945e-13,2.641338467470762e-05
v32.25,25042000,dephasing,16,47,1.0939615772545648,0.01,1.0931427437667324e-13,0.0009775952778525992
v32.25,25042000,dephasing,16,47,1.0939615772545648,0.003,1.0974815205252771e-13,0.00029247238137907643
v32.25,25042000,dephasing,16,47,1.0939615772545648,0.001,1.0942858124860683e-13,9.746733188252917e-05
v32.25,25042000,dephasing,16,47,1.0939615772545648,0.0003,1.1024620935503146e-13,2.9239399425550197e-05
v32.25,25042000,dephasing,17,46,1.0881648225246672,0.01,1.2438018807017385e-13,0.0007381720026363598
v32.25,25042000,dephasing,17,46,1.0881648225246672,0.003,1.259824047139634e-13,0.0002237499462602926
v32.25,25042000,dephasing,17,46,1.0881648225246672,0.001,1.2670464378322703e-13,7.465081568435463e-05
v32.25,25042000,dephasing,17,46,1.0881648225246672,0.0003,1.2732583002106852e-13,2.239754861541805e-05
v32.25,25042000,dephasing,18,45,1.0741101228597905,0.01,2.2578400656082714e-13,0.0014854266439919591
v32.25,25042000,dephasing,18,45,1.0741101228597905,0.003,2.209441299072317e-13,0.00044478871262196187
v32.25,25042000,dephasing,18,45,1.0741101228597905,0.001,2.196062102893564e-13,0.00014823848366957756
v32.25,25042000,dephasing,18,45,1.0741101228597905,0.0003,2.1940310333727475e-13,4.447071228076012e-05
v32.25,25042000,dephasing,19,44,1.0687765868124621,0.01,3.0345968396933604e-13,0.0013894683153161799
v32.25,25042000,dephasing,19,44,1.0687765868124621,0.003,2.981057170486053e-13,0.000418452986339842
v32.25,25042000,dephasing,19,44,1.0687765868124621,0.001,2.9685247331596903e-13,0.00013953174155670824
v32.25,25042000,dephasing,19,44,1.0687765868124621,0.0003,2.9648784637287345e-13,4.1861140923411434e-05
v32.25,25042000,dephasing,20,43,0.6587625915442124,0.01,4.274402743137475e-14,0.0016090517692209383
v32.25,25042000,dephasing,20,43,0.6587625915442124,0.003,4.1403033278169504e-14,0.00048369205230669286
v32.25,25042000,dephasing,20,43,0.6587625915442124,0.001,4.127821181245559e-14,0.0001612592824689198
v32.25,25042000,dephasing,20,43,0.6587625915442124,0.0003,4.137778553318669e-14,4.83787606051357e-05
v32.25,25042000,dephasing,21,42,0.6523641195267388,0.01,1.257568752791437e-13,0.00038064736623946596
v32.25,25042000,dephasing,21,42,0.6523641195267388,0.003,1.1746050482117214e-13,0.00010820679469379435
v32.25,25042000,dephasing,21,42,0.6523641195267388,0.001,1.153617300827139e-13,3.589476575046112e-05
v32.25,25042000,dephasing,21,42,0.6523641195267388,0.0003,1.1462004857519805e-13,1.0762490333074493e-05
v32.25,25042000,dephasing,22,41,0.6353883011550365,0.01,1.0548771524592619e-13,0.0020842742314368047
v32.25,25042000,dephasing,22,41,0.6353883011550365,0.003,1.0345843185738768e-13,0.0006249148675916607
v32.25,25042000,dephasing,22,41,0.6353883011550365,0.001,1.0322648030249951e-13,0.0002082945666437777
v32.25,25042000,dephasing,22,41,0.6353883011550365,0.0003,1.032402471201502e-13,6.248801661575473e-05
v32.25,25042000,dephasing,23,40,0.6293356210701317,0.01,8.487730494983809e-14,8.157987212141333e-05
v32.25,25042000,dephasing,23,40,0.6293356210701317,0.003,9.034388954242031e-14,2.4895267958523823e-05
v32.25,25042000,dephasing,23,40,0.6293356210701317,0.001,9.153140854656012e-14,8.311579289906548e-06
v32.25,25042000,dephasing,23,40,0.6293356210701317,0.0003,9.251764164756925e-14,2.493925161542513e-06
v32.25,25042000,dephasing,24,39,0.2843715887463743,0.01,4.429458844390159e-14,0.002644727074758659
v32.25,25042000,dephasing,24,39,0.2843715887463743,0.003,4.340254909807368e-14,0.0008134183259747623
v32.25,25042000,dephasing,24,39,0.2843715887463743,0.001,4.363898818835536e-14,0.0002717016555465296
v32.25,25042000,dephasing,24,39,0.2843715887463743,0.0003,4.36193106446363e-14,8.152961019666197e-05
v32.25,25042000,dephasing,25,38,0.2812054412565679,0.01,8.595754487889343e-14,0.0037283516131720374
v32.25,25042000,dephasing,25,38,0.2812054412565679,0.003,8.524475316396548e-14,0.001094185507528543
v32.25,25042000,dephasing,25,38,0.2812054412565679,0.001,8.482085449853593e-14,0.00036396285093856967
v32.25,25042000,dephasing,25,38,0.2812054412565679,0.0003,8.508971647828446e-14,0.00010916255933297104
v32.25,25042000,dephasing,26,37,0.26482062964046393,0.01,5.836136966519877e-14,0.00247906009757785
v32.25,25042000,dephasing,26,37,0.26482062964046393,0.003,5.458560449130811e-14,0.0007689558781852495
v32.25,25042000,dephasing,26,37,0.26482062964046393,0.001,5.40386130031559e-14,0.0002570262759121212
v32.25,25042000,dephasing,26,37,0.26482062964046393,0.0003,5.398362607345308e-14,7.71319344869955e-05
