version,seed,family,metric,n_pairs,spearman_rho_vs_prominence
v32.20,25042009,dephasing,positive_fraction,16,0.011764705882352941
v32.20,25042009,dephasing,mode_excess,16,0.06176470588235294
v32.20,25042009,dephasing,weighted_mode_fraction,16,0.055882352941176466
v32.20,25042009,transverse,A_group,16,0.2352941176470588
v32.20,25042009,transverse,C_group,16,0.15882352941176472
v32.20,25042009,transverse,mean_cosine,16,0.011764705882352941
v32.20,25042009,transverse,positive_fraction,16,0.011764705882352941
v32.20,25042009,transverse,mode_excess,16,-0.2764705882352941
v32.20,25042009,transverse,weighted_mode_fraction,16,0.22352941176470587
v32.20,25042010,dephasing,A_group,16,0.055882352941176466
v32.20,25042010,dephasing,C_group,16,0.0029411764705882353
v32.20,25042010,dephasing,mean_cosine,16,0.18823529411764706
v32.20,25042010,dephasing,positive_fraction,16,0.18823529411764706
v32.20,25042010,dephasing,mode_excess,16,0.28529411764705886
v32.20,25042010,dephasing,weighted_mode_fraction,16,0.07058823529411765
v32.20,25042010,transverse,A_group,16,0.8558823529411764
v32.20,25042010,transverse,C_group,16,0.7294117647058823
v32.20,25042010,transverse,mean_cosine,16,0.18823529411764706
v32.20,25042010,transverse,positive_fraction,16,0.18823529411764706
v32.20,25042010,transverse,mode_excess,16,-0.1176470588235294
v32.20,25042010,transverse,weighted_mode_fraction,16,0.08823529411764705
v32.20,25042011,dephasing,A_group,16,-0.02647058823529412
v32.20,25042011,dephasing,C_group,16,0.03823529411764706
v32.20,25042011,dephasing,mean_cosine,16,0.11470588235294117
v32.20,25042011,dephasing,positive_fraction,16,0.11470588235294117
v32.20,25042011,dephasing,mode_excess,16,-0.19999999999999998
v32.20,25042011,dephasing,weighted_mode_fraction,16,0.11176470588235293
v32.20,25042011,transverse,A_group,16,0.6029411764705882
v32.20,25042011,transverse,C_group,16,0.7176470588235294
v32.20,25042011,transverse,mean_cosine,16,0.11470588235294117
v32.20,25042011,transverse,positive_fraction,16,0.11470588235294117
v32.20,25042011,transverse,mode_excess,16,0.2058823529411765
v32.20,25042011,transverse,weighted_mode_fraction,16,0.06470588235294117
