version,label,H_parity,V_transverse_parity,V_dephasing_parity,candidate_same_target_transverse
v32.27,IIIXYYYZ,0,0,1,0
v32.27,IIIXYYZI,0,0,0,0
v32.27,IIIXYYZX,0,0,0,0
v32.27,IIIXYYZY,0,0,0,0
v32.27,IIIXYYZZ,0,0,0,0
v32.27,IIIXYZII,0,0,1,0
v32.27,IIIXYZIX,0,0,0,0
v32.27,IIIXYZIY,0,0,0,0
v32.27,IIIXYZIZ,0,0,1,0
v32.27,IIIXYZXI,0,0,0,0
v32.27,IIIXYZXX,0,0,0,0
v32.27,IIIXYZXY,0,0,0,0
v32.27,IIIXYZXZ,0,0,0,0
v32.27,IIIXYZYI,0,0,0,0
v32.27,IIIXYZYX,0,0,0,0
v32.27,IIIXYZYY,0,0,0,0
v32.27,IIIXYZYZ,0,0,0,0
v32.27,IIIXYZZI,0,0,1,0
v32.27,IIIXYZZX,0,0,0,0
v32.27,IIIXYZZY,0,0,0,0
v32.27,IIIXYZZZ,0,0,1,0
v32.27,IIIXZIII,0,0,0,0
v32.27,IIIXZIIX,0,0,0,0
v32.27,IIIXZIIY,0,0,0,0
v32.27,IIIXZIIZ,0,0,0,0
v32.27,IIIXZIXI,0,0,0,0
v32.27,IIIXZIXX,0,0,0,0
v32.27,IIIXZIXY,0,0,0,0
v32.27,IIIXZIXZ,0,0,0,0
v32.27,IIIXZIYI,0,0,0,0
v32.27,IIIXZIYX,0,0,0,0
v32.27,IIIXZIYY,0,0,0,0
v32.27,IIIXZIYZ,0,0,0,0
v32.27,IIIXZIZI,0,0,0,0
v32.27,IIIXZIZX,0,0,0,0
v32.27,IIIXZIZY,0,0,0,0
v32.27,IIIXZIZZ,0,0,0,0
v32.27,IIIXZXII,0,0,0,0
v32.27,IIIXZXIX,0,0,0,0
v32.27,IIIXZXIY,0,0,0,0
v32.27,IIIXZXIZ,0,0,0,0
v32.27,IIIXZXXI,0,0,0,0
v32.27,IIIXZXXX,0,0,0,0
v32.27,IIIXZXXY,0,0,0,0
v32.27,IIIXZXXZ,0,0,0,0
v32.27,IIIXZXYI,0,0,0,0
v32.27,IIIXZXYX,0,0,0,0
v32.27,IIIXZXYY,0,0,0,0
v32.27,IIIXZXYZ,0,0,0,0
v32.27,IIIXZXZI,0,0,0,0
v32.27,IIIXZXZX,0,0,0,0
v32.27,IIIXZXZY,0,0,0,0
v32.27,IIIXZXZZ,0,0,0,0
v32.27,IIIXZYII,0,0,0,0
v32.27,IIIXZYIX,0,0,0,0
v32.27,IIIXZYIY,0,0,0,0
v32.27,IIIXZYIZ,0,0,0,0
v32.27,IIIXZYXI,0,0,0,0
v32.27,IIIXZYXX,0,0,0,0
v32.27,IIIXZYXY,0,0,0,0
v32.27,IIIXZYXZ,0,0,0,0
v32.27,IIIXZYYI,0,0,0,0
v32.27,IIIXZYYX,0,0,0,0
v32.27,IIIXZYYY,0,0,0,0
v32.27,IIIXZYYZ,0,0,0,0
v32.27,IIIXZYZI,0,0,0,0
v32.27,IIIXZYZX,0,0,0,0
v32.27,IIIXZYZY,0,0,0,0
v32.27,IIIXZYZZ,0,0,0,0
v32.27,IIIXZZII,0,0,0,0
v32.27,IIIXZZIX,0,0,0,0
v32.27,IIIXZZIY,0,0,0,0
v32.27,IIIXZZIZ,0,0,0,0
v32.27,IIIXZZXI,0,0,0,0
v32.27,IIIXZZXX,0,0,0,0
v32.27,IIIXZZXY,0,0,0,0
v32.27,IIIXZZXZ,0,0,0,0
v32.27,IIIXZZYI,0,0,0,0
v32.27,IIIXZZYX,0,0,0,0
v32.27,IIIXZZYY,0,0,0,0
v32.27,IIIXZZYZ,0,0,0,0
v32.27,IIIXZZZI,0,0,0,0
v32.27,IIIXZZZX,0,0,0,0
v32.27,IIIXZZZY,0,0,0,0
v32.27,IIIXZZZZ,0,0,0,0
v32.27,IIIYIIII,0,1,0,0
v32.27,IIIYIIIX,0,1,0,0
v32.27,IIIYIIIY,0,1,0,0
v32.27,IIIYIIIZ,0,1,0,0
v32.27,IIIYIIXI,0,1,0,0
v32.27,IIIYIIXX,0,1,0,0
v32.27,IIIYIIXY,0,1,0,0
v32.27,IIIYIIXZ,0,1,0,0
v32.27,IIIYIIYI,0,0,0,0
v32.27,IIIYIIYX,0,0,0,0
