version,n_qubits,dimension,seed,family,g_minus,g_plus,E_abs,prominence,S_group,A_group,C2_group,C_group,n_channels_mean,identity_residual_maxabs,n_groups,n_pairs
v32.22,7,128,25042006,transverse,2,29,2.9003738193477466,-0.05183394906147132,0.98243313045226,0.00819567977708037,0.9906288102293405,0.995303375976059,31.0,1.1102230246251565e-16,32,16
v32.22,7,128,25042006,transverse,3,28,2.8985540961291263,-0.013904228103776783,0.9825981125183993,-0.008202444071393786,0.9743956684470055,0.987114820295494,31.0,0.0,32,16
v32.22,7,128,25042006,transverse,4,27,2.476300941499708,-0.11236409094304556,0.8838653826863161,0.01369367612293609,0.8975590588092522,0.947395935609422,31.0,0.0,32,16
v32.22,7,128,25042006,transverse,5,26,2.466322612135669,-0.01288507710662029,0.8837633628666728,-0.017091932509551645,0.8666714303571212,0.9309518947599393,31.0,0.0,32,16
v32.22,7,128,25042006,transverse,6,25,2.194005682342989,-0.04061231670531962,0.8844746144908208,-0.002667311611726399,0.8818073028790944,0.939045953550248,31.0,0.0,32,16
v32.22,7,128,25042006,transverse,7,24,2.1854290862475496,-0.041499656894011916,0.8852589829916386,-0.0012609218659586632,0.8839980611256799,0.9402117108001153,31.0,0.0,32,16
v32.22,7,128,25042006,transverse,8,23,1.0561886114913577,0.38921706865025507,0.2969499882043853,0.3038445529928573,0.6007945411972426,0.7751093736997654,31.0,0.0,32,16
v32.22,7,128,25042006,transverse,9,22,1.0469730957961778,0.08501517229355793,0.32691662843980984,0.3154601812999352,0.642376809739745,0.8014841294372241,31.0,0.0,32,16
v32.22,7,128,25042006,transverse,10,21,1.0007621393315247,0.1269203316931267,0.32014627990668887,0.1655301266522875,0.48567640655897637,0.6969048762628773,31.0,0.0,32,16
v32.22,7,128,25042006,transverse,11,20,0.9757340426286673,-0.3261902609698527,0.31717481604069797,0.13626179952633422,0.4534366155670322,0.6733770233435592,31.0,0.0,32,16
v32.22,7,128,25042006,transverse,12,19,0.6121855647890787,0.028247089736790076,0.2805077064621285,-0.06920758812679015,0.2113001183353384,0.45967392609907554,31.0,2.7755575615628914e-17,32,16
