version,seed,family,group,energy,group_dim,K2_norm,K3_norm,K4_norm,K5_norm,K6_norm,K3_over_K2,K5_over_K2
v32.25,25042000,transverse,27,-0.26198646877352644,4,0.47756224691767757,5.381889489558831e-13,17.82428719268282,4.1309226886505576e-11,884.1364548261943,1.126950366008845e-12,8.65001937509237e-11
v32.25,25042000,transverse,28,-0.07278294475567904,4,86.93439827648587,2.8319976581451803e-09,31380.011725131237,8.341309142857047e-07,4375357.609124473,3.257626111517221e-11,9.594946658891427e-09
v32.25,25042000,transverse,29,-0.07081255002358791,4,81.45057685459233,2.840694452674406e-09,38450.51380626467,1.1412768892959496e-06,7236175.019896885,3.4876296305987945e-11,1.4011894493189246e-08
v32.25,25042000,transverse,30,-0.048600388009180505,4,63.022519072681405,1.1697541863979724e-09,22464.30923958877,3.763237468192431e-07,3506044.7006913302,1.8560892258986676e-11,5.971258406621983e-09
v32.25,25042000,transverse,31,-0.046593787730558514,4,58.301808506713236,1.1764609197921724e-09,21064.096548599846,3.9117914827517387e-07,3966773.4986741585,2.0178806625813455e-11,6.709554271033137e-09
v32.25,25042000,transverse,32,0.04659378773055864,4,58.301808506712675,1.2740986488237599e-09,21064.096548599486,4.2464117312112655e-07,3966773.4986741594,2.1853501314235635e-11,7.2834991571871185e-09
v32.25,25042000,transverse,33,0.048600388009180644,4,63.0225190726809,1.2620682323002906e-09,22464.30923958884,3.9952114583843365e-07,3506044.70069145,2.002567099618482e-11,6.339339520492425e-09
v32.25,25042000,transverse,34,0.07081255002358793,4,81.45057685459248,3.456378793851177e-09,38450.513806264295,1.3894496567069323e-06,7236175.0198965585,4.243528931687724e-11,1.705880682941523e-08
v32.25,25042000,transverse,35,0.07278294475567904,4,86.93439827648606,3.4366301873492304e-09,31380.01172513145,1.0123176954738605e-06,4375357.609124382,3.953130470195901e-11,1.1644616119091161e-08
v32.25,25042000,transverse,36,0.2619864687735263,4,0.4775622469176667,9.517089316748097e-13,17.824287192686395,4.838554979778848e-11,884.1364548264783,1.9928479225848175e-12,1.0131778655051497e-10
v32.25,25042000,transverse,37,0.26482062964046393,4,0.532434775783289,1.0394589501325019e-12,8.543716165875617,1.4522241993147665e-11,307.69603162826974,1.952274714970123e-12,2.7275156796028836e-11
v32.25,25042000,transverse,38,0.2812054412565679,4,0.28098159706719794,5.146843635542335e-13,8.252592092355732,1.959187470702902e-11,458.80888247601166,1.8317369141835455e-12,6.972654049775202e-11
v32.25,25042000,transverse,39,0.2843715887463743,4,0.5943860319934581,4.602871560938708e-13,43.50973227682503,8.524767978821517e-11,3063.5078567740566,7.74390936728703e-13,1.4342140494504996e-10
v32.25,25042000,transverse,40,0.6293356210701317,4,41.819561292762735,1.2728217598889863e-10,2842.5118178424013,1.825085967265928e-08,738093.4033059472,3.0436038077454913e-12,4.3641920451752235e-10
v32.25,25042000,transverse,41,0.6353883011550365,4,37.59858210199006,1.2972414013455073e-10,14276.61016354938,7.928713788648787e-08,931815.6855059734,3.450240218704538e-12,2.108779997910912e-09
v32.25,25042000,transverse,42,0.6523641195267388,4,33.335566674789916,1.3845135761532952e-10,10785.21291154747,6.591615028624055e-08,1793842.7203650826,4.153262458863002e-12,1.977352025519631e-09
v32.25,25042000,transverse,43,0.6587625915442124,4,36.57140058305121,1.2705419878460728e-10,1302.278938456941,9.34830031886529e-09,518586.3151037035,3.4741409068016324e-12,2.556177824701005e-10
v32.25,25042000,transverse,44,1.0687765868124621,4,0.830086309071094,1.8501375924167325e-13,21.24396631520152,1.9610907830870682e-11,1332.3641957915459,2.2288496656294986e-13,2.3625143092428807e-11
v32.25,25042000,transverse,45,1.0741101228597905,4,0.9000294449297596,2.0718011950255127e-13,18.77257203880591,6.53109500896489e-12,88.28099127193504,2.301926016639601e-13,7.256534823118584e-12
v32.25,25042000,transverse,46,1.0881648225246672,4,1.108770102168712,2.3353938702770903e-13,51.95822074239532,4.193812476549158e-11,3713.299549534253,2.1062922473370713e-13,3.782400398735699e-11
v32.25,25042000,transverse,47,1.0939615772545648,4,1.5881619803530433,1.9373819841937792e-13,36.51051509191813,1.8990983027807042e-11,3923.3822603567237,1.2198894118867556e-13,1.195783759008348e-11
v32.25,25042000,transverse,48,1.4275616977982164,4,6.593553103598996,6.385162197675051e-12,279.0905063418032,5.077192915376557e-10,9615.977623947401,9.683947482260819e-13,7.70023815020955e-11
v32.25,25042000,transverse,49,1.4334527954745644,4,5.651038191789519,6.5095722914130476e-12,206.8050422538494,4.26155123131083e-10,3828.6192277564096,1.1519250216483947e-12,7.541182852918078e-11
v32.25,25042000,transverse,50,1.4584129115423414,4,6.552144374954385,8.73568062965752e-12,383.78301603290043,1.0507126932288263e-09,13091.315061640573,1.3332552107749209e-12,1.6036165156024072e-10
v32.25,25042000,transverse,51,1.4639107662982664,4,5.158830350076345,9.635422432209099e-12,296.01738898789836,1.070167897257404e-09,25068.919342345544,1.867753304209065e-12,2.0744390193826917e-10
v32.25,25042000,transverse,52,1.6720595812293473,4,2.1267166840861633,1.7171739598535444e-11,1537.1408086804715,9.797093792029971e-09,432469.1451159713,8.074295803963202e-12,4.606675569595073e-09
v32.25,25042000,transverse,53,1.6764420039565993,4,7.936159557222144,1.7194770821576155e-11,1525.401149480025,9.443757895916061e-09,421025.6356077637,2.1666362297275634e-12,1.1899657293711992e-09
v32.25,25042000,transverse,54,1.6886100349699211,4,4.374683517069308,3.750993961652538e-11,1609.8181390442487,1.6842384395593804e-08,338107.81587128335,8.574320741184512e-12,3.8499663643958566e-09
v32.25,25042000,transverse,55,1.6921458564839147,4,8.370536948894202,3.664317523824073e-11,1508.5559027018949,1.4990120266198354e-08,327334.36765546625,4.37763735611746e-12,1.7908194369990373e-09
v32.25,25042000,transverse,56,1.9644309918628977,4,0.8725328228901057,3.8601120358818886e-11,1175.7895419804763,1.856021967899626e-08,266895.2504171025,4.4240307465981306e-11,2.1271657858691115e-08
v32.25,25042000,transverse,57,1.966744402461953,4,5.755802136809306,3.8630023048407534e-11,1268.2224076818698,2.0462536191556733e-08,271954.885969077,6.711492530530567e-12,3.5551145965729836e-09
v32.25,25042000,transverse,58,1.9761806190048739,4,1.8620478071952231,3.70933965609469e-11,2430.6334482569637,2.6230137116409304e-08,826818.3897625054,1.9920754138326968e-11,1.4086715182635078e-08
v32.25,25042000,transverse,59,1.9787294107422513,4,8.309670938199732,3.658374952791508e-11,2396.253695804089,2.4930805835856388e-08,834773.7534205884,4.402550931317727e-12,3.000215775241947e-09
v32.25,25042000,transverse,60,2.8428147436945483,4,1.2636725165564313,4.426183397874782e-13,13.470005415597619,9.98273853103242e-10,24936.989666765854,3.502634851896871e-13,7.899782894887882e-10
v32.25,25042000,transverse,61,2.8439494108712084,4,1.565322784313284,4.326006578630209e-13,13.592544467113546,9.85741175804104e-10,25041.792174307557,2.763651447473214e-13,6.297366815858074e-10
v32.25,25042000,transverse,62,2.87344508633917,4,1.3653611889586827,2.1343125520500108e-13,10.923125271452411,6.713300876972056e-10,26624.610292464942,1.5631853089934266e-13,4.916868101467037e-10
v32.25,25042000,transverse,63,2.874552422746733,4,1.6290205635139436,2.1848127748209421e-13,10.568057850439311,6.69551298041067e-10,26654.27678234427,1.341181826525323e-13,4.1101463851185813e-10
