version,seed,family,target_group,partner_target_group,target_energy,K3_norm,K3_reconstruction_residual,K3_pair_cancel_sum_norm,median_K3_anti_pair_residual,median_K3_same_pair_residual,median_K3_pair_sum_norm,median_K5_anti_pair_residual,median_K5_same_pair_residual,median_K5_pair_sum_norm,n_K3_pairs,n_K5_samples
v32.26,25042000,dephasing,59,4,1.9787294107422513,0.157481404886531,0.0,0.35384277636948464,0.005625531485882291,1.9999920883323947,8.756670718615757e-09,0.007605617233081334,1.9999855382937453,5.849948072904556e-12,2047,200
v32.26,25042000,dephasing,60,3,2.8428147436945483,0.10892399801916107,0.0,0.08603087124212694,0.004396372724596935,1.9999951679693742,1.710050039497537e-09,0.008663712604231212,1.999981225066017,2.011901255173328e-13,2047,200
v32.26,25042000,dephasing,61,2,2.8439494108712084,0.10910320070915693,0.0,0.08590342022157346,0.005475692971051437,1.9999925041801672,1.489593641600491e-09,0.009148599588717034,1.9999780899339952,3.7705192862411343e-13,2047,200
v32.26,25042000,dephasing,62,1,2.87344508633917,0.10325975253179186,0.0,0.08087318023723045,0.005572653062059365,1.9999922363662357,1.4821858971962779e-09,0.00913611568411863,1.999979130430113,4.811268055840875e-13,2047,200
v32.26,25042000,dephasing,63,0,2.874552422746733,0.10370700745451475,0.0,0.08076004221967258,0.004308426349071364,1.9999953593011257,1.64625482224384e-09,0.005494480840241888,1.999992451804323,3.5459232963284367e-13,2047,200
v32.26,25042000,transverse,32,31,0.04659378773055864,1.2735581328979758e-09,0.0,2.6402490095143094e-12,6.776813334242295e-10,1.9999999998995004,1.1828068966752015e-15,8.360824578514288e-10,1.999999999885134,1.1631596308886996e-17,2047,200
v32.26,25042000,transverse,33,30,0.048600388009180644,1.263425206724526e-09,0.0,2.46532504684775e-12,7.096538880679528e-10,1.9999999999161584,1.210141521712545e-15,7.139809886511655e-10,1.9999999999159308,1.500532981183127e-17,2047,200
v32.26,25042000,transverse,34,29,0.07081255002358793,3.4560170453386016e-09,0.0,5.54332688280694e-12,8.189321613233152e-10,1.9999999998869293,1.2902282597277102e-15,6.97753531328816e-10,1.9999999998914995,5.517853896780151e-18,2047,200
v32.26,25042000,transverse,35,28,0.07278294475567904,3.435794715003922e-09,0.0,5.392936411603744e-12,8.321784179114725e-10,1.9999999998760818,1.2273343452723962e-15,8.920941056584961e-10,1.9999999998865947,9.578111279831032e-18,2047,200
v32.26,25042000,transverse,36,27,0.2619864687735263,9.48248042776224e-13,0.0,6.190581009810638e-13,1.238517222653073e-09,1.9999999998001705,5.863526416746681e-16,1.2126438038802898e-09,1.9999999998423275,7.742113397331611e-18,2047,200
