version,seed,family,g_minus,g_plus,E_abs,prominence,L1,C_group,S_group,A_group,response_norm_coeff,C_times_L1,abs_error_slope,rel_error_slope
v32.23,25042000,transverse,18,45,1.0741101228597905,-0.025214000864455688,3.238176619882273,0.27794328431735327,0.06814521517001657,0.009107254127100516,0.9000294449297447,0.9000294449297446,3.9999591350895862,1.9999591350895858
v32.23,25042000,transverse,19,44,1.0687765868124621,-0.2796673059394926,3.0781684689063447,0.26966890131456306,0.07150581953499191,0.0012154968012116402,0.8300863090711048,0.8300863090711048,3.9984073667856617,1.9984073667856603
v32.23,25042000,transverse,20,43,0.6587625915442124,0.271925888444691,40.46363368901978,0.9038091058286508,0.754002063947625,0.06286883583116033,36.571400583051044,36.571400583051044,4.010046793962758,2.0100467939627578
v32.23,25042000,transverse,21,42,0.6523641195267388,0.34473424651455187,40.68354464599231,0.8193869773359053,0.7462872968993467,-0.07489227827167551,33.335566674789995,33.335566674789995,4.004340698550022,2.004340698550023
v32.23,25042000,transverse,22,41,0.6353883011550365,0.6326899225480247,45.158123354275695,0.8325984188275818,0.772429132039862,-0.07920900500567246,37.59858210199084,37.59858210199084,4.001532827085775,2.001532827085775
v32.23,25042000,transverse,23,40,0.6293356210701317,0.16502413161883028,45.33211497019849,0.92251511583467,0.7669288034781028,0.08410533546535187,41.81956129276324,41.81956129276324,4.00691978276276,2.0069197827627616
v32.23,25042000,transverse,24,39,0.2843715887463743,-0.5475178260577758,4.590564488355138,0.12947994380674263,0.06839792399231173,-0.0516328681441145,0.5943860319934515,0.5943860319934515,4.001833763513265,2.0018337635132646
v32.23,25042000,transverse,25,38,0.2812054412565679,-0.46029967445888076,4.574936220470153,0.061417598743776,0.07271450634175658,-0.06894238490630511,0.28098159706720305,0.28098159706720305,3.9991237466104974,1.9991237466104956
v32.23,25042000,transverse,26,37,0.26482062964046393,-0.585737424372401,4.642780576583476,0.11468015061247602,0.07804248784059162,-0.06489095089609143,0.5324347757832714,0.5324347757832714,4.00094732005035,2.00094732005035
v32.23,25042000,transverse,27,36,0.2619864687735263,-0.751304197451854,4.678041015079762,0.1020859469547703,0.07103361280166601,-0.060612072236013836,0.47756224691767235,0.47756224691767235,3.998692894342439,1.9986928943424382
v32.23,25042000,transverse,28,35,0.07278294475567904,0.1666843876215432,89.84978561841339,0.9675526511069381,0.875177149501497,0.060980983162567184,86.93439827648592,86.93439827648592,4.0031419701317175,2.0031419701317175
v32.23,25042000,transverse,29,34,0.07081255002358793,0.12307328643041221,89.50731680251576,0.9099879179073228,0.8818725280911297,-0.05379451735382519,81.45057685459244,81.45057685459244,3.9944771020353724,1.994477102035374
v32.23,25042000,transverse,30,33,0.048600388009180644,0.1783224940845633,66.76910572364258,0.9438874220291558,0.8314508240633016,0.05947264140154385,63.02251907268115,63.02251907268115,4.003661131190961,2.0036611311909613
v32.23,25042000,transverse,31,32,0.04659378773055864,0.07724022316920248,66.42656191330111,0.8776881841755939,0.8400257410053429,-0.06968919236389162,58.301808506712916,58.301808506712916,3.9947341006795636,1.994734100679564
