version,seed,family,validation_pair_rank,pair_prominence,sign,group,delta,rel_fro_error_dSigma,analytic_R_E,fd_R_E,analytic_D_signed,fd_D_signed,abs_error_D_signed,sigma0_fro
v32.17,25042000,dephasing,2,0.023834044377988334,plus,55,0.0001,4.416733840381164e-06,0.09761051679178841,0.09761094214077796,3.2941510630379867e-11,1.3145040611561853e-09,1.2815625505258055e-09,3.6067441032132175
v32.17,25042000,dephasing,2,0.023834044377988334,plus,55,0.0003,3.9698902045381944e-05,0.09761051679178841,0.09761434007371482,3.2941510630379867e-11,-1.4548362514688053e-08,1.4581304025318433e-08,3.6067441032132175
v32.17,25042000,dephasing,2,0.023834044377988334,plus,55,0.001,0.00044108339025822677,0.09761051679178841,0.0976529966294828,3.2941510630379867e-11,1.6644463585180347e-09,1.6315048478876548e-09,3.6067441032132175
v32.17,25042000,dephasing,2,0.023834044377988334,plus,55,0.003,0.003974242192915371,0.09761051679178841,0.09799328484849466,3.2941510630379867e-11,-3.739231146937527e-10,4.068646253241326e-10,3.6067441032132175
v32.17,25042000,dephasing,3,0.6326899225480247,minus,22,0.0001,2.880343156657782e-07,0.30939282497577597,0.30939290745516057,-9.71731028975853e-12,4.831690603168681e-09,4.84140791345844e-09,2.9707423731170772
v32.17,25042000,dephasing,3,0.6326899225480247,minus,22,0.0003,2.587036903239908e-06,0.30939282497577597,0.3093935663877727,-9.71731028975853e-12,-2.341830433275997e-09,2.3321131229862386e-09,2.9707423731170772
v32.17,25042000,dephasing,3,0.6326899225480247,minus,22,0.001,2.8744714277036533e-05,0.30939282497577597,0.30940106413242147,-9.71731028975853e-12,-9.565681580170349e-10,9.468508477272763e-10,2.9707423731170772
v32.17,25042000,dephasing,3,0.6326899225480247,minus,22,0.003,0.0002589362260973041,0.30939282497577597,0.30946704975342393,-9.71731028975853e-12,-2.374396975331668e-10,2.2772238724340827e-10,2.9707423731170772
v32.17,25042000,dephasing,3,0.6326899225480247,plus,41,0.0001,2.861730912069301e-07,0.3093928249747801,0.3093929069399438,2.133015986061082e-13,3.8191672047105385e-10,3.8170341887244774e-10,2.970742373117036
v32.17,25042000,dephasing,3,0.6326899225480247,plus,41,0.0003,2.585879733548525e-06,0.3093928249747801,0.30939356618980324,2.133015986061082e-13,2.2293278334473143e-09,2.2291145318487082e-09,2.970742373117036
v32.17,25042000,dephasing,3,0.6326899225480247,plus,41,0.001,2.8744550254839104e-05,0.3093928249747801,0.30940106412087603,2.133015986061082e-13,-2.922107000813412e-10,2.924240016799473e-10,2.970742373117036
v32.17,25042000,dephasing,3,0.6326899225480247,plus,41,0.003,0.00025893618840669734,0.3093928249747801,0.30946704973908734,2.133015986061082e-13,-2.232288428179648e-10,2.234421444165709e-10,2.970742373117036
v32.17,25042000,transverse,1,-0.751304197451854,minus,27,0.0001,151.94203157323113,5.372677813156975e-13,8.166132433064732e-11,-8.70162141862733e-15,3.2057689836051395e-11,3.2066391457470024e-11,0.47756224691767823
v32.17,25042000,transverse,1,-0.751304197451854,minus,27,0.0003,53.26185157173106,5.372677813156975e-13,2.8695774323261145e-11,-8.70162141862733e-15,1.7856086979387935e-11,1.7864788600806564e-11,0.47756224691767823
v32.17,25042000,transverse,1,-0.751304197451854,minus,27,0.001,15.279232674006758,5.372677813156975e-13,8.154971869389818e-12,-8.70162141862733e-15,-1.3322676295501878e-12,1.3235660081315605e-12,0.47756224691767823
v32.17,25042000,transverse,1,-0.751304197451854,minus,27,0.003,7.899441617724536,5.372677813156975e-13,4.3052465409783135e-12,-8.70162141862733e-15,1.3877787807814457e-12,1.396480402200073e-12,0.47756224691767823
