version,seed,family,delta,g_minus,g_plus,E_abs,prominence,dim_minus,dim_plus,A_group,C_group,R2_E,D2_E,D2_E_signed_pairmean,R2_3point,D2_3point,R2_3v5_rel_diff,D2_3v5_rel_diff
v32.18,25042000,transverse,0.01,28,35,0.07278294475567904,0.1666843876215432,4,4,0.06098098316256717,0.967552651106938,63638.75257465885,11068229.807649981,11068229.807649981,63502.880852581984,11242796.636456246,0.002135046910567057,0.015771883294798388
v32.18,25042000,transverse,0.01,29,34,0.07081255002358793,0.12307328643041221,4,4,-0.0537945173538253,0.9099879179073228,77181.51363583287,12518862.678450404,-12518862.678450404,75317.47948881277,11985646.576619737,0.02415130332653516,0.04259301467924312
v32.18,25042000,transverse,0.01,30,33,0.048600388009180644,0.1783224940845633,4,4,0.05947264140154374,0.9438874220291555,45467.44972881462,5728027.965753402,5728027.965753402,45549.53017491824,5843658.5839781305,0.0018052573124988588,0.020186811048419885
v32.18,25042000,transverse,0.01,31,32,0.04659378773055864,0.07724022316920248,4,4,-0.0696891923638916,0.8776881841755937,42197.44042944616,4905018.207236585,-4905018.207236585,41301.434734885435,4729629.219856238,0.021233650321962935,0.03575705124225396
v32.18,25042000,transverse,0.003,0,63,2.874552422746733,0.18871847023623955,4,4,0.8672911957584107,0.9790091153958035,21.15076106826101,68.8947268276458,68.8947268276458,20.65276980548051,67.27460861554056,0.0235448389385755,0.02351585218065086
v32.18,25042000,transverse,0.003,1,62,2.87344508633917,-0.31508147386664376,4,4,0.5780328038571096,0.8204843482512657,21.860307589379595,59.65279657135882,59.65279657135882,22.32186284796211,60.91420500602901,0.021113850145766104,0.021145839041447876
v32.18,25042000,transverse,0.003,2,61,2.8439494108712084,0.30490189758471686,4,4,0.8182574156423933,0.955666486085111,27.19845944435812,85.12623457327147,85.12623457327147,26.731095447366418,83.66677220059435,0.01718347312824187,0.017144683774552565
v32.18,25042000,transverse,0.003,3,60,2.8428147436945483,-0.37654043188966524,4,4,0.5033507921872238,0.7714393643525351,26.952768818847517,68.06063127576462,68.06063127576462,27.385578140816605,69.15665823866343,0.016058065309655083,0.016103684940240677
v32.18,25042000,transverse,0.003,4,59,1.9787294107422513,0.09163904430626355,4,4,0.5531377953749617,0.972941911995407,4792.4665766322,79642.28114852973,79642.28114852973,4807.544405005698,79999.46770481378,0.0031461520142919103,0.0044848860571674865
v32.18,25042000,transverse,0.003,5,58,1.9761806190048739,-0.047486139244666936,4,4,-0.33149252853540156,0.21379905642678876,4861.2015471322375,18099.174025402157,-18099.174025402157,4846.400056129285,17940.927301163036,0.0030448215033758914,0.008743311933297191
