version,seed,family,g_minus,g_plus,E_abs,prominence,gamma_map_unitarity_residual,projector_map_residual,K2_pair_symmetry_residual,K3_pair_symmetry_residual,K4_pair_symmetry_residual,K5_pair_symmetry_residual,K6_pair_symmetry_residual,K3_over_K2_pair,K5_over_K2_pair
v32.25,25042000,dephasing,17,46,1.0881648225246672,-0.0019399843253508076,9.433833935899771e-16,2.336184993330641e-13,1.2715283472860006e-13,7.184025375738743e-11,1.7904153345215478e-13,4.460623998309701e-11,2.762310900585252e-13,0.0373296274671089,7.48745997487559
v32.25,25042000,dephasing,18,45,1.0741101228597905,-0.025214000864455688,1.3292968786339287e-15,2.840554399910002e-13,2.191001050636443e-13,2.0793036790836156e-11,5.154373363791633e-13,3.339111129471017e-11,7.075112551737043e-13,0.07411771653333923,5.063562905696019
v32.25,25042000,dephasing,19,44,1.0687765868124621,-0.2796673059394926,2.407287461998473e-15,2.749074499133273e-13,2.964275536440732e-13,3.694358954866469e-11,4.3625475506341376e-13,3.5900418794117786e-11,6.337315945199353e-13,0.06976883499354083,8.747037305443174
v32.25,25042000,dephasing,20,43,0.6587625915442124,0.271925888444691,2.3859505498054672e-15,2.0935419504631108e-13,4.150516367807729e-14,1.4140560682917602e-11,1.031968258105692e-13,8.597667414829945e-11,1.4291907606456954e-13,0.08063142853091912,1.1260038193706452
v32.25,25042000,dephasing,21,42,0.6523641195267388,0.34473424651455187,2.112274983439583e-15,2.1164359158346317e-13,1.1421272440421338e-13,1.1694286218348044e-10,1.531392620496345e-13,2.5344484437749396e-11,2.67102914110658e-13,0.01793650494174889,9.854758663157915
v32.25,25042000,dephasing,22,41,0.6353883011550365,0.6326899225480247,1.5722862010100528e-15,2.2697814080118028e-13,1.0304521607523078e-13,1.3714759221990682e-11,3.2999911117377467e-13,2.1795652064094483e-11,4.324089610355576e-13,0.10414663613211449,2.993353444833705
v32.25,25042000,dephasing,23,40,0.6293356210701317,0.16502413161883028,2.0582462973858255e-15,2.2015557899407164e-13,9.274776695059925e-14,4.776719512274062e-10,1.4535813838855334e-13,8.189528130649516e-11,2.189426081886119e-13,0.004156616382988057,2.1694063710072333
v32.25,25042000,dephasing,24,39,0.2843715887463743,-0.5475178260577758,3.5075596070576062e-15,7.370053254910627e-13,4.362559113782263e-14,7.776961500511028e-12,2.5273048900010295e-13,1.0249438408840788e-11,2.6806782179195124e-13,0.13588583291336578,27.674360802814356
v32.25,25042000,dephasing,25,38,0.2812054412565679,-0.46029967445888076,1.674609274764027e-15,7.507611157621597e-13,8.495262849832564e-14,1.1903102341504692e-11,1.7019750141697545e-13,1.0263262864288395e-11,2.0387039157781845e-13,0.1819332612718539,70.94962673731726
v32.25,25042000,dephasing,26,37,0.26482062964046393,-0.585737424372401,2.8018399526812942e-15,1.2922957529263934e-12,5.3963362916506765e-14,1.3645867618123508e-11,2.2916834555444637e-13,1.2319946932873646e-11,2.447897030615793e-13,0.12855718692296103,36.94783679107906
v32.25,25042000,dephasing,27,36,0.2619864687735263,-0.751304197451854,2.093689786966272e-15,1.2868786808498777e-12,1.1917609084880256e-13,1.932447724827067e-11,2.514611580805908e-13,1.4978076065058974e-11,3.105462583664893e-13,0.16540190694096943,80.96873095750372
v32.25,25042000,dephasing,28,35,0.07278294475567904,0.1666843876215432,1.3223645839958022e-15,8.819217419391118e-13,8.150606099426195e-15,1.7244277217706125e-11,2.1621572696579062e-12,1.1391156705630348e-11,2.4779520102595647e-12,0.009324890594207528,16.303519372367592
v32.25,25042000,dephasing,29,34,0.07081255002358793,0.12307328643041221,2.076016866393372e-15,8.837232105233947e-13,7.277264239206712e-15,1.7932575509612957e-11,4.4529609036054345e-12,1.1012653278495598e-11,8.399253166214364e-12,0.009623121909899984,17.558654641464845
v32.25,25042000,dephasing,30,33,0.048600388009180644,0.1783224940845633,1.7438518595520495e-15,5.829020839344378e-13,1.0706066224468355e-14,1.5700695504236282e-11,2.1726613755148575e-12,6.965160181530287e-12,1.5488468684486072e-12,0.00642533319601508,22.83547106781404
v32.25,25042000,dephasing,31,32,0.04659378773055864,0.07724022316920248,1.7655087987584548e-15,5.814947726407373e-13,1.1672407683740835e-14,1.6971350241585237e-11,2.166001159708252e-12,7.462981866804236e-12,2.646905735342448e-12,0.008359019953116137,25.233541766388125
v32.25,25042000,transverse,0,63,2.874552422746733,0.18871847023623955,3.5324661041266406e-15,2.4893608908870796e-12,1.2495247429675042e-14,1.539766790489015,3.4978769353648274e-12,1.3587025919000597,1.7699416901709446e-12,1.0828459571795215e-13,3.297988339854445e-10
v32.25,25042000,transverse,1,62,2.87344508633917,-0.31508147386664376,3.311826551528569e-15,2.489921153314588e-12,1.5105194751300176e-14,1.5525890054986584,6.709665309083001e-12,1.3564173361623788,3.4704753381266124e-12,1.2831520627196213e-13,3.8812845820472695e-10
v32.25,25042000,transverse,2,61,2.8439494108712084,0.30490189758471686,3.0479362985053135e-15,3.2007685961662096e-12,1.9054466202878647e-14,1.0222527127086216,5.938382974604869e-12,1.1879359158588767,3.905776252792971e-12,2.2220256036702492e-13,5.741404900639148e-10
v32.25,25042000,transverse,3,60,2.8428147436945483,-0.37654043188966524,3.0072397277989526e-15,3.199652960474531e-12,2.727311526082871e-14,0.992633062393228,8.318515374913842e-12,1.1740174393034415,5.43506893218779e-12,2.7622206907000933e-13,7.140018726307927e-10
v32.25,25042000,transverse,4,59,1.9787294107422513,0.09163904430626355,2.657261175554056e-15,8.913939954124389e-13,2.421392176574775e-13,1.2186548532957568,5.668531413007875e-13,1.220581206731218,2.5585781762197574e-13,4.7882934938511464e-12,3.268273312909379e-09
v32.25,25042000,transverse,5,58,1.9761806190048739,-0.047486139244666936,2.6411448343848266e-15,8.960241056631101e-13,5.549018357395138e-13,1.209419390643568,2.891431349372487e-13,1.2086749319914394,1.6093427029588663e-13,2.1375468502159713e-11,1.5150455705764097e-08
v32.25,25042000,transverse,6,57,1.966744402461953,0.46365890923314146,2.9554027240652122e-15,1.3955733325185313e-12,2.729825804525317e-13,1.2934230687707717,5.932004570096542e-13,1.2902709448107659,4.912582779291647e-13,5.79279445116809e-12,3.048981017960047e-09
v32.25,25042000,transverse,7,56,1.9644309918628977,-0.4975409645034512,4.419743846137182e-15,1.3982935302432688e-12,1.4554626803345288e-12,1.2879827643188335,5.324637583322674e-13,1.2906616023843824,4.246823293613069e-13,3.880829122027894e-11,1.8674983766019425e-08
v32.25,25042000,transverse,8,55,1.6921458564839147,0.023834044377988334,1.7211062267100684e-15,5.918047984021912e-13,2.5830735464008774e-13,1.1874269024881248,5.841961936856297e-13,1.184915952323718,7.225705518201981e-13,3.1606305492895237e-12,1.2983500847196226e-09
v32.25,25042000,transverse,9,54,1.6886100349699211,0.01571539170803185,2.9150787977553167e-15,5.783318955177572e-13,7.166930113284377e-13,1.1695900907027235,8.4788504654895e-13,1.1686912668608467,1.1085065453706741e-12,6.073856817688515e-12,2.7224440753515208e-09
v32.25,25042000,transverse,10,53,1.6764420039565993,0.46343244789583143,2.184517994680765e-15,5.034323852498386e-13,1.3420765559362153e-13,1.0918475384354596,3.8371852900835767e-13,1.09778855825915,5.240119057595797e-13,1.6071362691758064e-12,8.80528823208649e-10
v32.25,25042000,transverse,11,52,1.6720595812293473,-0.2931208456369997,2.5064875373894008e-15,5.100190835444826e-13,4.3550512109904606e-13,1.1602818800088925,3.3793068621666936e-13,1.1628383713986128,4.704491236088762e-13,6.150026568817347e-12,3.5048475773397135e-09
v32.25,25042000,transverse,12,51,1.4639107662982664,-0.1691666279032112,1.909646132061443e-15,2.1054600003054463e-13,2.080984376817474e-13,1.5021663076837781,4.425685079832064e-13,1.5113338940608745,5.558031684553801e-13,1.9550423373990265e-12,2.1594322767116382e-10
v32.25,25042000,transverse,13,50,1.4584129115423414,0.22512599499772068,1.4310785284577423e-15,2.1522931681620323e-13,1.3993138429528727e-13,1.3628636117575612,2.975568767451847e-13,1.3364556037161979,6.048144555923334e-13,1.4899444239117077e-12,1.8165804475638988e-10
v32.25,25042000,transverse,14,49,1.4334527954745644,0.29063541288859407,1.9112040846256567e-15,2.1886927227055216e-13,2.906162291705582e-13,0.9721718976654503,5.843395685721956e-13,0.9990204764986544,1.5224107265604605e-12,1.218470410902009e-12,8.532554996729281e-11
