version,seed,family,group,lambda,exact_norm,k2_term_norm,k3_term_norm,k4_term_norm,abs_err_K2,abs_err_K2K3,abs_err_K2K3K4,rel_err_K2,rel_err_K2K3,rel_err_K2K3K4
v32.24,25042000,dephasing,2,0.001,8.797588990800459e-07,8.797503615963503e-07,1.091032007093448e-10,8.540402562068203e-12,1.0943775091118085e-10,8.532324183342406e-12,8.205699434345906e-15,0.0001243951621581989,9.698480108885017e-06,9.32721390249819e-09
v32.24,25042000,dephasing,2,0.0003,7.917760175684276e-08,7.917753254367152e-08,2.9457864191523085e-12,6.917726075275241e-14,2.946601913394951e-12,6.91713735498553e-14,6.84404590013399e-18,3.7215094269261534e-05,8.736229945721651e-07,8.643916648488924e-11
v32.24,25042000,dephasing,3,0.01,3.972727227468024e-05,3.963116777509657e-05,1.0892399801897334e-07,8.821269780526046e-08,1.4531177678995868e-07,9.597364709900584e-08,7.763880869393743e-09,0.0036577335535460764,0.002415812654728214,0.0001954294977946918
v32.24,25042000,dephasing,3,0.003,3.567526527148817e-06,3.5668050997586915e-06,2.9409479465122794e-09,7.145228522226097e-10,3.0282682799391647e-09,7.203709070353495e-10,5.861760050041993e-12,0.0008488425403130415,0.00020192447107354045,1.6430880066158155e-06
v32.24,25042000,dephasing,3,0.001,3.9632052010492607e-07,3.963116777509657e-07,1.0892399801897332e-10,8.821269780526047e-12,1.0928284378142692e-10,8.829315200580804e-12,8.201603404050814e-15,0.0002757435919606036,2.2278218645462107e-05,2.0694369804216635e-08
v32.24,25042000,dephasing,3,0.0003,3.566812256134918e-08,3.566805099758691e-08,2.940947946512279e-12,7.145228522226093e-14,2.9418198013723835e-12,7.145815228212764e-14,7.02023932295816e-18,8.247756231947595e-05,2.0034178182274552e-06,1.9682110576140772e-10
v32.24,25042000,dephasing,4,0.01,0.00019336612859036046,0.00019240120148205348,1.5748140488533325e-07,9.6210382046117e-07,9.801407482108624e-07,9.669116408667047e-07,5.689036192337361e-09,0.005068833695725776,0.005000418883676748,2.9421058557723877e-05
v32.24,25042000,dephasing,4,0.003,1.732388872149177e-05,1.7316108133384813e-05,4.251997931903997e-09,7.793040945735477e-09,8.884133205133421e-09,7.796541310511425e-09,8.120234799254035e-12,0.0005128255755944618,0.0004500456817665393,4.6873048712095377e-07
v32.24,25042000,dephasing,4,0.001,1.9241080331825133e-06,1.9240120148205347e-06,1.5748140488533324e-10,9.621038204611701e-11,1.8457312822362e-10,9.621518307753351e-11,3.050955457231463e-14,9.592659301896491e-05,5.000508361185503e-05,1.585646650092262e-08
v32.24,25042000,dephasing,4,0.0003,1.731618590473134e-07,1.7316108133384808e-07,4.251997931903996e-12,7.793040945735473e-13,4.322895906524741e-12,7.793075944989526e-13,7.329178161202961e-17,2.4964480806039314e-05,4.500457541784769e-06,4.232559179906005e-10
v32.24,25042000,dephasing,5,0.01,9.968863691182883e-05,0.00010066378678327537,7.212644602988875e-08,9.80613571080094e-07,9.78669453592866e-07,9.757816746009964e-07,5.7324996739589515e-09,0.00981726186564739,0.009788293880114358,5.7504043104021475e-05
v32.24,25042000,dephasing,5,0.003,9.051806464624041e-06,9.059740810494784e-06,1.947414042806996e-09,7.942969925748762e-09,8.176576783936151e-09,7.939442597152023e-09,8.303356270575885e-12,0.0009033088385055035,0.000877111395187323,9.17314825833581e-07
v32.24,25042000,dephasing,5,0.001,1.0065398742145755e-06,1.0066378678327535e-06,7.212644602988873e-11,9.80613571080094e-11,1.2174466966220643e-10,9.805651795353039e-11,3.131765093144981e-14,0.00012095364801837223,9.74194072838356e-05,3.1114168185227276e-08
v32.24,25042000,dephasing,5,0.0003,9.059661432095029e-08,9.059740810494782e-08,1.9474140428069953e-12,7.942969925748758e-13,2.103239450435104e-12,7.942934647708998e-13,7.527279517547019e-17,2.321543102023774e-05,8.767363667222837e-06,8.308566025304933e-10
v32.24,25042000,dephasing,6,0.01,0.00021843165915240607,0.00021726796598203624,1.3024855567785709e-07,1.1614871662274667e-06,1.1744241552627606e-06,1.166773526627886e-06,6.418291472298398e-09,0.005376620586136422,0.005341595312489909,2.9383522046225777e-05
v32.24,25042000,dephasing,6,0.003,1.9563504050005618e-05,1.9554116938383262e-05,3.516711003302141e-09,9.40804604644248e-09,1.0050515781956385e-08,9.411906178414236e-09,9.58127952601508e-12,0.0005137380172931495,0.00048109511232531643,4.897527304681561e-07
v32.24,25042000,dephasing,6,0.001,2.1727955078985597e-06,2.1726796598203624e-06,1.3024855567785708e-10,1.1614871662274669e-10,1.7454463064032981e-10,1.1615401244826544e-10,3.6446726198473366e-14,8.033182598446292e-05,5.345832685405583e-05,1.6774117060709117e-08
v32.24,25042000,dephasing,6,0.0003,1.955421077143885e-07,1.9554116938383258e-07,3.5167110033021398e-12,9.408046046442476e-13,3.640465999711016e-12,9.408084653239203e-13,8.770298884475577e-17,1.861729957942527e-05,4.811283238790073e-06,4.4851203594908553e-10
v32.24,25042000,dephasing,7,0.01,0.00012376952783815095,0.0001249462374434926,1.123461553416389e-07,1.1833098918999403e-06,1.1835952158605468e-06,1.1778966957108592e-06,6.5809659301787485e-09,0.00956289675281215,0.009516855370500833,5.317113222557046e-05
v32.24,25042000,dephasing,7,0.003,1.1235590101449652e-05,1.1245161369914332e-05,3.03334619422425e-09,9.584810124389516e-09,1.0052338591264599e-08,9.580869402134114e-09,9.931023135590426e-12,0.0008946871949313649,0.0008527250741283236,8.838897686654744e-07
v32.24,25042000,dephasing,7,0.001,1.2493441673642166e-06,1.2494623744349257e-06,1.123461553416389e-10,1.1833098918999404e-10,1.6319017017152868e-10,1.183255842464957e-10,3.790825552256584e-14,0.00013062066837500548,9.47101586075606e-05,3.034252411210448e-08
v32.24,25042000,dephasing,7,0.0003,1.1245065618201527e-07,1.124516136991433e-07,3.0333461942242494e-12,9.584810124389512e-13,3.1812608369924623e-12,9.58477072348242e-13,9.126314441392563e-17,2.8290282555961246e-05,8.523534720836387e-06,8.115839205616102e-10
v32.24,25042000,dephasing,8,0.01,0.0003629631356734426,0.00036067441032141363,9.761051679420319e-08,2.2746071063747786e-06,2.292648104922064e-06,2.2903856830234103e-06,1.6374902654983342e-08,0.006316476467143914,0.006310243266919721,4.5114506255852434e-05
v32.24,25042000,dephasing,8,0.003,3.2479119407545096e-05,3.2460696928927225e-05,2.6354839534434856e-09,1.8424317561635706e-08,1.8624646811920043e-08,1.843575932859693e-08,1.5513823143302792e-11,0.0005734344758002714,0.0005676188167932346,4.776552882680322e-07
v32.24,25042000,dephasing,8,0.001,3.6069714158339972e-06,3.606744103214136e-06,9.761051679420317e-11,2.2746071063747787e-10,2.475512427441425e-10,2.2747639848419312e-10,4.5824752916269146e-14,6.863132922468812e-05,6.306576134360534e-05,1.2704495720455725e-08
v32.24,25042000,dephasing,8,0.0003,3.2460881040602383e-07,3.246069692892722e-07,2.635483953443485e-12,1.8424317561635696e-12,3.2157295617112047e-12,1.842443191985695e-12,1.0523250288636895e-16,9.906476529977541e-06,5.675887816110564e-06,3.241825222018562e-10
v32.24,25042000,dephasing,9,0.01,0.00023108963050393657,0.00023337666526390102,1.5882496313094072e-07,2.3032106812497184e-06,2.2934488780477676e-06,2.2876348152081297e-06,1.6214849963070563e-08,0.009924499308110232,0.009899339967005401,7.016693015480998e-05
v32.24,25042000,dephasing,9,0.003,2.0985260140067138e-05,2.100389987375109e-05,4.288274004535399e-09,1.865600651812272e-08,1.9133838292272695e-08,1.8644591713063233e-08,1.58627464091525e-11,0.000911775129999007,0.0008884613099203441,7.558994410017236e-07
v32.24,25042000,dephasing,9,0.001,2.333536407209301e-06,2.33376665263901e-06,1.588249631309407e-10,2.3032106812497185e-10,2.797860630698117e-10,2.3030540269417568e-10,4.7981173608590075e-14,0.0001198978778327314,9.869372596144758e-05,2.0561570610321538e-08
v32.24,25042000,dephasing,9,0.0003,2.100371336340586e-07,2.1003899873751088e-07,4.2882740045353975e-12,1.865600651812271e-12,4.676607215264032e-12,1.8655892310005268e-12,1.1080139470755769e-16,2.2265621008768597e-05,8.882187633787114e-06,5.275324072009268e-10
v32.24,25042000,dephasing,10,0.01,0.0003192134654394324,0.0003175273016924499,4.5921561597930935e-07,1.6759542431261322e-06,1.7478642568408383e-06,1.6863852302383691e-06,1.0436214749540817e-08,0.005475534230470858,0.00528293888829807,3.2693529187981535e-05
v32.24,25042000,dephasing,10,0.003,2.859103819787362e-05,2.8577457152320493e-05,1.239882163144135e-08,1.357522936932167e-08,1.8391328304604828e-08,1.3582794189479855e-08,7.601447990987128e-12,0.0006432550010014198,0.0004750717373561495,2.658682045184517e-07
