seed,family,candidate,pearson,spearman,n_pairs
25042005,transverse,local_real_sigma,0.495698308661776,0.5323529411764706,16
25042005,transverse,local_delta_sigma,0.37723641811858577,0.37941176470588234,16
25042005,transverse,real_pvq2,-0.3907727156463451,-0.24705882352941175,16
25042005,transverse,real_pvq2_over_gap,0.46779893261213606,0.3058823529411765,16
25042005,transverse,real_gap,-0.28933952736900953,-0.30905085629526163,16
25042006,dephasing,real_sigma,0.35923415017762406,0.48130498533724336,32
25042006,dephasing,real_sigma_over_gap,-0.23454694950431612,-0.18988269794721407,32
25042006,dephasing,delta_sigma,0.5768548766154787,0.5531524926686217,32
25042006,dephasing,delta_sigma_over_gap,0.4645755609595776,0.47434017595307915,32
25042006,dephasing,local_real_sigma,0.1979606962151625,0.14626099706744866,32
25042006,dephasing,local_delta_sigma,0.4862830832023657,0.3698680351906158,32
25042006,dephasing,real_pvq2,-0.050887510815556224,0.09902400144611997,32
25042006,dephasing,real_pvq2_over_gap,-0.65312920349558,-0.5854105571847507,32
25042006,dephasing,real_gap,0.46925362531997267,0.5866177917083075,32
25042006,transverse,real_sigma,-0.5394671214835908,-0.1228005865102639,32
25042006,transverse,real_sigma_over_gap,-0.568712154370754,-0.4230205278592375,32
25042006,transverse,delta_sigma,-0.17088603015369727,-0.093841642228739,32
25042006,transverse,delta_sigma_over_gap,0.4722369482212885,0.44758064516129026,32
25042006,transverse,local_real_sigma,-0.3437239995082793,-0.22214076246334308,32
25042006,transverse,local_delta_sigma,-0.06448452694642298,-0.04875366568914955,32
25042006,transverse,real_pvq2,0.5123958947865682,0.4761730205278592,32
25042006,transverse,real_pvq2_over_gap,-0.6532264854142978,-0.5890762463343108,32
25042006,transverse,real_gap,0.46925362531997267,0.5866177917083075,32
25042007,dephasing,real_sigma,0.03116947553757445,0.4058823529411764,16
25042007,dephasing,real_sigma_over_gap,-0.03280098189946607,0.23823529411764705,16
25042007,dephasing,delta_sigma,0.4789114593760045,0.38823529411764707,16
25042007,dephasing,delta_sigma_over_gap,0.03358717807282062,0.14411764705882352,16
25042007,dephasing,local_real_sigma,-0.057443468947379304,-0.011764705882352941,16
25042007,dephasing,local_delta_sigma,0.10252806347987373,0.10882352941176471,16
25042007,dephasing,real_pvq2,-0.23824985927705752,-0.21470588235294116,16
25042007,dephasing,real_pvq2_over_gap,-0.13332544611190222,-0.12058823529411765,16
25042007,dephasing,real_gap,0.08543841040230894,0.08823529411764705,16
25042007,transverse,real_sigma,0.30345763344345855,0.411764705882353,16
25042007,transverse,real_sigma_over_gap,-0.04511446405019121,-0.02058823529411765,16
