version,seed,family,group,lambda,leading_norm,exact_norm,abs_error,rel_error
v32.23,25042000,dephasing,39,0.01,0.00023713177441735293,0.00023849248334523916,1.504528280766827e-06,0.006344692879996971
v32.23,25042000,dephasing,39,0.003,2.1341859697561764e-05,2.135268144935153e-05,1.4561606839669625e-08,0.0006823026224529646
v32.23,25042000,dephasing,39,0.001,2.371317744173529e-06,2.3714511324865267e-06,3.5290631740560805e-10,0.00014882287212361994
v32.23,25042000,dephasing,39,0.0003,2.1341859697561758e-07,2.1341967722447168e-07,8.777887897282397e-12,4.1129910990302514e-05
v32.23,25042000,dephasing,40,0.01,0.00019968541372169916,0.00019853717294989246,1.1609439899212034e-06,0.00581386475999297
v32.23,25042000,dephasing,40,0.003,1.7971687234952923e-05,1.7962349487068434e-05,9.443997869809341e-09,0.0005254931129360977
v32.23,25042000,dephasing,40,0.001,1.9968541372169915e-06,1.996738816044978e-06,1.168961360386826e-10,5.854014765525154e-05
v32.23,25042000,dephasing,40,0.0003,1.797168723495292e-07,1.7971593821085742e-07,9.707296589242877e-13,5.401438641978629e-06
v32.23,25042000,dephasing,41,0.01,0.0002970742373117065,0.0002976831147048674,7.270415124341346e-07,0.0024473394899985315
v32.23,25042000,dephasing,41,0.003,2.6736681358053586e-05,2.6741595621030104e-05,9.898606491575313e-09,0.0003702256970120814
v32.23,25042000,dephasing,41,0.001,2.9707423731170647e-06,2.9708030239530053e-06,3.162583162846801e-10,0.00010645767170744081
v32.23,25042000,dephasing,41,0.0003,2.673668135805358e-07,2.67367304834733e-07,8.370456328862609e-12,3.130701307603112e-05
v32.23,25042000,dephasing,42,0.01,0.00019634699758593475,0.0001945918223942656,1.7620741942508698e-06,0.008974286421057529
v32.23,25042000,dephasing,42,0.003,1.7671229782734128e-05,1.7656960496063752e-05,1.4354725421207055e-08,0.0008123218133484122
v32.23,25042000,dephasing,42,0.001,1.9634699758593475e-06,1.9632937546387415e-06,1.8035954416253482e-10,9.185755136571277e-05
v32.23,25042000,dephasing,42,0.0003,1.7671229782734125e-07,1.7671087038273174e-07,1.719655818361442e-12,9.731387342615233e-06
v32.23,25042000,dephasing,43,0.01,0.00033438471422315844,0.00033557801420261825,1.2528242114839935e-06,0.0037466551495768906
v32.23,25042000,dephasing,43,0.003,3.0094624280084262e-05,3.0104246498727153e-05,1.2260191829388963e-08,0.00040738810078790044
v32.23,25042000,dephasing,43,0.001,3.343847142231584e-06,3.343965888074353e-06,2.9583008797148403e-10,8.846997945428086e-05
v32.23,25042000,dephasing,43,0.0003,3.009462428008426e-07,3.0094720459890214e-07,7.346196468106778e-12,2.4410327903539487e-05
v32.23,25042000,dephasing,44,0.01,0.00022994503419503174,0.00022805088305131297,1.90286845520135e-06,0.008275318759818923
v32.23,25042000,dephasing,44,0.003,2.0695053077552855e-05,2.067962650212166e-05,1.60385509213611e-08,0.0007749944327882643
v32.23,25042000,dephasing,44,0.001,2.299450341950317e-06,2.2992597987645224e-06,2.492383711326279e-10,0.00010839041251972949
v32.23,25042000,dephasing,44,0.0003,2.0695053077552854e-07,2.069489872912431e-07,4.598926247973685e-12,2.2222345749680475e-05
v32.23,25042000,dephasing,45,0.01,0.0003704696161483718,0.0003722311976239247,1.7902218683147434e-06,0.004832304162827123
v32.23,25042000,dephasing,45,0.003,3.3342265453353465e-05,3.335645782493049e-05,1.6065164858331177e-08,0.00048182583396460214
v32.23,25042000,dephasing,45,0.001,3.7046961614837183e-06,3.704871293449082e-06,3.2607743697264014e-10,8.801732254394844e-05
v32.23,25042000,dephasing,45,0.0003,3.334226545335346e-07,3.334240730264802e-07,7.549365848513506e-12,2.2642030305574857e-05
v32.23,25042000,dephasing,46,0.01,0.00024210925556857467,0.0002400833084411272,2.0288928800426013e-06,0.008380071531251067
v32.23,25042000,dephasing,46,0.003,2.1789833001171724e-05,2.1773342942970025e-05,1.6677271279630657e-08,0.0007653693940074647
v32.23,25042000,dephasing,46,0.001,2.4210925556857466e-06,2.420888887485582e-06,2.2290787025304898e-10,9.206912380510496e-05
v32.23,25042000,dephasing,46,0.0003,2.1789833001171716e-07,2.1789668021887777e-07,2.946020910968739e-12,1.3520162870501675e-05
v32.23,25042000,dephasing,47,0.01,0.0003898199751438148,0.00039166342273235817,1.8590077254540296e-06,0.00476888780460312
v32.23,25042000,dephasing,47,0.003,3.508379776294333e-05,3.509865180543497e-05,1.5758869100983368e-08,0.00044917797119525094
v32.23,25042000,dephasing,47,0.001,3.898199751438148e-06,3.898383050620357e-06,2.643826178624748e-10,6.782172149206492e-05
v32.23,25042000,dephasing,47,0.0003,3.508379776294332e-07,3.5083946227539613e-07,5.340979537123949e-12,1.5223493115575049e-05
v32.23,25042000,dephasing,48,0.01,0.0001924279006160843,0.00019104937448808553,1.381632926000548e-06,0.00718000311585306
v32.23,25042000,dephasing,48,0.003,1.7318511055447587e-05,1.730729321309903e-05,1.1452668896051259e-08,0.0006612963931705196
v32.23,25042000,dephasing,48,0.001,1.924279006160843e-06,1.924140457807102e-06,1.6243573237940203e-10,8.441381517926547e-05
v32.23,25042000,dephasing,48,0.0003,1.7318511055447584e-07,1.7318398826075502e-07,2.547837610590087e-12,1.4711643526587453e-05
v32.23,25042000,dephasing,49,0.01,0.0003211423181358462,0.0003223941141720769,1.258017424060897e-06,0.003917320617735418
v32.23,25042000,dephasing,49,0.003,2.890280863222616e-05,2.8912902399678142e-05,1.0503016129498286e-08,0.0003633908476904073
v32.23,25042000,dephasing,49,0.001,3.211423181358462e-06,3.2115477463175474e-06,1.6348685379679264e-10,5.09079135835459e-05
v32.23,25042000,dephasing,49,0.0003,2.890280863222615e-07,2.8902909525288e-07,3.0268890286708624e-12,1.0472646680073617e-05
v32.23,25042000,dephasing,50,0.01,0.00017083425418462173,0.00016936822115884797,1.4957840913482946e-06,0.008755762118595902
v32.23,25042000,dephasing,50,0.003,1.5375082876615958e-05,1.536315031849167e-05,1.4428749275033688e-08,0.000938450178826577
v32.23,25042000,dephasing,50,0.001,1.7083425418462171e-06,1.70819516336344e-06,3.3492662599451487e-10,0.00019605355354117531
v32.23,25042000,dephasing,50,0.0003,1.537508287661595e-07,1.537496349424182e-07,8.208718856891082e-12,5.33897535562281e-05
v32.23,25042000,dephasing,51,0.01,0.00030673797250912414,0.00030807968059058487,1.4767918799950304e-06,0.004814506231213686
v32.23,25042000,dephasing,51,0.003,2.7606417525821168e-05,2.7617231144921532e-05,1.9735428453746353e-08,0.0007148855310649118
v32.23,25042000,dephasing,51,0.001,3.067379725091241e-06,3.0675131680294503e-06,6.253666023874098e-10,0.00020387648691549197
