version,seed,family,g_minus,g_plus,E_abs,prominence,dim_minus,dim_plus,A_group,C_group,mean_cosine,positive_fraction,mode_excess,weighted_mode_fraction,n_channels_mean,gram_trace_mean
v32.20,25042000,dephasing,14,49,1.4334527954745644,0.29063541288859407,4,4,0.2738620113042334,0.8906322939375068,0.2731158416592895,0.6487455197132617,0.9015147575523794,0.9995760369848092,63.0,6.7525830580498845
v32.20,25042000,dephasing,15,48,1.4275616977982164,0.00545299082877565,4,4,-0.23439129566287686,0.5335366852355795,0.24010794138203148,0.631336405529954,0.9102259906345989,0.9996277369440844,63.0,6.751790484641379
v32.20,25042000,dephasing,16,47,1.0939615772545648,-0.12727287836418105,4,4,0.27823358367338724,0.9212346162157369,0.2026582594483366,0.6149513568868408,0.9128319696679776,0.9996298791765534,63.0,10.214035773882081
v32.20,25042000,dephasing,17,46,1.0881648225246672,-0.0019399843253508076,4,4,-0.2447338849748976,0.5739072525887914,0.1668043932262271,0.5995903737839222,0.9130554722759525,0.9996208252299402,63.0,10.217143480731622
v32.20,25042000,dephasing,18,45,1.0741101228597905,-0.025214000864455688,4,4,0.26528739295102516,0.908060424908786,0.14712263159919176,0.5852534562211982,0.9289808963638262,0.9995772614020328,63.0,9.309147411552726
v32.20,25042000,dephasing,19,44,1.0687765868124621,-0.2796673059394926,4,4,-0.24233341508722234,0.5647215516930068,0.12508541695383335,0.5719406041986688,0.9167595217583745,0.9995822187897982,63.0,9.305311971656407
v32.20,25042000,dephasing,20,43,0.6587625915442124,0.271925888444691,4,4,0.2100579536166648,0.8067829637858464,0.11450077622639382,0.5596518177163339,0.9204297759758474,0.9987560757451974,63.0,7.572881716489819
v32.20,25042000,dephasing,21,42,0.6523641195267388,0.34473424651455187,4,4,-0.21580391024785067,0.4732832155305197,0.09119276355969898,0.5483870967741935,0.9116338747059567,0.9987166956164231,63.0,7.569417317219253
v32.20,25042000,dephasing,22,41,0.6353883011550365,0.6326899225480247,4,4,0.12807744099643098,0.7399899950115656,0.07433236922616217,0.5381464413722479,0.9104658500683185,0.9983397558703428,63.0,6.761114269302519
v32.20,25042000,dephasing,23,40,0.6293356210701317,0.16502413161883028,4,4,-0.1736094653995119,0.4995935560081616,0.05760474243236666,0.5289298515104967,0.9212328294753367,0.9984104655322068,63.0,6.760953640436917
v32.20,25042000,dephasing,24,39,0.2843715887463743,-0.5475178260577758,4,4,0.19067313091171223,0.7641062464191464,0.024675027515785555,0.5207373271889401,0.8919195482548243,0.9952227041824082,63.0,3.786772301234996
v32.20,25042000,dephasing,25,38,0.2812054412565679,-0.46029967445888076,4,4,-0.240662053511429,0.39125837018188253,0.014027602540076114,0.5135688684075781,0.9061210674537755,0.9954255344991814,63.0,3.7868115421128676
v32.20,25042000,dephasing,26,37,0.26482062964046393,-0.585737424372401,4,4,0.1760731442064309,0.7763057620342307,0.002934831512574595,0.5074244751664106,0.9064550931072957,0.9959772271538367,63.0,4.268997330261096
v32.20,25042000,dephasing,27,36,0.2619864687735263,-0.751304197451854,4,4,-0.2198704284879519,0.45414680659142626,-0.004441494648915231,0.5023041474654378,0.8982607963140103,0.995896957890843,63.0,4.269019927848408
v32.20,25042000,dephasing,28,35,0.07278294475567904,0.1666843876215432,4,4,0.01648694930559751,0.9269563716522953,0.01327380748894117,0.4982078853046595,0.8685234046099697,0.9999022742155605,63.0,55.803452607683184
v32.20,25042000,dephasing,29,34,0.07081255002358793,0.12307328643041221,4,4,0.012052718621335995,0.9241532274014413,0.009410186138165686,0.49513568868407576,0.8709913168828808,0.9999003107220907,63.0,55.804522518136565
v32.20,25042000,dephasing,30,33,0.048600388009180644,0.1783224940845633,4,4,0.012678301528060189,0.9519289652379235,-0.0022042167339793245,0.4930875576036866,0.8679809171143935,0.9999560261216771,63.0,127.95326332799438
v32.20,25042000,dephasing,31,32,0.04659378773055864,0.07724022316920248,4,4,0.012330759849457869,0.9515077916535497,-0.005113614848187335,0.49206349206349204,0.8561156567488425,0.9999603121460033,63.0,127.95279752964211
v32.20,25042000,transverse,0,63,2.874552422746733,0.18871847023623955,4,4,0.8672911957584107,0.9790091153958035,0.9348624469818227,1.0,0.9394434904733964,0.9787723850465051,62.0,0.2524180650367288
v32.20,25042000,transverse,1,62,2.87344508633917,-0.31508147386664376,4,4,0.5780328038571096,0.8204843482512657,0.8675605240085342,0.967741935483871,0.9346251095793647,0.9801067576378689,62.0,0.2635220619188298
v32.20,25042000,transverse,2,61,2.8439494108712084,0.30490189758471686,4,4,0.8182574156423933,0.955666486085111,0.8147680110228999,0.9365415124272871,0.942377542515769,0.9818298556784976,62.0,0.2549800347413256
v32.20,25042000,transverse,3,60,2.8428147436945483,-0.37654043188966524,4,4,0.5033507921872238,0.7714393643525351,0.7518213430522832,0.9063987308302486,0.9373536513756593,0.9814981261859315,62.0,0.24623868618275435
v32.20,25042000,transverse,4,59,1.9787294107422513,0.09163904430626355,4,4,0.5531377953749617,0.972941911995407,0.7032522895310482,0.8773135906927552,0.9457260159372681,0.9998490108912664,62.0,28.702152621656456
v32.20,25042000,transverse,5,58,1.9761806190048739,-0.047486139244666936,4,4,-0.33149252853540156,0.21379905642678876,0.6395575945339491,0.849286092014807,0.9356865140246864,0.9998197489782433,62.0,28.611769865988286
v32.20,25042000,transverse,6,57,1.966744402461953,0.46365890923314146,4,4,0.4823727247697548,0.874104469432512,0.587225652449668,0.822316234796404,0.9336929446462614,0.9997731419245526,62.0,12.21378123832925
v32.20,25042000,transverse,7,56,1.9644309918628977,-0.4975409645034512,4,4,-0.2601503178590552,0.13023112704946424,0.5424017984727536,0.7964040190375463,0.9383920083040613,0.999723328020421,62.0,12.439040284793716
v32.20,25042000,transverse,8,55,1.6921458564839147,0.023834044377988334,4,4,0.17556353403560576,0.7184266361374598,0.47692175718660385,0.7715494447382337,0.91587223815946,0.9998418021962298,62.0,46.23303228271323
v32.20,25042000,transverse,9,54,1.6886100349699211,0.01571539170803185,4,4,-0.21477583449185783,0.37484679025898093,0.4392912447796142,0.7477525118984664,0.9252589994874094,0.999824119795947,62.0,48.39090240207458
v32.20,25042000,transverse,10,53,1.6764420039565993,0.46343244789583143,4,4,0.22659477557132662,0.7320037978015923,0.39497705949458506,0.7250132205182444,0.910157903849119,0.9997516889615917,62.0,36.348161815317766
v32.20,25042000,transverse,11,52,1.6720595812293473,-0.2931208456369997,4,4,-0.24859368712920626,0.19601498046578628,0.3461833962936082,0.7033315705975675,0.9080145484671082,0.9997419604493074,62.0,33.78673226459298
v32.20,25042000,transverse,12,51,1.4639107662982664,-0.1691666279032112,4,4,-0.12717926536755628,0.4326472172133027,0.30870263511371626,0.6827075621364358,0.9127735901200096,0.9992669640085818,62.0,44.69571836223016
v32.20,25042000,transverse,13,50,1.4584129115423414,0.22512599499772068,4,4,0.0045208160943479014,0.5470515398233062,0.2701696071713483,0.6631411951348493,0.9092510208785423,0.9994660021339314,62.0,42.28207009597621
v32.20,25042000,transverse,14,49,1.4334527954745644,0.29063541288859407,4,4,-0.07642780377450004,0.4913951099263314,0.2341577721713055,0.6446324695928081,0.9042567558989809,0.9994870993125948,62.0,42.0417897605463
v32.20,25042000,transverse,15,48,1.4275616977982164,0.00545299082877565,4,4,-0.004850690044888067,0.5755490387760599,0.20813389312302522,0.627181385510312,0.9140216109101981,0.9993138686370967,62.0,44.11155900732918
v32.20,25042000,transverse,16,47,1.0939615772545648,-0.12727287836418105,4,4,0.13852960937492143,0.46605450637370777,0.19417383386568104,0.6107879428873612,0.9280343061105071,0.972353558190705,62.0,0.9136187982716808
v32.20,25042000,transverse,17,46,1.0881648225246672,-0.0019399843253508076,4,4,0.021638338014501116,0.3078642673369377,0.16154803013560592,0.5954521417239556,0.9282256812230627,0.9680085025995933,62.0,0.9487060835293029
v32.20,25042000,transverse,18,45,1.0741101228597905,-0.025214000864455688,4,4,0.009107254127100528,0.27794328431735327,0.13617425896392196,0.5811739820200952,0.9151765435275796,0.9639816685445917,62.0,0.7145562673268129
v32.20,25042000,transverse,19,44,1.0687765868124621,-0.2796673059394926,4,4,0.0012154968012116402,0.26966890131456306,0.12061325909014883,0.56795346377578,0.932084790067177,0.9707064350647254,62.0,0.6775263010912276
v32.20,25042000,transverse,20,43,0.6587625915442124,0.271925888444691,4,4,0.06286883583116017,0.9038091058286507,0.0917447898101442,0.55579058699101,0.9193424925588933,0.9999847556289339,62.0,1234.5318404077698
