seed,family,g_minus,g_plus,E_abs,prominence,real_pvp,null_pvp,delta_pvp,real_pvq2,null_pvq2,delta_pvq2,real_sigma,null_sigma,delta_sigma,real_gap,null_gap,delta_gap,real_pvq2_over_gap,null_pvq2_over_gap,delta_pvq2_over_gap,real_sigma_over_gap,null_sigma_over_gap,delta_sigma_over_gap,real_pvq2_asym,null_pvq2_asym,real_sigma_asym,null_sigma_asym,local_real_pvq2,local_real_sigma,local_real_gap,local_delta_pvq2,local_delta_sigma,local_delta_gap,C_group,A_group,cross_sum,self_sum,term_l1,term_count
25042001,dephasing,5,10,1.0336754871658882,0.05494960587226683,2.9910865444898604,1.5894156478128962,1.4016708966769642,31.09868719224196,37.98647837790077,-6.887791185658806,10.695742980803885,100.77999388920264,-90.08425090839876,0.15420440252400203,0.0006486688190461276,0.1535557337049559,201.67185037016972,58560.666495053934,-58358.994644683764,69.36081464431008,155364.3260321968,-155294.9652175525,2.842170943040401e-14,0.17506520027510675,8.881784197001252e-15,29.17548084254051,-3.9231103617798055,1.680689651992969,-0.09397511995849162,-4.389331155467584,-31.636905687600745,-0.09355940947320951,0.6611509408329488,-0.171899309759889,-44.987805494523954,159.38672340593953,16.177460123294825,7
25042001,dephasing,4,11,1.1878798896898917,-0.10525845211616203,2.2371559603337294,1.6126430527880387,0.6245129075456908,35.04041911801352,37.72840528962035,-2.6879861716068305,13.1184443535032,75.52521940435983,-62.40677505085663,0.15420440252400214,0.0008660352513351066,0.15333836727266703,227.2335844144231,43564.514529237786,-43337.28094482336,85.07178873483392,87208.01986746825,-87122.94807873342,2.1316282072803006e-14,0.8105495161320135,3.019806626980426e-14,14.386174890532729,3.9410049702742214,-4.553388312380044,0.006995894051191276,4.191640111048427,6.695242090843543,0.006835836040437915,0.6218211468556819,-0.010036304903843744,-4.466913542592408,176.56049579855278,21.096812837321963,7
25042001,dephasing,3,12,1.4657756121441123,-0.17763079222889155,2.9908434940052673,1.586744535963029,1.4040989580422383,31.100141103236627,37.971602482888336,-6.871461379651709,24.647922350962606,72.76770572596419,-48.11978337500159,0.1402126144216197,0.0007632856621173634,0.13944932875950233,221.80701238276907,49747.564204933005,-49525.757192550234,175.7896210168811,95334.82592101327,-95159.03629999638,2.842170943040401e-14,2.0120983163730983,1.3500311979441904e-13,27.20731791221364,-3.9398812625569484,7.091290950147222,-0.006995894051190887,-4.754248046615242,16.44925168410454,-0.006831751054228619,0.8026432446448934,0.08652820617530568,81.59681835893082,525.9232578601539,30.708440537448773,7
25042001,dephasing,2,13,1.6059882265657337,0.16543473652008112,2.23733330000173,1.6125053891671104,0.6248279108346197,35.03962561357364,36.586066108039745,-1.546440494466104,21.994818448127567,88.7261135154832,-66.73129506735563,0.14021261442161903,0.0009888220668241576,0.13922379235479487,249.90351801165022,36999.645674923886,-36749.74215691224,156.86761522033385,89729.09939242019,-89572.23177719985,0.0,0.035735612444341314,1.4210854715202004e-13,46.44976272533471,1.9883652925583135,4.318649794269724,-0.06790885554619469,3.0892705955904116,-0.8352120192127046,-0.06819729453133155,0.8101110362564947,-0.00028640366603793657,-0.21112041867871767,483.9831589847735,27.150375027311302,7
25042001,dephasing,1,14,2.102347271530723,-0.04301265430471285,2.2456416388364886,1.5425989200081545,0.7030427188283341,35.00237953879403,37.40234033925535,-2.399960800461322,10.70441495675308,94.37679767803735,-83.67238272128427,0.27603032551400775,0.000637480501257226,0.2753928450127505,126.80628287350174,58672.13234834826,-58545.326065474765,38.77985122402742,148046.56376455337,-148007.78391332933,0.0,0.3631311569632203,8.881784197001252e-15,41.881959901723235,1.9715760082479221,-3.2765579711265094,0.06790885554619502,1.6039341978338335,-9.983706118023278,0.06801648856549886,0.9002249386703585,0.3908926171128821,55.268955918243,59.315543648116154,11.89082250105581,7
25042001,dephasing,0,15,2.378377597044732,0.060292081189264046,3.003881565799767,1.4804898867936833,1.5233916790060835,31.02198144751857,37.48333094964278,-6.461349502124207,5.967127407631611,86.61318554679795,-80.64605813916634,0.2760303255140064,0.0005014049742979587,0.27552892053970846,112.38613507320754,74756.5996969316,-74644.2135618584,21.617651598678513,172740.97782549774,-172719.36017389907,7.105427357601002e-15,0.5274431910723365,1.7763568394002505e-15,34.932703437540155,-3.980398091275461,-4.737287549121469,-1.3322676295501878e-15,-4.061388701662885,3.0263245821179225,0.000136075526957935,0.8690331623762286,0.36139764948750824,17.038966391197935,18.56764310771042,6.866397815378507,7
25042001,transverse,7,8,0.12107350226526872,0.24195604963356715,3.049964349828821,1.69228604094566,1.3576783088831612,32.95793784351727,39.76739752621532,-6.809459682698048,11.625865378129536,76.41993209567501,-64.79406671754548,0.2421470045305367,0.0015427830172757076,0.240604221513261,136.10714659640155,25776.40347405287,-25640.296327456468,48.011601054777536,49533.8172898867,-49485.80568883192,2.1316282072803006e-14,0.08720019164849901,1.7763568394002505e-15,6.4918530867708455,-0.0036628405569985034,6.064649505683269,-0.10000763791044845,-1.0293756068989808,8.447461328448782,-0.10028769757040279,0.650060715804843,-0.15555973092079958,-49.755365312719306,184.91611110311032,17.884276184472245,7
25042001,transverse,6,9,0.6915208447249023,-0.005264704595867947,3.049363818023317,1.6132990130074236,1.4360648050158935,32.96160068407427,38.74168475987334,-5.780084075799067,5.561215872446267,78.80274391844053,-73.24152804599426,0.34215464244098515,0.0012627233573213603,0.3408919190836638,96.33538931087129,30681.054987417694,-30584.71959810682,16.253515757587493,62406.97414959229,-62390.72063383471,2.1316282072803006e-14,0.5762457260746956,2.6645352591003757e-15,6.962586531620758,-0.03512944713016708,-4.546154128278252,0.14397893891371577,1.3909253826160182,3.730358777604991,0.14381194147455534,0.4304945853841838,-0.2638909074651786,-44.038097332726124,74.96521931267444,12.918201671417783,7
25042001,transverse,5,10,1.0336754871658882,0.05494960587226683,3.0372187869582907,1.6911001169537525,1.3461186700045382,33.0355224188916,40.568081653023725,-7.532559234132123,8.588874623319501,97.7385815529725,-89.14970692965301,0.15420440252400203,0.0006486688190461276,0.1535557337049559,214.23203149955202,62540.514453399184,-62326.28242189963,55.69798580804226,150675.62781373988,-150619.92982793183,2.1316282072803006e-14,0.807657881993002,5.329070518200751e-15,1.5273912801566922,0.03957999208138574,3.609217928006709,-0.09397511995849162,-1.372690231301739,-15.84930136812811,-0.09355940947320951,0.5013399340924753,-0.10783755916959596,-31.65031060849809,105.4190779035998,17.13183817855457,7
25042001,transverse,4,11,1.1878798896898917,-0.10525845211616203,3.038081007675375,1.6430517382924688,1.3950292693829063,33.030284169546164,39.569938099407864,-6.5396539298617,4.398097518179318,77.75738059523485,-73.35928307705554,0.15420440252400214,0.0008660352513351066,0.15333836727266703,214.19806198078524,45690.90927696722,-45476.71121498643,28.521218889938943,89785.46828822693,-89756.94706933698,7.105427357601002e-15,0.2806985870398009,1.4210854715202004e-14,12.694844121707575,-0.00598780178492575,-1.5246200004450134,0.006995894051191276,0.9498584645126442,6.098856722392597,0.006835836040437915,0.3622281678035373,-0.16648830748309207,-24.54420724203044,43.88746902144557,12.141787715870658,7
25042001,transverse,3,12,1.4657756121441123,-0.17763079222889155,3.0369719878479984,1.5864298973369313,1.450542090511067,33.037021523770576,40.48348707838714,-7.446465554616566,3.2565604139291615,73.02313308317244,-69.76657266924327,0.1402126144216197,0.0007632856621173634,0.13944932875950233,235.62089374090243,53038.4482345515,-52802.827340810596,23.225873273689025,95669.46781183523,-95646.24193856154,0.0,0.07466231944403035,2.6645352591003757e-14,25.833014156859136,0.007469041566736223,-3.124890704655928,-0.006995894051190887,-1.1840420908352698,13.777966817361502,-0.006831751054228619,0.2722367409786669,-0.188584112501694,-26.98546505609284,37.5906507856634,11.962236993515754,7
25042001,transverse,2,13,1.6059882265657337,0.16543473652008112,3.038321836784659,1.6080469220462366,1.4302749147384226,33.02882079486152,39.01401379256241,-5.985192997700892,8.364804718990861,102.09460061514486,-93.729795896154,0.14021261442161903,0.0009888220668241576,0.13922379235479487,235.56240592978264,39455.03958853325,-39219.47718260346,59.658004049749124,103248.70777110232,-103189.04976705257,2.1316282072803006e-14,0.41400989176791114,1.9539925233402755e-14,36.422443509235734,0.03024409551059648,5.040380369414056,-0.06790885554619469,0.6227293041517967,-11.856843663711857,-0.06819729453133155,0.9459601676259971,0.5702387645631334,44.588478296382505,25.381479690469444,8.842660616443686,7
25042001,transverse,1,14,2.102347271530723,-0.04301265430471285,3.0496046471326,1.5986370794915394,1.4509675676410605,32.96013187493127,38.72951092402008,-5.769379049088812,3.3922882852244483,97.37162008086547,-93.97933179564102,0.27603032551400775,0.000637480501257226,0.2753928450127505,119.40764774143861,60754.03223728182,-60634.62458954038,12.28954926929686,152744.4680877786,-152732.1785385093,1.4210854715202004e-14,0.5120840516205476,1.199040866595169e-14,22.927253656477234,-0.03249468531524968,-3.370844208154735,0.06790885554619502,0.6174233164498304,0.27336741884143123,0.06801648856549886,0.47224369532857713,-0.10757945065397032,-5.551143960528366,17.058763770599423,7.183342665621339,7
25042001,transverse,0,15,2.378377597044732,0.060292081189264046,3.0502111489391135,1.6570811321248464,1.393130016814267,32.956432325631525,39.74484405900792,-6.7884117333763925,5.161460267767506,99.93706280057839,-94.77560253281088,0.2760303255140064,0.0005014049742979587,0.27552892053970846,119.39424504993107,79266.95205737955,-79147.55781232961,18.698888457839395,199314.06332875954,-199295.3644403017,0.0,0.6628353642275329,2.6645352591003757e-15,7.472679506014174,-0.003699549299746252,1.7691719825430576,-1.3322676295501878e-15,-1.0190326842875805,-0.7962707371698627,0.000136075526957935,0.9611752587920404,0.6475976663801787,18.674341030920544,7.96633106482205,5.369947073184326,7
